FIS_Name,Skier,ID,Nation,In_FIS_List,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Race_Elo,Race_Type,Race1_Prob,Recent_Competitor,City,Country,Distance,Technique,Race_Date
AMUNDSEN Harald Oestberg,Harald Østberg Amundsen,5449,Norway,True,10749,1844.7858712743296,1836.156470907185,1653.4457996876265,1728.8836940574715,1691.539278180055,1582.8164057079075,1641.2670316825674,1691.0694965065709,1778.389068477224,1728.8836940574715,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
LAPALUS Hugo,Hugo Lapalus,6018,France,True,3817,1648.7996579872,1694.164953919244,1604.8778137145096,1615.4941123364692,1206.72731947211,1206.5994019685477,1215.6412997598852,1550.1026128069002,1575.1505831559268,1615.4941123364692,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
REE Andreas Fjorden,Andreas Fjorden Ree,8678,Norway,True,3868,1690.686082313237,1727.597518910119,1572.8790219723376,1596.3553455428348,1267.1102038922222,1270.963715390149,1270.237490546289,1547.523168713685,1582.8756504371927,1596.3553455428348,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
STENSHAGEN Mattis,Mattis Stenshagen,5165,Norway,True,4271,1728.039502865372,1720.3628986529468,1582.225893115701,1577.470641281598,1449.9541372505046,1459.8368008340442,1340.8906074384283,1602.902497898315,1592.0354123198886,1577.470641281598,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
VERMEULEN Mika,Mika Vermeulen,12673,Austria,True,2971,1529.6959800398731,1605.447350796822,1509.2077499852364,1571.917007743133,1282.3991608675876,1281.194251466272,1251.4100955005754,1519.3405565440842,1448.4022391059266,1571.917007743133,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
NOVAK Michal,Michal Novak,3655,Czechia,True,792,1543.540014313222,1594.5925203841011,1459.2098100800565,1566.643534016015,1423.4943593484004,1368.6728816471723,1427.748775885905,1430.4515718421856,1530.6991607115544,1566.643534016015,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
MUSGRAVE Andrew,Andrew Musgrave,277,Great Britain,True,2304,1558.958720054284,1607.8910798782383,1542.5014813242287,1557.3086563523082,1247.898910463547,1201.135082246954,1283.8828123260444,1497.158866821423,1501.6884326119873,1557.3086563523082,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
SCHUMACHER Gus,Gus Schumacher,9172,USA,True,7108,1655.8684247533472,1661.750453450922,1565.8910723751212,1541.115849264554,1576.8144768776554,1428.7246581606396,1634.8205713884138,1550.1014908831753,1632.744326545542,1541.115849264554,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
DESLOGES Mathis,Mathis Desloges,12767,France,True,3050,1601.380847355765,1600.2095806551602,1433.647476162418,1531.2628832112523,1279.32547081033,1286.4633779732944,1281.6551641484814,1430.5999452375806,1544.20892632786,1531.2628832112523,Sprintkm F,1.0,False,Lake Placid,USA,Sprint,F,03/21/2026
LOVERA Victor,Victor Lovera,17106,France,True,541,1482.459201203592,1504.50907723882,1328.957751352459,1509.811143147529,1274.9754118783542,1278.5872883531702,1284.7388624358523,1319.7904943929416,1488.785992862815,1509.811143147529,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
PELLEGRINO Federico,Federico Pellegrino,44,Italy,True,8773,1687.3322415499215,1675.3549874357172,1612.060336693716,1508.4984077709528,1664.4328650297775,1528.456266078039,1741.359259151392,1605.8497195436044,1649.3967702350355,1508.4984077709528,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
CAROLLO Martino,Martino Carollo,19980,Italy,True,749,1588.766881040469,1538.812326133817,1379.358367943113,1495.6072722446197,1510.8824092263967,1317.693774354953,1567.402046018819,1385.429447400134,1597.7779217083382,1495.6072722446197,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
BARP Elia,Elia Barp,14042,Italy,True,4317,1597.5303185739217,1640.212153879373,1541.744577646371,1492.5924760155551,1439.4543968732414,1414.7778641534962,1386.109204843796,1550.6832956725914,1451.9371799150156,1492.5924760155551,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
DAVIES Joe,Joe Davies,14110,Great Britain,True,288,1516.2696534311203,1549.8490095071418,1390.3513336610897,1481.2954191132535,1268.9973756172376,1280.8025525410371,1269.9233155458755,1372.1613310582238,1450.354348890007,1481.2954191132535,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
GRAZ Davide,Davide Graz,12165,Italy,True,1833,1600.4543700708548,1546.3868682570762,1427.5707053476171,1463.2816237279026,1563.15784642788,1389.175685517322,1588.6163133192972,1467.4719245085269,1541.0598189394927,1463.2816237279026,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
CYR Antoine,Antoine Cyr,9225,Canada,True,924,1514.605809239525,1567.302705781143,1494.0143166505738,1460.1961721151342,1393.8623018820997,1401.662068556323,1314.9348728158502,1463.8732994316535,1439.9895515151236,1460.1961721151342,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
OGDEN Ben,Ben Ogden,9179,USA,True,5150,1635.8366243685364,1525.0617947759129,1458.822985327198,1445.561132332727,1696.798050129125,1601.0448840587642,1650.952387707287,1563.1743840522788,1580.856132177864,1445.561132332727,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
MOSER Benjamin,Benjamin Moser,5989,Austria,True,2543,1588.541694049994,1523.510113295321,1390.857034968336,1423.012331850053,1533.9547175849132,1422.5215725504186,1622.7086836037854,1437.6824694974955,1614.9881127987585,1423.012331850053,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
KETTERSON Zak,Zak Ketterson,5988,USA,True,724,1477.463899270971,1443.5586177512585,1362.1961577408024,1422.133597338718,1457.5395347887595,1421.6425967450273,1381.5542772264484,1405.8357302636605,1470.489281976918,1422.133597338718,Sprintkm F,1.0,True,Lake Placid,USA,Sprint,F,03/21/2026
