FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
WENG Heidi,Heidi Weng,NOR,True,7039,NORWAY I,1,,1-1,Relay,1727.7476702045433,1758.0596240313216,1648.466878360539,1637.1585418145237,1404.8286837729731,1426.2038063019115,1349.0677705464825,1654.2885022064595,1602.6093040725962,60.0,03/07/25,Trondheim,Norway
SLIND Astrid Oeyre,Astrid Øyre Slind,NOR,True,7955,NORWAY I,1,,1-2,Relay,1717.0410273132666,1734.597129533816,1598.1747270196086,1556.705081238351,1339.0022570589406,1322.2589583191418,1317.6626138079723,1582.478311459489,1591.5801536707652,115.0,03/07/25,Trondheim,Norway
JOHAUG Therese,Therese Johaug,NOR,True,10656,NORWAY I,1,,1-3,Relay,1798.16553511936,1852.5572828492243,1715.132076893324,1692.4973576740729,1457.833985500556,1450.5836151229184,1430.1807945507587,1687.343464539108,1690.3769849880991,4.0,03/07/25,Trondheim,Norway
FOSNAES Kristin Austgulen,Kristin Austgulen Fosnæs,NOR,True,4382,NORWAY I,1,,1-4,Relay,1561.3852263189897,1571.5153845173563,1464.678560726055,1457.7455062839713,1360.508181146727,1308.7818497711228,1369.0575291340676,1448.074377505102,1496.7088452663806,4268.0,03/07/25,Trondheim,Norway
SHALYGINA Kseniya,Kseniya Shalygina,KAZ,True,232,KAZAKHSTAN I,10,,10-1,Relay,1079.3138031957371,1074.9675117724305,1131.8458288554225,1143.937950159884,1163.4319406635277,1170.5710165847352,1188.447577835799,1106.8922755961707,1122.6984798032522,5390.0,03/07/25,Trondheim,Norway
SHURYGA Angelina,Angelina Shuryga,KAZ,True,215,KAZAKHSTAN I,10,,10-2,Relay,1136.0350020405413,1139.9363373847636,1178.826772829059,1185.3251249284883,1208.5255773479018,1274.7111890541232,1200.204017017448,1192.2878196855354,1150.1943480017571,1509.0,03/07/25,Trondheim,Norway
STEPASHKINA Nadezhda,Nadezhda Stepashkina,KAZ,True,229,KAZAKHSTAN I,10,,10-3,Relay,1100.9494214080423,1075.9030854429905,1120.372638124455,1164.4678895120148,1191.8610983020085,1198.8028567188726,1217.9419934258178,1101.8538957657236,1153.5713685706703,6922.0,03/07/25,Trondheim,Norway
RYAZHKO Darya,Darya Ryazhko,KAZ,True,226,KAZAKHSTAN I,10,,10-4,Relay,1149.4818635440147,1128.9495530811023,1170.847093321932,1202.530442550029,1221.8662147131242,1222.946868064027,1239.994374890524,1150.1840953299566,1187.283382909736,3468.0,03/07/25,Trondheim,Norway
AUZINA Kitija,Kitija Auzina,LAT,True,221,LATVIA I,11,,11-1,Relay,1115.735705904419,1154.9628538236673,1191.5848245627362,1219.3583756801445,1185.4948011649765,1201.1436969478314,1215.6687670980086,1147.3596966398986,1168.1983929866365,1651.0,03/07/25,Trondheim,Norway
SUMINSKA Adriana,Adriana Suminska,LAT,True,0,LATVIA I,11,,11-2,Relay,1251.3446330556155,1223.8207403736028,1231.9109136637512,1239.845211319176,1256.422095192439,1277.7948733621224,1256.5134355056384,1279.2204928434414,1262.9246319292256,10845.0,03/07/25,Trondheim,Norway
