FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob,Race5_Prob,Race6_Prob
DIGGINS Jessie,Jessie Diggins,131.0,USA,True,False,False,14941,1816.3106676592615,1861.1649923537225,1628.9826394077077,1709.5625065499262,1638.8205201479104,1554.2848850448474,1593.055846098974,1646.6439007209408,1747.3065176061505,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
ILAR Moa,Moa Ilar,1866.0,Sweden,True,False,False,9779,1787.2458883865015,1821.0644093825128,1591.5838796928144,1630.7568072362317,1584.809849930157,1515.7042145114988,1478.3444198042994,1646.0134994214804,1690.6397323407532,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
ANDERSSON Ebba,Ebba Andersson,1789.0,Sweden,True,False,False,9166,1834.7116112373303,1848.1059633149275,1665.335806896741,1653.4382456441565,1315.8775123385649,1309.8821624975242,1310.328200102296,1647.3198566455358,1706.8753155490394,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
KARLSSON Frida,Frida Karlsson,3998.0,Sweden,True,False,False,8879,1806.9805998887005,1809.937358300153,1670.7382373582132,1619.0542393561327,1527.440461888111,1474.1940846432476,1502.970417472965,1669.0464469173046,1687.4806737018027,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
WENG Heidi,Heidi Weng,60.0,Norway,True,False,False,8331,1816.9042385802252,1824.6619886443932,1663.9812232237796,1648.4353271804273,1401.5795116149957,1426.2038063019115,1350.558648725062,1670.8161597217663,1676.9892496954876,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
DAHLQVIST Maja,Maja Dahlqvist,1673.0,Sweden,True,False,False,8286,1778.4737434140338,1650.0853971828749,1328.9530581790602,1564.9525229211267,1756.0161996269624,1636.5439258184074,1687.3039170868262,1624.549320444371,1722.282057217969,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
RIBOM Emma,Emma Ribom,1844.0,Sweden,True,False,False,6094,1725.411582679515,1642.290644777196,1460.6248009577116,1508.086007628239,1685.9011127221415,1591.258010716036,1594.9468050720018,1618.875835324074,1629.2974403779258,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
JOENSUU Jasmi,Jasmi Joensuu,1675.0,Finland,True,False,False,6084,1741.1144960739991,1602.813521509616,1535.0273786606924,1417.0749854326216,1720.246896926486,1612.4687463071832,1628.2121135969774,1673.4393587552163,1633.412295059033,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
SLIND Astrid Oeyre,Astrid Øyre Slind,115.0,Norway,True,False,False,5281,1798.460888252196,1798.5590859613596,1554.965715652772,1629.915883312524,1336.6732714079244,1322.2589583191418,1316.0263130814644,1556.3888808060383,1708.131092570807,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
NISKANEN Kerttu,Kerttu Niskanen,37.0,Finland,True,False,False,4412,1530.813739709882,1549.9005261928075,1599.4791172352975,1496.3434485281018,1399.7352119370703,1385.456120259371,1416.9616602573312,1465.7991105210974,1505.965056005875,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
FAEHNDRICH Nadine,Nadine Fähndrich,1590.0,Switzerland,True,False,False,4307,1529.5507180256875,1406.7829779074646,1413.1568614495309,1384.6124029810123,1714.5709418367758,1590.1549884540173,1678.5980834567229,1579.6974975491096,1509.8424427950522,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
