FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob,Race5_Prob,Race6_Prob
KLAEBO Johannes Hoesflot,Johannes Høsflot Klæbo,5164.0,Norway,True,False,False,19741,1927.8406831961404,1920.0023568553297,1734.1167990316762,1720.5064778816914,1842.0457729961288,1772.989619748762,1732.56667980543,1861.25655638922,1804.65886897638,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
AMUNDSEN Harald Oestberg,Harald Østberg Amundsen,5449.0,Norway,True,False,False,13510,1952.5355869382256,1948.2484645587977,1654.9953577285455,1770.853837190674,1730.5525851063649,1643.1772407710175,1577.8180629295136,1729.9841246954825,1859.6962931713408,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
ANGER Edvin,Edvin Anger,14039.0,Sweden,True,False,False,11004,1680.0389094806385,1623.9881293635267,1603.730888828925,1540.9228842946825,1724.860831362934,1573.540866599391,1716.7252796935154,1601.612879680438,1661.0640377567986,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
VALNES Erik,Erik Valnes,5923.0,Norway,True,False,False,9545,1843.76374271648,1767.8805931247523,1663.2433154123937,1399.8899498262365,1816.5484251007213,1744.2670678428622,1691.336051958042,1789.5448943384629,1630.136055316978,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
PELLEGRINO Federico,Federico Pellegrino,44.0,Italy,True,False,False,6556,1686.1447161866529,1611.733813886619,1520.4431570323463,1502.2781548291755,1756.1004728117914,1581.8039319646937,1766.742160051559,1584.5557501716287,1625.1545980963713,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
REE Andreas Fjorden,Andreas Fjorden Ree,8678.0,Norway,True,False,False,6314,1862.51834759923,1863.951782187331,1629.470659157157,1675.1823403792814,1268.588377969693,1274.1541621803076,1279.6062894341758,1631.1959219682287,1766.0614061921551,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
NISKANEN Iivo,Iivo Niskanen,1470.0,Finland,True,False,False,5771,1653.5002258802706,1653.2628889497255,1694.3430398021044,1512.156049800716,1403.9944255600694,1412.605723799301,1350.0187895989482,1686.9206299662617,1536.7238524171737,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
STENSHAGEN Mattis,Mattis Stenshagen,5165.0,Norway,True,False,False,5388,1850.4622128554904,1865.89138830667,1591.7281539704695,1674.9292357946863,1550.022850065498,1512.4481978173471,1318.934514415672,1569.7661034811822,1772.391886486554,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
OGDEN Ben,Ben Ogden,9179.0,USA,True,False,False,4705,1561.3681576428744,1464.3817060365586,1456.4568562415443,1417.5892826693455,1780.5466489438222,1641.311380420857,1705.707173044059,1639.3681292769222,1529.9014809355467,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
SCHUMACHER Gus,Gus Schumacher,9172.0,USA,True,False,False,4573,1678.739858109548,1681.430886736751,1477.044262932482,1557.1156997507069,1545.6670726201548,1462.8020106162903,1583.853539090013,1485.75864936163,1624.6869320382373,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
KRUEGER Simen Hegstad,Simen Hegstad Krüger,2355.0,Norway,True,False,False,4345,1730.8316052756725,1741.657684287571,1552.0338717541858,1648.538683954764,1361.4152007108255,1350.068214264095,1365.9765407535035,1551.380543900508,1657.5411992057143,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
KOROSTELEV Savelii,Saveliy Korostelev,13188.0,Russia,True,False,False,3920,1495.8104189818632,1503.3156621493497,1242.849746455109,1434.204391861591,1331.290275018769,1231.3956037511944,1334.154517106139,1226.7866150998934,1507.4804304444556,2,False,2,1.0,1.0,1.0,1.0,1.0,1.0
LAPALUS Hugo,Hugo Lapalus,6018.0,France,True,False,False,3331,1723.037038742932,1720.2012035771168,1648.6211183410346,1616.5487771008486,1206.337129493608,1204.3372257303854,1212.1043568198668,1631.450138281011,1669.314732239652,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
IVERSEN Emil,Emil Iversen,1467.0,Norway,True,False,False,2809,1809.0070811118128,1819.9349786523608,1457.8000735569628,1645.6926406700163,1412.2891909008893,1387.4404492585015,1474.682248236757,1434.35820691119,1740.1226071603596,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
CHANAVAT Lucas,Lucas Chanavat,3582.0,France,True,False,False,2307,1644.2754636261238,1092.8812097194148,1140.4795156407108,1178.696885796432,1710.500120401533,1497.927782415243,1770.8153501133504,1406.277264790505,1685.0891067726134,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
BARP Elia,Elia Barp,14042.0,Italy,True,False,False,2209,1547.296606638207,1737.2013901166358,1471.5650001660774,1603.9684567915183,1171.964029798109,1373.6223273596677,1147.0989567573854,1479.3882591110853,1531.5898342955447,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
HEGGEN Lars,Lars Heggen,19104.0,Norway,True,False,False,2142,1723.6836695485213,1624.3596242264648,1242.849746455109,1461.3696812577296,1649.838818082617,1489.4086569160197,1554.154517106139,1523.7151032506072,1631.099168703294,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
MYHLBACK Alvar,Alvar Myhlback,19652.0,Sweden,True,False,False,2120,1583.696933797815,1465.7488179917118,1518.1691244763315,1281.1720674364065,1667.827122319721,1599.13904725025,1234.1987494727805,1691.6865958460055,1282.39910169145,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
MOCH Friedrich,Friedrich Moch,9323.0,Germany,True,False,False,2087,1625.8845654996712,1619.7084339223509,1465.932009014769,1580.2185552523297,1222.2689489696077,1226.0134090144456,1223.5855160437857,1463.4215806481136,1597.7570391783574,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
POROMAA William,William Poromaa,12573.0,Sweden,True,False,False,2066,1593.134829982634,1596.9410551229764,1571.3763705230713,1530.84701591896,1316.1021030997442,1322.1546465122467,1290.76279798459,1569.4855818774631,1522.5176490113909,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
KETTERSON Zak,Zak Ketterson,5988.0,USA,True,False,False,2065,1597.3669290508628,1666.0571575673057,1530.3448618445484,1511.7467802978776,1425.1573722902149,1394.4301852975586,1316.4629857013522,1409.1891478211971,1591.3804072185185,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
VUORINEN Lauri,Lauri Vuorinen,2874.0,Finland,True,False,False,1837,1571.7961655090105,1430.2678350861693,1336.623312366142,1373.8278894582922,1715.0147110337643,1665.7884930073262,1610.883772361502,1622.1363990520756,1511.2309049726869,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
MUSGRAVE Andrew,Andrew Musgrave,277.0,Great Britain,True,False,False,1617,1688.5697790557565,1686.2168184532652,1513.319165090025,1579.7413597753698,1253.649466162551,1195.2320602449429,1311.8447915438994,1502.606676174187,1650.502755992624,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
VIKE Oskar Opstad,Oskar Opstad Vike,19279.0,Norway,True,False,False,1586,1756.2684986607278,1220.426890604964,1242.849746455109,1233.101093756004,1785.5083996679512,1660.584279790329,1615.2431542227898,1672.900845624758,1572.7579918597353,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
EVENSEN Ansgar,Ansgar Evensen,8246.0,Norway,True,False,False,1575,1734.8474068859791,1196.443541917505,1241.2823731276635,1255.1448174457255,1770.2596648225715,1656.1892235228609,1627.793768043157,1659.5491502406978,1579.444457785709,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
JOUVE Richard,Richard Jouve,2768.0,France,True,False,False,1541,1456.690495619372,1410.294101615233,1415.219573445409,1352.2758783368222,1545.9054112177516,1486.1773103621874,1596.0916851431853,1469.1943199261589,1527.312722898024,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
CHAPPAZ Jules,Jules Chappaz,12181.0,France,True,False,False,1346,1494.560917870555,1308.9305144986656,1355.0513591933432,1309.3163959555498,1675.4673010162574,1621.4999500345434,1586.8183729271757,1616.1346625114516,1452.3014476638175,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
GROND Valerio,Valerio Grond,12164.0,Switzerland,True,False,False,1256,1486.8029963721829,1385.256971930558,1481.9192459135588,1295.2528615452554,1682.0557148694206,1596.1428849794509,1614.6177512958122,1612.019354199041,1530.183086737129,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
CAROLLO Martino,Martino Carollo,19980.0,Italy,True,False,False,1108,1708.99073155054,1713.7898904339916,1311.7012699101883,1574.8885044127014,1553.1211264570388,1319.1999687914204,1563.315513290107,1322.9101741084994,1673.3626741580376,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
HAKOLA Ristomatti,Ristomatti Hakola,2553.0,Finland,True,False,False,984,1552.7755707524736,1540.4610048010384,1540.9578242404111,1443.2175306496204,1578.1733389007604,1530.854301397827,1497.8169760296817,1565.2142876068108,1507.7721924775392,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
NOVAK Michal,Michal Novak,3655.0,Czechia,True,False,False,940,1519.7396950015632,1583.1746046195203,1377.4376422111002,1548.530040741582,1344.408648930886,1321.9783471452315,1400.760304974032,1278.5157817464271,1563.3051950665083,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
SCHOONMAKER JC,James Clinton Schoonmaker,9201.0,USA,True,False,False,791,1492.4828168830463,1431.7595363755051,1266.1415132682332,1361.8042737993874,1531.8471092304649,1431.9961037969078,1563.7600912498012,1368.386590141558,1483.9529643264373,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
GRAHN Anton,Anton Grahn,18667.0,Sweden,True,False,False,708,1517.2416802874127,1220.426890604964,1242.849746455109,1233.101093756004,1552.7974273018126,1561.3539924807178,1413.1701874594758,1572.1111412920734,1372.0285927901632,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
MAKI Joni,Joni Mäki,3586.0,Finland,True,False,False,604,1582.2992158683,1560.7725837130934,1322.7833085298428,1474.8909894576484,1584.6827200232058,1531.2872209440495,1556.854790759298,1511.770855704425,1546.4902455543106,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
BERGLUND Gustaf,Gustaf Berglund,12178.0,Sweden,True,False,False,590,1678.8681024883297,1673.686645986612,1543.0299611404923,1575.1807870400182,1342.416795550335,1300.601596701625,1347.0457479207485,1548.4759460928967,1649.2189587466416,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
GRAZ Davide,Davide Graz,12165.0,Italy,True,False,False,566,1497.411788675018,1469.2312035952748,1455.0395690681987,1452.0703781572458,1594.1621813683932,1367.5889064770383,1607.7821852770974,1430.6917789720596,1475.8432422034434,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
RIEBLI Janik,Janik Riebli,7725.0,Switzerland,True,False,False,450,1451.287318057972,1326.1523451840233,1233.5956766496652,1302.1510060375772,1616.7406481956714,1410.7919541350998,1674.8344482654345,1362.810222728123,1443.4978336391378,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
CYR Antoine,Antoine Cyr,9225.0,Canada,True,False,False,385,1486.9990974267037,1528.9908875358076,1520.1286236989306,1409.963617949251,1389.6701629760232,1410.789741155119,1331.944588722244,1495.4397534297204,1395.5233102773225,5,False,5,1.0,,,,,
LAPIERRE Jules,Jules Lapierre,3646.0,France,True,False,False,353,1708.3065639146455,1706.5966076663003,1336.0125946038247,1611.890600989678,1218.428642905774,1248.1274658918971,1213.1596184053135,1338.764284175454,1674.8201385384557,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
MOSER Benjamin,Benjamin Moser,5989.0,Austria,True,False,False,343,1551.768517825712,1490.2345830927163,1246.9002870755023,1420.70246044929,1534.3682211845305,1484.4997366636237,1499.0082288767528,1444.4742119517082,1518.0974338194935,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
HYVARINEN Perttu,Perttu Hyvärinen,1441.0,Finland,True,False,False,310,1601.910238596412,1598.4045466165012,1528.6413768877376,1513.283858245101,1352.3721769376425,1338.2070884320267,1332.9373235511102,1532.0742114314644,1569.658615836718,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
YOUNG Jack,Jack Young,14687.0,USA,True,False,False,291,1302.9548366355784,1135.9045514077786,1234.9051025441076,1194.817933827905,1625.3153838004266,1369.8036371003525,1655.2596072194624,1349.819013132459,1286.8842803747698,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
PARISSE Clement,Clement Parisse,2353.0,France,True,False,False,278,1529.157844610968,1524.0246684779966,1520.7475358301554,1471.8155736291917,1245.909891515768,1214.0893981163642,1276.5252735940512,1521.5476022655846,1513.493270423891,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
MALONEY WESTGAARD Thomas,Thomas Hjalmar Westgård,5553.0,Ireland,True,False,False,274,1339.1915669092784,1337.1397497448045,1472.0370911665032,1325.8063652739463,1183.7074293158423,1220.7863936090964,1163.9189324263843,1467.268848034487,1338.357546854913,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
