FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob,Race3_Prob
DIGGINS Jessie,Jessie Diggins,131.0,USA,True,False,False,14748,1801.536460478163,1840.7081457511028,1660.0735761782837,1718.2233150638244,1636.724930927489,1531.717444833061,1632.2031475055792,1664.856742040167,1735.1585509138092,7,True,12,1.0,,
SUNDLING Jonna,Jonna Sundling,1486.0,Sweden,True,True,True,12922,1817.3174666276968,1711.070131537432,1549.6918578595985,1576.1120804287834,1759.491813455824,1633.7528544775894,1721.27119454337,1672.0720810840842,1743.1248076116312,6,False,6,1.0,,
DAHLQVIST Maja,Maja Dahlqvist,1673.0,Sweden,True,True,True,11605,1707.610876762512,1569.607892484791,1444.0124605862131,1491.5571389702486,1733.0086728581318,1623.6458371251365,1716.2305746030613,1601.0013148793755,1658.504047147874,6,False,6,1.0,,
ILAR Moa,Moa Ilar,1866.0,Sweden,True,True,True,11018,1724.030398307064,1702.6104192733596,1592.2640961157576,1567.473477250939,1586.4591396358746,1440.5106174745397,1596.2117803670474,1616.0330748919569,1644.563820454389,6,False,6,1.0,,
KARLSSON Frida,Frida Karlsson,3998.0,Sweden,True,True,True,8770,1732.402615356938,1767.4414803578718,1653.0091520075807,1595.7521852584614,1484.9395272908005,1455.768714979403,1458.7633145216296,1645.4740772101834,1600.390213598155,6,False,6,1.0,,
WENG Heidi,Heidi Weng,60.0,Norway,True,True,True,8265,1764.825371984204,1817.042014545238,1655.0623666877682,1664.758322290301,1377.7179822914834,1411.1309877902204,1331.0275530305455,1649.139230314125,1631.2856602022332,6,False,6,1.0,,
Ebba Andersson,Ebba Andersson,1789.0,Sweden,False,True,False,8151,1711.888977045575,1779.0332971383802,1648.4641958636264,1633.0822078771782,1309.2643321178673,1315.4357374815418,1281.1616315772014,1618.576340634503,1597.301128133008,6,False,6,,0.0,0.0
SVAHN Linn,Linn Svahn,3190.0,Sweden,True,True,True,7705,1750.1746903741353,1620.7747641490714,1541.5540706860295,1453.5738887739735,1719.7344661323632,1614.8914473473756,1670.7041968686144,1657.5734420651338,1637.0309787317276,6,False,6,1.0,,
JOENSUU Jasmi,Jasmi Joensuu,1675.0,Finland,True,True,True,6726,1630.759372598431,1548.13187148149,1530.4837092042192,1350.6376583127503,1614.623478027531,1559.6602555812876,1568.0616010394842,1612.7339556247318,1513.860321533839,6,False,6,1.0,,
Nadine Fähndrich,Nadine Fähndrich,1590.0,Switzerland,False,True,True,5838,1635.3680789395687,1490.194370557901,1484.3376852116703,1394.5042499963856,1699.0337621243625,1610.59395888542,1669.634756163446,1605.9404634713408,1544.097696295897,6,False,6,,,
STADLOBER Teresa,Teresa Stadlober,529.0,Austria,True,True,True,5304,1651.3913924621006,1723.947334056177,1652.512578657559,1563.943291347908,1258.487745238827,1259.6141055062642,1248.5645039711058,1612.9073603856282,1517.5793388309432,5,False,5,1.0,,
RIBOM Emma,Emma Ribom,1844.0,Sweden,True,True,True,4858,1655.1304336197168,1617.235587112707,1488.0008660836595,1529.9071297218843,1603.3640279823528,1544.1658140627453,1561.4975294502808,1565.19105796344,1602.6561743837733,6,False,6,1.0,,
SLIND Astrid Oeyre,Astrid Øyre Slind,115.0,Norway,True,True,True,4737,1737.8507967047333,1763.6607951598307,1600.5170656314729,1612.180071941632,1357.566315129672,1326.3660044387236,1361.7166303850609,1605.0101108929116,1631.3091617128766,6,False,6,1.0,,
DRIVENES Julie Bjervig,Julie Bjervig Drivenes,3357.0,Norway,True,True,True,4679,1572.8292257618866,1537.9042445566106,1431.8271455421775,1424.9974157239526,1441.6164545493689,1373.1684888337677,1436.3320982494083,1454.9876659293848,1502.2809320135304,6,False,6,1.0,,
Kerttu Niskanen,Kerttu Niskanen,37.0,Finland,False,True,True,4382,1601.539044495123,1640.7250947747298,1637.3841050677606,1514.1163092004724,1419.1148061667209,1406.2357077043318,1404.2663093109777,1595.449117107385,1496.7526033517497,6,False,6,,,
Kristine Stavås Skistad,Kristine Stavås Skistad,3207.0,Norway,False,True,False,4168,1579.6823960322602,1203.9820041507928,1232.9137851760056,1246.5047074736542,1718.370079702519,1606.782610327447,1669.3875279031197,1498.8088193792648,1546.8044066870543,6,False,6,,0.0,0.0
SIMPSON-LARSEN Karoline,Karoline Simpson-Larsen,2300.0,Norway,True,True,True,3737,1562.5795659291557,1599.8797795652692,1424.0321702288816,1520.1029928128576,1245.9925318742207,1279.245941555312,1232.001922314823,1394.147318702921,1508.7574310143707,6,False,6,1.0,,
MATINTALO Johanna,Johanna Matintalo,1761.0,Finland,True,True,True,3478,1654.1912628331947,1623.0530220047788,1569.8643493627903,1382.8100862139092,1526.7995054503328,1540.347378742117,1291.923745944964,1617.2352048922796,1397.7879023804328,6,False,6,1.0,,
Johanna Hagström,Johanna Hagström,3212.0,Sweden,False,True,True,3377,1597.1653901790196,1275.714350506922,1298.7307443374443,1221.6470017710365,1714.020644181931,1616.3297134015836,1676.3756694372642,1544.057235007518,1536.1057642107498,6,False,6,,,
RYDZEK Coletta,Coletta Rydzek,3254.0,Germany,True,True,True,3289,1606.2985322470563,1397.0120508683535,1395.1854751312417,1282.07992906627,1646.5458053752948,1504.2182717702578,1694.995479179783,1495.7949715251475,1588.4524747839305,6,False,6,1.0,,
KAELIN Nadja,Nadja Kälin,6380.0,Switzerland,True,True,True,2880,1292.351794236965,1291.9009154218452,1277.5212008048984,1292.2059433392594,1272.8831709271526,1278.7573138550372,1274.399893890754,1269.949502864965,1290.8769429234117,6,False,6,1.0,,
WEBER Anja,Anja Weber,6338.0,Switzerland,True,True,True,2076,1583.959861175764,1484.222460177401,1408.5964711407014,1375.3182734671152,1571.5245113953,1470.0907330366467,1547.0264967863584,1501.0609206907936,1514.5450775854924,6,False,6,1.0,,
GIMMLER Laura,Laura Gimmler,1495.0,Germany,True,True,True,1947,1591.8631145295,1426.609622219271,1408.588792035614,1292.998123761228,1614.6981642821988,1595.2656249267195,1522.872833409324,1568.8715395249396,1486.1758931177749,6,False,6,1.0,,
Moa Lundgren,Moa Lundgren,3211.0,Sweden,False,True,False,1874,1585.6513867155402,1502.6033036514507,1428.6191486148236,1371.2335845630075,1553.5911397881518,1482.4464032366202,1525.738522325095,1503.1130142544357,1503.3742189651896,6,False,6,,0.0,0.0
Stina Nilsson,Stina Nilsson,572.0,Sweden,False,True,False,1853,1663.2062052274648,1552.207338077888,1486.0492556699628,1424.7039026318064,1741.2112421828042,1638.4887575753455,1694.47008208475,1587.1526747113176,1594.9798861022234,6,False,6,,0.0,0.0
FOSNAES Kristin Austgulen,Kristin Austgulen Fosnæs,4268.0,Norway,True,True,True,1826,1644.4857807065366,1646.0876134518032,1484.8616748964507,1545.8344848921124,1375.276625412986,1308.1932852249329,1397.2079962064984,1484.884974588898,1582.9512088984718,6,False,6,1.0,,
JANATOVA Katerina,Katerina Janatova,3198.0,Czechia,True,False,False,1769,1564.428396544439,1571.8616087807725,1446.0294078861684,1512.22436429019,1490.87160049656,1381.9394403025206,1524.2884350254762,1452.2486586841574,1553.1502651446576,5,False,5,1.0,,
FINK Pia,Pia Fink,4004.0,Germany,True,True,True,1456,1568.7159081965142,1623.206306010214,1493.5525776186853,1554.5274523785158,1369.2062806965223,1320.3563286056535,1364.2054136941367,1487.627845342386,1517.8123154458267,6,False,6,1.0,,
HENNIG DOTZLER Katharina,Katharina Hennig Dotzler,1618.0,Germany,True,True,False,1433,1509.539986089793,1586.0329849120476,1608.3413370613034,1441.2170256646618,1382.9944810773543,1382.2768731918889,1326.3647497489094,1516.7232794386648,1420.1838219035428,6,False,6,1.0,,
Mathilde Myhrvold,Mathilde Myhrvold,2298.0,Norway,False,True,False,1354,1630.623389359726,1324.058560920162,1318.4535863693116,1297.075191453206,1640.7895292349183,1475.5087608219133,1658.3455942560615,1456.7102122467609,1608.6796482001143,6,False,6,,0.0,0.0
Dariya Nepryaeva,Dariya Nepryaeva,6555.0,Russia,False,False,False,1322,1552.8467121908177,1559.8143918259468,1432.0393322791106,1431.298306689822,1328.5003803330678,1309.0207652120282,1367.650100701419,1418.9320331071572,1476.2035695325387,1,False,1,0.0,,
Krista Pärmäkoski,Krista Pärmäkoski,13.0,Finland,False,True,False,1311,1502.3713943212592,1536.819456975981,1473.4704861510718,1519.0953193524683,1407.6618372714825,1426.2564662244322,1381.0165665904824,1474.9945318172072,1485.8093964915204,6,False,6,,0.0,0.0
BRENNAN Rosie,Rosie Brennan,627.0,USA,True,False,False,1176,1441.5680756184026,1444.3416906317705,1477.672750179953,1424.1328758342693,1455.3723852627347,1449.2986508121364,1415.7306814552664,1476.2475713942931,1395.6123225212732,7,True,12,1.0,,
Julia Kern,Julia Kern,1846.0,USA,False,False,False,1068,1506.1344034715005,1440.9299758253114,1314.181809232455,1418.0008745510763,1548.0591571890452,1480.8802400796535,1525.8015394112451,1427.4332510183417,1498.2818734640766,7,True,12,0.0,,
SANNESS Nora,Nora Sanness,6324.0,Norway,True,True,True,1051,1515.3059557804463,1565.15405191845,1407.7264751402029,1519.5710503832272,1215.5567482186425,1254.0376575523685,1208.9797680926918,1385.615868739387,1481.5289564246443,6,False,6,1.0,,
HOFFMANN Helen,Helen Hoffmann,6691.0,Germany,True,True,True,1035,1478.0600178294628,1534.7461164715032,1422.627848958588,1457.8185217421712,1283.7833933180457,1247.7223950827456,1326.571600814101,1367.698002455809,1452.3152868501118,6,False,6,1.0,,
GANZ Caterina,Caterina Ganz,1721.0,Italy,True,True,True,903,1476.948454927464,1478.3327579940635,1460.340700732544,1407.3680121304646,1429.7395804895148,1421.3598427242496,1378.2793236466273,1481.5489463376764,1417.3425252200784,6,False,6,1.0,,
Sian Hamilton,Sian Hamilton,12355.0,Canada,False,False,False,872,1287.0751399768549,1290.4112846775256,1294.8855579373292,1295.7416686914016,1296.3250272769146,1278.7573138550372,1294.4852853518996,1295.657532063414,1290.0311159222615,5,False,5,0.0,,
EIDUKA Patricija,Patricijia Eiduka,3240.0,Latvia,True,False,False,741,1517.127823562803,1485.332664507568,1333.033496388797,1483.1849648189673,1430.0580328434978,1261.1270056153023,1503.3665402705628,1329.540249722318,1544.7564265040828,5,False,5,1.0,,
MACKIE Alison,Alison Mackie,10185.0,Canada,True,False,False,732,1461.37271151709,1489.1725951748567,1353.7784842723522,1417.27201003483,1321.503692629228,1301.5347742217225,1311.935221451654,1342.2687708192452,1441.3187842701564,5,False,5,1.0,,
Milla Grosberghaugen Andreassen,Milla Grosberghaugen Andreassen,10424.0,Norway,False,True,True,727,1452.746176222205,1317.9203829065575,1327.8545869683403,1287.9261153639495,1447.4260175865973,1383.3838488442325,1431.9549777340087,1398.0652645785487,1393.4027443928826,6,False,6,,,
KAHARA Jasmin,Jasmin Kähärä,3528.0,Finland,True,True,True,694,1537.3567751041503,1388.0893329237838,1317.5869857405803,1361.691903733276,1561.592139697063,1446.4911830058502,1572.4862098459157,1430.9319438237508,1534.1883875390688,6,False,6,1.0,,
WENG Tiril Udnes,Tiril Udnes Weng,1668.0,Norway,True,True,True,683,1459.7597254443258,1480.671664679903,1438.0501183915335,1474.850554932049,1451.7821614544014,1407.1796608999014,1471.5652520443496,1422.3241998201386,1475.615494226353,6,False,6,1.0,,
Alisa Zhambalova,Alisa Zhambalova,1585.0,Russia,False,False,False,661,1451.896531834346,1477.726874140825,1428.1404799947877,1384.02995195849,1209.8564177392798,1246.6440278960106,1159.9152895121588,1397.524649305231,1369.0532861994602,1,False,1,0.0,,
Lotta Udnes Weng,Lotta Udnes Weng,1671.0,Norway,False,True,True,583,1524.274261929835,1504.3232381158637,1441.1842436131594,1459.9655990552571,1505.1508058317593,1428.9223380774115,1510.654394740431,1459.5087377319803,1511.545267043311,6,False,6,,,
DEL RIO Gina,Gina del Rio,10313.0,Andorra,True,False,False,448,1458.8285422374122,1387.2167880032723,1329.9711887578565,1361.470981649193,1448.0594268340644,1308.2567104064958,1498.963436584463,1331.7025527040337,1478.70520028877,3,False,3,1.0,,
Julie Myhre,Julie Myhre,1841.0,Norway,False,True,True,445,1574.367782863605,1316.8961186634267,1288.766643057734,1318.5316212947514,1586.9646694226446,1475.8163877281577,1585.9925923195997,1438.4960600827048,1545.1362217393855,6,False,6,,,
PERRY Leonie,Leonie Perry,10413.0,France,True,True,False,410,1425.2605212576716,1463.439226470387,1310.3220030262917,1434.7645939123854,1267.7358997299448,1244.1932007006274,1302.8702310755064,1269.3087227693063,1460.581232859969,6,False,6,1.0,,
Vilma Ryytty,Vilma Ryytty,6607.0,Finland,False,True,False,396,1426.843655231086,1441.9616441788496,1288.4373882217817,1426.421361740478,1226.4115597388115,1289.5316558410263,1195.5486677317615,1281.5425000593334,1416.4608668344158,6,False,6,,0.0,0.0
Sofie Krehl,Sofie Krehl,1695.0,Germany,False,True,False,364,1472.0862057766296,1396.6411307375213,1349.5900150178577,1382.1566139912486,1489.513451652687,1402.4238864095778,1494.025601910539,1414.518883587522,1453.896501213577,6,False,6,,0.0,0.0
SMITH Samantha,Sammy Smith,10228.0,USA,True,False,False,359,1350.347733951627,1196.8807850985231,1212.448693965491,1246.8012735941722,1408.025822356747,1337.7953167890942,1409.0404246103594,1285.4345370047083,1353.1233156303467,7,True,12,1.0,,
Lilia Vasilieva,Lilia Vasilieva,350.0,Russia,False,False,False,350,1413.9199021591592,1418.5224247453375,1446.9364701089255,1283.548813322343,1256.449547645326,1241.5125079446625,1277.995741101658,1433.0059840894387,1288.2330693719953,1,False,1,0.0,,
DE MARTIN PINTER Iris,Iris De Martin Pinter,7422.0,Italy,True,True,True,337,1491.734729397544,1307.86732456741,1303.4292391226138,1298.4848847803062,1516.4520867226645,1426.4703461907493,1491.5386707452872,1409.4560413026843,1440.5877993773822,6,False,6,1.0,,
Sophia Laukli,Sophia Laukli,7369.0,USA,False,False,False,329,1417.7463014920083,1437.143236146773,1319.573168765506,1463.0900235771078,1171.2201184527823,1218.8817777671893,1172.0608807094004,1312.1301805828837,1431.7436282627705,7,True,12,0.0,,
SWIRBUL Hailey,Hailey Swirbul,1849.0,USA,True,False,False,315,1351.5737780430848,1390.6398204530622,1363.2801130920714,1377.5443926900853,1332.3461688395569,1314.897604527366,1328.5077271645252,1348.9808322512097,1352.742686802862,7,True,12,1.0,,
Alina Terenteva,Alina Terenteva,-210112.0,Russia,False,False,False,302,1300.0,1300.0,1277.5212008048984,1300.0,1300.0,1300.0,1274.399893890754,1300.0,1300.0,1,False,1,0.0,,
SAUERBREY Katherine,Katherine Sauerbrey,1727.0,Germany,True,True,True,300,1436.296172491761,1473.097682871774,1455.0443125663014,1367.1428051757157,1246.6938511413084,1273.360765634168,1215.4800945697398,1408.3522995375588,1359.8716119423152,6,False,6,1.0,,
Delphine Claudel,Delphine Claudel,1694.0,France,False,True,False,293,1421.1014073479446,1448.7788247651954,1336.5101754060345,1493.448576673167,1273.2959444420392,1207.033761135231,1284.3477975570936,1339.2773903295572,1447.8339101496192,6,False,6,,0.0,0.0
Ingrid Bergene Aabrekk,Ingrid Bergene Aabrekk,6828.0,Norway,False,True,False,285,1380.5958809191047,1230.8666517507163,1242.266847351714,1271.6606660303062,1447.797818860882,1375.103438548204,1450.8598084386822,1333.8801524492424,1369.652672264743,6,False,6,,0.0,0.0
Karoline Grøtting,Karoline Grøtting,6419.0,Norway,False,True,True,282,1414.3593945631274,1416.3517894162133,1378.5976144954473,1335.467393402614,1302.457714736898,1288.6001601277128,1304.6328954063536,1370.6832073019648,1345.3923285078008,6,False,6,,,
Vilma Nissinen,Vilma Nissinen,3034.0,Finland,False,True,False,256,1417.8447632384048,1418.5221765146136,1356.060573598183,1372.945996092629,1305.4140800444382,1289.545065878413,1297.1336731968718,1356.8641111566396,1384.52532129029,6,False,6,,0.0,0.0
Ane Appelkvist Stenseth,Ane Appelkvist Stenseth,1829.0,Norway,False,True,False,248,1480.679956654544,1174.2447987212392,1218.770016934331,1227.731322093204,1485.7478984723916,1482.8251348433605,1394.0387861714248,1464.5675494229642,1375.105979176962,6,False,6,,0.0,0.0
CASSOL Federica,Federica Cassol,9082.0,Italy,True,True,True,248,1442.4279956427235,1246.1127823471463,1253.403224995216,1254.2706241156482,1517.3909340453752,1424.774732196084,1508.5306968127566,1374.339006340353,1429.332690299378,6,False,6,1.0,,
Margrethe Bergane,Margrethe Bergane,6411.0,Norway,False,True,False,241,1443.264156829252,1461.5783749139189,1391.254608680329,1405.3007437536485,1241.60004643974,1289.0648443399425,1207.9391925785762,1400.671070525842,1374.693295927237,6,False,6,,0.0,0.0
Nicole Monsorno,Nicole Monsorno,6631.0,Italy,False,True,False,233,1398.1507087420798,1206.4358989458208,1224.7647825317183,1230.0830099859695,1493.786770701034,1448.5687304790615,1457.1186565153291,1361.4936345257704,1387.290265860638,6,False,6,,0.0,0.0
Elina Rönnlund,Elina Rönnlund,1674.0,Sweden,False,True,False,233,1352.7573560797175,1364.1513303731665,1337.4864271141523,1339.0299426381266,1311.9735892263516,1317.0968083382122,1284.2904925325647,1352.1671916540731,1326.6767663557616,6,False,6,,0.0,0.0
Louise Lindström,Louise Lindström,6632.0,Sweden,False,True,False,233,1328.559848287066,1318.1870908656842,1317.408542125216,1302.6736667312543,1328.193270818259,1344.9910296684543,1292.5603626794718,1343.56835203931,1305.898095373945,6,False,6,,0.0,0.0
Germana Thannheimer,Germana Thannheimer,6687.0,Germany,False,True,False,233,1296.2791097106426,1293.6729029086127,1291.431768176394,1279.2013285825255,1286.383754074012,1284.6776999356823,1276.3027819821896,1293.7403704522358,1259.994147787174,6,False,6,,0.0,0.0
Anna-Maria Dietze,Anna-Maria Dietze,3214.0,Germany,False,True,False,233,1292.6873819505608,1298.4373772741808,1293.516984523136,1290.3179157266406,1295.8049833991922,1269.5909452945343,1302.715536619791,1273.0231944830398,1290.963472124124,6,False,6,,0.0,0.0
Ingrid Hallquist,Ingrid Hallquist,5940.0,Sweden,False,True,False,233,1279.2291046942971,1254.4752032336933,1280.0089623199217,1265.2181721466654,1302.7437956675458,1331.3362100971692,1247.3692668933038,1314.0210783219654,1241.6542584143706,6,False,6,,0.0,0.0
Oona Kettunen,Oona Kettunen,1914.0,Finland,False,True,False,233,1276.6362749657765,1272.9142224900909,1273.5056817263016,1288.8795484559037,1271.721250971141,1274.17936268066,1280.9238696288392,1275.238873569715,1289.4010736053067,6,False,6,,0.0,0.0
Anna Parent,Anna Parent,7331.0,Canada,False,False,False,233,1265.2422187673249,1271.2894482378686,1274.191457357137,1268.2546674022387,1280.927742156921,1282.221935770728,1288.1862275987428,1287.1370447248923,1264.717786607234,5,False,5,0.0,,
