FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob
DIGGINS Jessie,Jessie Diggins,131,USA,True,False,False,17493,1849.0411603628252,1854.2763446491113,1648.9589432468013,1723.8544401854465,1647.190906251645,1537.1908985200598,1649.5361761746744,1669.0446684196245,1771.856586813817,7,False,7,1.0,0.0
Jonna Sundling,Jonna Sundling,1486,Sweden,False,True,False,13380,1784.2032577198122,1685.2445113718904,1546.2771905411398,1578.07796848973,1741.8601341984977,1634.4895242044884,1691.5751232843656,1644.7855324414368,1726.3303256811173,6,False,6,,0.0
ILAR Moa,Moa Ilar,1866,Sweden,True,True,False,12793,1744.7598306340929,1726.5606468310707,1594.364712278735,1580.354971931658,1573.433481749944,1470.6194100048665,1550.0156418785532,1635.0640153802788,1641.4473116254037,6,False,6,1.0,0.0
DAHLQVIST Maja,Maja Dahlqvist,1673,Sweden,True,True,False,10229,1701.7572076968927,1571.6698482274237,1417.1216370947188,1511.7215879992823,1737.6979511448135,1626.043025121248,1720.8071975412463,1591.861256332805,1661.181296819553,6,False,6,1.0,0.0
Heidi Weng,Heidi Weng,60,Norway,False,True,False,9139,1725.8997648664504,1799.516941160354,1656.1080561741962,1649.4615524671894,1373.5439953857554,1409.1699126673298,1325.8803519202918,1644.6086628624123,1597.4226189323629,6,False,6,,0.0
Ebba Andersson,Ebba Andersson,1789,Sweden,False,True,False,8493,1718.2057427271527,1805.1852455964472,1654.8242703662577,1654.5815311029362,1308.6613970219885,1325.0790352700794,1266.5166573501906,1625.3992668972987,1600.4349153867936,6,False,6,,0.0
Teresa Stadlober,Teresa Stadlober,529,Austria,False,True,False,6709,1691.387733078898,1732.629845288624,1657.5633459602786,1554.9777703802797,1297.0403847671744,1266.592282166043,1303.166931468707,1609.3246528684165,1560.1006143383015,5,False,5,,0.0
JOENSUU Jasmi,Jasmi Joensuu,1675,Finland,True,True,False,6626,1673.0728071613737,1553.0516175267717,1545.720989824424,1357.5795152650162,1692.238239619609,1602.1232593766133,1643.5323830972286,1658.296144457501,1531.8487004197734,6,False,6,1.0,0.0
Frida Karlsson,Frida Karlsson,3998,Sweden,False,True,False,6379,1651.162411373489,1698.3215405066023,1654.5540379300044,1539.2353638508105,1474.946480114358,1460.2332225733887,1438.227071254185,1649.3668677974836,1512.575454405367,6,False,6,,0.0
FAEHNDRICH Nadine,Nadine Fähndrich,1590,Switzerland,True,True,False,5956,1546.2369558214084,1419.6841132789352,1471.3403543852394,1338.025593157353,1714.6037989564486,1609.502709333649,1696.0345744538438,1597.888019435997,1464.294668048798,6,True,11,1.0,0.0
Kerttu Niskanen,Kerttu Niskanen,37,Finland,False,True,True,5377,1627.9419097805378,1668.4995318036315,1652.0069670437863,1534.9466454794208,1414.097061089846,1397.4275772374106,1404.514519941846,1600.2071694900071,1523.0898368092037,6,False,6,,0.0
RIBOM Emma,Emma Ribom,1844,Sweden,True,True,False,4606,1711.553418771778,1643.2278901436205,1496.3104436929752,1535.0316709997203,1638.188371283234,1554.6755851146902,1613.4632964286277,1576.6928199240754,1652.412879653239,6,False,6,1.0,0.0
DRIVENES Julie Bjervig,Julie Bjervig Drivenes,3357,Norway,True,True,False,3728,1635.4469970533337,1591.204622798556,1461.0383778743235,1454.009670552741,1402.212682651492,1351.993165257789,1393.6473360442965,1491.536230374457,1515.8191061112864,6,False,6,1.0,0.0
MATINTALO Johanna,Johanna Matintalo,1761,Finland,True,True,False,3721,1660.5486807416316,1637.3155020898855,1565.16047087268,1404.1393081310434,1488.821585704995,1549.1354602265849,1281.4895330100123,1626.8835053071064,1423.815252763713,6,False,6,1.0,0.0
Astrid Øyre Slind,Astrid Øyre Slind,115,Norway,False,True,True,3542,1741.3499215362615,1769.2123023811953,1602.473566336953,1612.9885201215016,1376.0582204979246,1326.3660044387236,1386.324066662548,1612.456940699071,1631.0448224075196,6,False,6,0.0,0.0
RYDZEK Coletta,Coletta Rydzek,3254,Germany,True,True,False,3502,1524.7947510778745,1370.5238547456945,1384.0517173714416,1277.949364395228,1652.1654009922909,1518.9402967088909,1659.0559051570924,1479.8079223761904,1505.7877704854102,6,False,6,1.0,0.0
Karoline Simpson-Larsen,Karoline Simpson-Larsen,2300,Norway,False,True,True,3306,1567.5468948807911,1652.8717476565612,1445.0339023543563,1543.6244254306175,1208.878388790244,1258.3346286724236,1197.0028430146513,1398.8831839210657,1507.1790991094497,6,False,6,0.0,0.0
Pia Fink,Pia Fink,4004,Germany,False,True,False,3256,1624.9743845322903,1641.9710524730413,1511.2842853768489,1555.548153061032,1409.5247586095702,1320.3884437488507,1442.254947811457,1498.8136919623992,1593.2104531672092,6,False,6,,0.0
Kristine Stavås Skistad,Kristine Stavås Skistad,3207,Norway,False,True,False,3136,1433.7193028605236,1170.1566838306371,1207.885180142846,1230.528184787434,1706.078861127342,1596.9897608572555,1664.6428263535636,1398.3673728570436,1493.1329655222444,6,False,6,,0.0
SVAHN Linn,Linn Svahn,3190,Sweden,True,True,False,3088,1659.8741990216831,1545.57268674915,1502.3865505791928,1446.125716179264,1675.2156871757104,1589.3881213610125,1623.4138173907718,1610.1925998927195,1576.4386210893315,6,False,6,1.0,0.0
HAGSTROEM Johanna,Johanna Hagström,3212,Sweden,True,True,False,2817,1502.726744900501,1284.1018942357862,1319.5831189670955,1217.6591463489292,1715.5296508185725,1637.102732910112,1656.2140788906345,1536.4037887222803,1446.265660374308,6,False,6,1.0,0.0
Moa Lundgren,Moa Lundgren,3211,Sweden,False,True,False,2298,1607.228326388908,1511.8471367602715,1422.3617047656364,1392.452378537496,1572.1945014434218,1491.1908960716826,1551.7749547757498,1508.4949015660468,1522.6038575295815,6,False,6,,0.0
HENNIG DOTZLER Katharina,Katharina Hennig Dotzler,1618,Germany,True,True,False,2209,1513.1221869725882,1569.9992601931754,1614.8312926799986,1427.6499741112364,1393.8350758136469,1398.864623164766,1331.237553929367,1541.7183878485366,1405.4404643384316,6,False,6,1.0,0.0
Krista Pärmäkoski,Krista Pärmäkoski,13,Finland,False,True,False,2207,1513.355097742586,1536.63593174894,1480.9161013914647,1523.4286537445057,1419.9654248525374,1422.8872480123512,1401.888241148834,1466.4989907190377,1522.5430561471862,6,False,6,,0.0
GIMMLER Laura,Laura Gimmler,1495,Germany,True,True,False,2107,1592.724641935191,1426.4944440111844,1419.7520207817718,1292.998123761228,1612.6234179765777,1568.607551629237,1552.4911193977116,1549.5731485604094,1494.9589615160871,6,False,6,1.0,0.0
Kristin Austgulen Fosnæs,Kristin Austgulen Fosnæs,4268,Norway,False,True,False,2067,1628.2166402241362,1622.34228259891,1482.8864626361433,1538.9729287349476,1395.9176374727986,1308.1932852249329,1421.6151088758902,1490.8186572866005,1582.7334895904933,6,False,6,,0.0
Stina Nilsson,Stina Nilsson,572,Sweden,False,True,False,1853,1663.2062052274648,1552.207338077888,1486.0492556699628,1424.7039026318064,1741.2112421828042,1638.4887575753455,1694.47008208475,1587.1526747113176,1594.9798861022234,6,False,6,,0.0
