FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob
KLAEBO Johannes Hoesflot,Johannes Høsflot Klæbo,5164,Norway,True,True,False,18045,1932.9814686504435,1863.967342021,1738.1999267143406,1683.3884534572685,1846.402203371571,1736.1475205910865,1788.7754635773165,1825.276664785879,1792.0235868294203,7,False,7,1.0,0.0
Federico Pellegrino,Federico Pellegrino,44,Italy,False,True,True,11210,1788.277372983704,1711.7897558604636,1603.6428036071034,1541.053320940764,1718.215132210444,1575.1605532323738,1749.404659025171,1645.223690552577,1685.3988739728943,6,False,6,,0.0
Harald Østberg Amundsen,Harald Østberg Amundsen,5449,Norway,False,True,True,10196,1879.235524379387,1851.7819851092856,1669.1127514731295,1724.364610053383,1707.2456672232008,1601.421455817024,1653.577504597899,1715.4034061961604,1787.857069179274,7,False,7,0.0,0.0
ANGER Edvin,Edvin Anger,14039,Sweden,True,True,False,9128,1662.8226970065148,1592.689841506559,1608.8226480911665,1426.5669782888046,1703.647270487538,1569.1774849716132,1719.6223537445155,1655.139194750408,1529.0578171133368,6,False,6,1.0,0.0
VALNES Erik,Erik Valnes,5923,Norway,True,True,False,7840,1705.239665638146,1628.336955168989,1602.903942854779,1397.5256730562974,1757.8359328133272,1692.7041107544458,1696.9494913824408,1678.9467990397409,1598.7428085261447,7,False,7,1.0,0.0
Lars Heggen,Lars Heggen,19104,Norway,False,True,False,7814,1730.353815667265,1611.3508478445044,1451.6346319719728,1453.8490718899016,1602.348489896669,1466.0074334477963,1591.7738641019814,1547.1086199909284,1607.7286388476446,7,False,7,,0.0
Mattis Stenshagen,Mattis Stenshagen,5165,Norway,False,True,True,7361,1797.6486048568056,1790.5703266094692,1598.2399908050184,1624.9635666973727,1493.558942728046,1506.475644764059,1353.5882248250157,1634.1113998924875,1643.646289749914,7,False,7,0.0,0.0
Martin Løwstrøm Nyenget,Martin Løwstrøm Nyenget,2295,Norway,False,True,False,6811,1806.6266251581003,1816.0725027263024,1669.920067655631,1678.7240156409405,1365.4041376758485,1398.6325696761858,1339.090340730988,1679.2435942361762,1690.648855396228,7,False,7,,0.0
SCHUMACHER Gus,Gus Schumacher,9172,USA,True,False,False,6574,1746.5334479956357,1705.6722044667713,1567.0203906592603,1579.501916876966,1593.796122486721,1452.784671194551,1613.1373432232526,1583.9599225982515,1671.4644377821007,6,False,6,1.0,0.0
Pål Golberg,Pål Golberg,88,Norway,False,True,False,5570,1655.3979536524662,1669.6785910717458,1588.6922155909324,1636.0159594813756,1582.8211218196293,1558.779711888579,1594.7768498568423,1598.901358310985,1651.357104147442,7,False,7,,0.0
Iivo Niskanen,Iivo Niskanen,1470,Finland,False,True,False,5410,1651.8773034652263,1701.834521315003,1686.4914030911568,1526.6203211796876,1323.7367121376124,1407.2931252549768,1260.9560482717068,1677.1686751420891,1475.1825742150468,6,False,6,,0.0
Emil Iversen,Emil Iversen,1467,Norway,False,True,True,5366,1727.834375362817,1760.0472930623052,1571.8213329212429,1617.695628386638,1394.7266471120508,1374.5309768335749,1396.6762850943885,1541.0640765628568,1628.2763429126594,7,False,7,0.0,0.0
Mika Vermeulen,Mika Vermeulen,12673,Austria,False,True,True,4902,1669.1056335208657,1680.657359028501,1569.2178473717229,1576.0603600463958,1327.8980234164876,1281.194251466272,1321.5297921459564,1574.175072227217,1564.6254519443178,5,False,5,,0.0
Elia Barp,Elia Barp,14042,Italy,False,True,True,4586,1693.1724041081784,1683.3068388238146,1520.780462011669,1554.8826840045856,1428.2602067706928,1418.604887796337,1361.9981860853056,1560.0374311340163,1561.2689556653274,6,False,6,,0.0
Hugo Lapalus,Hugo Lapalus,6018,France,False,True,True,4553,1622.1790886653707,1711.5564650099348,1633.8996898652724,1608.9702355201528,1199.7227994605646,1194.6477216346104,1214.3718280513704,1530.0610587439637,1559.304020211832,6,False,6,,0.0
OGDEN Ben,Ben Ogden,9179,USA,True,False,False,4225,1624.04723159755,1528.7418629336182,1444.5977101447197,1461.9722533487025,1705.9136258227516,1586.5174837446905,1696.9801856300055,1536.9690484613482,1609.1466029395722,6,False,6,1.0,0.0
Andreas Fjorden Ree,Andreas Fjorden Ree,8678,Norway,False,True,True,4045,1623.4088274423057,1699.6415774963475,1553.2850632072657,1604.049734869615,1262.7798026293676,1264.3965989936182,1263.958464495854,1501.595060020623,1576.7044887722936,7,False,7,0.0,0.0
