Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Leg,Age,Exp,Pelo,Elo
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,1,Nina Gavriljuk,Russia,366,2000,8,1965-04-13 00:00:00.000000,0,34.704996577686515,154,1300.0,1358.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,2,Anita Moen,Norway,368,2000,8,1967-08-31 00:00:00.000000,0,32.323066392881586,130,1300.0,1356.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,3,Svetlana Nagejkina,Russia,286,2000,8,1965-02-02 00:00:00.000000,0,34.89664613278576,161,1300.0,1353.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,4,Marit Roaldseth,Norway,347,2000,8,1977-07-27 00:00:00.000000,0,22.417522245037645,13,1300.0,1350.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,5,Bente Skari,Norway,373,2000,8,1972-09-10 00:00:00.000000,0,27.293634496919918,108,1300.0,1348.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,6,Olga Danilova,Russia,406,2000,8,1970-06-10 00:00:00.000000,0,29.546885694729635,117,1300.0,1345.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,7,Guri Knotten Hetland,Norway,429,2000,8,1974-07-20 00:00:00.000000,0,25.437371663244353,44,1300.0,1342.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,8,Hilde Gjermundshaug Pedersen,Norway,238,2000,8,1964-11-08 00:00:00.000000,0,35.13210130047912,23,1300.0,1340.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,9,Gabriella Paruzzi,Italy,289,2000,8,1969-06-21 00:00:00.000000,0,30.5160848733744,173,1300.0,1337.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,10,Anfisa Reztsova,Russia,622,2000,8,1964-12-16 00:00:00.000000,0,35.0280629705681,60,1300.0,1334.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,11,Julija Tchepalova,Russia,212,2000,8,1976-12-23 00:00:00.000000,0,23.00889801505818,74,1300.0,1332.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,12,Manuela Henkel,Germany,182,2000,8,1974-12-04 00:00:00.000000,0,25.062286105407257,69,1300.0,1329.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,13,Irina Skladneva Lusina,Russia,413,2000,8,1974-02-04 00:00:00.000000,0,25.89185489390828,36,1300.0,1326.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,14,Tina Bay,Norway,380,2000,8,1973-05-30 00:00:00.000000,0,26.576317590691307,32,1300.0,1324.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,15,Maj Helen Nymoen Sorkmo,Norway,369,2000,8,1969-08-14 00:00:00.000000,0,30.368240930869266,101,1300.0,1321.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,16,Evi Sachenbacher-Stehle,Germany,61,2000,8,1980-11-27 00:00:00.000000,0,19.080082135523615,14,1300.0,1318.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,17,Andrea Huber,Switzerland,362,2000,8,1975-05-09 00:00:00.000000,0,24.635181382614647,58,1300.0,1316.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,18,Viola Bauer,Germany,251,2000,8,1976-12-13 00:00:00.000000,0,23.0362765229295,9,1300.0,1313.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,19,Isabel Klaus,Germany,334,2000,8,1978-04-27 00:00:00.000000,0,21.66735112936345,2,1300.0,1310.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,20,Irina Taranenko Terelia,Ukraine,384,2000,8,1966-03-31 00:00:00.000000,0,33.74127310061601,126,1300.0,1308.0
