Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Leg,Age,Exp,Pelo,Elo
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,1,Stefania Belmondo,Italy,391,1996,12,1969-01-13 00:00:00.000000,0,27.055441478439423,117,1300.0,1345.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,1,Manuela Di Centa,Italy,1123,1996,12,1963-01-31 00:00:00.000000,0,33.007529089664615,129,1300.0,1345.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,2,Trude Dybendahl Hartz,Norway,630,1996,12,1966-01-08 00:00:00.000000,0,30.069815195071868,125,1300.0,1340.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,2,Anita Moen,Norway,368,1996,12,1967-08-31 00:00:00.000000,0,28.427104722792606,65,1300.0,1340.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,3,Elena Välbe,Russia,1108,1996,12,1968-04-20 00:00:00.000000,0,27.789185489390828,131,1300.0,1335.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,3,Olga Korneeva Savialova,Russia,77,1996,12,1972-08-24 00:00:00.000000,0,23.444216290212182,49,1300.0,1335.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,4,Larissa Lazutina,Russia,417,1996,12,1965-06-01 00:00:00.000000,0,30.67488021902806,120,1300.0,1330.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,4,Svetlana Nagejkina,Russia,286,1996,12,1965-02-02 00:00:00.000000,0,31.000684462696782,97,1300.0,1330.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,5,Manuela Henkel,Germany,182,1996,12,1974-12-04 00:00:00.000000,0,21.166324435318273,18,1300.0,1325.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,5,Anke Reschwamm Schulze,Germany,308,1996,12,1972-12-08 00:00:00.000000,0,23.15400410677618,42,1300.0,1325.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,6,Sylvia Honegger,Switzerland,1037,1996,12,1968-04-26 00:00:00.000000,0,27.772758384668034,101,1300.0,1320.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,6,Brigitte Albrecht-Loretan,Switzerland,395,1996,12,1970-10-06 00:00:00.000000,0,25.32785763175907,75,1300.0,1320.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,7,Annick Vaxelaire-Pierrel,France,372,1996,12,1974-07-19 00:00:00.000000,0,21.544147843942504,20,1300.0,1315.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,7,Sophie Villeneuve,France,1018,1996,12,1969-11-06 00:00:00.000000,0,26.24229979466119,86,1300.0,1315.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,8,Fumiko Aoki,Japan,614,1996,12,1966-11-22 00:00:00.000000,0,29.199178644763858,61,1300.0,1310.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,8,Kumiko Yokoyama,Japan,1023,1996,12,1972-04-07 00:00:00.000000,0,23.824777549623544,18,1300.0,1310.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,9,Annika Evaldsson,Sweden,615,1996,12,1970-05-14 00:00:00.000000,0,25.724845995893222,44,1300.0,1305.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,9,Sara Hugg,Sweden,1139,1996,12,1973-01-01 00:00:00.000000,0,23.08829568788501,17,1300.0,1305.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,10,Kati Pulkkinen,Finland,1129,1996,12,1975-04-06 00:00:00.000000,0,20.829568788501028,14,1300.0,1300.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,10,Tuulikki Pyykkönen,Finland,1124,1996,12,1963-11-25 00:00:00.000000,0,32.19164955509925,103,1300.0,1300.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,11,Cecilie Mjøen,Norway,1265,1996,12,1972-08-30 00:00:00.000000,0,23.42778918548939,18,1300.0,1295.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,11,Bente Skari,Norway,373,1996,12,1972-09-10 00:00:00.000000,0,23.397672826830938,35,1300.0,1295.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,12,Guidina Dal Sasso,Italy,1168,1996,12,1958-01-16 00:00:00.000000,0,38.04791238877481,98,1300.0,1290.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,12,Gabriella Paruzzi,Italy,289,1996,12,1969-06-21 00:00:00.000000,0,26.62012320328542,99,1300.0,1290.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,13,Anita Olsen Katnosa,Norway,335,1996,12,1973-01-21 00:00:00.000000,0,23.033538672142367,10,1300.0,1285.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,13,Maj Helen Nymoen Sorkmo,Norway,369,1996,12,1969-08-14 00:00:00.000000,0,26.472279260780287,37,1300.0,1285.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,14,Barbara Giacomuzzi,Italy,1248,1996,12,1974-01-01 00:00:00.000000,0,22.088980150581794,8,1300.0,1280.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,14,Cristina Paluselli,Italy,310,1996,12,1973-10-23 00:00:00.000000,0,22.28062970568104,32,1300.0,1280.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,15,Bernadeta Bocek-Piotrowska,Poland,1111,1996,12,1970-03-11 00:00:00.000000,0,25.900068446269678,48,1300.0,1275.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,15,Dorota Kwasna,Poland,426,1996,12,1972-09-11 00:00:00.000000,0,23.394934976043807,52,1300.0,1275.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,16,Anu Kittilä,Finland,1106,1996,12,1975-01-01 00:00:00.000000,0,21.089664613278575,5,1300.0,1270.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,16,Kati Venäläinen-Sundqvist,Finland,265,1996,12,1975-02-15 00:00:00.000000,0,20.96646132785763,7,1300.0,1270.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,17,Alzbeta Havrancikova,Slovakia,1020,1996,12,1963-09-27 00:00:00.000000,0,32.35318275154004,138,1300.0,1265.0
1996-02-03,Seefeld in Tirol,Austria,L,Ts,World Cup,0,F,17,Lubomira Balazova Ilanovska,Slovakia,1151,1996,12,1968-08-13 00:00:00.000000,0,27.474332648870636,72,1300.0,1265.0
