Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Leg,Age,Exp,Pelo,Elo
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,1,Fulvio Valbusa,Italy,348,1996,12,1969-02-15T00:00:00.000000,1,26.965092402464066,64,1300.0,1355.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,1,Silvio Fauner,Italy,420,1996,12,1968-11-01T00:00:00.000000,2,27.255304585900067,105,1300.0,1355.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,2,Torgny Mogren,Sweden,590,1996,12,1963-07-26T00:00:00.000000,2,32.525667351129364,169,1300.0,1350.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,2,Niklas Jonsson,Sweden,481,1996,12,1969-05-31T00:00:00.000000,1,26.677618069815196,72,1300.0,1350.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,3,Jari Isometsä,Finland,413,1996,12,1968-09-11T00:00:00.000000,2,27.394934976043807,92,1300.0,1345.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,3,Mika Myllylä,Finland,511,1996,12,1969-09-12T00:00:00.000000,1,26.392881587953458,79,1300.0,1345.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,4,Achim Walcher,Austria,488,1996,12,1967-12-01T00:00:00.000000,2,28.175222450376452,15,1300.0,1340.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,4,Christian Hoffmann,Austria,255,1996,12,1974-12-22T00:00:00.000000,1,21.117043121149898,8,1300.0,1340.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,5,Bjørn Dæhlie,Norway,550,1996,12,1967-06-19T00:00:00.000000,2,28.62696783025325,126,1300.0,1335.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,5,Anders Eide,Norway,526,1996,12,1971-03-07T00:00:00.000000,1,24.91170431211499,26,1300.0,1335.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,6,Mikhail Botvinov,Austria,319,1996,12,1967-11-17T00:00:00.000000,1,28.213552361396303,107,1300.0,1330.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,6,Alexei Prokourorov,Russia,482,1996,12,1964-03-25T00:00:00.000000,2,31.860369609856264,138,1300.0,1330.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,7,Janko Neuber,Germany,513,1996,12,1971-06-25T00:00:00.000000,2,24.61054072553046,39,1300.0,1325.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,7,Peter Schlickenrieder,Germany,474,1996,12,1970-02-16T00:00:00.000000,1,25.963039014373717,47,1300.0,1325.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,8,Egil Kristiansen,Norway,527,1996,12,1966-01-18T00:00:00.000000,2,30.042436687200546,35,1300.0,1320.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,8,Vegard Ulvang,Norway,608,1996,12,1963-10-10T00:00:00.000000,1,32.31759069130732,161,1300.0,1320.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,9,Markus Gandler,Austria,532,1996,12,1966-08-20T00:00:00.000000,1,29.456536618754278,91,1300.0,1315.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,9,Alois Stadlober,Austria,548,1996,12,1962-04-11T00:00:00.000000,2,33.81519507186858,117,1300.0,1315.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,10,Mathias Fredriksson,Sweden,85,1996,12,1973-02-11T00:00:00.000000,1,22.976043805612594,38,1300.0,1310.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,10,Anders Bergström,Sweden,549,1996,12,1968-09-04T00:00:00.000000,2,27.41409993155373,57,1300.0,1310.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,11,Sergei Tchepikov,Russia,578,1996,12,1967-01-30T00:00:00.000000,2,29.010266940451746,15,1300.0,1305.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,11,Vladimir Legotine,Russia,452,1996,12,1970-04-25T00:00:00.000000,1,25.776865160848732,49,1300.0,1305.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,12,Vincent Vittoz,France,30,1996,12,1975-07-17T00:00:00.000000,1,20.550308008213552,4,1300.0,1300.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,12,Philippe Sanchez,France,613,1996,12,1969-09-26T00:00:00.000000,2,26.354551676933607,55,1300.0,1300.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,13,Fabio Maj,Italy,445,1996,12,1970-06-16T00:00:00.000000,1,25.634496919917865,51,1300.0,1295.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,13,Giorgio Di Centa,Italy,20,1996,12,1972-10-07T00:00:00.000000,2,23.32375085557837,11,1300.0,1295.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,14,Sture Sivertsen,Norway,570,1996,12,1966-04-16T00:00:00.000000,1,29.801505817932924,84,1300.0,1290.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,14,Frode Estil,Norway,296,1996,12,1972-05-31T00:00:00.000000,2,23.67693360711841,7,1300.0,1290.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,15,Vaclav Korunka,Czechia,573,1996,12,1965-12-25T00:00:00.000000,2,30.10814510609172,93,1300.0,1285.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,15,Lubos Buchta,Czechia,580,1996,12,1967-05-16T00:00:00.000000,1,28.720054757015742,88,1300.0,1285.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,16,Andreas Schlütter,Germany,349,1996,12,1972-08-17T00:00:00.000000,1,23.463381245722108,36,1300.0,1280.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,16,Rene Sommerfeldt,Germany,159,1996,12,1974-10-02T00:00:00.000000,2,21.338809034907598,5,1300.0,1280.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,17,Ari Palolahti,Finland,380,1996,12,1968-09-09T00:00:00.000000,2,27.40041067761807,6,1300.0,1275.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,17,Sami Repo,Finland,402,1996,12,1971-11-08T00:00:00.000000,1,24.23819301848049,38,1300.0,1275.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,18,Håkan Nordbäck,Sweden,530,1996,12,1969-01-01T00:00:00.000000,1,27.088295687885008,19,1300.0,1270.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,18,Daniel Gideonsson,Sweden,571,1996,12,1973-01-01T00:00:00.000000,2,23.08829568788501,11,1300.0,1270.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,19,Maurizio Pozzi,Italy,506,1996,12,1970-06-25T00:00:00.000000,2,25.609856262833674,26,1300.0,1265.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,19,Roberto De Zolt Ponte,Italy,403,1996,12,1970-01-23T00:00:00.000000,1,26.028747433264886,20,1300.0,1265.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,20,Ivan Hudac,Slovakia,621,1996,12,1971-08-10T00:00:00.000000,2,24.484599589322382,27,1300.0,1260.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,20,Ivan Batory,Slovakia,142,1996,12,1975-05-03T00:00:00.000000,1,20.75564681724846,28,1300.0,1260.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,21,Wilhelm Aschwanden,Switzerland,405,1996,12,1969-12-18T00:00:00.000000,1,26.12731006160164,33,1300.0,1255.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,21,Hans Diethelm,Switzerland,614,1996,12,1967-07-18T00:00:00.000000,2,28.54757015742642,73,1300.0,1255.0
1996-02-03,Seefeld in Tirol,Austria,M,Ts,World Cup,0,F,22,Norbert Ganner,Austria,3022,1996,12,1966-07-11T00:00:00.000000,2,29.56605065023956,9,1300.0,1250.0
