Team_Name,Nation,Team_Rank,Race_Date,City,Country,Distance,Technique,Is_Present,Race1_Prob,Team_Points,TeamMembers,Total_Elo,Avg_Elo,Total_Distance_Elo,Avg_Distance_Elo,Total_Distance_F_Elo,Avg_Distance_F_Elo,Total_Distance_C_Elo,Avg_Distance_C_Elo,Total_Sprint_Elo,Avg_Sprint_Elo,Total_Sprint_C_Elo,Avg_Sprint_C_Elo,Total_Sprint_F_Elo,Avg_Sprint_F_Elo,Total_Classic_Elo,Avg_Classic_Elo,Total_Freestyle_Elo,Avg_Freestyle_Elo,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_F_Elo,Member_1_Distance_C_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_1,Member_1_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_F_Elo,Member_2_Distance_C_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo,Member_2,Member_2_ID,Member_3_Elo,Member_3_Distance_Elo,Member_3_Distance_F_Elo,Member_3_Distance_C_Elo,Member_3_Sprint_Elo,Member_3_Sprint_C_Elo,Member_3_Sprint_F_Elo,Member_3_Classic_Elo,Member_3_Freestyle_Elo,Member_3,Member_3_ID,Member_4_Elo,Member_4_Distance_Elo,Member_4_Distance_F_Elo,Member_4_Distance_C_Elo,Member_4_Sprint_Elo,Member_4_Sprint_C_Elo,Member_4_Sprint_F_Elo,Member_4_Classic_Elo,Member_4_Freestyle_Elo,Member_4,Member_4_ID,MemberIDs
Australia,Australia,0,02/14/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Rosie Fordham,Phoebe Cridland,Ellen Søhol Lie,Tuva Bygrave",4678.765350456351,1169.6913376140878,4736.209857625639,1184.0524644064099,4934.481332106183,1233.6203330265457,4921.307385072424,1230.326846268106,4951.1982385341325,1237.7995596335331,4936.503763109905,1234.1259407774762,5023.1589518944165,1255.7897379736041,4818.60792598785,1204.6519814969624,4848.103098953536,1212.025774738384,1227.6234119233254,1225.1094548656197,1256.5058035283237,1232.6835951665416,1273.4865869492578,1242.574866305937,1269.2325555906796,1233.775450612089,1248.3880408288546,Rosie Fordham,6450,1164.2920655127557,1171.727056817783,1227.048729310678,1222.4703815346563,1247.686774093774,1231.3407744782749,1282.6096165322292,1190.3298146237555,1219.7655582959153,Phoebe Cridland,5184,1161.6091322725435,1195.0169691509388,1256.4035421143142,1219.5304094619034,1213.7921586066666,1234.3913149678874,1232.6042818351225,1190.546989301735,1211.8583101395188,Ellen Søhol Lie,6627,1125.2407407477262,1144.3563767912974,1194.5232571528672,1246.6229989093224,1216.232718884434,1228.1968073578057,1238.7124979363848,1203.9556714502708,1168.0911896892462,Tuva Bygrave,6448,"6450,5184,6627,6448"
Austria,Austria,0,02/14/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Teresa Stadlober,Magdalena Scherz,Lisa Achleitner,Katharina Brudermann",5523.014843137449,1380.7537107843623,5511.473683619561,1377.8684209048902,5374.168091871083,1343.5420229677707,5382.284063551467,1345.5710158878667,5109.206769391425,1277.3016923478563,5061.913314194048,1265.478328548512,5115.49852396043,1278.8746309901076,5380.426814744029,1345.1067036860072,5391.998257815143,1347.9995644537858,1636.9461184217682,1685.1444674259942,1525.9103356389944,1632.073864251371,1232.2979609541758,1247.556694862228,1219.485118398963,1586.7897728600055,1486.724003297314,Teresa Stadlober,529,1339.6893924479675,1275.66762333794,1276.7311013592237,1234.601187428449,1363.315946592037,1298.3799863129625,1373.067136266937,1298.5232207797967,1340.3490957257768,Magdalena Scherz,6707,1284.346276338414,1283.276318990114,1283.7311013592237,1234.601187428449,1243.9623774115403,1242.574866305937,1240.462938899013,1226.8962281995523,1282.1292956850189,Lisa Achleitner,3255,1262.0330559292993,1267.385273865512,1287.7955535136407,1281.0078244431982,1269.630484433672,1273.401766712921,1282.4833303955168,1268.2175929046746,1282.7958631070337,Katharina Brudermann,5040,"529,6707,3255,5040"
Canada,Canada,0,02/14/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Kathrine Stewart-Jones,Liliane Gagnon,Sonjaa Schmidt,Katherine Weaver",5316.641460081228,1329.160365020307,5246.937460287187,1311.7343650717967,5277.208106321364,1319.302026580341,5173.382799516821,1293.3456998792053,5176.748529692983,1294.1871324232457,5020.703518400108,1255.175879600027,5219.013318209642,1304.7533295524106,5113.901802710708,1278.475450677677,5325.6545536241465,1331.4136384060366,1367.427834733729,1409.3759119125646,1377.699738653709,1376.1321310568442,1213.9372624609068,1210.0633690591665,1229.2182081196804,1334.9191979024467,1350.4714336695324,Kathrine Stewart-Jones,1676,1366.606598420946,1326.788638326313,1321.5212880909291,1265.7289686485951,1343.0112144975944,1266.7168774775632,1358.578752779708,1261.617847294401,1367.049677099227,Liliane Gagnon,7427,1300.1773346610132,1268.454330659339,1303.663207973161,1258.8489528637174,1323.0555981167056,1255.345138997408,1348.5196991365904,1236.0950562353385,1339.001649693524,Sonjaa Schmidt,7874,1282.4296922655394,1242.3185793889702,1274.3238716035646,1272.6727469476646,1296.7444546177758,1288.5781328659707,1282.6966581736635,1281.2697012785218,1269.131793161863,Katherine Weaver,4251,"1676,7427,7874,4251"
Czechia,Czechia,0,02/14/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Katerina Janatova,Tereza Beranova,Barbora Antosova,Anna Marie Jaklova",5596.110912579263,1399.0277281448157,5241.901878231671,1310.4754695579177,5243.001732311458,1310.7504330778645,5158.217290308041,1289.5543225770102,5621.451455621008,1405.362863905252,5399.997076485133,1349.9992691212833,5575.240385256159,1393.8100963140398,5453.31221285222,1363.328053213055,5502.385749924869,1375.5964374812172,1585.4452019171736,1535.214434159734,1471.114640038728,1410.378510241579,1533.4439059150022,1364.3893507128157,1584.0097657782417,1430.9706391571126,1587.6290163053204,Katerina Janatova,3198,1401.8702342639283,1213.9762790759437,1253.0414284556634,1221.5939000131036,1450.7987273229735,1431.6729218126898,1398.5383896219375,1373.9472379624942,1354.3846293455929,Tereza Beranova,3618,1339.8199846219177,1220.2955903420338,1241.11862928866,1234.601187428449,1343.672351242333,1361.359937653691,1300.7816636019772,1357.1423430353414,1290.8184223295775,Barbora Antosova,6633,1268.9754917762425,1272.415574653959,1277.7270345284062,1291.643692624909,1293.5364711406994,1242.574866305937,1291.9105662540032,1291.2519926972716,1269.5536819443778,Anna Marie Jaklova,10190,"3198,3618,6633,10190"
Estonia,Estonia,0,02/14/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Mariel Merlii Pulles,Kaidy Kaasiku,Keidy Kaasiku,Teiloora Ojaste",5216.406160058095,1304.1015400145238,5091.35803774247,1272.8395094356174,5070.543760942941,1267.6359402357352,5086.02182340173,1271.5054558504326,5178.638092626903,1294.6595231567258,5036.635624007521,1259.1589060018803,5174.748534200636,1293.687133550159,5056.421857063546,1264.1054642658864,5154.406800922238,1288.6017002305596,1369.2899052199448,1281.0396244984622,1297.0341829245128,1274.4875743488071,1388.1652053182522,1281.8213426067025,1398.4663557031456,1270.0137968706906,1377.383274482154,Mariel Merlii Pulles,1969,1303.3595296903643,1300.92759479342,1261.399053279472,1295.9180196751406,1274.6884710463523,1260.7300326751886,1272.7330395587742,1291.7695900931458,1265.9654496520168,Kaidy Kaasiku,4943,1276.4303441396012,1289.0952281085538,1270.991895450296,1281.0150419493336,1248.0849626495444,1251.509382419693,1245.650262979099,1267.7422419001566,1248.5275496707225,Keidy Kaasiku,4942,1267.326381008185,1220.2955903420338,1241.11862928866,1234.601187428449,1267.6994536127545,1242.574866305937,1257.8988759596173,1226.8962281995523,1262.5305271173445,Teiloora Ojaste,1970,"1969,4943,4942,1970"
Finland,Finland,0,02/14/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Jasmi Joensuu,Krista Pärmäkoski,Kerttu Niskanen,Johanna Matintalo",6464.187584780947,1616.0468961952367,6378.297462853663,1594.5743657134158,5740.988678912032,1435.247169728008,6249.100746717903,1562.2751866794758,6004.40562732517,1501.1014068312925,5909.486756181736,1477.371689045434,5767.010733078389,1441.7526832695974,6309.457838335097,1577.3644595837743,6002.575440103896,1500.643860025974,1645.3356626985849,1475.653779300454,1325.167377424111,1462.4480238570106,1634.8709611128877,1530.001470704097,1608.4629388562355,1560.9893928588128,1572.3498088868546,Jasmi Joensuu,1675,1642.8234187754197,1654.4095850462757,1521.1036918841992,1595.5207057997184,1455.608928162277,1454.2922474707664,1432.8020745643903,1582.8808091862488,1539.4482757707558,Krista Pärmäkoski,13,1637.5111351091534,1731.3575684408283,1564.1021892890274,1677.7566204638258,1446.9121164137864,1435.8847086292913,1415.8329263386404,1626.7456308369674,1537.8695877668886,Kerttu Niskanen,37,1538.5173681977883,1516.8765300661055,1330.6154203146948,1513.3753965973483,1467.0136216362189,1489.3083293775817,1309.9127933191232,1538.842005453068,1352.9077676793968,Johanna Matintalo,1761,"1675,13,37,1761"
France,France,0,02/14/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Flora Dolci,Delphine Claudel,Lena Quintin,Melissa Gal",5709.577215677408,1427.394303919352,5488.95191005733,1372.2379775143324,5513.413786726103,1378.3534466815258,5132.263522644482,1283.0658806611204,5328.777840611172,1332.194460152793,5103.859338580471,1275.9648346451177,5380.756255098221,1345.1890637745553,5215.460269264664,1303.865067316166,5715.11547469165,1428.7788686729125,1502.835592763728,1537.7620686234538,1525.7786936962111,1279.1186892068376,1218.199407057691,1258.6969485590428,1207.2076724687006,1279.8526959842632,1488.4731276912603,Flora Dolci,2483,1472.4511631213247,1485.5844774717184,1498.5657029263955,1368.1187673487998,1284.2846955140749,1203.8367744916811,1315.6268361253565,1363.6250551984265,1479.215205955168,Delphine Claudel,1694,1402.349270584028,1204.0971465010955,1218.521435855838,1230.087324939389,1467.7763510462362,1345.3064853985904,1496.735298570131,1299.8380863639768,1413.6320604999748,Lena Quintin,3252,1331.9411892083274,1261.5082174610625,1270.5479542476587,1254.938741149455,1358.517386993169,1296.0191301311563,1361.186447934033,1272.1444317179976,1333.7950805452474,Melissa Gal,4034,"2483,1694,3252,4034"
Germany,Germany,0,02/14/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Katharina Hennig,Coletta Rydzek,Pia Fink,Laura Gimmler",6314.90270932384,1578.72567733096,5973.469204734061,1493.3673011835153,5550.589999417242,1387.6474998543106,5850.814602320846,1462.7036505802114,6006.193900980511,1501.5484752451277,5813.476939097805,1453.3692347744513,5797.219083371196,1449.304770842799,6066.229366168698,1516.5573415421745,6003.95401008055,1500.9885025201374,1613.0255052800417,1647.260323238091,1490.516095359814,1640.560460994484,1427.628595420035,1439.261909231578,1316.616874856501,1603.568005883328,1484.5551658602012,Katharina Hennig,1618,1583.5566776113717,1347.449821478123,1286.4691517090514,1329.1385102022148,1607.8228296870557,1487.1229749567983,1587.8302093949062,1453.6395420461934,1551.7246385483156,Coletta Rydzek,3254,1561.0216475490683,1561.8431546893487,1483.6296056095473,1461.3077975986955,1392.060938512918,1323.678260604871,1390.5476877137316,1462.9620894108473,1506.4610584719917,Pia Fink,4004,1557.2988788833588,1416.9159053284989,1289.9751467388294,1419.807833525451,1578.681537360502,1563.4137943045578,1502.2243114060568,1546.0597288283293,1461.2131472000417,Laura Gimmler,1495,"1618,3254,4004,1495"
Italy,Italy,0,02/14/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Caterina Ganz,Federica Cassol,Nicole Monsorno,Anna Comarella",5602.612794672885,1400.6531986682212,5307.512268358673,1326.8780670896683,5161.434970962167,1290.3587427405419,5303.393689858361,1325.8484224645902,5497.646029224014,1374.4115073060034,5384.003247050386,1346.0008117625964,5402.7040914681165,1350.6760228670291,5450.170601540011,1362.5426503850028,5392.750269212824,1348.187567303206,1463.404973456827,1448.5091482273326,1345.8888504430893,1426.80799177711,1398.280433173036,1398.2149205083654,1352.8594057113062,1455.9722689118632,1377.7128568743487,Caterina Ganz,1721,1409.983125928853,1276.1289633557376,1280.3573551887057,1284.30464840248,1438.7782983254397,1341.4496326715232,1439.5172768111224,1320.2648149083966,1399.3779450571767,Federica Cassol,9082,1380.249000397362,1220.5484583399632,1244.2194899194235,1251.9411251472045,1457.2310435937902,1414.98042329986,1406.7402673366842,1350.3112503858056,1341.2248211240726,Nicole Monsorno,6631,1348.9756948898428,1362.32569843564,1290.9692754109496,1340.339924531566,1203.356254131748,1229.358270570637,1203.5871416090042,1323.622267333946,1274.4346461572263,Anna Comarella,1724,"1721,9082,6631,1724"
Kazakhstan,Kazakhstan,0,02/14/2026,Milano Cortina,Italy,Rel,,True,1.0,,"Yelizaveta Tolmachyova,Laura Kinybaeyeva,Darya Ryazhko,Angelina Shuryga",4758.630101275276,1189.657525318819,4815.127221700981,1203.7818054252452,4938.876059679306,1234.7190149198266,4836.4957630024865,1209.1239407506216,4955.611084365157,1238.9027710912892,5022.418029744074,1255.6045074360186,4939.811303378641,1234.9528258446603,4892.3460185624135,1223.0865046406034,4846.378247179307,1211.5945617948269,1251.336236744444,1270.9447940758753,1272.165536975628,1234.601187428449,1276.1874705591056,1264.779986312962,1240.462938899013,1273.0232207797967,1268.779239125569,Yelizaveta Tolmachyova,9324,1228.6988243339445,1272.0317505976143,1273.165536975628,1234.601187428449,1249.489288455139,1259.9799863129622,1268.591940945686,1269.3803636369396,1245.9307077547692,Laura Kinybaeyeva,6958,1142.8157281308231,1128.9371432255475,1207.1633968786027,1177.9845960075495,1219.000965569347,1222.946868064027,1228.8582475955932,1155.60738519329,1181.87112878901,Darya Ryazhko,3468,1135.7793120660638,1143.2135338019443,1186.3815888494476,1189.3087921380386,1210.9333597815648,1274.7111890541232,1201.898175938349,1194.3350489523875,1149.7971715099595,Angelina Shuryga,1509,"9324,6958,3468,1509"
