Team_Name,Nation,Team_Rank,Race_Date,City,Country,Distance,Technique,Is_Present,Race1_Prob,Team_Points,TeamMembers,Total_Elo,Avg_Elo,Total_Distance_Elo,Avg_Distance_Elo,Total_Distance_F_Elo,Avg_Distance_F_Elo,Total_Distance_C_Elo,Avg_Distance_C_Elo,Total_Sprint_Elo,Avg_Sprint_Elo,Total_Sprint_C_Elo,Avg_Sprint_C_Elo,Total_Sprint_F_Elo,Avg_Sprint_F_Elo,Total_Classic_Elo,Avg_Classic_Elo,Total_Freestyle_Elo,Avg_Freestyle_Elo,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_F_Elo,Member_1_Distance_C_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_1,Member_1_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_F_Elo,Member_2_Distance_C_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo,Member_2,Member_2_ID,MemberIDs
Argentina,Argentina,0,02/18/2026,Milano Cortina,Italy,Ts,F,True,1.0,,"Mateo Lorenzo Sauma,Franco Dal Farra",2353.28982596277,1176.644912981385,2359.986184644095,1179.9930923220475,2448.00781666197,1224.003908330985,2392.580148375985,1196.2900741879926,2434.44335016171,1217.221675080855,2443.30462998922,1221.65231499461,2482.87125588479,1241.435627942395,2360.68442352932,1180.34221176466,2442.7714686322197,1221.3857343161098,1217.66467702666,1215.405095959045,1236.18311689105,1237.069180954545,1227.39471826301,1227.70564345687,1271.79758759362,1233.78290696619,1269.31369762484,Mateo Lorenzo Sauma,14069,1135.62514893611,1144.58108868505,1211.82469977092,1155.51096742144,1207.0486318987,1215.59898653235,1211.07366829117,1126.90151656313,1173.45777100738,Franco Dal Farra,8039,"14069,8039"
Australia,Australia,0,02/18/2026,Milano Cortina,Italy,Ts,F,True,1.0,,"Lars Young Vik,Hugo Hinckfuss",2429.32569249182,1214.66284624591,2337.73981636703,1168.869908183515,2444.7144995297103,1222.3572497648552,2379.1135585476,1189.5567792738,2600.02188250881,1300.010941254405,2547.89327025787,1273.946635128935,2613.36414557847,1306.682072789235,2375.43648524992,1187.71824262496,2504.72716509913,1252.363582549565,1233.86585923566,1130.65730628648,1174.5519328236,1189.64882396442,1349.30435316256,1283.31965090398,1355.24372839583,1199.03633361645,1264.66134631936,Lars Young Vik,12386,1195.45983325616,1207.08251008055,1270.16256670611,1189.46473458318,1250.71752934625,1264.57361935389,1258.12041718264,1176.40015163347,1240.06581877977,Hugo Hinckfuss,12412,"12386,12412"
Austria,Austria,0,02/18/2026,Milano Cortina,Italy,Ts,F,True,1.0,,"Mika Vermeulen,Benjamin Moser",3150.33237746244,1575.16618873122,2989.2447100859,1494.62235504295,2863.86135771981,1431.930678859905,2809.50636703886,1404.75318351943,2846.80453212038,1423.40226606019,2775.41284915746,1387.70642457873,2794.37877808792,1397.18938904396,2974.2827194659803,1487.1413597329902,3003.54887848803,1501.774439244015,1703.64984023712,1739.81813832105,1602.07142320842,1562.70469722252,1329.51705297624,1286.67756748487,1314.50422461473,1580.21110436779,1579.39142230478,Mika Vermeulen,12673,1446.68253722532,1249.42657176485,1261.78993451139,1246.80166981634,1517.28747914414,1488.73528167259,1479.87455347319,1394.07161509819,1424.15745618325,Benjamin Moser,5989,"12673,5989"
Bulgaria,Bulgaria,0,02/18/2026,Milano Cortina,Italy,Ts,F,True,1.0,,"Mario Matikanov,Daniel Peshkov",2350.8774493443098,1175.4387246721549,2396.83036966245,1198.415184831225,2471.7133933345303,1235.8566966672652,2498.29093476664,1249.14546738332,2458.98255327473,1229.491276637365,2424.23067129407,1212.115335647035,2532.26297780842,1266.13148890421,2376.62606057017,1188.313030285085,2446.69096949619,1223.345484748095,1197.2546431379,1221.05323242652,1283.89671396019,1234.2960209346,1250.57415372118,1210.26848053505,1308.94044473648,1176.3718586513,1285.65203639592,Mario Matikanov,16167,1153.62280620641,1175.77713723593,1187.81667937434,1263.99491383204,1208.40839955355,1213.96219075902,1223.32253307194,1200.25420191887,1161.03893310027,Daniel Peshkov,17082,"16167,17082"
Canada,Canada,0,02/18/2026,Milano Cortina,Italy,Ts,F,True,1.0,,"Antoine Cyr,Olivier Leveille",2930.64730891075,1465.323654455375,2977.03116701935,1488.515583509675,2780.8424397417402,1390.4212198708701,2885.98149927225,1442.990749636125,2622.38050648739,1311.190253243695,2633.47109083164,1316.73554541582,2581.6075265483,1290.80376327415,2846.64442529013,1423.322212645065,2773.8844750441003,1386.9422375220502,1485.09552382467,1528.16273039364,1409.84952643793,1519.54704097678,1388.7663712786,1409.39010911492,1331.87076452194,1494.15167372896,1395.33588373415,Antoine Cyr,9225,1445.55178508608,1448.86843662571,1370.99291330381,1366.43445829547,1233.61413520879,1224.08098171672,1249.73676202636,1352.49275156117,1378.54859130995,Olivier Leveille,14108,"9225,14108"
China,China,0,02/18/2026,Milano Cortina,Italy,Ts,F,True,1.0,,"Qiang Wang,Minglin Li",2555.91517161394,1277.95758580697,2419.60088092347,1209.800440461735,2502.95444888568,1251.47722444284,2391.939825783155,1195.9699128915775,2738.4311840103,1369.21559200515,2618.53017308143,1309.265086540715,2713.81494596413,1356.907472982065,2498.58222153878,1249.29111076939,2606.0126060050698,1303.0063030025349,1338.33783534578,1148.62392745076,1232.21058927465,1154.87064482861,1491.10565046874,1384.86366878414,1478.33066343167,1274.21192101888,1395.74019983482,Qiang Wang,11198,1217.57733626816,1270.97695347271,1270.74385961103,1237.069180954545,1247.32553354156,1233.66650429729,1235.48428253246,1224.3703005199,1210.27240617025,Minglin Li,18931,"11198,18931"
Czechia,Czechia,0,02/18/2026,Milano Cortina,Italy,Ts,F,True,1.0,,"Michal Novak,Ondrej Cerny",3121.24312365884,1560.62156182942,2823.613862128665,1411.8069310643325,2748.54723982535,1374.273619912675,2725.940474768475,1362.9702373842374,3096.07483511813,1548.037417559065,2902.2354611605797,1451.1177305802898,3085.8805472222402,1542.9402736111201,2936.28724610437,1468.143623052185,3045.9227226642297,1522.9613613321148,1614.62073110088,1608.20876616962,1512.3641229343,1488.87129381393,1553.39557520299,1407.46026567589,1579.41036406413,1481.53584364813,1581.79872092074,Michal Novak,3655,1506.62239255796,1215.405095959045,1236.18311689105,1237.069180954545,1542.67925991514,1494.77519548469,1506.47018315811,1454.75140245624,1464.12400174349,Ondrej Cerny,8094,"3655,8094"
Estonia,Estonia,0,02/18/2026,Milano Cortina,Italy,Ts,F,True,1.0,,"Karl Sebastian Dremljuga,Alvar Johannes Alev",2693.56129478722,1346.78064739361,2677.8972374198447,1338.9486187099224,2585.5292906193,1292.76464530965,2633.026984426585,1316.5134922132925,2482.1876080862103,1241.0938040431051,2466.38684547239,1233.193422736195,2487.69954921269,1243.849774606345,2621.60051904963,1310.800259524815,2619.10127006956,1309.55063503478,1278.52588209484,1215.405095959045,1236.18311689105,1237.069180954545,1301.10988882853,1215.65000654525,1342.61534727288,1213.78326465112,1323.74963380922,Karl Sebastian Dremljuga,12667,1415.03541269238,1462.4921414608,1349.34617372825,1395.95780347204,1181.07771925768,1250.73683892714,1145.08420193981,1407.81725439851,1295.35163626034,Alvar Johannes Alev,1996,"12667,1996"
Finland,Finland,0,02/18/2026,Milano Cortina,Italy,Ts,F,True,1.0,,"Lauri Vuorinen,Iivo Niskanen",3250.39228776857,1625.196143884285,3120.9620789632,1560.4810394816,2830.2302934621603,1415.1151467310801,3079.47034721026,1539.73517360513,3067.86479186073,1533.932395930365,3006.8502971666003,1503.4251485833001,2977.9092956508703,1488.9546478254351,3146.12774680286,1573.06387340143,3096.0762711634497,1548.0381355817249,1556.29770035404,1398.4401172897,1299.03536824821,1401.30325115212,1664.25234694731,1594.7239372685,1627.91705350045,1489.69003464476,1552.7339202166,Lauri Vuorinen,2874,1694.09458741453,1722.5219616735,1531.19492521395,1678.16709605814,1403.61244491342,1412.1263598981,1349.99224215042,1656.4377121581,1543.34235094685,Iivo Niskanen,1470,"2874,1470"
France,France,0,02/18/2026,Milano Cortina,Italy,Ts,F,True,1.0,,"Lucas Chanavat,Hugo Lapalus",3309.12998539328,1654.56499269664,2842.5137509258,1421.2568754629,2795.65968216155,1397.829841080775,2774.79997408913,1387.399987044565,2959.6371872178,1479.8185936089,2805.6959176517703,1402.8479588258851,2972.6285605429202,1486.3142802714601,3034.79806895575,1517.399034477875,3211.84942960729,1605.924714803645,1608.01893174061,1092.69137885662,1178.66082373914,1140.38519310158,1753.82200063257,1601.9058332924,1760.56573637786,1447.43817701011,1628.40184761391,Lucas Chanavat,3582,1701.11105365267,1749.82237206918,1616.99885842241,1634.41478098755,1205.81518658523,1203.79008435937,1212.06282416506,1587.35989194564,1583.44758199338,Hugo Lapalus,6018,"3582,6018"
