FIS_Name,Skier,Nation,Team_Name,Team_Position,Race_Type
Agustina Groetzner,Agustina Groetzner,Argentina,Argentina,1,Team Sprint
Nahiara Diaz Gonzalez,Nahiara Diaz Gonzalez,Argentina,Argentina,2,Team Sprint
Rosie Fordham,Rosie Fordham,Australia,Australia,1,Team Sprint
Phoebe Cridland,Phoebe Cridland,Australia,Australia,2,Team Sprint
Teresa Stadlober,Teresa Stadlober,Austria,Austria,1,Team Sprint
Magdalena Scherz,Magdalena Scherz,Austria,Austria,2,Team Sprint
Bruna Moura,Bruna Moura,Brazil,Brazil,1,Team Sprint
Eduarda Ribera,Eduarda Ribera,Brazil,Brazil,2,Team Sprint
Alison Mackie,Alison Mackie,Canada,Canada,1,Team Sprint
Kathrine Stewart-Jones,Kathrine Stewart-Jones,Canada,Canada,2,Team Sprint
Chunxue Chi,Chunxue Chi,China,China,1,Team Sprint
Yundi Wang,Yundi Wang,China,China,2,Team Sprint
Ema Sobol,Ema Sobol,Croatia,Croatia,1,Team Sprint
Tena Hadzic,Tena Hadzic,Croatia,Croatia,2,Team Sprint
Katerina Janatova,Katerina Janatova,Czechia,Czechia,1,Team Sprint
Barbora Antosova,Barbora Antosova,Czechia,Czechia,2,Team Sprint
Mariel Merlii Pulles,Mariel Merlii Pulles,Estonia,Estonia,1,Team Sprint
Keidy Kaasiku,Keidy Kaasiku,Estonia,Estonia,2,Team Sprint
Jasmi Joensuu,Jasmi Joensuu,Finland,Finland,1,Team Sprint
Kerttu Niskanen,Kerttu Niskanen,Finland,Finland,2,Team Sprint
Delphine Claudel,Delphine Claudel,France,France,1,Team Sprint
Leonie Perry,Leonie Perry,France,France,2,Team Sprint
Pia Fink,Pia Fink,Germany,Germany,1,Team Sprint
Helen Hoffmann,Helen Hoffmann,Germany,Germany,2,Team Sprint
Konstantina Charalampidou,Konstantina Charalampidou,Greece,Greece,1,Team Sprint
Nefeli Tita,Nefeli Tita,Greece,Greece,2,Team Sprint
Larissza Vanda Bere,Larissza Vanda Bere,Hungary,Hungary,1,Team Sprint
Sara Ponya,Sara Ponya,Hungary,Hungary,2,Team Sprint
Caterina Ganz,Caterina Ganz,Italy,Italy,1,Team Sprint
Federica Cassol,Federica Cassol,Italy,Italy,2,Team Sprint
Kseniya Shalygina,Kseniya Shalygina,Kazakhstan,Kazakhstan,1,Team Sprint
Anna Melnik,Anna Melnik,Kazakhstan,Kazakhstan,2,Team Sprint
Patricijia Eiduka,Patricijia Eiduka,Latvia,Latvia,1,Team Sprint
Linda Kaparkaleja,Linda Kaparkaleja,Latvia,Latvia,2,Team Sprint
Ieva Dainyte,Ieva Dainyte,Lithuania,Lithuania,1,Team Sprint
Egle Savickaite,Egle Savickaite,Lithuania,Lithuania,2,Team Sprint
Astrid Øyre Slind,Astrid Øyre Slind,Norway,Norway,1,Team Sprint
Heidi Weng,Heidi Weng,Norway,Norway,2,Team Sprint
Eliza Rucka-Michalek,Eliza Rucka-Michalek,Poland,Poland,1,Team Sprint
Izabela Marcisz,Izabela Marcisz,Poland,Poland,2,Team Sprint
Anja Mandeljc,Anja Mandeljc,Slovenia,Slovenia,1,Team Sprint
Tia Janezic,Tia Janezic,Slovenia,Slovenia,2,Team Sprint
Eui Jin Lee,Eui Jin Lee,South Korea,South Korea,1,Team Sprint
Da-Som Han,Da-Som Han,South Korea,South Korea,2,Team Sprint
Jonna Sundling,Jonna Sundling,Sweden,Sweden,1,Team Sprint
Maja Dahlqvist,Maja Dahlqvist,Sweden,Sweden,2,Team Sprint
Anja Weber,Anja Weber,Switzerland,Switzerland,1,Team Sprint
Nadine Fähndrich,Nadine Fähndrich,Switzerland,Switzerland,2,Team Sprint
Jessie Diggins,Jessie Diggins,USA,USA,1,Team Sprint
Julia Kern,Julia Kern,USA,USA,2,Team Sprint
Daryna Mihal,Daryna Mihal,Ukraine,Ukraine,1,Team Sprint
Yelizaveta Nopriienko,Yelizaveta Nopriienko,Ukraine,Ukraine,2,Team Sprint
