FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Sex,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
RIBOM Emma,Emma Ribom,SWE,True,4262,SWEDEN I,1,54:45.3,2-2,F,Mixed Relay,1580.915216027738,1534.0558551377414,1475.3180019314302,1451.9157299633684,1581.246601757436,1539.5605015511794,1539.34409620335,1536.8888524155532,1547.5926705531729,1844.0,3/15/25,Engadin,Switzerland
ILAR Moa,Moa Ilar,SWE,True,1972,SWEDEN I,1,54:45.3,2-4,F,Mixed Relay,1573.8919437371374,1554.110680777492,1506.143093677199,1464.7065673980585,1434.1583079889883,1328.2046670359737,1441.7381470366618,1508.8771776360256,1513.7692091540844,1866.0,3/15/25,Engadin,Switzerland
SANNESS Nora,Nora Sanness,NOR,True,2316,NORWAY I,2,55:04.8,1-2,F,Mixed Relay,1515.5625720177425,1528.8299486126,1393.2215491973136,1457.4853900417934,1257.5715964484823,1275.0017667129212,1263.9136332016046,1369.352735459639,1477.5050555793864,6324.0,3/15/25,Engadin,Switzerland
FOSNAES Kristin Austgulen,Kristin Austgulen Fosnæs,NOR,True,3728,NORWAY I,2,55:04.8,1-4,F,Mixed Relay,1564.5954594109496,1564.7510695211863,1452.9122514197977,1449.1306026853686,1361.06556160814,1308.7818497711228,1369.9182123602309,1442.8695972463447,1491.5165936456024,4268.0,3/15/25,Engadin,Switzerland
WEBER Anja,Anja Weber,SUI,True,382,SWITZERLAND I,3,55:18.3,7-2,F,Mixed Relay,1438.558389899073,1326.4392235172384,1304.9725272011997,1293.2753021032092,1466.307115974976,1376.2983554626578,1457.4827489816355,1372.6722376998823,1407.8502675817442,6338.0,3/15/25,Engadin,Switzerland
FAEHNDRICH Nadine,Nadine Fähndrich,SUI,True,3169,SWITZERLAND I,3,55:18.3,7-4,F,Mixed Relay,1601.1419082511209,1458.706214423618,1432.4212269906775,1406.2054917600824,1684.7575949555442,1597.440479823672,1643.5168507645435,1560.7035439488702,1547.9109913012724,1590.0,3/15/25,Engadin,Switzerland
HARVIKEN Johanne Hauge,Johanne Hauge Harviken,NOR,True,218,NORWAY II,4,55:18.8,17-2,F,Mixed Relay,1343.7400062654594,1310.869467291095,1291.8043868055609,1318.7483123314073,1337.9433383072544,1242.5695877224869,1353.5711581639418,1292.3453518895724,1357.6786307837808,2345.0,3/15/25,Engadin,Switzerland
KALVAA Anne Kjersti,Anne Kjersti Kalvå,NOR,True,738,NORWAY II,4,55:18.8,17-4,F,Mixed Relay,1585.50348501345,1578.0630459831727,1466.805888929512,1536.140038112634,1470.410873602013,1375.4180068647115,1476.2872261228306,1474.8457445340816,1581.5072099282695,1498.0,3/15/25,Engadin,Switzerland
JOENSUU Jasmi,Jasmi Joensuu,FIN,True,3353,FINLAND I,5,55:24.1,3-2,F,Mixed Relay,1637.3625784548467,1472.032138761716,1479.97481589437,1327.2963480543349,1632.6822086545117,1530.001470704097,1610.704769825934,1574.4592779062325,1561.894800477431,1675.0,3/15/25,Engadin,Switzerland
RYYTTY Vilma,Vilma Ryytty,FIN,True,218,FINLAND I,5,55:24.1,3-4,F,Mixed Relay,1302.771739577773,1307.6048755608272,1235.3491045593953,1323.742296067178,1259.248562948216,1242.5695877224869,1244.8402713645758,1242.636010144685,1315.1326943988097,6607.0,3/15/25,Engadin,Switzerland
STEWART-JONES Katherine,Kathrine Stewart-Jones,CAN,True,497,CANADA I,6,55:30.0,9-2,F,Mixed Relay,1393.4035038106915,1409.8649234202296,1385.5431180569387,1385.0582791481202,1225.9971469090756,1210.0633690591665,1249.122910654549,1334.573738978071,1395.7450614936945,1676.0,3/15/25,Engadin,Switzerland
GAGNON Liliane,Liliane Gagnon,CAN,True,274,CANADA I,6,55:30.0,9-4,F,Mixed Relay,1372.0193940978677,1317.7666198418362,1258.6127286036683,1319.6808588188994,1353.721135600236,1266.7168774775632,1387.8383612578612,1253.1724862872957,1387.4256319735684,7427.0,3/15/25,Engadin,Switzerland
KAELIN Nadja,Nadja Kälin,SUI,True,372,SWITZERLAND II,7,55:35.6,19-2,F,Mixed Relay,1416.5577737235126,1419.8844519444488,1355.1569657460566,1333.193549211991,1259.196356170086,1269.665130095562,1257.193325594446,1340.8822591861297,1341.8561728315426,6639.0,3/15/25,Engadin,Switzerland
KAELIN Marina,Marina Kälin,SUI,True,222,SWITZERLAND II,7,55:35.6,19-4,F,Mixed Relay,1378.797514148733,1356.0340865464386,1331.2666939620224,1331.696937614047,1344.2595413545905,1298.865155547364,1356.1436523908983,1331.0750510731616,1367.2628274005788,7433.0,3/15/25,Engadin,Switzerland
STADLOBER Teresa,Teresa Stadlober,AUT,True,6311,AUSTRIA I,8,55:57.1,8-2,F,Mixed Relay,1625.1763703921563,1669.3358366263783,1639.0838813458754,1529.557289101108,1230.6118626642246,1247.556694862228,1210.4920919227534,1587.0898514626133,1495.550085894185,529.0,3/15/25,Engadin,Switzerland
BRUDERMANN Katharina,Katharina Brudermann,AUT,True,232,AUSTRIA I,8,55:57.1,8-4,F,Mixed Relay,1263.724191387965,1270.1907585309068,1276.146391640756,1286.4165742197372,1263.97547650744,1273.401766712921,1275.9136332016046,1263.4815215125636,1279.7241170780164,5040.0,3/15/25,Engadin,Switzerland
SAUERBREY Katherine,Katherine Sauerbrey,GER,True,365,GERMANY I,9,56:23.7,4-2,F,Mixed Relay,1417.53299006505,1422.0297730175234,1434.7839181469492,1301.6747322404108,1255.6179626738303,1290.7369917482747,1226.4891837047187,1426.6117944486307,1287.5386023345206,1727.0,3/15/25,Engadin,Switzerland
DIETZE Anna-Maria,Anna-Maria Dietze,GER,True,217,GERMANY I,9,56:23.7,4-4,F,Mixed Relay,1319.112689835063,1311.144937683422,1292.1613978997177,1307.1733333036166,1306.1102691079975,1273.95481360515,1336.588828637327,1271.6843559315205,1343.0218147591988,3214.0,3/15/25,Engadin,Switzerland
