FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Sex,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
BURMAN Jens,Jens Burman,SWE,True,0,SWEDEN I,1,54:45.3,1,M,Mixed Relay,1508.473460906533,1544.976779751642,1542.970278749294,1487.1220153019915,1195.5355317801434,1254.907668961517,1179.9896570704748,1521.1608458823298,1451.1907097604392,2811,06/04/2025,Engadin,Switzerland
RIBOM Emma,Emma Ribom,SWE,True,0,SWEDEN I,1,54:45.3,2,F,Mixed Relay,1602.0382703330022,1557.3426302427004,1488.968141597198,1457.375083491544,1592.698293744022,1539.5605015511794,1553.2837997909842,1548.8017306397817,1557.1757052889095,1844,06/04/2025,Engadin,Switzerland
ANGER Edvin,Edvin Anger,SWE,True,0,SWEDEN I,1,54:45.3,3,M,Mixed Relay,1709.164302379127,1618.8143063655414,1507.9056065338357,1477.6733562315972,1729.6896071206306,1591.7355747946044,1704.715564089009,1597.5730222122595,1669.195123052786,14039,06/04/2025,Engadin,Switzerland
ILAR Moa,Moa Ilar,SWE,True,0,SWEDEN I,1,54:45.3,4,F,Mixed Relay,1589.5354701601905,1589.884880940698,1510.2875754723586,1482.853379853073,1440.017628506617,1328.2046670359737,1445.0302888654885,1517.6548141173653,1522.4665598496415,1866,06/04/2025,Engadin,Switzerland
HALFVARSSON Calle,Calle Halfvarsson,SWE,True,0,SWEDEN II,10,56:28.8,1,M,Mixed Relay,1580.7502572073,1583.7095760059296,1534.3671976113208,1487.0284086706404,1527.958608319694,1585.356256201486,1457.387216626384,1571.830619308102,1500.4992436332975,73,06/04/2025,Engadin,Switzerland
LUNDGREN Moa,Moa Lundgren,SWE,True,0,SWEDEN II,10,56:28.8,2,F,Mixed Relay,1483.4719624618003,1359.957594210185,1330.34676175369,1317.7753492678485,1530.0032635510263,1469.6680641516068,1496.1169420991455,1430.0686929047358,1441.086610915777,3211,06/04/2025,Engadin,Switzerland
BERGLUND Gustaf,Gustaf Berglund,SWE,True,0,SWEDEN II,10,56:28.8,3,M,Mixed Relay,1471.3281618781568,1459.973197367636,1329.5692842722146,1439.7995573916216,1341.7083817146215,1300.0382785979684,1346.8753408682592,1346.1863304771964,1470.0550001138397,12178,06/04/2025,Engadin,Switzerland
DAHLQVIST Maja,Maja Dahlqvist,SWE,True,0,SWEDEN II,10,56:28.8,4,F,Mixed Relay,1630.4084007369172,1418.6631611235002,1328.9505934446086,1415.0055090030703,1704.208238803556,1589.2694415893798,1688.4343743156408,1498.1855011504126,1628.2859910619345,1673,06/04/2025,Engadin,Switzerland
DROLET Remi,Remi Drolet,CAN,True,0,CANADA II,11,56:29.2,1,M,Mixed Relay,1266.4074818209908,1283.956055371821,1269.8438139270606,1275.0114498195026,1225.6189288048877,1236.8317105030596,1224.1771804310567,1244.1166576378598,1256.443001907002,8051,06/04/2025,Engadin,Switzerland
MACKIE Alison,Alison Mackie,CAN,True,0,CANADA II,11,56:29.2,2,F,Mixed Relay,1275.185494434121,1275.825972920416,1297.5396291658342,1268.9929671344426,1292.2131833814683,1293.2785361586114,1291.5846110286411,1294.9330327705345,1267.4823937870574,10185,06/04/2025,Engadin,Switzerland
