Team_Name,Nation,Team_Rank,Race_Date,City,Country,Price,Is_Present,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Team_API_ID,Member_2,Member_2_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_C_Elo,Member_2_Distance_F_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo,Member_4,Member_4_ID,Member_4_Elo,Member_4_Distance_Elo,Member_4_Distance_C_Elo,Member_4_Distance_F_Elo,Member_4_Sprint_Elo,Member_4_Sprint_C_Elo,Member_4_Sprint_F_Elo,Member_4_Classic_Elo,Member_4_Freestyle_Elo
SWEDEN I,SWEDEN,1,3/15/25,Engadin,Switzerland,25117,True,Mixed Relay,3154.8071597648755,3088.1665359152335,2981.461095608629,2916.6222973614267,3015.4049097464244,2867.7651685871533,2981.082243240012,3045.766030051579,3061.3618797072572,3505793,Emma Ribom,1844,1580.915216027738,1534.0558551377414,1475.3180019314302,1451.9157299633684,1581.246601757436,1539.5605015511794,1539.34409620335,1536.8888524155532,1547.5926705531729,Moa Ilar,1866.0,1573.8919437371374,1554.110680777492,1506.143093677199,1464.7065673980585,1434.1583079889883,1328.2046670359737,1441.7381470366618,1508.8771776360256,1513.7692091540844
NORWAY I,NORWAY,2,3/15/25,Engadin,Switzerland,18683,True,Mixed Relay,3080.158031428692,3093.5810181337865,2846.1338006171113,2906.615992727162,2618.637158056622,2583.7836164840437,2633.8318455618355,2812.2223327059837,2969.021649224989,3425825,Nora Sanness,6324,1515.5625720177425,1528.8299486126,1393.2215491973136,1457.4853900417934,1257.5715964484823,1275.0017667129212,1263.9136332016046,1369.352735459639,1477.5050555793864,Kristin Austgulen Fosnæs,4268.0,1564.5954594109496,1564.7510695211863,1452.9122514197977,1449.1306026853686,1361.06556160814,1308.7818497711228,1369.9182123602309,1442.8695972463447,1491.5165936456024
SWITZERLAND I,SWITZERLAND,3,3/15/25,Engadin,Switzerland,15563,True,Mixed Relay,3039.7002981501937,2785.145437940856,2737.393754191877,2699.4807938632916,3151.06471093052,2973.73883528633,3100.9995997461792,2933.3757816487523,2955.7612588830166,3515213,Anja Weber,6338,1438.558389899073,1326.4392235172384,1304.9725272011997,1293.2753021032092,1466.307115974976,1376.2983554626578,1457.4827489816355,1372.6722376998823,1407.8502675817442,Nadine Fähndrich,1590.0,1601.1419082511209,1458.706214423618,1432.4212269906775,1406.2054917600824,1684.7575949555442,1597.440479823672,1643.5168507645435,1560.7035439488702,1547.9109913012724
NORWAY II,NORWAY,4,3/15/25,Engadin,Switzerland,4499,True,Mixed Relay,2929.2434912789095,2888.932513274268,2758.6102757350727,2854.8883504440414,2808.354211909267,2617.987594587198,2829.8583842867724,2767.191096423654,2939.1858407120503,3425822,Johanne Hauge Harviken,2345,1343.7400062654594,1310.869467291095,1291.8043868055609,1318.7483123314073,1337.9433383072544,1242.5695877224869,1353.5711581639418,1292.3453518895724,1357.6786307837808,Anne Kjersti Kalvå,1498.0,1585.50348501345,1578.0630459831727,1466.805888929512,1536.140038112634,1470.410873602013,1375.4180068647115,1476.2872261228306,1474.8457445340816,1581.5072099282695
FINLAND I,FINLAND,5,3/15/25,Engadin,Switzerland,13782,True,Mixed Relay,2940.1343180326194,2779.637014322543,2715.3239204537654,2651.038644121513,2891.930771602728,2772.571058426584,2855.5450411905094,2817.0952880509176,2877.027494876241,3185375,Jasmi Joensuu,1675,1637.3625784548467,1472.032138761716,1479.97481589437,1327.2963480543349,1632.6822086545117,1530.001470704097,1610.704769825934,1574.4592779062325,1561.894800477431,Vilma Ryytty,6607.0,1302.771739577773,1307.6048755608272,1235.3491045593953,1323.742296067178,1259.248562948216,1242.5695877224869,1244.8402713645758,1242.636010144685,1315.1326943988097
CANADA I,CANADA,6,3/15/25,Engadin,Switzerland,6439,True,Mixed Relay,2765.422897908559,2727.631543262066,2644.155846660607,2704.73913796702,2579.7182825093114,2476.7802465367295,2636.96127191241,2587.746225265367,2783.170693467263,3105195,Kathrine Stewart-Jones,1676,1393.4035038106915,1409.8649234202296,1385.5431180569387,1385.0582791481202,1225.9971469090756,1210.0633690591665,1249.122910654549,1334.573738978071,1395.7450614936945,Liliane Gagnon,7427.0,1372.0193940978677,1317.7666198418362,1258.6127286036683,1319.6808588188994,1353.721135600236,1266.7168774775632,1387.8383612578612,1253.1724862872957,1387.4256319735684
SWITZERLAND II,SWITZERLAND,7,3/15/25,Engadin,Switzerland,3407,True,Mixed Relay,2795.3552878722458,2775.9185384908874,2686.423659708079,2664.890486826038,2603.4558975246764,2568.530285642926,2613.336977985344,2671.9573102592913,2709.1190002321214,3515214,Nadja Kälin,6639,1416.5577737235126,1419.8844519444488,1355.1569657460566,1333.193549211991,1259.196356170086,1269.665130095562,1257.193325594446,1340.8822591861297,1341.8561728315426,Marina Kälin,7433.0,1378.797514148733,1356.0340865464386,1331.2666939620224,1331.696937614047,1344.2595413545905,1298.865155547364,1356.1436523908983,1331.0750510731616,1367.2628274005788
AUSTRIA I,AUSTRIA,8,3/15/25,Engadin,Switzerland,1912,True,Mixed Relay,2888.9005617801213,2939.526595157285,2915.2302729866315,2815.9738633208453,2494.5873391716646,2520.958461575149,2486.405725124358,2850.571372975177,2775.2742029722012,3055176,Teresa Stadlober,529,1625.1763703921563,1669.3358366263783,1639.0838813458754,1529.557289101108,1230.6118626642246,1247.556694862228,1210.4920919227534,1587.0898514626133,1495.550085894185,Katharina Brudermann,5040.0,1263.724191387965,1270.1907585309068,1276.146391640756,1286.4165742197372,1263.97547650744,1273.401766712921,1275.9136332016046,1263.4815215125636,1279.7241170780164
GERMANY I,GERMANY,9,3/15/25,Engadin,Switzerland,15142,True,Mixed Relay,2736.645679900113,2733.1747107009455,2726.945316046667,2608.848065544027,2561.728231781828,2564.6918053534246,2563.0780123420454,2698.296150380151,2630.5604170937195,3205415,Katherine Sauerbrey,1727,1417.53299006505,1422.0297730175234,1434.7839181469492,1301.6747322404108,1255.6179626738303,1290.7369917482747,1226.4891837047187,1426.6117944486307,1287.5386023345206,Anna-Maria Dietze,3214.0,1319.112689835063,1311.144937683422,1292.1613978997177,1307.1733333036166,1306.1102691079975,1273.95481360515,1336.588828637327,1271.6843559315205,1343.0218147591988
SWEDEN II,SWEDEN,10,3/15/25,Engadin,Switzerland,5821,True,Mixed Relay,3082.4162441587296,2759.8446975697643,2658.763006987475,2727.951151148611,3234.3100745433753,3058.9375057409866,3187.15794030827,2936.421681773133,3045.099306482599,3505794,Moa Lundgren,3211,1465.40877334796,1354.1734439770855,1330.9690931895616,1316.8942089006107,1529.0501246919243,1469.6680641516068,1498.3429984246218,1431.4742860291913,1421.4279683780308,Maja Dahlqvist,1673.0,1617.0074708107693,1405.671253592679,1327.793913797913,1411.0569422480005,1705.259949851451,1589.2694415893798,1688.8149418836483,1504.947395743942,1623.671338104568
