FIS_Name,Skier,ID,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Date,City,Country,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo
Agustina Groetzner,Agustina Groetzner,7428,Argentina,False,0,ARGENTINA I,0,,,02/14/2026,Milano Cortina,Italy,1167.3213345859087,1221.874780008044,1223.300185451801,1226.2243321378753,1223.826316495548,1233.2079135994886,1284.9596040972528,1229.9642588699046,1203.4054351904488
Nahiara Diaz Gonzalez,Nahiara Diaz Gonzalez,10264,Argentina,False,0,ARGENTINA I,0,,,02/14/2026,Milano Cortina,Italy,1153.4226443478208,1184.1652608043912,1244.701163593136,1223.0901327111385,1225.6344374773464,1240.6947657319097,1270.183083330614,1201.670561668762,1196.4115577330645
Maira Sofia Fernandez Righi,Maira Sofia Fernandez Righi,10663,Argentina,False,0,ARGENTINA I,0,,,02/14/2026,Milano Cortina,Italy,1280.488509735322,1278.228669211598,1295.30586380296,1288.8392023583554,1298.4640659491174,1304.483499916747,1294.756195106802,1300.0605178270848,1280.999957734805
Victoria Richter Baratcabal,Victoria Richter Baratcabal,11137,Argentina,False,0,ARGENTINA I,0,,,02/14/2026,Milano Cortina,Italy,1283.6246794290662,1290.8031262859995,1298.9910796470422,1293.2282184773385,1295.6937445154406,1296.7559829192976,1299.7764791417485,1293.518381106344,1289.2631081054344
Rosie Fordham,Rosie Fordham,6450,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1320.361586124514,1320.5207599846506,1207.706667864772,1355.4967826808386,1281.9005313372709,1272.4597394611856,1279.1261210247844,1212.4337151065813,1386.3222410464307
Isabella Moon,Isabella Moon,11160,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1192.1739034258787,1208.1278679377044,1270.8657309883477,1240.773666403688,1278.2118514011097,1298.5788283900506,1269.585629927697,1272.7513886702498,1208.2965196773546
Maddi Hooker,Maddi Hooker,10268,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1099.548271187233,1150.9015812343075,1229.6674897985567,1199.753130685538,1172.8547970048764,1198.13651498477,1218.2240194304072,1157.0569223932575,1155.8338757840093
Tuva Bygrave,Tuva Bygrave,6448,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1068.0111137628076,1105.322000958491,1199.203473496253,1172.302205069634,1168.90507210448,1171.36845411245,1249.606710596819,1123.4818470013813,1157.4536441896255
Satara Moon,Satara Moon,11159,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1224.679994779834,1232.3190920658244,1269.5068057056112,1269.4273194544703,1292.2959188341938,1299.0422949422646,1294.0653926398577,1271.2510227103064,1250.184680826041
Rosie Franzke,Rosie Franzke,11158,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1288.391230040174,1294.7644464213531,1297.931955028536,1297.9160245628327,1294.4929772464068,1300.1788283900507,1294.0653926398577,1297.4384251462627,1293.5737142196208
