FIS_Name,Skier,ID,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Date,City,Country,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo
Franco Dal Farra,Franco Dal Farra,8039,Argentina,False,0,ARGENTINA I,0,,,02/14/2026,Milano Cortina,Italy,1140.7259347325185,1141.599859101082,1124.016914004771,1211.0036816839292,1164.3896262135652,1169.5794433486492,1187.575676788358,1096.2300877842729,1208.322569537689
Mateo Lorenzo Sauma,Mateo Lorenzo Sauma,14069,Argentina,False,0,ARGENTINA I,0,,,02/14/2026,Milano Cortina,Italy,1153.07596982114,1226.652438577017,1223.8681018997877,1257.559164312725,1220.2081615555128,1215.9529453995951,1284.7454622816035,1208.1316786504765,1227.5500755033609
Nahuel Exequiel Torres,Nahuel Exequiel Torres,19722,Argentina,False,0,ARGENTINA I,0,,,02/14/2026,Milano Cortina,Italy,1263.6120985574698,1197.0473540562573,1262.4891752218084,1241.9027513964904,1273.412400481807,1272.3638911605908,1177.725829998534,1270.6378284358163,1133.4534085791367
Marc Estevez,Marc Estevez,22605,Argentina,False,0,ARGENTINA I,0,,,02/14/2026,Milano Cortina,Italy,1286.0305653185246,1297.129732582792,1298.9084798244269,1298.3291950249957,1293.5310685612606,1296.957135453838,1296.3143629290612,1293.4795826785855,1294.1388967326257
Jayden Spring,Jayden Spring,19651,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1219.9040997071534,1257.8079522105809,1293.9115701498988,1269.8527966504082,1272.652499278239,1298.7027597190615,1277.2010356660207,1291.1192940314545,1234.578717851056
Philip Bellingham,Philip Bellingham,1951,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1074.0227522959217,1049.8071447895177,1116.543514388639,1089.6885810385,1193.3167599089634,1162.8056321173058,1247.0578367835903,1089.639577435535,1120.3414908517266
Vincent De Souza,Vincent De Souza,19649,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1052.3188156548013,1131.7731467708077,1230.2849175296974,1195.2806710628663,1195.566233224674,1241.2014853471003,1235.902373381517,1178.8805106131413,1125.5421781917196
Noah Bradford,Noah Bradford,19648,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1202.0567810900077,1233.279492885713,1288.219973532464,1253.3602058404076,1270.92833282238,1295.127653453308,1271.2711119652176,1281.8410369416383,1218.9175406899303
Seve De Campo,Seve De Campo,8036,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1150.0997753579468,1163.8154926145992,1133.635119491993,1192.4362906382753,1121.454669859081,1210.2261299814045,1096.9906936228963,1128.9312465597625,1180.490651805562
Adam Barnett,Adam Barnett,12411,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1031.390219851573,1068.1840621677743,1179.2530934815204,1163.7371381584517,1243.6635763714914,1283.0539464705528,1253.509117040166,1159.1968686092616,1103.6370936421265
Bentley Walker-Broose,Bentley Walker-Broose,9894,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1062.514189136061,1038.0502847937182,1130.9681695919269,1103.9087511909522,1212.2127079863308,1258.101801384827,1208.9331053384117,1121.6079620595392,1110.3722078283724
Samuel Johnson,Samuel Johnson,20609,Australia,False,0,AUSTRALIA I,0,,,02/14/2026,Milano Cortina,Italy,1238.6047421340347,1261.950312525554,1279.432512442531,1283.9692070703754,1287.9034513773463,1294.299920524455,1291.3475359396266,1272.7310613288644,1268.4972013831834
