FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Sex,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
RIBOM Emma,Emma Ribom,SWE,True,4250,SWEDEN I,1,54:45.3,2,Mixed Relay,F,1602.0382703330022,1557.3426302427004,1488.968141597198,1457.375083491544,1592.698293744022,1539.5605015511794,1553.2837997909842,1548.8017306397817,1557.1757052889095,1844,01/24/25,Engadin,Switzerland
ILAR Moa,Moa Ilar,SWE,True,2017,SWEDEN I,1,54:45.3,4,Mixed Relay,F,1589.5354701601905,1589.884880940698,1510.2875754723586,1482.853379853073,1440.017628506617,1328.2046670359737,1445.0302888654885,1517.6548141173653,1522.4665598496415,1866,01/24/25,Engadin,Switzerland
LUNDGREN Moa,Moa Lundgren,SWE,True,502,SWEDEN I,10,56:28.8,2,Mixed Relay,F,1483.4719624618003,1359.957594210185,1330.34676175369,1317.7753492678485,1530.0032635510263,1469.6680641516068,1496.1169420991455,1430.0686929047358,1441.086610915777,3211,01/24/25,Engadin,Switzerland
DAHLQVIST Maja,Maja Dahlqvist,SWE,True,5751,SWEDEN I,10,56:28.8,4,Mixed Relay,F,1630.4084007369172,1418.6631611235002,1328.9505934446086,1415.0055090030703,1704.208238803556,1589.2694415893798,1688.4343743156408,1498.1855011504126,1628.2859910619345,1673,01/24/25,Engadin,Switzerland
MACKIE Alison,Alison Mackie,CAN,True,225,CANADA I,11,56:29.2,2,Mixed Relay,F,1275.185494434121,1275.825972920416,1297.5396291658342,1268.9929671344426,1292.2131833814683,1293.2785361586114,1291.5846110286411,1294.9330327705345,1267.4823937870574,10185,01/24/25,Engadin,Switzerland
SCHMIDT Sonjaa,Sonjaa Schmidt,CAN,True,230,CANADA I,11,56:29.2,4,Mixed Relay,F,1300.1773346610132,1268.454330659339,1258.8489528637174,1303.663207973161,1323.0555981167056,1255.345138997408,1348.5196991365904,1236.0950562353385,1339.001649693524,7874,01/24/25,Engadin,Switzerland
JANATOVA Katerina,Katerina Janatova,CZE,True,2445,CZECH REPUBLIC I,12,56:29.8,2,Mixed Relay,F,1585.4452019171736,1535.214434159734,1410.378510241579,1471.114640038728,1533.4439059150022,1364.3893507128157,1584.0097657782417,1430.9706391571126,1587.6290163053204,3198,01/24/25,Engadin,Switzerland
HAVLICKOVA Barbora,Barbora Havlickova,CZE,True,232,CZECH REPUBLIC I,12,56:29.8,4,Mixed Relay,F,1218.2115162001844,1222.5661303059703,1265.067844800255,1209.8564135326076,1249.832470857769,1262.105581587998,1262.621987717732,1256.2116242369832,1194.7405659384528,3216,01/24/25,Engadin,Switzerland
DI CENTA Martina,Martina di Centa,ITA,True,215,ITALY I,13,56:44.5,2,Mixed Relay,F,1304.4339678955569,1299.4064364224355,1265.8508157682231,1270.9887582634328,1219.2640663866578,1249.6991248782165,1211.3824821378678,1268.0844150407504,1269.2292772087096,9084,01/24/25,Engadin,Switzerland
GISMONDI Maria,Maria Gismondi,ITA,True,230,ITALY I,13,56:44.5,4,Mixed Relay,F,1312.28260768507,1313.403634300886,1288.1301051336354,1308.0690046038642,1297.2076781939795,1242.574866305937,1296.592126930247,1289.367564071648,1309.5982382196714,10867,01/24/25,Engadin,Switzerland
KERN Julia,Julia Kern,USA,True,1824,UNITED STATES OF AMERICA I,14,57:10.6,2,Mixed Relay,F,1536.5313663164534,1416.3729039648829,1269.8954977145545,1402.981994562508,1583.0970491520593,1465.4273990583183,1582.9504952019,1375.863499139031,1550.7653912195462,1846,01/24/25,Engadin,Switzerland
LAUKLI Sophia,Sophia Laukli,USA,True,1773,UNITED STATES OF AMERICA I,14,57:10.6,4,Mixed Relay,F,1466.3237654364923,1495.1138334622106,1331.7181170197596,1493.388369257389,1177.2940136949046,1225.0510004400803,1184.9154325981765,1316.596094768416,1464.2654714039156,7369,01/24/25,Engadin,Switzerland
