FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Sex,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
BURMAN Jens,Jens Burman,SWE,True,858,SWEDEN I,1,54:45.3,1,Mixed Relay,M,1508.473460906533,1544.976779751642,1542.970278749294,1487.1220153019915,1195.5355317801434,1254.907668961517,1179.9896570704748,1521.1608458823298,1451.1907097604392,2811,01/24/25,Engadin,Switzerland
ANGER Edvin,Edvin Anger,SWE,True,7818,SWEDEN I,1,54:45.3,3,Mixed Relay,M,1709.164302379127,1618.8143063655414,1507.9056065338357,1477.6733562315972,1729.6896071206306,1591.7355747946044,1704.715564089009,1597.5730222122595,1669.195123052786,14039,01/24/25,Engadin,Switzerland
HALFVARSSON Calle,Calle Halfvarsson,SWE,True,1231,SWEDEN I,10,56:28.8,1,Mixed Relay,M,1580.7502572073,1583.7095760059296,1534.3671976113208,1487.0284086706404,1527.958608319694,1585.356256201486,1457.387216626384,1571.830619308102,1500.4992436332975,73,01/24/25,Engadin,Switzerland
BERGLUND Gustaf,Gustaf Berglund,SWE,True,384,SWEDEN I,10,56:28.8,3,Mixed Relay,M,1471.3281618781568,1459.973197367636,1329.5692842722146,1439.7995573916216,1341.7083817146215,1300.0382785979684,1346.8753408682592,1346.1863304771964,1470.0550001138397,12178,01/24/25,Engadin,Switzerland
DROLET Remi,Remi Drolet,CAN,True,224,CANADA I,11,56:29.2,1,Mixed Relay,M,1266.4074818209908,1283.956055371821,1269.8438139270606,1275.0114498195026,1225.6189288048877,1236.8317105030596,1224.1771804310567,1244.1166576378598,1256.443001907002,8051,01/24/25,Engadin,Switzerland
STEPHEN Thomas,Thomas Stephen,CAN,True,222,CANADA I,11,56:29.2,3,Mixed Relay,M,1284.227694846901,1290.0096000916867,1302.1878256147418,1271.2941798339396,1287.6200873515888,1233.6665042972922,1282.0401573710838,1303.0108442655742,1261.1391931244325,12678,01/24/25,Engadin,Switzerland
NOVAK Michal,Michal Novak,CZE,True,1386,CZECH REPUBLIC I,12,56:29.8,1,Mixed Relay,M,1614.6207311008836,1608.2087661696182,1488.871293813928,1512.364122934297,1553.3955752029854,1407.46026567589,1579.4103640641329,1481.5358436481292,1581.798720920739,3655,01/24/25,Engadin,Switzerland
BAUER Matyas,Matyas Bauer,CZE,True,233,CZECH REPUBLIC I,12,56:29.8,3,Mixed Relay,M,1257.6338360072182,1292.866618991607,1313.3805190426244,1251.4915752806482,1229.9253785158971,1241.6947360171391,1249.1945282493905,1288.2513544342555,1214.585908248382,18927,01/24/25,Engadin,Switzerland
CAROLLO Martino,Martino Carollo,ITA,True,236,ITALY I,13,56:44.5,1,Mixed Relay,M,1428.439054574563,1390.8620196628522,1313.6266684731231,1351.3925666972657,1432.777492137898,1318.9237647417476,1447.4918524253674,1326.341863102448,1432.844616876495,19980,01/24/25,Engadin,Switzerland
VENTURA Paolo,Paolo Ventura,ITA,True,228,ITALY I,13,56:44.5,3,Mixed Relay,M,1438.0726556489103,1448.7546198506534,1382.0937876096505,1387.0540287859324,1133.3824547822485,1206.963991241165,1123.3738021521362,1376.3336872225852,1368.4920890763208,6009,01/24/25,Engadin,Switzerland
MCMULLEN Zanden,Zanden McMullen,USA,True,758,UNITED STATES OF AMERICA I,14,57:10.6,1,Mixed Relay,M,1367.65402488717,1410.9620144544613,1346.092905172036,1404.432372780121,1357.410922766975,1353.316052192176,1324.4318104743104,1350.159335874379,1383.5165120538195,12698,01/24/25,Engadin,Switzerland
OGDEN Ben,Ben Ogden,USA,True,4852,UNITED STATES OF AMERICA I,14,57:10.6,3,Mixed Relay,M,1588.4903885777176,1501.0678467682008,1436.4035373940735,1411.6853883288954,1687.437748227932,1559.6387236817898,1671.871669431538,1494.85204866011,1601.936236741904,9179,01/24/25,Engadin,Switzerland
