Team_Name,Nation,Team_Rank,Race_Date,City,Country,Price,Is_Present,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Team_API_ID,Member_2,Member_2_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_C_Elo,Member_2_Distance_F_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo,Member_4,Member_4_ID,Member_4_Elo,Member_4_Distance_Elo,Member_4_Distance_C_Elo,Member_4_Distance_F_Elo,Member_4_Sprint_Elo,Member_4_Sprint_C_Elo,Member_4_Sprint_F_Elo,Member_4_Classic_Elo,Member_4_Freestyle_Elo
SWEDEN I,SWEDEN,1,01/24/25,Engadin,Switzerland,25117,True,Mixed Relay,3191.5737404931924,3147.2275111833983,2999.2557170695563,2940.228463344617,3032.715922250639,2867.7651685871533,2998.3140886564724,3066.4565447571467,3079.642265138551,3505793,Emma Ribom,1844,1602.0382703330022,1557.3426302427004,1488.968141597198,1457.375083491544,1592.698293744022,1539.5605015511794,1553.2837997909842,1548.8017306397817,1557.1757052889095,Moa Ilar,1866,1589.5354701601905,1589.884880940698,1510.2875754723586,1482.853379853073,1440.017628506617,1328.2046670359737,1445.0302888654885,1517.6548141173653,1522.4665598496415
SWEDEN I,SWEDEN,10,01/24/25,Engadin,Switzerland,25117,True,Mixed Relay,3113.8803631987175,2778.6207553336853,2659.2973551982986,2732.7808582709185,3234.211502354582,3058.9375057409866,3184.551316414786,2928.254194055148,3069.3726019777114,3505793,Moa Lundgren,3211,1483.4719624618003,1359.957594210185,1330.34676175369,1317.7753492678485,1530.0032635510263,1469.6680641516068,1496.1169420991455,1430.0686929047358,1441.086610915777,Maja Dahlqvist,1673,1630.4084007369172,1418.6631611235002,1328.9505934446086,1415.0055090030703,1704.208238803556,1589.2694415893798,1688.4343743156408,1498.1855011504126,1628.2859910619345
CANADA I,CANADA,11,01/24/25,Engadin,Switzerland,6439,True,Mixed Relay,2575.362829095134,2544.280303579755,2556.388582029552,2572.6561751076033,2615.2687814981737,2548.623675156019,2640.1043101652313,2531.028089005873,2606.4840434805815,3105195,Alison Mackie,10185,1275.185494434121,1275.825972920416,1297.5396291658342,1268.9929671344426,1292.2131833814683,1293.2785361586114,1291.5846110286411,1294.9330327705345,1267.4823937870574,Sonjaa Schmidt,7874,1300.1773346610132,1268.454330659339,1258.8489528637174,1303.663207973161,1323.0555981167056,1255.345138997408,1348.5196991365904,1236.0950562353385,1339.001649693524
CZECH REPUBLIC I,CZECH REPUBLIC,12,01/24/25,Engadin,Switzerland,9084,True,Mixed Relay,2803.6567181173577,2757.7805644657046,2675.446355041834,2680.9710535713357,2783.276376772771,2626.4949323008136,2846.6317534959735,2687.1822633940956,2782.369582243773,3155265,Katerina Janatova,3198,1585.4452019171736,1535.214434159734,1410.378510241579,1471.114640038728,1533.4439059150022,1364.3893507128157,1584.0097657782417,1430.9706391571126,1587.6290163053204,Barbora Havlickova,3216,1218.2115162001844,1222.5661303059703,1265.067844800255,1209.8564135326076,1249.832470857769,1262.105581587998,1262.621987717732,1256.2116242369832,1194.7405659384528
ITALY I,ITALY,13,01/24/25,Engadin,Switzerland,6214,True,Mixed Relay,2616.716575580627,2612.8100707233216,2553.9809209018586,2579.0577628672972,2516.4717445806373,2492.2739911841536,2507.9746090681147,2557.4519791123985,2578.827515428381,3295216,Martina di Centa,9084,1304.4339678955569,1299.4064364224355,1265.8508157682231,1270.9887582634328,1219.2640663866578,1249.6991248782165,1211.3824821378678,1268.0844150407504,1269.2292772087096,Maria Gismondi,10867,1312.28260768507,1313.403634300886,1288.1301051336354,1308.0690046038642,1297.2076781939795,1242.574866305937,1296.592126930247,1289.367564071648,1309.5982382196714
UNITED STATES OF AMERICA I,UNITED STATES OF AMERICA,14,01/24/25,Engadin,Switzerland,17328,True,Mixed Relay,3002.8551317529455,2911.4867374270934,2601.613614734314,2896.3703638198967,2760.391062846964,2690.4783994983986,2767.8659278000764,2692.459593907447,3015.030862623462,3535469,Julia Kern,1846,1536.5313663164534,1416.3729039648829,1269.8954977145545,1402.981994562508,1583.0970491520593,1465.4273990583183,1582.9504952019,1375.863499139031,1550.7653912195462,Sophia Laukli,7369,1466.3237654364923,1495.1138334622106,1331.7181170197596,1493.388369257389,1177.2940136949046,1225.0510004400803,1184.9154325981765,1316.596094768416,1464.2654714039156
SLOVENIA I,SLOVENIA,15,01/24/25,Engadin,Switzerland,12133,True,Mixed Relay,2609.9830768221896,2616.7433890789425,2530.551162193885,2589.5458584587027,2521.8495406619163,2512.310476430939,2550.4606065721955,2512.1910003832236,2619.0972567485287,3565059,Anja Mandeljc,1868,1305.917774961805,1329.416969411452,1261.8633941243518,1305.1843131091457,1174.2050763892546,1221.8731060057376,1164.6370111118026,1249.3226674302878,1271.7238521052925,Eva Urevc,3192,1304.0653018603846,1287.3264196674904,1268.687768069533,1284.361545349557,1347.6444642726617,1290.4373704252014,1385.823595460393,1262.8683329529356,1347.3734046432364
UNITED STATES OF AMERICA I,UNITED STATES OF AMERICA,16,01/24/25,Engadin,Switzerland,17328,True,Mixed Relay,2577.898394329839,2511.8299108678148,2520.694094272545,2552.363452131078,2616.182579769572,2529.061418101156,2630.6124316730748,2528.278311554068,2607.146077218738,3535469,Kendall Kramer,6650,1305.7828886781244,1306.0487446408576,1293.6789559726308,1305.7362411365411,1276.5504216361633,1242.574866305937,1277.069218797434,1295.739887092462,1304.6319159445834,Sammy Smith,10228,1272.1155056517146,1205.7811662269569,1227.0151382999145,1246.6272109945364,1339.6321581334084,1286.486551795219,1353.543212875641,1232.5384244616057,1302.5141612741545
AUSTRALIA I,AUSTRALIA,17,01/24/25,Engadin,Switzerland,747,True,Mixed Relay,2352.8641526710517,2369.465831656917,2479.3065940758643,2451.029060681191,2489.7193058336916,2470.7716736637426,2507.9450535270644,2437.7311220623596,2416.479230518101,3045103,Tuva Bygrave,6448,1125.2407407477262,1144.3563767912974,1246.6229989093224,1194.5232571528672,1216.232718884434,1228.1968073578057,1238.7124979363848,1203.9556714502708,1168.0911896892462,Rosie Fordham,6450,1227.6234119233254,1225.1094548656197,1232.6835951665416,1256.5058035283237,1273.4865869492578,1242.574866305937,1269.2325555906796,1233.775450612089,1248.3880408288546
UKRAINE I,UKRAINE,18,01/24/25,Engadin,Switzerland,3891,True,Mixed Relay,2116.5052105119057,2227.2580300064255,2364.995966268675,2374.440399874269,2299.990201306897,2409.8673336407837,2315.6108215220984,2284.317439466482,2217.4032877899936,3695048,Anastasiia Nikon,6954,1070.9690703173435,1154.2989086045204,1209.4264254610391,1221.2943537367378,1144.6483439700958,1200.0863654703826,1168.899627241614,1154.3691279252366,1130.1593141868111,Viktoriya Olekh,540,1045.536140194562,1072.9591214019051,1155.569540807636,1153.1460461375311,1155.341857336801,1209.780968170401,1146.7111942804845,1129.9483115412452,1087.2439736031824
KAZAKHSTAN I,KAZAKHSTAN,19,01/24/25,Engadin,Switzerland,2404,True,Mixed Relay,2480.0350610783885,2542.9765446734896,2469.202374856898,2545.331073951256,2525.6767590142445,2524.759972625924,2509.054879844699,2542.4035844167365,2514.709946880338,3675033,Yelizaveta Tolmachyova,9324,1251.336236744444,1270.9447940758753,1234.601187428449,1272.165536975628,1276.1874705591056,1264.779986312962,1240.462938899013,1273.0232207797967,1268.779239125569,Laura Kinybaeyeva,6958,1228.6988243339445,1272.0317505976143,1234.601187428449,1273.165536975628,1249.489288455139,1259.9799863129622,1268.591940945686,1269.3803636369396,1245.9307077547692
NORWAY I,NORWAY,2,01/24/25,Engadin,Switzerland,18683,True,Mixed Relay,3105.348257456598,3123.267325651399,2859.3966971660443,2900.4243755425996,2619.669916291472,2583.7836164840437,2630.424811467101,2846.5430629880843,2946.8019547773356,3425825,Nora Sanness,6324,1538.6197442197936,1552.3046153047917,1414.7860847991465,1450.0958153216525,1264.2152816943633,1275.0017667129212,1273.911901824088,1403.099289432461,1461.1618130996585,Kristin Austgulen Fosnæs,4268,1566.7285132368045,1570.9627103466073,1444.6106123668978,1450.328560220947,1355.454634597109,1308.7818497711228,1356.5129096430126,1443.4437735556232,1485.640141677677
SWITZERLAND I,SWITZERLAND,3,01/24/25,Engadin,Switzerland,15563,True,Mixed Relay,3103.9111300486566,2828.3286462664146,2763.7745833055915,2720.3518811227805,3176.7145752316055,2973.73883528633,3131.4891427330185,2933.276477417191,3027.0593158459033,3515213,Anja Weber,6338,1484.5025186406283,1367.9022078422254,1330.651213475532,1314.680042055181,1478.7786822836492,1376.2983554626578,1467.2250671880277,1384.9088749542846,1446.0331270716742,Nadine Fähndrich,1590,1619.4086114080285,1460.4264384241892,1433.1233698300596,1405.6718390675992,1697.9358929479563,1597.440479823672,1664.2640755449909,1548.3676024629065,1581.026188774229
NORWAY I,NORWAY,4,01/24/25,Engadin,Switzerland,18683,True,Mixed Relay,2932.383646972424,2879.8786153223555,2751.5830664874848,2845.736401882773,2826.252712368958,2617.9928731706486,2841.5518467986494,2759.171037732584,2935.6988914804833,3425825,Johanne Hauge Harviken,2345,1359.356309142026,1309.8274324703889,1291.8043868055609,1316.849472447337,1355.9045472652097,1242.574866305937,1365.3874047322292,1292.3453518895724,1366.408403065678,Anne Kjersti Kalvå,1498,1573.0273378303975,1570.0511828519666,1459.778679681924,1528.886929435436,1470.3481651037484,1375.4180068647115,1476.16444206642,1466.8256858430116,1569.2904884148056
FINLAND I,FINLAND,5,01/24/25,Engadin,Switzerland,13782,True,Mixed Relay,2931.225234884976,2766.851039487465,2689.7553646245683,2643.1268756411773,2894.0816488171595,2772.576337010034,2853.229084612707,2793.426704193213,2877.1380678982714,3185375,Jasmi Joensuu,1675,1645.3356626985849,1475.653779300454,1462.4480238570106,1325.167377424111,1634.8709611128877,1530.001470704097,1608.4629388562355,1560.9893928588128,1572.3498088868546,Vilma Ryytty,6607,1285.8895721863914,1291.1972601870111,1227.3073407675577,1317.9594982170663,1259.210687704272,1242.574866305937,1244.7661457564716,1232.4373113344002,1304.7882590114166
CANADA I,CANADA,6,01/24/25,Engadin,Switzerland,6439,True,Mixed Relay,2734.034433154675,2736.1645502388774,2641.8610997054393,2699.221026744638,2556.9484769585015,2476.7802465367295,2587.7969608993885,2596.5370451968474,2717.521110768759,3105195,Kathrine Stewart-Jones,1676,1367.427834733729,1409.3759119125646,1376.1321310568442,1377.699738653709,1213.9372624609068,1210.0633690591665,1229.2182081196804,1334.9191979024467,1350.4714336695324,Liliane Gagnon,7427,1366.606598420946,1326.788638326313,1265.7289686485951,1321.5212880909291,1343.0112144975944,1266.7168774775632,1358.578752779708,1261.617847294401,1367.049677099227
SWITZERLAND I,SWITZERLAND,7,01/24/25,Engadin,Switzerland,15563,True,Mixed Relay,2763.531782507017,2776.5536600472733,2691.5715530971856,2644.8974301950375,2592.70261743232,2568.530285642926,2594.2844045224747,2687.084926618417,2656.1409396455992,3515213,Nadja Kälin,6639,1417.0911717909642,1431.9671854452629,1363.134107160342,1328.9904851893898,1269.6962572642624,1269.665130095562,1270.5212275932536,1355.390367270047,1330.6799054357484,Marina Kälin,7433,1346.4406107160528,1344.5864746020106,1328.4374459368437,1315.906945005648,1323.0063601680577,1298.865155547364,1323.7631769292211,1331.69455934837,1325.4610342098508
AUSTRIA I,AUSTRIA,8,01/24/25,Engadin,Switzerland,1912,True,Mixed Relay,2898.9791743510677,2952.529741291506,2913.0816886945695,2813.705889152635,2501.928445387848,2520.958461575149,2501.9684487944796,2855.00736576468,2769.519866404348,3055176,Teresa Stadlober,529,1636.9461184217682,1685.1444674259942,1632.073864251371,1525.9103356389944,1232.2979609541758,1247.556694862228,1219.485118398963,1586.7897728600055,1486.724003297314,Katharina Brudermann,5040,1262.0330559292993,1267.385273865512,1281.0078244431982,1287.7955535136407,1269.630484433672,1273.401766712921,1282.4833303955168,1268.2175929046746,1282.7958631070337
GERMANY I,GERMANY,9,01/24/25,Engadin,Switzerland,15142,True,Mixed Relay,2735.2173128917875,2732.8140941147517,2713.2026823483984,2607.6273661492105,2565.802201752903,2564.6918053534246,2566.1133425275775,2690.4916465441165,2627.3262218044,3205415,Katherine Sauerbrey,1727,1414.9889742391615,1422.3324310118876,1419.4038220496798,1301.98047753655,1258.212700349978,1290.7369917482747,1235.0472549719643,1415.1083145119117,1289.3397749986796,Anna-Maria Dietze,3214,1320.2283386526262,1310.481663102864,1293.7988602987186,1305.6468886126606,1307.5895014029247,1273.95481360515,1331.0660875556134,1275.3833320322046,1337.9864468057208
