Team_Name,Nation,Team_Rank,Race_Date,City,Country,Price,Is_Present,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Team_API_ID,Member_1,Member_1_ID,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_C_Elo,Member_1_Distance_F_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_3,Member_3_ID,Member_3_Elo,Member_3_Distance_Elo,Member_3_Distance_C_Elo,Member_3_Distance_F_Elo,Member_3_Sprint_Elo,Member_3_Sprint_C_Elo,Member_3_Sprint_F_Elo,Member_3_Classic_Elo,Member_3_Freestyle_Elo
SWEDEN I,SWEDEN,1,01/24/25,Engadin,Switzerland,12594,True,Mixed Relay,3217.63776328566,3163.791086117183,3050.8758852831297,2964.795371533589,2925.2251389007743,2846.6432437561216,2884.7052211594837,3118.7338680945895,3120.385832813225,100075,Jens Burman,2811,1508.473460906533,1544.976779751642,1542.970278749294,1487.1220153019915,1195.5355317801434,1254.907668961517,1179.9896570704748,1521.1608458823298,1451.1907097604392,Edvin Anger,14039,1709.164302379127,1618.8143063655414,1507.9056065338357,1477.6733562315972,1729.6896071206306,1591.7355747946044,1704.715564089009,1597.5730222122595,1669.195123052786
SWEDEN I,SWEDEN,10,01/24/25,Engadin,Switzerland,12594,True,Mixed Relay,3052.0784190854565,3043.6827733735654,2863.9364818835356,2926.827966062262,2869.6669900343154,2885.3945347994545,2804.2625574946433,2918.0169497852985,2970.554243747137,100075,Calle Halfvarsson,73,1580.7502572073,1583.7095760059296,1534.3671976113208,1487.0284086706404,1527.958608319694,1585.356256201486,1457.387216626384,1571.830619308102,1500.4992436332975,Gustaf Berglund,12178,1471.3281618781568,1459.973197367636,1329.5692842722146,1439.7995573916216,1341.7083817146215,1300.0382785979684,1346.8753408682592,1346.1863304771964,1470.0550001138397
CANADA I,CANADA,11,01/24/25,Engadin,Switzerland,7274,True,Mixed Relay,2550.6351766678918,2573.9656554635076,2572.031639541802,2546.3056296534423,2513.2390161564763,2470.498214800352,2506.2173378021407,2547.1275019034338,2517.582195031435,3100322,Remi Drolet,8051,1266.4074818209908,1283.956055371821,1269.8438139270606,1275.0114498195026,1225.6189288048877,1236.8317105030596,1224.1771804310567,1244.1166576378598,1256.443001907002,Thomas Stephen,12678,1284.227694846901,1290.0096000916867,1302.1878256147418,1271.2941798339396,1287.6200873515888,1233.6665042972922,1282.0401573710838,1303.0108442655742,1261.1391931244325
CZECH REPUBLIC I,CZECH REPUBLIC,12,01/24/25,Engadin,Switzerland,7211,True,Mixed Relay,2872.2545671081016,2901.0753851612253,2802.2518128565525,2763.8556982149453,2783.3209537188823,2649.155001693029,2828.604892313523,2769.7871980823847,2796.384629169121,102473,Michal Novak,3655,1614.6207311008836,1608.2087661696182,1488.871293813928,1512.364122934297,1553.3955752029854,1407.46026567589,1579.4103640641329,1481.5358436481292,1581.798720920739,Matyas Bauer,18927,1257.6338360072182,1292.866618991607,1313.3805190426244,1251.4915752806482,1229.9253785158971,1241.6947360171391,1249.1945282493905,1288.2513544342555,1214.585908248382
ITALY I,ITALY,13,01/24/25,Engadin,Switzerland,14265,True,Mixed Relay,2866.5117102234735,2839.6166395135056,2695.7204560827736,2738.446595483198,2566.1599469201465,2525.8877559829125,2570.865654577504,2702.6755503250333,2801.3367059528155,100073,Martino Carollo,19980,1428.439054574563,1390.8620196628522,1313.6266684731231,1351.3925666972657,1432.777492137898,1318.9237647417476,1447.4918524253674,1326.341863102448,1432.844616876495,Paolo Ventura,6009,1438.0726556489103,1448.7546198506534,1382.0937876096505,1387.0540287859324,1133.3824547822485,1206.963991241165,1123.3738021521362,1376.3336872225852,1368.4920890763208
UNITED STATES OF AMERICA I,UNITED STATES OF AMERICA,14,01/24/25,Engadin,Switzerland,10756,True,Mixed Relay,2956.1444134648873,2912.029861222662,2782.496442566109,2816.1177611090166,3044.848670994907,2912.9547758739654,2996.3034799058487,2845.011384534489,2985.4527487957234,121833,Zanden McMullen,12698,1367.65402488717,1410.9620144544613,1346.092905172036,1404.432372780121,1357.410922766975,1353.316052192176,1324.4318104743104,1350.159335874379,1383.5165120538195,Ben Ogden,9179,1588.4903885777176,1501.0678467682008,1436.4035373940735,1411.6853883288954,1687.437748227932,1559.6387236817898,1671.871669431538,1494.85204866011,1601.936236741904
SLOVENIA I,SLOVENIA,15,01/24/25,Engadin,Switzerland,2830,True,Mixed Relay,2570.077630971283,2480.162008288835,2525.8215604222496,2515.6655379656922,2576.878412933193,2608.8963472099067,2546.637306363059,2578.8018302739015,2538.294954002803,101037,Nejc Stern,18932,1327.219821177276,1233.2756134738768,1276.6206717601149,1274.4140737098,1387.0631255904657,1387.5490787333574,1358.7482231493543,1341.1044384168183,1318.4885710796989,Miha Licef,5911,1242.8578097940067,1246.886394814958,1249.2008886621345,1241.2514642558922,1189.8152873427273,1221.3472684765495,1187.889083213705,1237.6973918570832,1219.8063829231044
UNITED STATES OF AMERICA I,UNITED STATES OF AMERICA,16,01/24/25,Engadin,Switzerland,10756,True,Mixed Relay,2661.680592527557,2429.6819800228404,2492.1501856373043,2440.029512321605,2916.611328413583,2839.1918551390618,2856.692866467959,2653.129880373174,2664.034922585249,121833,Luke Jager,9176,1204.556318954522,1197.6854094834214,1247.375264740111,1198.180415190415,1291.5033791782698,1295.7339961823145,1256.9695743144507,1243.8469601845966,1189.9435546438842,James Clinton Schoonmaker,9201,1457.124273573035,1231.9965705394188,1244.7749208971932,1241.84909713119,1625.1079492353133,1543.4578589567473,1599.7232921535085,1409.2829201885772,1474.091367941365
AUSTRALIA I,AUSTRALIA,17,01/24/25,Engadin,Switzerland,1917,True,Mixed Relay,2277.5431140703413,2296.8403464920884,2314.860682720193,2387.0864095528177,2354.9813456025536,2452.7691101478576,2358.0054984581593,2284.795844063041,2317.3720492177026,171268,Hugo Hinckfuss,12412,1195.4598332561577,1207.0825100805496,1189.4647345831795,1270.1625667061107,1250.7175293462544,1264.5736193538924,1258.120417182638,1176.4001516334677,1240.0658187797667,Seve De Campo,8036,1082.0832808141836,1089.7578364115388,1125.3959481370132,1116.9238428467072,1104.2638162562992,1188.1954907939655,1099.885081275521,1108.3956924295733,1077.306230437936
UKRAINE I,UKRAINE,18,01/24/25,Engadin,Switzerland,1561,True,Mixed Relay,2295.078962974955,2299.4382385308563,2442.6451949840484,2399.2341432609182,2441.1579775292107,2424.150586691331,2454.632304344364,2338.7703889776235,2357.3720075842343,102475,Oleksandr Lisohor,13173,1139.12006376081,1188.6513537881797,1267.038023956039,1215.7702635762516,1178.3825642345712,1189.612131425816,1195.506024111436,1182.1718601279697,1164.744329192926,Dmytro Drahun,8058,1155.9588992141455,1110.7868847426766,1175.6071710280096,1183.4638796846668,1262.7754132946395,1234.5384552655148,1259.126280232928,1156.5985288496538,1192.6276783913083
KAZAKHSTAN I,KAZAKHSTAN,19,01/24/25,Engadin,Switzerland,2096,True,Mixed Relay,2444.1219241360504,2549.1337966154733,2474.138361909093,2561.1338851288942,2492.947093344458,2533.2250297773066,2511.5345039662216,2539.602961079469,2482.025834989799,100074,Yernur Bexultan,13128,1218.957840753333,1279.8112484533726,1237.0691809545465,1291.0669425644471,1237.27412787065,1255.4125148886533,1254.3386805545392,1261.3014805397345,1252.3203186478968,Didar Kassenov,12419,1225.1640833827178,1269.3225481621007,1237.0691809545465,1270.0669425644471,1255.6729654738083,1277.8125148886534,1257.195823411682,1278.3014805397345,1229.7055163419022
NORWAY I,NORWAY,2,01/24/25,Engadin,Switzerland,25915,True,Mixed Relay,3339.9245551444474,3396.0653262352143,3015.1224564946806,3230.637047702276,2875.930845423913,2869.2605064404297,2845.623062641636,3014.891174930527,3257.9322128710373,100069,Pål Golberg,88,1717.1424175276056,1732.563635084413,1633.5339835827458,1621.2755827461974,1630.8304270439387,1612.827505003388,1580.3139465285417,1654.30270523657,1648.8483846405798,Iver Tildheim Andersen,8590,1622.782137616842,1663.5016911508014,1381.5884729119346,1609.3614649560786,1245.1004183799744,1256.4330014370414,1265.3091161130942,1360.5884696939568,1609.0838282304578
SWITZERLAND I,SWITZERLAND,3,01/24/25,Engadin,Switzerland,14958,True,Mixed Relay,2914.754109153532,2915.0601155583126,2774.87372693624,2772.583549441969,2561.1082818735076,2427.45258031489,2588.389935996901,2796.605397566944,2762.840972082257,101157,Jonas Baumann,1534,1464.1553319442469,1477.8146545011862,1426.5997417111762,1383.2271720958602,1226.2697733472558,1198.7744564172824,1228.3017334989345,1437.1131713320754,1348.886195616042,Jason Rüesch,2732,1450.5987772092851,1437.2454610571262,1348.2739852250636,1389.356377346109,1334.838508526252,1228.6781238976073,1360.0882024979662,1359.4922262348684,1413.954776466215
NORWAY I,NORWAY,4,01/24/25,Engadin,Switzerland,25915,True,Mixed Relay,3067.9611749532296,3091.6795859983304,2855.6900388481604,2852.6678181998836,2503.931405616341,2507.6995057343333,2515.158819391543,2856.748529741836,2877.8693472271425,100069,Martin Kirkeberg Mørk,12331,1427.024565681092,1431.159468820295,1345.1990367610615,1352.1240447437128,1235.4921985793294,1233.6665042972922,1235.5639889927345,1349.238798443828,1360.5381403967317,Andreas Fjorden Ree,8678,1640.9366092721375,1660.5201171780357,1510.4910020870989,1500.5437734561708,1268.4392070370116,1274.033001437041,1279.5948303988084,1507.5097312980083,1517.3312068304106
