FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
IVERSEN Emil,Emil Iversen,NOR,True,5366,NORWAY I,1,,1,Relay,1713.2680052860037,1739.8293973195778,1584.489506992988,1593.4829663408698,1393.274712117666,1370.53245430919,1396.6762850943885,1543.6536379701224,1612.9984019441813,1467,02/15/2026,Milano Cortina,Italy
NYENGET Martin Loewstroem,Martin Løwstrøm Nyenget,NOR,True,6811,NORWAY I,1,,2,Relay,1819.559955228279,1829.234845697856,1684.1096437474368,1680.514879982126,1365.4041376758485,1398.6325696761858,1339.090340730988,1686.7611676112706,1698.7362734452347,2295,02/15/2026,Milano Cortina,Italy
HEDEGART Einar,Einar Hedegart,NOR,True,2748,NORWAY I,1,,3,Relay,1594.076556590799,1586.6315590560284,1271.474232421676,1568.1249786153924,1323.1632599285622,1277.718612150539,1323.3217364070829,1263.872466342428,1624.8609826923755,20631,02/15/2026,Milano Cortina,Italy
KLAEBO Johannes Hoesflot,Johannes Høsflot Klæbo,NOR,True,18045,NORWAY I,1,,4,Relay,1949.9110758352829,1877.207036340909,1741.856646968537,1691.9251377859516,1856.5136430533216,1733.7950613520743,1788.7754635773165,1825.4665071940808,1802.4635901750923,5164,02/15/2026,Milano Cortina,Italy
TUZ Jiri,Jiri Tuz,CZE,True,266,CZECH REPUBLIC I,10,,1,Relay,1463.432535984099,1313.1188300311253,1352.2836217859374,1262.7798290620833,1588.5427826057116,1463.8858184615149,1595.0503425295767,1456.6536719273738,1398.0396255885446,17348,02/15/2026,Milano Cortina,Italy
NOVAK Michal,Michal Novak,CZE,True,859,CZECH REPUBLIC I,10,,2,Relay,1527.4551756051867,1581.1488579043933,1435.0852323638996,1566.8268633340535,1396.36539058578,1370.3209143104104,1353.7291819204934,1411.0218011994968,1533.7348808722093,3655,02/15/2026,Milano Cortina,Italy
BAUER Matyas,Matyas Bauer,CZE,True,215,CZECH REPUBLIC I,10,,3,Relay,1394.92132946354,1399.5211831965132,1375.7333512519306,1327.057290583539,1236.2750589339162,1242.9551257524436,1256.6551180009667,1350.211192669933,1340.6642260411936,18927,02/15/2026,Milano Cortina,Italy
OPHOFF Mike,Mike Ophoff,CZE,True,230,CZECH REPUBLIC I,10,,4,Relay,1329.0221063198658,1328.3460777999344,1310.8010084916727,1316.1542862639446,1278.4943904292193,1287.514345928622,1257.8124603713834,1309.4621654712023,1321.4367931018494,12702,02/15/2026,Milano Cortina,Italy
GROND Valerio,Valerio Grond,SUI,True,2083,SWITZERLAND I,2,,1,Relay,1495.511098515879,1258.8813339564958,1288.9085196957094,1257.082497661445,1678.367016490457,1533.8280336873952,1711.6191913478003,1438.9157251790982,1522.1112671338265,12164,02/15/2026,Milano Cortina,Italy
WIGGER Nicola,Nicola Wigger,SUI,True,216,SWITZERLAND I,2,,2,Relay,1409.7907382710462,1406.460103938925,1361.7255793469349,1328.9249944156754,1244.6537322375664,1305.8770704851,1197.2276070271273,1363.992451477248,1323.095126978354,12697,02/15/2026,Milano Cortina,Italy
KLEE Beda,Beda Klee,SUI,True,212,SWITZERLAND I,2,,3,Relay,1491.8117407593554,1490.706743553071,1451.371883141671,1462.412897509451,1260.7099357984926,1236.9112166747138,1267.2125820047545,1445.7897145128898,1475.5000965304898,3651,02/15/2026,Milano Cortina,Italy
RIEBLI Janik,Janik Riebli,SUI,True,1101,SWITZERLAND I,2,,4,Relay,1478.4496331616738,1297.8619221440822,1244.97459771711,1313.0135665894245,1582.643692129129,1448.5546679682218,1612.9425762598792,1375.2485652256516,1514.2907490164378,7725,02/15/2026,Milano Cortina,Italy
HAEGGSTROEM Johan,Johan Häggström,SWE,True,558,SWEDEN I,3,,1,Relay,1451.0556576484105,1409.9888132608266,1378.7788166343184,1371.9149393332814,1481.7482940975656,1472.2028403841148,1461.02020709802,1439.9768972276029,1402.824285060123,4399,02/15/2026,Milano Cortina,Italy
HALFVARSSON Calle,Calle Halfvarsson,SWE,True,497,SWEDEN I,3,,2,Relay,1487.2507430844344,1519.53586807904,1472.3926124369193,1466.0956302516165,1500.8469893777717,1503.5447941937684,1466.2507220379125,1467.8945982375203,1473.895944743744,73,02/15/2026,Milano Cortina,Italy
POROMAA William,William Poromaa,SWE,True,1226,SWEDEN I,3,,3,Relay,1591.8450870663917,1623.1870934548867,1570.904453469874,1544.835265376424,1314.9784891579254,1311.3733854149086,1306.3951713302508,1534.5092993243325,1517.3826662525769,12573,02/15/2026,Milano Cortina,Italy
ANGER Edvin,Edvin Anger,SWE,True,9128,SWEDEN I,3,,4,Relay,1594.0358985245148,1529.8734048313972,1564.3477203122864,1429.189546271264,1706.020357357815,1583.169867877577,1719.6223537445155,1615.8065350916104,1512.2794656637936,14039,02/15/2026,Milano Cortina,Italy
SCHELY Theo,Theo Schely,FRA,True,212,FRANCE I,4,,1,Relay,1579.9030002808847,1548.1184987409172,1498.786425043284,1396.944661728524,1463.5646531433706,1416.3446799198016,1388.098073909283,1508.5218967844855,1449.0572679260051,12166,02/15/2026,Milano Cortina,Italy
LAPALUS Hugo,Hugo Lapalus,FRA,True,4553,FRANCE I,4,,2,Relay,1665.566580232713,1729.56503868015,1632.5200196999208,1619.9544408949791,1203.6582749426514,1204.3143756952386,1214.3718280513704,1546.8055380455094,1587.2823108216664,6018,02/15/2026,Milano Cortina,Italy
DESLOGES Mathis,Mathis Desloges,FRA,True,1688,FRANCE I,4,,3,Relay,1689.917543707087,1685.240482520942,1471.334819657262,1577.4930629863593,1279.32547081033,1286.4633779732944,1281.6551641484814,1459.010071517705,1613.2790885239745,12767,02/15/2026,Milano Cortina,Italy
