Team_Name,Nation,Team_Rank,Race_Date,City,Country,Price,Is_Present,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Team_API_ID,Member_1,Member_1_ID,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_C_Elo,Member_1_Distance_F_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_2,Member_2_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_C_Elo,Member_2_Distance_F_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo,Member_3,Member_3_ID,Member_3_Elo,Member_3_Distance_Elo,Member_3_Distance_C_Elo,Member_3_Distance_F_Elo,Member_3_Sprint_Elo,Member_3_Sprint_C_Elo,Member_3_Sprint_F_Elo,Member_3_Classic_Elo,Member_3_Freestyle_Elo,Member_4,Member_4_ID,Member_4_Elo,Member_4_Distance_Elo,Member_4_Distance_C_Elo,Member_4_Distance_F_Elo,Member_4_Sprint_Elo,Member_4_Sprint_C_Elo,Member_4_Sprint_F_Elo,Member_4_Classic_Elo,Member_4_Freestyle_Elo
NORWAY I,NORWAY,1,02/15/2026,Milano Cortina,Italy,24383,True,Relay,7076.815592940365,7032.902838414371,6281.9300301306375,6534.04796272434,5938.355752775398,5780.678697487989,5847.863825809776,6319.753779117902,6739.0592482568845,100069,Emil Iversen,1467,1713.2680052860037,1739.8293973195778,1584.489506992988,1593.4829663408698,1393.274712117666,1370.53245430919,1396.6762850943885,1543.6536379701224,1612.9984019441813,Martin Løwstrøm Nyenget,2295,1819.559955228279,1829.234845697856,1684.1096437474368,1680.514879982126,1365.4041376758485,1398.6325696761858,1339.090340730988,1686.7611676112706,1698.7362734452347,Einar Hedegart,20631,1594.076556590799,1586.6315590560284,1271.474232421676,1568.1249786153924,1323.1632599285622,1277.718612150539,1323.3217364070829,1263.872466342428,1624.8609826923755,Johannes Høsflot Klæbo,5164,1949.9110758352829,1877.207036340909,1741.856646968537,1691.9251377859516,1856.5136430533212,1733.7950613520743,1788.7754635773165,1825.4665071940808,1802.4635901750923
CZECH REPUBLIC I,CZECH REPUBLIC,10,02/15/2026,Milano Cortina,Italy,5756,True,Relay,5714.831147372692,5622.134948931966,5473.90321389344,5472.81826924362,5499.677622554627,5364.6762044529905,5463.24710282242,5527.348831268006,5593.875525603797,102473,Jiri Tuz,17348,1463.432535984099,1313.1188300311253,1352.2836217859374,1262.7798290620833,1588.5427826057116,1463.8858184615149,1595.0503425295767,1456.6536719273738,1398.0396255885446,Michal Novak,3655,1527.4551756051867,1581.1488579043933,1435.0852323638996,1566.8268633340535,1396.36539058578,1370.3209143104104,1353.7291819204934,1411.0218011994968,1533.7348808722093,Matyas Bauer,18927,1394.92132946354,1399.5211831965132,1375.7333512519306,1327.057290583539,1236.2750589339162,1242.9551257524436,1256.6551180009667,1350.211192669933,1340.6642260411936,Mike Ophoff,12702,1329.0221063198658,1328.3460777999344,1310.8010084916727,1316.1542862639446,1278.4943904292193,1287.514345928622,1257.8124603713834,1309.4621654712023,1321.4367931018494
SWITZERLAND I,SWITZERLAND,2,02/15/2026,Milano Cortina,Italy,12792,True,Relay,5875.563210707955,5453.910103592574,5346.980579901425,5361.433956175995,5766.3743766556445,5525.170988815431,5789.001956639561,5623.946456394888,5834.997239659108,101157,Valerio Grond,12164,1495.511098515879,1258.8813339564958,1288.9085196957094,1257.082497661445,1678.367016490457,1533.8280336873952,1711.6191913478003,1438.9157251790982,1522.1112671338265,Nicola Wigger,12697,1409.7907382710462,1406.460103938925,1361.7255793469349,1328.9249944156754,1244.6537322375664,1305.8770704851,1197.2276070271273,1363.992451477248,1323.095126978354,Beda Klee,3651,1491.8117407593554,1490.706743553071,1451.371883141671,1462.412897509451,1260.7099357984926,1236.9112166747138,1267.2125820047545,1445.7897145128898,1475.5000965304898,Janik Riebli,7725,1478.4496331616738,1297.8619221440822,1244.97459771711,1313.0135665894245,1582.643692129129,1448.5546679682218,1612.9425762598792,1375.2485652256516,1514.2907490164378
SWEDEN I,SWEDEN,3,02/15/2026,Milano Cortina,Italy,11324,True,Relay,6124.1873863237515,6082.58517962615,5986.423602853399,5812.035381232586,6003.594129991077,5870.290887870369,5953.2884542106995,6058.187329881066,5906.382361720237,100075,Johan Häggström,4399,1451.0556576484105,1409.9888132608266,1378.7788166343184,1371.9149393332814,1481.7482940975656,1472.2028403841148,1461.02020709802,1439.9768972276029,1402.824285060123,Calle Halfvarsson,73,1487.2507430844344,1519.53586807904,1472.3926124369193,1466.0956302516165,1500.8469893777717,1503.5447941937684,1466.2507220379125,1467.8945982375203,1473.895944743744,William Poromaa,12573,1591.8450870663917,1623.1870934548867,1570.904453469874,1544.835265376424,1314.9784891579254,1311.3733854149086,1306.3951713302508,1534.5092993243325,1517.3826662525769,Edvin Anger,14039,1594.0358985245148,1529.8734048313972,1564.3477203122864,1429.189546271264,1706.020357357815,1583.169867877577,1719.6223537445155,1615.8065350916104,1512.2794656637936
FRANCE I,FRANCE,4,02/15/2026,Milano Cortina,Italy,13005,True,Relay,6430.35580088713,6468.777529575835,5913.669190874002,6090.251267198704,5220.9735463906845,5182.0202817277495,5177.2920940423355,5807.483819505996,6158.129174167596,102344,Theo Schely,12166,1579.9030002808847,1548.1184987409172,1498.786425043284,1396.944661728524,1463.5646531433706,1416.3446799198016,1388.098073909283,1508.5218967844855,1449.0572679260051,Hugo Lapalus,6018,1665.566580232713,1729.56503868015,1632.5200196999208,1619.9544408949791,1203.6582749426514,1204.3143756952386,1214.3718280513704,1546.8055380455094,1587.2823108216664,Mathis Desloges,12767,1689.917543707087,1685.240482520942,1471.334819657262,1577.4930629863593,1279.32547081033,1286.4633779732944,1281.6551641484814,1459.010071517705,1613.2790885239745,Victor Lovera,17106,1494.968676666444,1505.8535096338255,1311.0279264735354,1495.859101588842,1274.4251474943324,1274.8978481394142,1293.167027933201,1293.146313158296,1508.5105068959497
CANADA I,CANADA,5,02/15/2026,Milano Cortina,Italy,5731,True,Relay,5807.643442809953,5788.887077875792,5511.586631856882,5442.7794287400975,5384.633536170306,5318.300713305556,5265.7025876753,5462.386580061329,5661.9221164879855,3100322,Xavier McKeever,12676,1480.3502034451765,1451.4336452359132,1380.565481728353,1296.327117199796,1401.8131423345137,1351.4221522874257,1420.6012489943655,1380.5503113094524,1435.4744643769377,Antoine Cyr,9225,1545.952332092494,1576.2817076964698,1508.4539330547211,1467.1929600860958,1415.5838744283492,1416.1857414532235,1302.861647261526,1482.4462633941273,1480.883244323957,Remi Drolet,8051,1352.5117758537936,1354.923626639847,1276.8902650939474,1332.795954100921,1246.6787825789943,1244.8995975452322,1212.8475994416362,1257.9095884676055,1348.7792266406,Thomas Stephen,12678,1428.8291314184887,1406.248098303562,1345.6769519798604,1346.4633973532846,1320.557736828449,1305.793222019675,1329.392091977772,1341.480416890145,1396.785181146492
ITALY I,ITALY,6,02/15/2026,Milano Cortina,Italy,14693,True,Relay,6506.62968099883,6384.889206441952,5883.442327870395,6018.873682704605,6189.258443790466,5670.058530892843,6269.939135723134,5956.607732026733,6332.116759633533,100073,Davide Graz,12165,1547.181488661446,1511.39713855161,1401.269617671899,1469.983295697959,1530.6077760466712,1359.748549846253,1580.0921460414113,1423.8153423690785,1535.3463648673064,Elia Barp,14042,1642.3208475715398,1675.9878272871958,1548.3850513219277,1531.002097299313,1432.659786586211,1414.3517524206002,1357.8931846804542,1553.895459721119,1508.4295633411102,Martino Carollo,19980,1549.8683555824086,1509.4705293816958,1326.417338499947,1492.4545755828594,1493.3483044599109,1317.693774354953,1556.4855360402182,1334.2188740004617,1595.9348475633428,Federico Pellegrino,44,1767.2589891834352,1688.0337112214509,1607.3703203766215,1525.433714124474,1732.642576697673,1578.264454271037,1775.468268961051,1644.678055936073,1692.4059838617727
UNITED STATES OF AMERICA I,UNITED STATES OF AMERICA,7,02/15/2026,Milano Cortina,Italy,11162,True,Relay,6184.808043268488,5973.144414620711,5609.107438774676,5828.623200127363,6110.211979453536,5786.775327538662,6034.177651630825,5812.219882881012,6148.37142378542,121833,Ben Ogden,9179,1654.437751742951,1514.9170530773554,1440.6858592004403,1450.681207383176,1727.510152071819,1605.8190945275524,1696.9801856300055,1571.9442605959532,1601.0651901212984,Gus Schumacher,9172,1652.0785035355211,1633.746118213776,1552.163812276674,1545.4174089662467,1599.2327267004418,1464.7305642511296,1613.1373432232526,1566.03145137908,1618.7833353770436,Johnny Hagenbuch,12699,1394.1623532319277,1384.6279487531365,1235.3149404100684,1421.818722168951,1307.6752998900092,1285.4914187495654,1310.27565229739,1244.2113779489564,1461.534884112131,Zak Ketterson,5988,1484.129434758089,1439.8532945764437,1380.9428268874924,1410.7058616089896,1475.7938007912658,1430.7342500104153,1413.7844704801762,1430.0327929570235,1466.988014174947
GERMANY I,GERMANY,8,02/15/2026,Milano Cortina,Italy,8297,True,Relay,5886.696662628719,5840.77168766123,5596.81379078389,5791.87540855069,5202.411954722914,5131.99778816953,5211.106281297213,5590.579375289087,5849.784021767888,100070,Janosch Brugger,3657,1488.6074795025163,1501.2994895455508,1482.8582997651465,1429.4437525681328,1345.0195209561932,1306.7520732903993,1348.9857254481933,1422.4736653518978,1456.275633351418,Friedrich Moch,9323,1413.3888459949555,1457.6916177550395,1414.9187657227096,1503.6973958769968,1204.5160516139897,1209.1025785682846,1229.4605537368948,1374.9722455387548,1439.3175155290735,Florian Notz,1488,1515.635795693178,1561.5836287398415,1435.8756490603548,1530.1685451675926,1088.4482543003608,1162.0083316967891,1052.6563537116206,1392.8297336955864,1487.4175721732622,Jan Stölben,14033,1469.0645414380692,1320.196951620798,1263.1610762356793,1328.565714937968,1564.4281278523704,1454.1348046140577,1580.0036484005038,1400.303730702848,1466.773300714134
FINLAND I,FINLAND,9,02/15/2026,Milano Cortina,Italy,11558,True,Relay,6377.983538088301,6261.141518539131,6071.2393734599345,5790.148883128421,5498.963696759347,5603.820302548838,5325.037839929797,6155.915233812562,5959.204069128455,100072,Lauri Vuorinen,2874,1580.962624751594,1406.924005082873,1438.4995024054183,1293.529175212134,1678.1698248035968,1606.8638622074882,1638.1451391520982,1554.004899204189,1493.0176868691042,Iivo Niskanen,1470,1662.0296176815978,1704.538272730317,1693.7751641386824,1521.782900728287,1338.6591933568532,1407.2931252549768,1260.9560482717068,1672.1240664404884,1474.8002893836856,Arsi Ruuskanen,8120,1634.7282666694778,1633.2331072383677,1505.5025622687367,1526.4173159313295,1188.2942949519795,1261.358539263617,1173.8158829756246,1488.631937093775,1554.605429845833,Niko Anttola,17474,1500.2630289856318,1516.4461334875737,1433.4621446470967,1448.419491256671,1293.840383646918,1328.3047758227567,1252.1207695303674,1441.1543310741097,1436.7806630298317
