Team_Name,Nation,Team_Rank,Race_Date,City,Country,Is_Present,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Price,Team_API_ID,Member_1,Member_1_ID,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_C_Elo,Member_1_Distance_F_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_2,Member_2_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_C_Elo,Member_2_Distance_F_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo,Member_3,Member_3_ID,Member_3_Elo,Member_3_Distance_Elo,Member_3_Distance_C_Elo,Member_3_Distance_F_Elo,Member_3_Sprint_Elo,Member_3_Sprint_C_Elo,Member_3_Sprint_F_Elo,Member_3_Classic_Elo,Member_3_Freestyle_Elo,Member_4,Member_4_ID,Member_4_Elo,Member_4_Distance_Elo,Member_4_Distance_C_Elo,Member_4_Distance_F_Elo,Member_4_Sprint_Elo,Member_4_Sprint_C_Elo,Member_4_Sprint_F_Elo,Member_4_Classic_Elo,Member_4_Freestyle_Elo
SWEDEN I,SWEDEN,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,11324,100075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINLAND I,FINLAND,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,11558,100072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORWAY I,NORWAY,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,24383,100069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWITZERLAND I,SWITZERLAND,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,12792,101157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY I,GERMANY,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,8297,100070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES OF AMERICA I,UNITED STATES OF AMERICA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,11162,121833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY I,ITALY,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,14693,100073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE I,FRANCE,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,13005,102344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZECH REPUBLIC I,CZECH REPUBLIC,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,5756,102473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANADA I,CANADA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,5731,3100322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTONIA I,ESTONIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,3979,101490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA I,AUSTRALIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,1447,171268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA I,AUSTRIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,4842,100622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLAND I,POLAND,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,2917,185888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZAKHSTAN I,KAZAKHSTAN,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,1548,100074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKRAINE I,UKRAINE,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,1176,102475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATVIA I,LATVIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,1131,3550242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROATIA I,CROATIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,388,3380068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLOVAKIA I,SLOVAKIA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,830,171267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA I,ARGENTINA,0,02/14/2026,Milano Cortina,Italy,False,,,,,,,,,,226,3030039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
