FIS_Name,Skier,ID,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Date,City,Country,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo
Agustina Groetzner,Agustina Groetzner,7428,Argentina,False,0,ARGENTINA I,0,,,01/23/2026,Goms,Switzerland,1252.2494462387374,1272.326188759877,1231.013440391026,1271.1844650282392,1273.4411166149769,1278.9555495751447,1284.9596040972528,1280.174994825706,1262.91984749599
Nahiara Diaz Gonzalez,Nahiara Diaz Gonzalez,10264,Argentina,False,0,ARGENTINA I,0,,,01/23/2026,Goms,Switzerland,1223.0458087113134,1221.4478127683478,1244.701163593136,1263.7393757425248,1269.999541796941,1283.076761696357,1270.183083330614,1241.829492618187,1248.3941439387577
Maira Sofia Fernandez Righi,Maira Sofia Fernandez Righi,10663,Argentina,False,0,ARGENTINA I,0,,,01/23/2026,Goms,Switzerland,1282.2410699752122,1277.2144742404598,1295.1369666913818,1288.3789255002075,1300.3889769046518,1306.3162806395142,1294.756195106802,1300.9659266252609,1281.5763794598954
Victoria Richter Baratcabal,Victoria Richter Baratcabal,11137,Argentina,False,0,ARGENTINA I,0,,,01/23/2026,Goms,Switzerland,1281.047149188916,1289.7558386003736,1298.8206539117452,1292.7624928901555,1294.7536444422255,1294.5554740464645,1299.7764791417485,1291.0002921331754,1288.6972039543402
Rosie Fordham,Rosie Fordham,6450,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1341.4294499705034,1336.841151294958,1220.39900149572,1347.5027398259654,1281.9005313372709,1265.5139273325242,1279.1261210247844,1219.2552143818918,1373.831320181817
Isabella Moon,Isabella Moon,11160,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1172.407084990679,1191.4593861356457,1266.632049561231,1229.732879823275,1271.612328031541,1298.5788283900506,1269.585629927697,1263.8329739308572,1197.7309193897297
Maddi Hooker,Maddi Hooker,10268,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1102.1467761655638,1159.738158630531,1250.46470005026,1189.9746052913565,1180.4030373337198,1201.884070336897,1218.2240194304072,1180.7509607552154,1142.632872628462
Tuva Bygrave,Tuva Bygrave,6448,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1066.2758408958098,1090.796547420924,1190.308400664397,1164.2243999070458,1185.313252473237,1175.2997060763437,1249.606710596819,1123.1070438351346,1151.1903818346752
Satara Moon,Satara Moon,11159,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1225.500646184605,1232.7039145112915,1270.7190063800551,1268.474735190184,1291.6143453825885,1299.0422949422646,1294.0653926398577,1268.3125095435726,1253.9382338254013
Rosie Franzke,Rosie Franzke,11158,Australia,False,0,AUSTRALIA I,0,,,01/23/2026,Goms,Switzerland,1287.5533120790783,1294.355394955977,1297.7604096011282,1297.824005630728,1293.804175791875,1300.1788283900507,1294.0653926398577,1296.7695596907186,1293.2223645473805
