FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
RIEBLI Janik,Janik Riebli,SUI,True,1101,SWITZERLAND I,1,5:43.96,1,1528.633780315591,1331.6297488743494,1256.48547764893,1328.965179086612,1629.9459455462309,1418.0174662725854,1700.4412350377754,1350.5017539475305,1566.030809201721,7725,01/23/2026,Goms,Switzerland
GROND Valerio,Valerio Grond,SUI,True,2083,SWITZERLAND I,1,5:43.96,2,1423.4649715663622,1251.1895112969114,1290.8165947821203,1248.9772690056543,1682.24831640634,1545.4075105431227,1688.221730617715,1414.3563098924765,1482.3099395599618,12164,01/23/2026,Goms,Switzerland
AMUNDSEN Harald Oestberg,Harald Østberg Amundsen,NOR,True,10196,NORWAY I,2,5:44.17,1,1867.9976431455625,1840.8725268142855,1669.1127514731295,1724.364610053383,1707.2456672232008,1601.421455817024,1653.577504597899,1715.4034061961604,1787.857069179274,5449,01/23/2026,Goms,Switzerland
HEDEGART Einar,Einar Hedegart,NOR,True,2748,NORWAY I,2,5:44.17,2,1597.4344759021303,1585.9057285586923,1271.4236315524277,1564.3671900971558,1323.1632599285622,1276.1463877935214,1323.3217364070829,1263.4854527797122,1610.916099994427,20631,01/23/2026,Goms,Switzerland
OGDEN Ben,Ben Ogden,USA,True,4225,UNITED STATES OF AMERICA I,3,5:44.77,1,1628.2076943252196,1523.405029506061,1444.5977101447197,1461.9722533487025,1705.9136258227516,1586.5174837446905,1696.9801856300055,1536.9690484613482,1609.1466029395722,9179,01/23/2026,Goms,Switzerland
SCHUMACHER Gus,Gus Schumacher,USA,True,6574,UNITED STATES OF AMERICA I,3,5:44.77,2,1730.3215761770307,1688.6835171241478,1567.0203906592603,1579.501916876966,1593.796122486721,1452.784671194551,1613.1373432232526,1583.9599225982515,1671.4644377821007,9172,01/23/2026,Goms,Switzerland
BARP Elia,Elia Barp,ITA,True,4586,ITALY I,4,5:45.05,1,1674.148697684543,1667.5649446850075,1520.780462011669,1554.8826840045856,1428.2602067706928,1418.604887796337,1361.9981860853056,1560.0374311340163,1561.2689556653274,14042,01/23/2026,Goms,Switzerland
PELLEGRINO Federico,Federico Pellegrino,ITA,True,11210,ITALY I,4,5:45.05,2,1770.744234296333,1689.676708783007,1603.6428036071034,1541.053320940764,1718.215132210444,1575.1605532323738,1749.404659025171,1645.223690552577,1685.3988739728943,44,01/23/2026,Goms,Switzerland
GRAZ Davide,Davide Graz,ITA,True,855,ITALY II,5,5:49.49,1,1567.843919672078,1498.9937000949446,1362.6799686893844,1489.7996321193814,1551.645699903391,1379.545786895085,1596.3764339113006,1409.9477339132347,1583.9257809798455,12165,01/23/2026,Goms,Switzerland
CAROLLO Martino,Martino Carollo,ITA,True,792,ITALY II,5,5:49.49,2,1506.8687653630884,1470.214063797511,1290.5452328593017,1473.436111247832,1476.128696674923,1317.693774354953,1501.9134271677851,1306.0554007950566,1551.4334445648572,19980,01/23/2026,Goms,Switzerland
SCHELY Theo,Theo Schely,FRA,True,212,FRANCE I,6,5:49.52,1,1586.0467689082009,1535.661280893631,1493.3076032838178,1406.583161139318,1439.1680187506038,1402.679079494219,1388.098073909283,1523.4033004387222,1460.827233855161,12166,01/23/2026,Goms,Switzerland
CHANAVAT Lucas,Lucas Chanavat,FRA,True,2424,FRANCE I,6,5:49.52,2,1359.798821091563,1059.5774638843477,1112.3848829889394,1130.8332856398138,1686.814499919982,1510.283150415259,1776.4212338849327,1319.84031514266,1443.9806438701753,3582,01/23/2026,Goms,Switzerland
BERGLUND Gustaf,Gustaf Berglund,SWE,True,486,SWEDEN I,7,5:49.82,1,1536.7597630496336,1544.5779049114592,1474.319111066135,1478.596307875778,1356.8325163680709,1313.676996750435,1349.5416997836292,1469.9871858963843,1482.141615973254,12178,01/23/2026,Goms,Switzerland
ANGER Edvin,Edvin Anger,SWE,True,9128,SWEDEN I,7,5:49.82,2,1645.6812437820968,1570.797104272513,1608.8226480911665,1426.5669782888046,1703.647270487538,1569.1774849716132,1719.6223537445155,1655.139194750408,1529.0578171133368,14039,01/23/2026,Goms,Switzerland
KECK Elias,Elias Keck,GER,True,213,GERMANY I,8,5:50.33,1,1329.583870553516,1328.7944742608142,1298.333881754999,1315.102061654255,1351.7519120799775,1281.3063716738584,1414.5928940646834,1269.6629160354898,1387.8705101030914,14056,01/23/2026,Goms,Switzerland
STOELBEN Jan,Jan Stölben,GER,True,232,GERMANY I,8,5:50.33,2,1477.430234872376,1329.3279595174092,1262.7898023364496,1337.187981071702,1586.4822104266254,1465.258607403664,1580.0036484005038,1391.1562912650236,1469.1393173577949,14033,01/23/2026,Goms,Switzerland
VUORINEN Lauri,Lauri Vuorinen,FIN,True,2190,FINLAND I,9,5:51.09,1,1502.4208957341684,1379.5519103132854,1423.6577151082329,1291.007748401033,1645.403633734091,1610.6139049633573,1589.4049442051653,1536.9680137115388,1441.7665505319233,2874,01/23/2026,Goms,Switzerland
MAKI Joni,Joni Mäki,FIN,True,463,FINLAND I,9,5:51.09,2,1536.197257510404,1397.3962780555992,1403.0493442293407,1322.8797156456294,1625.829278822157,1547.3880180410638,1598.8579489297008,1539.1041146771352,1434.123907210228,3586,01/23/2026,Goms,Switzerland
SOSSAU-DAUBERMANN Anian,Anian Sossau-Daubermann,GER,True,227,GERMANY II,10,5:51.95,1,1354.7683444470003,1311.4736353918483,1230.7395560932523,1354.7109356915837,1386.2406127320542,1296.793258437062,1427.971310333064,1239.3611753614323,1409.7614327613996,9340,01/23/2026,Goms,Switzerland
JUNG Simon,Simon Jung,GER,True,232,GERMANY II,10,5:51.95,2,1300.2079110816585,1294.263217287273,1281.0345940117843,1312.2222881551618,1304.0951084856206,1303.7217729122458,1328.00644312315,1299.2361083537587,1342.5371679101968,14053,01/23/2026,Goms,Switzerland
EVENSEN Ansgar,Ansgar Evensen,NOR,True,2029,NORWAY II,11,5:51.98,1,1479.740720956751,1169.4867517699872,1184.3704951130194,1237.9547215449586,1700.4923691405445,1604.8554913412631,1640.309818326155,1422.5259357784246,1477.5883571001943,8246,01/23/2026,Goms,Switzerland
NORTHUG Even,Even Northug,NOR,True,2443,NORWAY II,11,5:51.98,2,1581.2563439812425,1216.590754218441,1260.348400205604,1226.3846758660443,1645.933800914952,1621.051902221726,1587.9854408376318,1542.9375581478216,1526.912120177025,3590,01/23/2026,Goms,Switzerland
JOUVE Richard,Richard Jouve,FRA,True,1025,FRANCE II,12,5:53.45,1,1486.7037875956985,1400.3009227327025,1339.248522287422,1385.7332000855004,1543.709490562296,1504.9977534011125,1523.810313109685,1431.9992750299236,1506.8591977096244,2768,01/23/2026,Goms,Switzerland
CHAPPAZ Jules,Jules Chappaz,FRA,True,1375,FRANCE II,12,5:53.45,2,1675.7854700559133,1534.6811441283828,1459.2858285094992,1424.3323475592329,1681.0574781239968,1603.939882765529,1618.9695183638694,1606.3453901044363,1572.4945924404556,12181,01/23/2026,Goms,Switzerland
MCMULLEN Zanden,Zanden McMullen,USA,True,322,UNITED STATES OF AMERICA II,13,5:54.20,1,1391.951226753839,1395.627367016648,1346.340715015122,1394.9701861974695,1353.1277776370268,1343.211135635359,1330.3133361609555,1350.088499434657,1397.2691781737044,12698,01/23/2026,Goms,Switzerland
SCHOONMAKER JC,James Clinton Schoonmaker,USA,True,755,UNITED STATES OF AMERICA II,13,5:54.20,2,1514.611421680482,1384.912541427147,1297.8139452389037,1351.3890665409615,1547.9520153601463,1463.7931245137518,1563.8067693592063,1402.6195645899932,1516.3635737719278,9201,01/23/2026,Goms,Switzerland
DANIELSSON Emil,Emil Danielsson,SWE,True,284,SWEDEN II,14,5:54.59,1,1440.082764603209,1190.8914536655022,1223.3822926004395,1245.7388855295385,1494.3049238532874,1470.3254449352196,1461.0942518801212,1397.8509649723353,1419.0400618645265,12801,01/23/2026,Goms,Switzerland
