FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
GROETTING Karoline,Karoline Grøtting,NOR,True,374,NORWAY II,1,6:42.99,1,Team Sprint,1468.717676203537,1406.249874485168,1308.3873050503755,1357.4774411125034,1314.1762058319025,1290.764728394449,1321.4322845171214,1331.4725136764123,1425.9975199508312,6419.0,01/23/2026,Goms,Switzerland
WENG Tiril Udnes,Tiril Udnes Weng,NOR,True,788,NORWAY II,1,6:42.99,2,Team Sprint,1485.6633841612202,1512.5905760588423,1457.7742608935664,1480.5049719375068,1452.385959923226,1413.737570102773,1468.9347054617033,1436.4804627804122,1487.247552883279,1668.0,01/23/2026,Goms,Switzerland
SLIND Astrid Oeyre,Astrid Øyre Slind,NOR,True,3542,NORWAY I,10,6:52.12,1,Team Sprint,1741.3499215362615,1769.2123023811953,1602.473566336953,1612.9885201215016,1376.0582204979246,1326.3660044387236,1386.324066662548,1612.456940699071,1631.0448224075196,115.0,01/23/2026,Goms,Switzerland
DRIVENES Julie Bjervig,Julie Bjervig Drivenes,NOR,True,3728,NORWAY I,10,6:52.12,2,Team Sprint,1616.0495984673237,1568.6639023443486,1461.0383778743235,1454.009670552741,1402.212682651492,1351.993165257789,1393.6473360442965,1491.536230374457,1515.8191061112864,3357.0,01/23/2026,Goms,Switzerland
GAGNON Liliane,Liliane Gagnon,CAN,True,211,CANADA I,11,6:52.22,1,Team Sprint,1325.8821295480102,1291.129513202967,1255.7723390643264,1299.315548441185,1339.1041915391413,1262.33319271785,1344.9283195164342,1257.6502971239968,1330.3804541954394,7427.0,01/23/2026,Goms,Switzerland
BOUFFARD-NESBITT Olivia,Olivia Bouffard-Nesbitt,CAN,True,233,CANADA I,11,6:52.22,2,Team Sprint,1261.916992877603,1190.729822662894,1175.678558199702,1247.8787067410535,1345.2185177665367,1288.2306297721664,1363.1347123327123,1201.0340446925863,1318.573525078154,1685.0,01/23/2026,Goms,Switzerland
TIRLOY Margot,Margot Tirloy,FRA,True,233,FRANCE II,12,6:53.62,1,Team Sprint,1319.1307507501715,1277.4717365568977,1238.8277046136975,1311.384265381267,1331.865509702232,1286.4321896480333,1372.3668983141904,1247.8107468024643,1365.5490790374802,10829.0,01/23/2026,Goms,Switzerland
PIERREL Julie,Julie Pierrel,FRA,True,211,FRANCE II,12,6:53.62,2,Team Sprint,1306.215626063214,1253.820636648832,1269.3978798019511,1248.275458100501,1314.888407306379,1304.7760848770174,1283.529198844275,1303.2349636924655,1242.306295656643,7444.0,01/23/2026,Goms,Switzerland
KAELIN Nadja,Nadja Kälin,SUI,True,1342,SWITZERLAND I,13,6:55.63,1,Team Sprint,1531.8725102979945,1511.6758619232685,1430.7793403152168,1411.0517219022995,1403.1087760078256,1332.7154739526156,1406.597210548934,1430.9843214628124,1482.8433299772078,6639.0,01/23/2026,Goms,Switzerland
MEIER Alina,Alina Meier,SUI,True,211,SWITZERLAND I,13,6:55.63,2,Team Sprint,1347.2508770756397,1257.9822421131505,1259.9153196962131,1267.8909629826796,1386.493990613393,1247.4971179861318,1481.2009306629866,1237.4422334346975,1392.8260251804595,1680.0,01/23/2026,Goms,Switzerland
BUCHER Heidi,Heidi Bucher,AUT,True,216,AUSTRIA I,14,6:56.41,1,Team Sprint,1319.937376808758,1301.373977255088,1300.2815937577018,1299.354844091786,1315.3441747089164,1299.525710436709,1318.252666733131,1304.6768010465494,1319.0791336376212,10823.0,01/23/2026,Goms,Switzerland
SCHERZ Magdalena,Magdalena Scherz,AUT,True,227,AUSTRIA I,14,6:56.41,2,Team Sprint,1415.111090001429,1265.7331317341352,1269.2779101218418,1264.538454482853,1437.8762813746227,1318.870133677211,1468.4064178076364,1313.439786851012,1416.4325550665571,6707.0,01/23/2026,Goms,Switzerland
JORTBERG Lauren,Lauren Jortberg,USA,True,216,UNITED STATES OF AMERICA II,15,7:00.93,1,Team Sprint,1220.4675128415895,1249.836200344763,1280.6457584144969,1257.385475778061,1237.8990614598742,1217.614087631754,1259.0651712817812,1224.8331237757448,1237.0258761351972,3997.0,01/23/2026,Goms,Switzerland
KRAMER Kendall,Kendall Kramer,USA,True,226,UNITED STATES OF AMERICA II,15,7:00.93,2,Team Sprint,1279.6451586828289,1275.818178993734,1282.819852744483,1290.100318025316,1281.340491463842,1267.378409412469,1280.6585535217234,1284.4823460613045,1294.225283588925,6650.0,01/23/2026,Goms,Switzerland
RYYTTY Vilma,Vilma Ryytty,FIN,True,415,FINLAND II,16,7:02.09,1,Team Sprint,1448.7080508608854,1490.7912736724093,1343.3937605659917,1429.0885366628538,1208.5495077074022,1279.4077994041309,1175.7856783421516,1329.621799412575,1401.441290371364,6607.0,01/23/2026,Goms,Switzerland
NISSINEN Vilma,Vilma Nissinen,FIN,True,339,FINLAND II,16,7:02.09,2,Team Sprint,1464.8667567892574,1454.9551045555193,1382.691878575914,1379.1419456494968,1317.0706942622242,1296.3895977226664,1305.9797244754725,1389.9122236566204,1404.8077028579933,3034.0,01/23/2026,Goms,Switzerland
FORDHAM Rosie,Rosie Fordham,AUS,True,228,AUSTRALIA I,17,7:20.58,1,Team Sprint,1341.4294499705034,1336.841151294958,1220.39900149572,1347.5027398259654,1281.9005313372709,1265.5139273325242,1279.1261210247844,1219.2552143818918,1373.831320181817,6450.0,01/23/2026,Goms,Switzerland
LIE Ellen Soehol,Ellen Søhol Lie,AUS,True,215,AUSTRALIA I,17,7:20.58,2,Team Sprint,1111.6537125544212,1139.9855017752209,1202.1403474013723,1185.2024522373806,1172.339334094847,1172.3888725229294,1217.088135736933,1139.252533851118,1156.2714344370636,6627.0,01/23/2026,Goms,Switzerland
FUJAK Zuzanna,Zuzanna Fujak,POL,True,214,POLAND I,18,7:33.47,1,Team Sprint,1228.7113564641584,1245.2061603377565,1267.1679645181605,1271.4238040377518,1247.8448953746008,1246.2055606777567,1295.3947580555507,1233.543504019615,1270.958565417102,8059.0,01/23/2026,Goms,Switzerland
BUSKO Oliwia,Oliwia Busko,POL,True,221,POLAND I,18,7:33.47,2,Team Sprint,1154.8984427841706,1185.9273162502843,1232.2156725242344,1251.475164184015,1223.6697828918889,1242.4608285585234,1267.396416903934,1192.2268384175288,1232.2230204543678,8069.0,01/23/2026,Goms,Switzerland
NIKON Anastasiia,Anastasiia Nikon,UKR,True,217,UKRAINE I,19,7:34.12,1,Team Sprint,1014.2428372624248,1070.268151543635,1161.736165799847,1137.80517182195,1099.357425631425,1173.584583571025,1100.123453693977,1114.0703293504334,1045.025211340082,6954.0,01/23/2026,Goms,Switzerland
SHKATULA Sofiia,Sofiia Shkatula,UKR,True,0,UKRAINE I,19,7:34.12,2,Team Sprint,1044.4027812160216,1086.0948200302378,1144.2242411915963,1186.8022988874748,1158.0375773317576,1216.7873058134178,1159.104477254499,1111.3700944530826,1117.5780536614548,10768.0,01/23/2026,Goms,Switzerland
GIMMLER Laura,Laura Gimmler,GER,True,2107,GERMANY I,2,6:43.18,1,Team Sprint,1592.724641935191,1426.4944440111844,1419.7520207817718,1292.998123761228,1612.6234179765777,1568.607551629237,1552.4911193977116,1549.5731485604094,1494.9589615160871,1495.0,01/23/2026,Goms,Switzerland
RYDZEK Coletta,Coletta Rydzek,GER,True,3502,GERMANY I,2,6:43.18,2,Team Sprint,1524.7947510778745,1370.5238547456945,1384.0517173714416,1277.949364395228,1652.1654009922909,1518.9402967088909,1659.0559051570924,1479.8079223761904,1505.7877704854102,3254.0,01/23/2026,Goms,Switzerland
HAVLICKOVA Barbora,Barbora Havlickova,CZE,True,222,CZECH REPUBLIC I,20,7:35.46,1,Team Sprint,1129.00064944875,1149.9877905126598,1247.1768992939217,1164.653512266589,1215.245285781935,1262.6104641130544,1203.6350050843623,1242.3832739461611,1131.5254160806792,3216.0,01/23/2026,Goms,Switzerland
ANTOSOVA Barbora,Barbora Antosova,CZE,True,230,CZECH REPUBLIC I,20,7:35.46,2,Team Sprint,1327.2928660212522,1218.4905660540078,1247.1297386095346,1272.436155670587,1331.3424497510791,1325.3300059228832,1306.3968752452113,1324.1875205788972,1298.4398587369617,6633.0,01/23/2026,Goms,Switzerland
