FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
VALNES Erik,Erik Valnes,NOR,True,9935,NORWAY I,1,4:41.05,1,Team Sprint,1863.6041804876652,1767.8805931247523,1663.2433154123937,1399.8899498262365,1822.2915776922748,1744.2670678428622,1706.8001877457978,1789.5448943384629,1621.362281811405,5923,12/12/2025,Davos,Switzerland
KLAEBO Johannes Hoesflot,Johannes Høsflot Klæbo,NOR,True,19267,NORWAY I,1,4:41.05,2,Team Sprint,1955.9380942745693,1887.1786584849983,1734.1167990316762,1705.2355279852802,1888.5668565555352,1772.989619748762,1834.3469121566632,1861.25655638922,1773.8983289966666,5164,12/12/2025,Davos,Switzerland
VUORINEN Lauri,Lauri Vuorinen,FIN,True,2084,FINLAND I,10,4:48.89,1,Team Sprint,1659.4869575232146,1349.407257558893,1336.623312366142,1299.1135599546278,1742.5198162903696,1665.7884930073262,1631.91202880287,1622.1363990520756,1557.1495973852986,2874,12/12/2025,Davos,Switzerland
MAKI Joni,Joni Mäki,FIN,True,560,FINLAND I,10,4:48.89,2,Team Sprint,1616.9567772463224,1560.7725837130934,1322.7833085298428,1536.5617930201072,1591.6618323250134,1531.2872209440495,1554.3332383047657,1511.770855704425,1575.5166879209896,3586,12/12/2025,Davos,Switzerland
FOETTINGER Michael,Michael Föttinger,AUT,True,228,AUSTRIA I,11,4:49.41,1,Team Sprint,1246.665061350414,1139.305077406012,1240.1816272862154,1150.7244142716868,1502.4709580312056,1455.907405372923,1375.578992481885,1430.9054405023758,1185.2893319198745,5978,12/12/2025,Davos,Switzerland
MOSER Benjamin,Benjamin Moser,AUT,True,260,AUSTRIA I,11,4:49.41,2,Team Sprint,1592.495601704869,1490.2345830927163,1246.9002870755023,1496.8948482137548,1522.4409494312265,1484.4997366636237,1457.7350483878483,1444.4742119517082,1551.701350364015,5989,12/12/2025,Davos,Switzerland
STERN Nejc,Nejc Stern,SLO,True,219,SLOVENIA I,12,4:50.12,1,Team Sprint,1267.8637845972553,1178.9100841936474,1276.6498464025751,1195.398973153161,1484.0818327571062,1436.6307206438596,1356.928171967557,1421.1218517722027,1215.821394118797,18932,12/12/2025,Davos,Switzerland
CRV Vili,Vili Crv,SLO,True,219,SLOVENIA I,12,4:50.12,2,Team Sprint,1222.629994108574,1171.8946207239278,1207.030690846405,1173.674462590472,1365.1698441448204,1292.8736140073854,1374.6233103586237,1265.172294599495,1220.137070425673,5931,12/12/2025,Davos,Switzerland
NAEFF Noe,Noe Näff,SUI,True,227,SWITZERLAND I,13,4:50.23,1,Team Sprint,1420.8036744357094,1220.719607979265,1242.831504524297,1233.596108885263,1455.165715802562,1293.2803937520966,1480.6624115735224,1291.5106331177149,1433.4521227306668,19984,12/12/2025,Davos,Switzerland
RIEBLI Janik,Janik Riebli,SUI,True,294,SWITZERLAND I,13,4:50.23,2,Team Sprint,1315.2359320921212,1208.0355457469734,1233.5956766496652,1224.3759904392405,1474.731186016661,1410.7919541350998,1599.0198657120295,1362.810222728123,1326.780536547959,7725,12/12/2025,Davos,Switzerland
TUZ Jiri,Jiri Tuz,CZE,True,215,CZECH REPUBLIC I,15,4:52.14,1,Team Sprint,1378.852907549367,1293.1611004971649,1409.8411198808794,1228.6215762281836,1591.2081386612826,1517.2535793249428,1409.6454656409803,1539.3306790487225,1268.67123969368,17348,12/12/2025,Davos,Switzerland
NOVAK Michal,Michal Novak,CZE,True,1153,CZECH REPUBLIC I,15,4:52.14,2,Team Sprint,1327.6897884648977,1439.3693486503553,1377.4376422111002,1512.7913580871732,1380.884907938824,1321.9783471452315,1541.7155531101812,1278.5157817464271,1542.861896464036,3655,12/12/2025,Davos,Switzerland
HAKOLA Ristomatti,Ristomatti Hakola,FIN,True,1226,FINLAND II,16,4:52.39,1,Team Sprint,1552.8142189834127,1540.4610048010384,1540.9578242404111,1467.7342939369082,1584.5429167072616,1530.854301397827,1497.8169760296817,1565.2142876068108,1507.7721924775392,2553,12/12/2025,Davos,Switzerland
LIEKARI Emil,Emil Liekari,FIN,True,219,FINLAND II,16,4:52.39,2,Team Sprint,1550.2490002468635,1311.9244733249432,1308.8289886092589,1277.4299954240655,1585.805025247979,1511.8738100947348,1533.704942330423,1499.6967797283216,1467.3762639031445,12440,12/12/2025,Davos,Switzerland
YOUNG Andrew,Andrew Young,GBR,True,219,GREAT BRITAIN I,17,4:52.94,1,Team Sprint,1345.9693066517175,1364.52700834172,1275.082624466328,1388.1474643451038,1324.3619348069035,1301.3217440957012,1333.1094014399146,1280.338121093593,1360.802639684064,1642,12/12/2025,Davos,Switzerland
CLUGNET James,James Clugnet,GBR,True,213,GREAT BRITAIN I,17,4:52.94,2,Team Sprint,1209.6547399616709,1248.9921516381185,1181.1144827065798,1245.3970796562553,1285.7244184196063,1239.9898845931405,1488.3619450221574,1186.700441497493,1268.703012050586,3615,12/12/2025,Davos,Switzerland
OGDEN Ben,Ben Ogden,USA,True,4480,UNITED STATES OF AMERICA I,18,4:53.04,1,Team Sprint,1517.0989883391878,1455.0665531463658,1456.4568562415443,1394.5451379881322,1735.155562826258,1641.311380420857,1675.0066398110694,1639.3681292769222,1467.5957167306751,9179,12/12/2025,Davos,Switzerland
SCHOONMAKER JC,James Clinton Schoonmaker,USA,True,847,UNITED STATES OF AMERICA I,18,4:53.04,2,Team Sprint,1366.1207733620035,1295.4381698079144,1266.1415132682332,1247.8552418249944,1480.5257923954082,1431.9961037969078,1603.7740024865884,1368.386590141558,1330.169337341102,9201,12/12/2025,Davos,Switzerland
BURY Dominik,Dominik Bury,POL,True,231,POLAND I,19,4:53.72,1,Team Sprint,1449.244802011045,1447.415896190314,1234.840036887417,1443.1223247669047,1302.8572418227243,1210.7451832002894,1329.8041733016637,1233.140121415705,1456.6635133480113,3623,12/12/2025,Davos,Switzerland
STAREGA Maciej,Maciej Starega,POL,True,212,POLAND I,19,4:53.72,2,Team Sprint,1341.788014121151,1091.3687047224644,1122.9751453936385,1132.530593247198,1384.8496230110816,1319.581485652095,1465.0839710573057,1288.293625626198,1397.9821587661952,139,12/12/2025,Davos,Switzerland
AMUNDSEN Harald Oestberg,Harald Østberg Amundsen,NOR,True,14900,NORWAY II,2,4:42.29,1,Team Sprint,1922.3714756880404,1910.307065342237,1654.9953577285455,1769.5825061996966,1738.1029408035158,1643.1772407710175,1577.8180629295136,1729.9841246954825,1803.429745635328,5449,12/12/2025,Davos,Switzerland
VIKE Oskar Opstad,Oskar Opstad Vike,NOR,True,427,NORWAY II,2,4:42.29,2,Team Sprint,1704.9808681951492,1220.719607979265,1242.831504524297,1233.596108885263,1736.836373498892,1660.584279790329,1396.439942815451,1672.900845624758,1368.292279423899,19279,12/12/2025,Davos,Switzerland
LOVERA Victor,Victor Lovera,FRA,True,212,FRANCE II,20,4:54.19,1,Team Sprint,1644.2675828499694,1637.4740824359212,1375.7599754995488,1573.818968354669,1234.1077286264072,1231.3956037511944,1235.5251028559337,1376.482858769611,1588.5747757405593,17106,12/12/2025,Davos,Switzerland
BOURDIN Remi,Remi Bourdin,FRA,True,228,FRANCE II,20,4:54.19,2,Team Sprint,1371.6981139120996,1523.56771780271,1492.523143288416,1366.4591021417946,1384.1921943948748,1314.9999952507849,1546.278175888911,1335.9980459585604,1524.6002523727796,17445,12/12/2025,Davos,Switzerland
ENGEL Erik,Erik Engel,AUT,True,232,AUSTRIA II,21,4:54.84,1,Team Sprint,1223.182504559585,1172.988433439158,1284.7119261163573,1177.7362045475757,1435.7288656525257,1398.6614357039402,1271.8990861472812,1380.6212726361005,1174.7629724462963,14049,12/12/2025,Davos,Switzerland
MRKONJIC Lukas,Lukas Mrkonjic,AUT,True,227,AUSTRIA II,21,4:54.84,2,Team Sprint,1322.993971726827,1265.4057741443626,1268.73808301096,1233.596108885263,1363.2575795582422,1330.8763967011962,1362.4681138080616,1296.769594388813,1339.431045691205,9689,12/12/2025,Davos,Switzerland
HINCKFUSS Hugo,Hugo Hinckfuss,AUS,True,224,AUSTRALIA I,22,4:55.49,1,Team Sprint,1196.381825675651,1207.6583296246897,1190.2763387468067,1270.204414127944,1251.1572116068085,1264.862020546798,1258.153745219629,1177.4429052357834,1240.1702094143288,12412,12/12/2025,Davos,Switzerland
VIK Lars Young,Lars Young Vik,AUS,True,218,AUSTRALIA I,22,4:55.49,2,Team Sprint,1121.9844955587307,1165.5782949375446,1207.21711330395,1180.50543685078,1192.7356814815753,1175.7593309971892,1365.6532568221749,1109.174032139539,1221.7802208867447,12386,12/12/2025,Davos,Switzerland
MUSGRAVE Andrew,Andrew Musgrave,GBR,True,1899,GREAT BRITAIN II,23,4:57.60,1,Team Sprint,1533.9695678664543,1529.166113369006,1513.319165090025,1435.656589445926,1253.649466162551,1195.2320602449429,1311.8447915438994,1502.606676174187,1441.8695290071482,277,12/12/2025,Davos,Switzerland
DAVIES Joe,Joe Davies,GBR,True,223,GREAT BRITAIN II,23,4:57.60,2,Team Sprint,1447.7744139113436,1446.9692962360175,1290.2436073818426,1414.2464126996483,1234.1077286264072,1231.3956037511944,1235.5251028559337,1293.6270090085752,1431.6243848170543,14110,12/12/2025,Davos,Switzerland
KAPARKALEJS Lauris,Lauris Kaparkalejs,LAT,True,229,LATVIA I,24,4:57.96,1,Team Sprint,1062.5379381534588,1043.142611655277,1110.982982568516,1086.8743773716153,1209.7421591131492,1158.8277833317748,1373.9819001074604,1091.44012495612,1131.4220593964712,14054,12/12/2025,Davos,Switzerland
VIGANTS Raimo,Raimo Vigants,LAT,True,214,LATVIA I,24,4:57.96,2,Team Sprint,1162.2218589836623,1174.470637017716,1188.8074727881926,1178.0984159106774,1237.0237322963594,1166.8676240407692,1371.29675539942,1127.7850098131375,1221.7847586619234,4153,12/12/2025,Davos,Switzerland
ISSABEK Iliyas,Iliyas Issabek,KAZ,True,0,KAZAKHSTAN I,25,5:00.55,1,Team Sprint,1030.2916661969357,1046.5984391799286,1160.4296718238695,1085.8387474518672,1167.5590491311073,1164.414313605329,1235.5251028559337,1076.857259199738,1092.7192021013482,13111,12/12/2025,Davos,Switzerland
NURSBEKOV Yernar,Yernar Nursbekov,KAZ,True,0,KAZAKHSTAN I,25,5:00.55,2,Team Sprint,1025.0300642675516,1059.13102356623,1180.5821686232844,1147.7362045475757,1178.438244281591,1174.648940744182,1264.6307944982034,1103.4257880356588,1138.781649083926,13114,12/12/2025,Davos,Switzerland
MAOWULIETIBIEKE Entemake,Entemake Maowulietibieke,CHN,True,223,PEOPLES REPUBLIC OF CHINA I,26,5:01.53,1,Team Sprint,1063.105735504937,1101.42270948972,1160.5726079871488,1220.0128907928918,1154.7482115903972,1158.5925580967055,1223.607723438285,1082.8541221950925,1206.119894647559,11992,12/12/2025,Davos,Switzerland
WANG Qiang,Qiang Wang,CHN,True,217,PEOPLES REPUBLIC OF CHINA I,26,5:01.53,2,Team Sprint,1294.184334693428,1148.7599587046625,1154.9497071655685,1232.2556397487242,1351.598290289296,1314.8336794005872,1456.0425993176314,1259.655661786026,1386.7479800476242,11198,12/12/2025,Davos,Switzerland
KILP Marko,Marko Kilp,EST,True,215,ESTONIA I,27,5:02.50,1,Team Sprint,1270.0774600017355,1189.350070102466,1198.2955887511775,1201.991365065046,1318.7278199531063,1292.5252928277214,1290.044704899056,1255.589987836572,1243.379843755536,1993,12/12/2025,Davos,Switzerland
ROOS Henri,Henri Roos,EST,True,219,ESTONIA I,27,5:02.50,2,Team Sprint,1190.3882215799158,1195.8975560140966,1229.1815634775685,1217.4376385809337,1293.287006678645,1229.2507091149637,1299.5965438915705,1225.6539447968732,1229.7252227817637,5317,12/12/2025,Davos,Switzerland
BELLINGHAM Phillip,Philip Bellingham,AUS,True,233,AUSTRALIA II,28,5:02.83,1,Team Sprint,988.26804369601,1016.6427027205724,1105.2117032019266,1045.1176649237343,1110.0720085163134,1097.89196493524,1256.8359633785535,1014.9443520837197,1063.4828395805189,1951,12/12/2025,Davos,Switzerland
WALKER-BROOSE Bentley,Bentley Walker-Broose,AUS,True,0,AUSTRALIA II,28,5:02.83,2,Team Sprint,988.9806161641916,990.9715323888956,1060.323376386134,1095.0646196495784,1218.919488411172,1248.5541621803077,1227.6170852166574,1050.066706030875,1099.1730657197857,9894,12/12/2025,Davos,Switzerland
KASAHARA Sho,Sho Kasahara,JPN,True,226,JAPAN II,29,5:03.28,1,Team Sprint,1161.7990340114245,1227.114711733932,1350.0668820662668,1229.0300774825555,1156.4719814448404,1161.1939981154003,1263.3276575758528,1121.6367927769577,1225.1926514606416,13540,12/12/2025,Davos,Switzerland
BABA Naoto,Naoto Baba,JPN,True,214,JAPAN II,29,5:03.28,2,Team Sprint,1445.1099832787584,1443.1241941114315,1320.359571641008,1422.3062949965483,1139.4419958336264,1156.0437779909057,1165.337015445905,1316.5495170252343,1428.8828611038716,5186,12/12/2025,Davos,Switzerland
BARP Elia,Elia Barp,ITA,True,992,ITALY I,3,4:43.49,1,Team Sprint,1721.5494081003546,1714.0500087672604,1471.5650001660774,1620.8585668934454,1430.5370840249552,1373.6223273596677,1419.263420050473,1479.3882591110853,1637.6744346707237,14042,12/12/2025,Davos,Switzerland
PELLEGRINO Federico,Federico Pellegrino,ITA,True,6210,ITALY I,3,4:43.49,2,Team Sprint,1688.5524530126686,1646.7925770053787,1520.4431570323463,1500.9607552714465,1673.831692991776,1581.8039319646937,1764.22397305123,1584.5557501716287,1582.1518752577529,44,12/12/2025,Davos,Switzerland
RENDA Andrej,Andrej Renda,SVK,True,0,SLOVAKIA I,30,5:05.48,1,Team Sprint,1123.147976043002,1101.5861036757856,1187.468530739189,1176.2146342555618,1248.8091111575895,1231.756326649128,1273.514932299363,1146.2948871173876,1180.771746151535,12475,12/12/2025,Davos,Switzerland
HINDS Peter,Peter Lind,SVK,True,0,SLOVAKIA I,30,5:05.48,2,Team Sprint,1297.5242235220078,1294.133676662698,1242.831504524297,1285.4326624629227,1234.1077286264072,1231.3956037511944,1235.5251028559337,1226.7250241038964,1284.3878465069215,17831,12/12/2025,Davos,Switzerland
HARATYK Mateusz,Mateusz Haratyk,POL,True,213,POLAND II,32,5:11.66,1,Team Sprint,1102.936055965107,1106.240717375861,1153.2409895488831,1144.342293539849,1196.793181183217,1210.9128707629936,1214.7355517447538,1128.2286954503988,1126.735385627467,5942,12/12/2025,Davos,Switzerland
BUGARA Robert,Robert Bugara,POL,True,0,POLAND II,32,5:11.66,2,Team Sprint,1156.00702054484,1196.9802367079842,1247.3906671620966,1241.3022640944437,1206.509759905062,1237.159508940306,1211.831325658494,1205.0483793577273,1187.6908330085312,12770,12/12/2025,Davos,Switzerland
