Team_Name,Nation,Team_Rank,Race_Date,City,Country,Price,Is_Present,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Team_API_ID,Member_1,Member_1_ID,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_C_Elo,Member_1_Distance_F_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_2,Member_2_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_C_Elo,Member_2_Distance_F_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo
NORWAY I,NORWAY,1,12/12/2025,Davos,Switzerland,25915,True,Team Sprint,3819.5422747622342,3655.0592516097504,3397.36011444407,3105.1254778115167,3710.85843424781,3517.256687591624,3541.147099902461,3650.801450727683,3395.2606108080718,100069.0,Erik Valnes,5923,1863.6041804876652,1767.8805931247523,1663.2433154123937,1399.8899498262365,1822.2915776922748,1744.2670678428622,1706.8001877457978,1789.5448943384629,1621.362281811405,Johannes Høsflot Klæbo,5164,1955.9380942745693,1887.1786584849983,1734.1167990316762,1705.2355279852802,1888.5668565555352,1772.989619748762,1834.3469121566632,1861.25655638922,1773.8983289966666
FINLAND I,FINLAND,10,12/12/2025,Davos,Switzerland,13820,True,Team Sprint,3276.443734769537,2910.1798412719863,2659.406620895985,2835.675352974735,3334.181648615383,3197.0757139513757,3186.2452671076358,3133.9072547565006,3132.666285306288,100072.0,Lauri Vuorinen,2874,1659.4869575232146,1349.407257558893,1336.623312366142,1299.1135599546278,1742.5198162903696,1665.7884930073262,1631.91202880287,1622.1363990520756,1557.1495973852986,Joni Mäki,3586,1616.9567772463224,1560.7725837130934,1322.7833085298428,1536.5617930201072,1591.6618323250134,1531.2872209440495,1554.3332383047657,1511.770855704425,1575.5166879209896
AUSTRIA I,AUSTRIA,11,12/12/2025,Davos,Switzerland,3683,True,Team Sprint,2839.160663055283,2629.539660498728,2487.0819143617177,2647.6192624854416,3024.9119074624323,2940.4071420365467,2833.3140408697336,2875.379652454084,2736.9906822838893,100622.0,Michael Föttinger,5978,1246.665061350414,1139.305077406012,1240.1816272862154,1150.7244142716868,1502.4709580312056,1455.907405372923,1375.578992481885,1430.9054405023758,1185.2893319198745,Benjamin Moser,5989,1592.495601704869,1490.2345830927163,1246.9002870755023,1496.8948482137548,1522.4409494312265,1484.4997366636237,1457.7350483878483,1444.4742119517082,1551.701350364015
SLOVENIA I,SLOVENIA,12,12/12/2025,Davos,Switzerland,2830,True,Team Sprint,2490.4937787058293,2350.8047049175752,2483.68053724898,2369.073435743633,2849.2516769019267,2729.504334651245,2731.551482326181,2686.294146371698,2435.95846454447,101037.0,Nejc Stern,18932,1267.8637845972553,1178.9100841936474,1276.6498464025751,1195.398973153161,1484.0818327571062,1436.6307206438596,1356.928171967557,1421.1218517722027,1215.821394118797,Vili Crv,5931,1222.629994108574,1171.8946207239278,1207.030690846405,1173.674462590472,1365.1698441448204,1292.8736140073854,1374.6233103586237,1265.172294599495,1220.137070425673
SWITZERLAND I,SWITZERLAND,13,12/12/2025,Davos,Switzerland,14958,True,Team Sprint,2736.0396065278305,2428.7551537262384,2476.4271811739623,2457.9720993245037,2929.896901819223,2704.0723478871964,3079.682277285552,2654.320855845838,2760.2326592786258,101157.0,Noe Näff,19984,1420.8036744357094,1220.719607979265,1242.831504524297,1233.596108885263,1455.165715802562,1293.2803937520966,1480.6624115735224,1291.5106331177149,1433.4521227306668,Janik Riebli,7725,1315.2359320921212,1208.0355457469734,1233.5956766496652,1224.3759904392405,1474.731186016661,1410.7919541350998,1599.0198657120295,1362.810222728123,1326.780536547959
CZECH REPUBLIC I,CZECH REPUBLIC,15,12/12/2025,Davos,Switzerland,7211,True,Team Sprint,2706.542696014265,2732.53044914752,2787.27876209198,2741.412934315357,2972.0930466001064,2839.2319264701746,2951.3610187511613,2817.8464607951496,2811.533136157716,102473.0,Jiri Tuz,17348,1378.852907549367,1293.1611004971649,1409.8411198808794,1228.6215762281836,1591.2081386612826,1517.2535793249428,1409.6454656409803,1539.3306790487225,1268.67123969368,Michal Novak,3655,1327.6897884648977,1439.3693486503553,1377.4376422111002,1512.7913580871732,1380.884907938824,1321.9783471452315,1541.7155531101812,1278.5157817464271,1542.861896464036
FINLAND II,FINLAND,16,12/12/2025,Davos,Switzerland,4168,True,Team Sprint,3103.0632192302764,2852.3854781259815,2849.7868128496702,2745.1642893609737,3170.3479419552405,3042.7281114925618,3031.521918360105,3064.9110673351324,2975.1484563806835,74591.0,Ristomatti Hakola,2553,1552.8142189834127,1540.4610048010384,1540.9578242404111,1467.7342939369082,1584.5429167072616,1530.854301397827,1497.8169760296817,1565.2142876068108,1507.7721924775392,Emil Liekari,12440,1550.2490002468635,1311.9244733249432,1308.8289886092589,1277.4299954240655,1585.805025247979,1511.8738100947348,1533.704942330423,1499.6967797283216,1467.3762639031445
GREAT BRITAIN I,GREAT BRITAIN,17,12/12/2025,Davos,Switzerland,3836,True,Team Sprint,2555.6240466133886,2613.519159979838,2456.1971071729076,2633.544544001359,2610.08635322651,2541.3116286888417,2821.471346462072,2467.038562591086,2629.50565173465,3220058.0,Andrew Young,1642,1345.9693066517175,1364.52700834172,1275.082624466328,1388.1474643451038,1324.3619348069035,1301.3217440957012,1333.1094014399146,1280.338121093593,1360.802639684064,James Clugnet,3615,1209.6547399616709,1248.9921516381185,1181.1144827065798,1245.3970796562553,1285.7244184196063,1239.9898845931405,1488.3619450221574,1186.700441497493,1268.703012050586
UNITED STATES OF AMERICA I,UNITED STATES OF AMERICA,18,12/12/2025,Davos,Switzerland,10756,True,Team Sprint,2883.2197617011916,2750.50472295428,2722.5983695097775,2642.4003798131266,3215.6813552216663,3073.307484217765,3278.780642297658,3007.75471941848,2797.765054071777,121833.0,Ben Ogden,9179,1517.0989883391878,1455.0665531463658,1456.4568562415443,1394.5451379881322,1735.155562826258,1641.311380420857,1675.0066398110694,1639.3681292769222,1467.5957167306751,James Clinton Schoonmaker,9201,1366.1207733620035,1295.4381698079144,1266.1415132682332,1247.8552418249944,1480.5257923954082,1431.9961037969078,1603.7740024865884,1368.386590141558,1330.169337341102
POLAND I,POLAND,19,12/12/2025,Davos,Switzerland,3764,True,Team Sprint,2791.032816132196,2538.7846009127784,2357.8151822810555,2575.652918014103,2687.706864833806,2530.3266688523845,2794.8881443589694,2521.433747041903,2854.6456721142067,185888.0,Dominik Bury,3623,1449.244802011045,1447.415896190314,1234.840036887417,1443.1223247669047,1302.8572418227243,1210.7451832002894,1329.8041733016637,1233.140121415705,1456.6635133480113,Maciej Starega,139,1341.788014121151,1091.3687047224644,1122.9751453936385,1132.530593247198,1384.8496230110816,1319.581485652095,1465.0839710573057,1288.293625626198,1397.9821587661952
NORWAY II,NORWAY,2,12/12/2025,Davos,Switzerland,7886,True,Team Sprint,3627.35234388319,3131.026673321502,2897.8268622528426,3003.1786150849593,3474.939314302408,3303.7615205613465,2974.258005744965,3402.8849703202404,3171.722025059227,74612.0,Harald Østberg Amundsen,5449,1922.3714756880404,1910.307065342237,1654.9953577285455,1769.5825061996966,1738.1029408035158,1643.1772407710175,1577.8180629295136,1729.9841246954825,1803.429745635328,Oskar Opstad Vike,19279,1704.9808681951492,1220.719607979265,1242.831504524297,1233.596108885263,1736.836373498892,1660.584279790329,1396.439942815451,1672.900845624758,1368.292279423899
FRANCE II,FRANCE,20,12/12/2025,Davos,Switzerland,5329,True,Team Sprint,3015.965696762069,3161.0418002386314,2868.2831187879647,2940.2780704964634,2618.2999230212818,2546.3955990019795,2781.8032787448446,2712.4809047281715,3113.175028113339,76685.0,Victor Lovera,17106,1644.2675828499694,1637.4740824359212,1375.7599754995488,1573.818968354669,1234.1077286264072,1231.3956037511944,1235.5251028559337,1376.482858769611,1588.5747757405593,Remi Bourdin,17445,1371.6981139120996,1523.56771780271,1492.523143288416,1366.4591021417946,1384.1921943948748,1314.9999952507849,1546.278175888911,1335.9980459585604,1524.6002523727796
