Team_Name,Nation,Team_Rank,Race_Date,City,Country,Price,Is_Present,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Team_API_ID,Member_1,Member_1_ID,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_C_Elo,Member_1_Distance_F_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_2,Member_2_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_C_Elo,Member_2_Distance_F_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo
SWEDEN I,SWEDEN,1,12/12/2025,Davos,Switzerland,25117,True,3522.6285060095347,3301.685646034709,2873.1605424184295,3208.715845623621,3490.7192318703583,3309.7890628747,3317.436121204977,3334.955595517569,3377.281117329827,3505793.0,Maja Dahlqvist,1673.0,1711.6295768036844,1574.5806632700223,1328.9530581790602,1549.9999305621718,1723.1572740526797,1636.5439258184074,1631.963806051141,1624.549320444371,1632.8723207975272,Jonna Sundling,1486,1810.9989292058503,1727.1049827646868,1544.2074842393693,1658.715915061449,1767.5619578176786,1673.2451370562924,1685.472315153836,1710.4062750731978,1744.4087965323
SWEDEN II,SWEDEN,2,12/12/2025,Davos,Switzerland,5821,True,3397.921128704651,3174.1264269585845,2959.3712892025405,2969.6754023716217,3348.208852012781,3207.65649305617,3147.9520742058694,3273.0197975880346,3157.580603170853,3505794.0,Emma Ribom,1844.0,1712.2994795653617,1642.290644777196,1460.6248009577116,1543.4326926782446,1657.8571043253214,1591.258010716036,1556.541854335322,1618.875835324074,1588.725557759922,Linn Svahn,3190,1685.6216491392893,1531.8357821813884,1498.7464882448292,1426.242709693377,1690.3517476874597,1616.398482340134,1591.4102198705475,1654.1439622639605,1568.855045410931
GERMANY I,GERMANY,3,12/12/2025,Davos,Switzerland,15142,True,3153.935924952264,2818.0636679737727,2815.1622124882015,2621.006148980491,3264.347588947587,3136.707283297622,3020.5070823205983,3163.61287279684,2895.558745019729,3205415.0,Laura Gimmler,1495.0,1626.5175708587417,1417.3176580156178,1419.810146586101,1289.976150511758,1636.9452112097383,1590.4192518654831,1472.7807938729554,1602.3331629170616,1437.7026457903369,Coletta Rydzek,3254,1527.418354093522,1400.746009958155,1395.3520659021003,1331.0299984687329,1627.4023777378488,1546.2880314321387,1547.726288447643,1561.2797098797785,1457.856099229392
NORWAY I,NORWAY,4,12/12/2025,Davos,Switzerland,18683,True,3402.0995937245916,3092.7939258782326,2874.373920531928,2926.1262108839537,2983.1184477159877,2870.1236168928776,2876.836363375456,3119.4376934487664,3172.9350015233504,3425825.0,Astrid Øyre Slind,115.0,1770.1399340738335,1766.3306656893112,1554.965715652772,1628.599567980005,1336.6732714079244,1322.2589583191418,1316.0263130814644,1556.3888808060383,1654.8148151618598,Mathilde Myhrvold,2298,1631.959659650758,1326.4632601889216,1319.4082048791558,1297.5266429039484,1646.4451763080635,1547.8646585737358,1560.8100502939917,1563.0488126427283,1518.1201863614908
NORWAY II,NORWAY,5,12/12/2025,Davos,Switzerland,4499,True,3388.4837323718148,2966.283432313965,2835.0069096702173,2836.5491910397623,3049.987462382292,2922.9682397345405,2936.1527403490372,3160.59296542007,3126.2498968161017,3425822.0,Kristin Austgulen Fosnæs,4268.0,1698.3361355421227,1689.0886240729983,1547.3209771514612,1551.9210668908436,1355.548582767619,1308.7818497711228,1356.636136529259,1546.9402714155635,1578.550298838709,Kristine Stavås Skistad,3207,1690.1475968296922,1277.1948082409667,1287.685932518756,1284.6281241489187,1694.438879614673,1614.1863899634177,1579.5166038197783,1613.6526940045064,1547.6995979773926
ITALY I,ITALY,6,12/12/2025,Davos,Switzerland,6214,True,2839.8301975188238,2696.151824188949,2729.0907100282266,2608.545321765936,2965.6101914015726,2866.7617171628326,2776.7645048667046,2901.8265443219107,2698.122123837549,3295216.0,Caterina Ganz,1721.0,1519.2819792121873,1508.7965505613683,1444.7856720490474,1422.5073550568866,1445.8901269741905,1417.0621793906264,1353.432182344549,1441.129655148465,1448.625708362851,Federica Cassol,9082,1320.5482183066365,1187.3552736275803,1284.3050379791791,1186.0379667090494,1519.720064427382,1449.6995377722062,1423.3323225221554,1460.696889173446,1249.496415474698
ITALY II,ITALY,7,12/12/2025,Davos,Switzerland,1263,True,2618.246490550167,2478.7914569450604,2619.187113288951,2436.7922999301763,2861.554218193907,2787.883451464929,2717.0196328975208,2792.7928826375046,2560.1025279759606,3295215.0,Iris De Martin Pinter,7422.0,1310.1089299236205,1292.61544378923,1367.2454377359938,1240.6866033173796,1392.5258187834138,1359.61811593812,1310.1183295737628,1378.6175359732622,1311.7976552826378,Nicole Monsorno,6631,1308.1375606265465,1186.17601315583,1251.941675552957,1196.1056966127965,1469.0283994104936,1428.2653355268092,1406.9013033237577,1414.1753466642422,1248.304872693323
FINLAND I,FINLAND,8,12/12/2025,Davos,Switzerland,13782,True,3277.8399639900545,3078.611227346896,2836.938095764938,2921.8448533861383,3236.991356494737,3073.7003732582925,3074.877056971272,3140.8291325199225,3104.1684976018933,3185375.0,Jasmin Kähärä,3528.0,1553.2371462874728,1475.7977058372803,1301.9107171042458,1455.171358142879,1540.2332324011925,1461.231626951109,1510.0507634180767,1467.3897737647064,1516.722689521948,Jasmi Joensuu,1675,1724.602817702582,1602.813521509616,1535.0273786606924,1466.6734952432594,1696.7581240935444,1612.4687463071832,1564.8262935531952,1673.4393587552163,1587.4458080799452
SWITZERLAND I,SWITZERLAND,9,12/12/2025,Davos,Switzerland,15563,True,2801.637325213821,2725.7334713428445,2676.1717427452704,2654.9321791548045,2788.072904675785,2696.095784762571,2702.698872169246,2729.971833743364,2722.9792935463756,3515213.0,Anja Weber,6338.0,1536.0489190482951,1497.4394075838504,1430.948921463354,1414.245575837425,1523.3320671062602,1457.0696539050036,1446.475435397679,1496.2731602478154,1461.3105741830784,Fabienne Alder,11191,1265.5884061655258,1228.294063758994,1245.2228212819164,1240.6866033173796,1264.740837569525,1239.0261308575673,1256.223436771567,1233.698673495549,1261.668719363297
AUSTRIA I,AUSTRIA,10,12/12/2025,Davos,Switzerland,1912,True,2515.4722885498304,2480.432660477066,2490.4456425638327,2490.242195176621,2606.657298723787,2565.208353999646,2609.068361144259,2552.685050395462,2516.4313970977378,3055176.0,Heidi BUCHER,,1219.5487652026852,1228.294063758994,1245.2228212819164,1240.6866033173796,1241.601890754574,1239.0261308575673,1242.116259051327,1233.698673495549,1226.3505643628973,Magdalena Scherz,6707,1295.923523347145,1252.1385967180715,1245.2228212819164,1249.555591859241,1365.0554079692126,1326.1822231420788,1366.952102092932,1318.9863768999128,1290.0808327348404
