Team_Name,Nation,Team_Rank,Race_Date,City,Country,Is_Present,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Price,Team_API_ID,Member_1,Member_1_ID,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_C_Elo,Member_1_Distance_F_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_2,Member_2_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_C_Elo,Member_2_Distance_F_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo
SWEDEN I,SWEDEN,0,12/12/2025,Davos,Switzerland,False,3197.517692734574,2760.502652629345,2750.2470744444427,2747.4196361796967,2971.2850021306613,2861.955589182343,2670.7837282533146,3120.58708738497,2854.281787647208,12594,100075.0,Gustaf Berglund,340.0,1603.131617129618,1595.3729836474954,1543.0299611404923,1534.689343864355,1342.416795550335,1300.601596701625,1347.045747920749,1548.4759460928967,1550.978405844019,Anton Grahn,18667.0,1594.3860756049562,1165.1296689818496,1207.21711330395,1212.730292315342,1628.8682065803264,1561.3539924807178,1323.7379803325657,1572.1111412920734,1303.3033818031893
FINLAND I,FINLAND,0,12/12/2025,Davos,Switzerland,False,3406.549167104785,3090.685072721174,2898.938743532169,2924.3875946177877,2927.1246262214854,2925.5426551876335,2810.0445690120805,3184.271988079974,3191.3566460979373,13820,100072.0,Arsi Ruuskanen,8120.0,1747.0622095815702,1741.2778151622813,1562.315431166027,1625.27403466316,1184.6048099311158,1259.7541621803075,1178.1325402092104,1562.1355890278985,1634.2070487126389,Lauri Vuorinen,2874.0,1659.4869575232146,1349.407257558893,1336.623312366142,1299.1135599546278,1742.5198162903696,1665.7884930073262,1631.91202880287,1622.1363990520756,1557.1495973852986
NORWAY I,NORWAY,0,12/12/2025,Davos,Switzerland,False,3878.3095699626097,3797.4857238272352,3389.1121567602218,3474.8180341849766,3626.669797359051,3416.166860519779,3412.164975086177,3591.2406810847024,3577.3280746319942,25915,100069.0,Johannes Høsflot Klæbo,5164.0,1955.9380942745693,1887.1786584849983,1734.1167990316762,1705.2355279852802,1888.5668565555352,1772.989619748762,1834.3469121566632,1861.25655638922,1773.8983289966666,Harald Østberg Amundsen,5449.0,1922.3714756880404,1910.307065342237,1654.9953577285455,1769.5825061996966,1738.1029408035158,1643.1772407710175,1577.8180629295136,1729.9841246954825,1803.429745635328
SWITZERLAND I,SWITZERLAND,0,12/12/2025,Davos,Switzerland,False,3133.6848920811162,3120.5237458025595,2853.8924626116486,3082.9974777749903,2597.0797621900424,2465.835355678222,2627.8069620108295,2858.770350458165,3109.2601798779942,14958,101157.0,Beda Klee,3651.0,1619.6555672616626,1614.0549204718525,1441.1208790180608,1561.5969438790555,1262.0848451760478,1237.157231780615,1267.694426736309,1441.771938949246,1569.5817693813915,Jason Rüesch,2732.0,1514.0293248194537,1506.4688253307072,1412.7715835935878,1521.4005338959346,1334.9949170139946,1228.6781238976073,1360.1125352745205,1416.998411508919,1539.6784104966025
GERMANY I,GERMANY,0,12/12/2025,Davos,Switzerland,False,3310.749905354689,3305.017941970049,2833.369227825336,3233.9794973039297,2312.609635156653,2361.667420622135,2298.0412033629946,2840.835433063003,3235.700450983467,10893,100070.0,Florian Notz,1488.0,1655.9838445440914,1653.0282213454734,1367.4372188105672,1609.174885275672,1090.340686187045,1135.6540116076897,1074.4556873192091,1377.4138524148896,1614.6695901164758,Friedrich Moch,9323.0,1654.7660608105973,1651.9897206245755,1465.932009014769,1624.8046120282577,1222.2689489696077,1226.0134090144456,1223.5855160437857,1463.4215806481136,1621.0308608669911
UNITED STATES OF AMERICA I,UNITED STATES OF AMERICA,0,12/12/2025,Davos,Switzerland,False,3290.2994595941987,3347.4880443040565,3007.3891247770307,3180.8981332695066,2973.9283980130804,2857.232195913849,2900.3165247913653,2894.9477971828273,3216.067339256756,10756,121833.0,Gus Schumacher,9172.0,1687.3639121705487,1681.430886736751,1477.044262932482,1604.0798785718675,1546.2713285384762,1462.8020106162903,1583.853539090013,1485.75864936163,1624.6869320382373,Zak Ketterson,5988.0,1602.93554742365,1666.0571575673057,1530.3448618445484,1576.818254697639,1427.6570694746044,1394.4301852975586,1316.4629857013522,1409.1891478211971,1591.3804072185185
ITALY I,ITALY,0,12/12/2025,Davos,Switzerland,False,3446.3472850605694,3427.8398992012517,2783.2662700762658,3276.902910674371,2869.1077659538596,2692.8222961510883,2873.0569964249335,2802.2984332195847,3318.703260159621,14265,100073.0,Martino Carollo,19980.0,1724.797876960215,1713.7898904339916,1311.7012699101883,1656.0443437809258,1438.5706819289046,1319.1999687914204,1453.7935763744604,1322.9101741084994,1681.0288254888976,Elia Barp,14042.0,1721.5494081003546,1714.0500087672604,1471.5650001660774,1620.8585668934454,1430.5370840249552,1373.6223273596677,1419.263420050473,1479.3882591110853,1637.6744346707237
FRANCE I,FRANCE,0,12/12/2025,Davos,Switzerland,False,3343.108453514972,3330.9514586266796,2872.2307032736853,3164.7541121182458,2494.7167685941686,2534.2816280722045,2491.337336410918,2877.203480834244,3185.8018258086236,15059,102344.0,Mathis Desloges,12767.0,1691.3516099332376,1684.3996905722297,1536.2181086698606,1575.1671667617225,1276.2881256883943,1286.1541621803076,1278.1777180056044,1538.4391966587905,1590.597966508179,Jules Lapierre,3646.0,1651.7568435817343,1646.55176805445,1336.0125946038247,1589.5869453565233,1218.428642905774,1248.1274658918971,1213.1596184053135,1338.764284175454,1595.2038593004445
CZECH REPUBLIC I,CZECH REPUBLIC,0,12/12/2025,Davos,Switzerland,False,2998.63815146994,2458.2907694790147,2617.0582331848295,2441.3518685435256,3242.6807324194942,3099.5450506408392,2890.462527728834,3120.9040927756937,2713.0455596367383,7211,102473.0,Ondrej Cerny,8094.0,1619.785243920573,1165.1296689818496,1207.21711330395,1212.730292315342,1651.4725937582118,1582.2914713158964,1480.817062087854,1581.5734137269712,1444.374319943058,Jiri Tuz,17348.0,1378.852907549367,1293.1611004971649,1409.8411198808794,1228.6215762281836,1591.2081386612826,1517.2535793249428,1409.6454656409803,1539.3306790487225,1268.67123969368
CANADA I,CANADA,0,12/12/2025,Davos,Switzerland,False,2166.550392236777,2254.464254299419,2287.6467851278194,2425.460584630684,2341.696567878518,2359.423289549699,2496.345499982477,2149.1604699065865,2433.928099578027,7274,3100322.0,Nicolas Claveau-Laviolette,18755.0,1004.7513582253528,1089.3345853175692,1080.4296718238695,1212.730292315342,1135.35943838491,1152.2265968763622,1248.1727499912386,988.2416620820576,1216.9640497890134,Unknown CANADA Skier 2,,1161.7990340114245,1165.1296689818496,1207.21711330395,1212.730292315342,1206.337129493608,1207.1966926733364,1248.1727499912386,1160.918807824529,1216.9640497890134
