Date,City,Country,Sex,HillSize,RaceType,TeamEvent,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Length1,Length2,Points,Pelo,Elo
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,1,Eirin Maria Kvandal,Norway,354,2024,24,2001-12-12T00:00:00.000000,22.261464750171115,32,0,,,100.0,1300.0,1310.3529411764705
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,2,Silje Opseth,Norway,221,2024,24,1999-04-28T00:00:00.000000,24.8870636550308,159,0,,,80.0,1300.0,1309.0588235294117
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,3,Ema Klinec,Slovenia,89,2024,24,1998-07-02T00:00:00.000000,25.70841889117043,151,0,,,60.0,1300.0,1307.764705882353
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,4,Katharina Schmid,Germany,13,2024,24,1996-05-23T00:00:00.000000,27.816563997262147,234,0,,,50.0,1300.0,1306.4705882352941
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,5,Yuki Ito,Japan,5,2024,24,1994-05-10T00:00:00.000000,29.85352498288843,240,0,,,45.0,1300.0,1305.1764705882354
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,6,Sara Takanashi,Japan,3,2024,24,1996-10-08T00:00:00.000000,27.43874058863792,239,0,,,40.0,1300.0,1303.8823529411766
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,7,Jacqueline Seifriedsberger,Austria,18,2024,24,1991-01-20T00:00:00.000000,33.15537303216975,208,0,,,36.0,1300.0,1302.5882352941176
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,8,Alexandria Loutitt,Canada,417,2024,24,2004-01-07T00:00:00.000000,20.191649555099247,57,0,,,32.0,1300.0,1301.2941176470588
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,9,Eva Pinkelnig,Austria,14,2024,24,1988-05-27T00:00:00.000000,35.80561259411362,153,0,,,29.0,1300.0,1300.0
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,10,Nika Kriznar,Slovenia,266,2024,24,2000-03-09T00:00:00.000000,24.021902806297057,161,0,,,26.0,1300.0,1298.7058823529412
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,11,Nika Prevc,Slovenia,426,2024,24,2005-03-15T00:00:00.000000,19.006160164271048,60,0,,,24.0,1300.0,1297.4117647058824
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,12,Lisa Eder,Austria,337,2024,24,2001-08-12T00:00:00.000000,22.595482546201232,79,0,,,22.0,1300.0,1296.1176470588234
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,13,Josephine Pagnier,France,280,2024,24,2002-06-04T00:00:00.000000,21.78507871321013,112,0,,,20.0,1300.0,1294.8235294117646
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,14,Nozomi Maruyama,Japan,222,2024,24,1998-06-02T00:00:00.000000,25.790554414784395,107,0,,,18.0,1300.0,1293.5294117647059
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,15,Thea Minyan Bjørseth,Norway,389,2024,24,2003-10-30T00:00:00.000000,20.380561259411362,96,0,,,16.0,1300.0,1292.235294117647
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,16,Selina Freitag,Germany,338,2024,24,2001-05-19T00:00:00.000000,22.82819986310746,96,0,,,15.0,1300.0,1290.9411764705883
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,17,Jenny Rautionaho,Finland,145,2024,24,1996-07-26T00:00:00.000000,27.641341546885695,82,0,,,14.0,1300.0,1289.6470588235295
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Eirin Maria Kvandal,Norway,354,2024,0,2001-12-12T00:00:00.000000,22.261464750171115,32,0,0.0,0.0,100.0,1310.3529411764705,1308.8
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Eva Pinkelnig,Austria,14,2024,0,1988-05-27T00:00:00.000000,35.80561259411362,153,0,0.0,0.0,29.0,1300.0,1300.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nika Prevc,Slovenia,426,2024,0,2005-03-15T00:00:00.000000,19.006160164271048,60,0,0.0,0.0,24.0,1297.4117647058824,1297.8
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ema Klinec,Slovenia,89,2024,0,1998-07-02T00:00:00.000000,25.70841889117043,151,0,0.0,0.0,60.0,1307.764705882353,1306.6
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Selina Freitag,Germany,338,2024,0,2001-05-19T00:00:00.000000,22.82819986310746,96,0,0.0,0.0,15.0,1290.9411764705883,1292.3
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Silje Opseth,Norway,221,2024,0,1999-04-28T00:00:00.000000,24.8870636550308,159,0,0.0,0.0,80.0,1309.0588235294117,1307.6999999999998
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Sara Takanashi,Japan,3,2024,0,1996-10-08T00:00:00.000000,27.43874058863792,239,0,0.0,0.0,40.0,1303.8823529411766,1303.3
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nika Kriznar,Slovenia,266,2024,0,2000-03-09T00:00:00.000000,24.021902806297057,161,0,0.0,0.0,26.0,1298.7058823529412,1298.9
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jenny Rautionaho,Finland,145,2024,0,1996-07-26T00:00:00.000000,27.641341546885695,82,0,0.0,0.0,14.0,1289.6470588235295,1291.2
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Josephine Pagnier,France,280,2024,0,2002-06-04T00:00:00.000000,21.78507871321013,112,0,0.0,0.0,20.0,1294.8235294117646,1295.6
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nozomi Maruyama,Japan,222,2024,0,1998-06-02T00:00:00.000000,25.790554414784395,107,0,0.0,0.0,18.0,1293.5294117647059,1294.5
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Lisa Eder,Austria,337,2024,0,2001-08-12T00:00:00.000000,22.595482546201232,79,0,0.0,0.0,22.0,1296.1176470588234,1296.6999999999998
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Alexandria Loutitt,Canada,417,2024,0,2004-01-07T00:00:00.000000,20.191649555099247,57,0,0.0,0.0,32.0,1301.2941176470588,1301.1
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jacqueline Seifriedsberger,Austria,18,2024,0,1991-01-20T00:00:00.000000,33.15537303216975,208,0,0.0,0.0,36.0,1302.5882352941176,1302.1999999999998
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Katharina Schmid,Germany,13,2024,0,1996-05-23T00:00:00.000000,27.816563997262147,234,0,0.0,0.0,50.0,1306.4705882352941,1305.5
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Thea Minyan Bjørseth,Norway,389,2024,0,2003-10-30T00:00:00.000000,20.380561259411362,96,0,0.0,0.0,16.0,1292.235294117647,1293.4
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Yuki Ito,Japan,5,2024,0,1994-05-10T00:00:00.000000,29.85352498288843,240,0,0.0,0.0,45.0,1305.1764705882354,1304.4
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,1,Nika Prevc,Slovenia,426,2025,26,2005-03-15T00:00:00.000000,20.0,87,0,,,100.0,1297.8,1308.3696427187308
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,2,Ema Klinec,Slovenia,89,2025,26,1998-07-02T00:00:00.000000,26.702258726899384,175,0,,,80.0,1306.6,1315.8910968332175
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,3,Selina Freitag,Germany,338,2025,26,2001-05-19T00:00:00.000000,23.822039698836413,123,0,,,60.0,1292.3,1301.043711222897
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,4,Eirin Maria Kvandal,Norway,354,2025,26,2001-12-12T00:00:00.000000,23.255304585900067,51,0,,,50.0,1308.8,1316.0214882620644
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,5,Alexandria Loutitt,Canada,417,2025,26,2004-01-07T00:00:00.000000,21.1854893908282,78,0,,,45.0,1301.1,1307.5651792910714
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,6,Yuki Ito,Japan,5,2025,26,1994-05-10T00:00:00.000000,30.847364818617386,264,0,,,40.0,1304.4,1309.7607221425558
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,7,Jacqueline Seifriedsberger,Austria,18,2025,26,1991-01-20T00:00:00.000000,34.1492128678987,234,0,,,36.0,1302.1999999999998,1306.6303586135934
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,8,Anna Odine Strøm,Norway,44,2025,26,1998-04-17T00:00:00.000000,26.910335386721425,170,0,,,32.0,1300.0,1303.500000666269
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,9,Katharina Schmid,Germany,13,2025,26,1996-05-23T00:00:00.000000,28.810403832991103,260,0,,,29.0,1305.5,1307.8259077440391
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,10,Nozomi Maruyama,Japan,222,2025,26,1998-06-02T00:00:00.000000,26.784394250513348,129,0,,,26.0,1294.5,1296.1740935871644
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,11,Eva Pinkelnig,Austria,14,2025,26,1988-05-27T00:00:00.000000,36.799452429842574,179,0,,,24.0,1300.0,1300.500000666269
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,12,Lisa Eder,Austria,337,2025,26,2001-08-12T00:00:00.000000,23.589322381930184,103,0,,,22.0,1296.6999999999998,1296.3044620005041
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,13,Juliane Seyfarth,Germany,63,2025,26,1990-02-19T00:00:00.000000,35.06639288158795,214,0,,,20.0,1300.0,1298.500000666269
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,14,Abigail Strate,Canada,289,2025,26,2001-02-22T00:00:00.000000,24.057494866529773,101,0,,,18.0,1300.0,1297.500000666269
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,15,Sara Takanashi,Japan,3,2025,26,1996-10-08T00:00:00.000000,28.432580424366872,264,0,,,16.0,1303.3,1299.6955393315532
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,16,Lara Malsiner,Italy,253,2025,26,2000-04-14T00:00:00.000000,24.917180013689254,160,0,,,15.0,1300.0,1295.500000666269
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,17,Julia Mühlbacher,Austria,400,2025,26,2004-08-02T00:00:00.000000,20.61601642710472,66,0,,,14.0,1300.0,1294.500000666269
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,18,Jenny Rautionaho,Finland,145,2025,26,1996-07-26T00:00:00.000000,28.635181382614647,106,0,,,13.0,1291.2,1284.9785130670587
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,19,Kurumi Ichinohe,Japan,429,2025,26,2004-06-20T00:00:00.000000,20.7337440109514,32,0,,,12.0,1300.0,1292.500000666269
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,20,Heidi Dyhre Tråserud,Norway,366,2025,26,2003-07-10T00:00:00.000000,21.68104038329911,26,0,,,11.0,1300.0,1291.500000666269
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,21,Agnes Reisch,Germany,259,2025,26,1999-10-11T00:00:00.000000,25.426420260095824,74,0,,,10.0,1300.0,1290.500000666269
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,22,Josephine Pagnier,France,280,2025,26,2002-06-04T00:00:00.000000,22.77891854893908,135,0,,,9.0,1295.6,1285.239279189128
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ema Klinec,Slovenia,89,2025,0,1998-07-02T00:00:00.000000,26.702258726899384,175,0,0.0,0.0,80.0,1315.8910968332175,1313.507432308235
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jacqueline Seifriedsberger,Austria,18,2025,0,1991-01-20T00:00:00.000000,34.1492128678987,234,0,0.0,0.0,36.0,1306.6303586135934,1305.6358048215543
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Abigail Strate,Canada,289,2025,0,2001-02-22T00:00:00.000000,24.057494866529773,101,0,0.0,0.0,18.0,1297.500000666269,1297.8750005663287
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Kurumi Ichinohe,Japan,429,2025,0,2004-06-20T00:00:00.000000,20.7337440109514,32,0,0.0,0.0,12.0,1292.500000666269,1293.6250005663287
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Sara Takanashi,Japan,3,2025,0,1996-10-08T00:00:00.000000,28.432580424366872,264,0,0.0,0.0,16.0,1299.6955393315532,1299.7412084318203
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Eirin Maria Kvandal,Norway,354,2025,0,2001-12-12T00:00:00.000000,23.255304585900067,51,0,0.0,0.0,50.0,1316.0214882620644,1313.6182650227547
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Heidi Dyhre Tråserud,Norway,366,2025,0,2003-07-10T00:00:00.000000,21.68104038329911,26,0,0.0,0.0,11.0,1291.500000666269,1292.7750005663286
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nika Prevc,Slovenia,426,2025,0,2005-03-15T00:00:00.000000,20.0,87,0,0.0,0.0,100.0,1308.3696427187308,1307.1141963109212
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Katharina Schmid,Germany,13,2025,0,1996-05-23T00:00:00.000000,28.810403832991103,260,0,0.0,0.0,29.0,1307.8259077440391,1306.6520215824332
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Yuki Ito,Japan,5,2025,0,1994-05-10T00:00:00.000000,30.847364818617386,264,0,0.0,0.0,40.0,1309.7607221425558,1308.2966138211723
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Anna Odine Strøm,Norway,44,2025,0,1998-04-17T00:00:00.000000,26.910335386721425,170,0,0.0,0.0,32.0,1303.500000666269,1302.9750005663286
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Lara Malsiner,Italy,253,2025,0,2000-04-14T00:00:00.000000,24.917180013689254,160,0,0.0,0.0,15.0,1295.500000666269,1296.1750005663287
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Julia Mühlbacher,Austria,400,2025,0,2004-08-02T00:00:00.000000,20.61601642710472,66,0,0.0,0.0,14.0,1294.500000666269,1295.3250005663285
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jenny Rautionaho,Finland,145,2025,0,1996-07-26T00:00:00.000000,28.635181382614647,106,0,0.0,0.0,13.0,1284.9785130670587,1287.2317361069997
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Juliane Seyfarth,Germany,63,2025,0,1990-02-19T00:00:00.000000,35.06639288158795,214,0,0.0,0.0,20.0,1298.500000666269,1298.7250005663286
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Selina Freitag,Germany,338,2025,0,2001-05-19T00:00:00.000000,23.822039698836413,123,0,0.0,0.0,60.0,1301.043711222897,1300.8871545394625
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Eva Pinkelnig,Austria,14,2025,0,1988-05-27T00:00:00.000000,36.799452429842574,179,0,0.0,0.0,24.0,1300.500000666269,1300.4250005663287
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Lisa Eder,Austria,337,2025,0,2001-08-12T00:00:00.000000,23.589322381930184,103,0,0.0,0.0,22.0,1296.3044620005041,1296.8587927004285
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Agnes Reisch,Germany,259,2025,0,1999-10-11T00:00:00.000000,25.426420260095824,74,0,0.0,0.0,10.0,1290.500000666269,1291.9250005663287
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nozomi Maruyama,Japan,222,2025,0,1998-06-02T00:00:00.000000,26.784394250513348,129,0,0.0,0.0,26.0,1296.1740935871644,1296.7479795490897
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Josephine Pagnier,France,280,2025,0,2002-06-04T00:00:00.000000,22.77891854893908,135,0,0.0,0.0,9.0,1285.239279189128,1287.4533873107587
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Alexandria Loutitt,Canada,417,2025,0,2004-01-07T00:00:00.000000,21.1854893908282,78,0,0.0,0.0,45.0,1307.5651792910714,1306.4304023974107
