City,Country,Coordinates,Elevation
Oberwiesenthal,Germany,"50.42309882259365, 12.960079999736534",1028
Schonach,Germany,"48.13539832026372, 8.202677457671859",939
Lahti,Finland,"60.98329248429445, 25.631389769417588",86
Trondheim,Norway,"63.37665642352916, 10.306734626896596",235
Holmenkollen,Norway,"59.96441152004346, 10.67097503813059",340
Harrachov,Czechia,"50.76625378763352, 15.428228711385307",831
Oberhof,Germany,"50.69781959163366, 10.680174440205978",728
Kuusamo,Finland,"66.17049534239847, 29.146676915127593",388
Seefeld,Austria,"47.321918029474595, 11.176085600861992",1203
Sapporo,Japan,"43.051149319310696, 141.29048501814697",171
Oberstdorf,Germany,"47.40459989531029, 10.29526300226987",932
Liberec,Czechia,"50.73196437243107, 14.995304999721828",744
Pragelato,Italy,"45.00744690030712, 6.9401665922800655",1563
Lillehammer,Norway,"61.12498147445702, 10.48571558455765",323
Ramsau,Austria,"47.41770193996606, 13.655252131909668",1106
Ruhpolding,Germany,"47.71313247085665, 12.644305999703102",763
Zakopane,Poland,"49.280174810451456, 19.967902269723783",908
Klingenthal,Germany,"50.38519861685424, 12.45003844149004",645
Whistler,Canada,"50.13925698250008, -123.1140650049844",845
Vikersund,Norway,"59.93700312389822, 10.00538462675835",237
Almaty,Kazakhstan,"43.213436548138816, 76.93294499982214",915
Sochi,Russia,"43.67503307865269, 40.24019145764839",686
Falun,Sweden,"60.620740849777846, 15.663019169312566",204
Kuopio,Finland,"62.90911565784506, 27.652104457527678",206
PyeongChang,South Korea,"37.66185782543184, 128.67991845767187",805
Hakuba,Japan,"36.69527221856287, 137.8375943581144",771
Lake Placid,USA,"44.2554238438226, -73.96592925396885",550
St. Moritz,Switzerland,"46.4743233323989, 9.825119169312568",1812
Janske Lazne,Czechia,"50.62912741711658, 15.778514542208857",676
Cortina D'Ampezzo,Italy,"46.51088129171841, 12.146229542104543",1172
Chaikovsky,Russia,"56.73845261234112, 54.045806253968856",189
Chamonix,France,"45.898712603702755, 6.841671025816254",1106
Štrbské Pleso,Slovakia,"49.12812612376792, 20.055943169312567",1443
Murau,Austria,"47.10711725591836, 14.158373740237927",924
Rovaniemi,Finland,"66.5058212078332, 25.781370635335218",133
Taizicheng,China,"40.90825427170903, 115.46753114252623",1636
Planica,Slovenia,"46.47838654016881, 13.719896373015574",972
Calgary,Canada,"51.07764616628422, -114.21267127146182",1203
Thunder Bay,Canada,"48.283975924240615, -89.38552736469053",381
Sollefteå,Sweden,"63.15834626467733, 17.248536253968847",109
Courchevel,France,"45.432182542667334, 6.61716252573286",1265
Örnsköldsvik,Sweden,"63.289237224742, 18.701316830687432",20
Autrans,France,"45.169650436066924, 5.546913999764627",1139
Sarajevo,Bosnia and Herzegovina,"43.768324810814214, 18.246260906457362",1230
Innsbruck,Austria,"47.24749146231524, 11.399780092946164",727
Squaw Walley,USA,"39.194993518789055, -120.23124083068743",1892
Garmisch,Germany,"47.48138809563866, 11.117482605615876",734
Bischofshofen,Austria,"47.41512308008324, 13.205977271164778",666
Bad Mitterndorf,Austria,"47.547929317133715, 13.993352898153463",835
Villach,Austria,"46.60275545536287, 13.809499525142149",638
Hinzenbach,Austria,"48.325519267157475, 13.9928738133868",346
St.Nizier,France,"45.16586651554204, 5.636061898153464",1158
Prémanon,France,"46.44957462621426, 6.067753355823902",1247
Willingen,Germany,"51.27549257658287, 8.613082271060607",723
Titisee-Neustadt,Germany,"47.90297738496336, 8.218482270712785",908
Hinterzarten,Germany,"47.898404703761, 8.11081527116478",971
Gallio,Italy,"45.89630406632348, 11.550630728668867",1119
Predazzo,Italy,"46.32842399998857, 11.60323081313476",1096
Zao,Japan,"38.174069217174456, 140.39823095337283",938
Midtstubakken,Norway,"59.96674321887306, 10.675467897928302",321
Bærum,Norway,"59.92640577440514, 10.439292355823902",160
Rælingen,Norway,"59.92131026304366, 11.05542618619312",253
Meldal,Norway,"63.04349199999478, 9.686065813033938",197
Raufoss,Norway,"60.71790498065836, 10.585053185954521",457
Wisla,Poland,"49.62816674659274, 18.91560453949742",594
Rasnov,Romania,"45.56953101978495, 25.470881992250458",747
Nizhny Tagil,Russia,"57.89269851224115, 59.86726599944558",343
Ljubno,Slovenia,"46.33959929512124, 14.827231999620146",485
Bollnäs,Sweden,"61.37375328024356, 16.341654355823906",139
Engelberg,Switzerland,"46.81456738323939, 8.404045542031518",1117
Ironwood,USA,"46.59971443396001, -90.08769081349435",370
Iron Mountain,USA,"45.83584973746852, -88.08902400029234",418
Park City,USA,"40.709623061821226, -111.55945110184652",2189
