Skier,ID,Nation,Ranking,Points,Wins
Nika Prevc,426,Slovenia,1,2676,18
Nozomi Maruyama,222,Japan,2,1870,6
Anna Odine Strøm,44,Norway,3,1628,1
Lisa Eder,337,Austria,4,1417,2
Selina Freitag,338,Germany,5,1248,0
Abigail Strate,289,Canada,6,1202,1
Agnes Reisch,259,Germany,7,1058,0
Eirin Maria Kvandal,354,Norway,8,980,4
Sara Takanashi,3,Japan,9,931,0
Nika Vodan,266,Slovenia,10,916,0
Heidi Dyhre Tråserud,366,Norway,11,910,0
Katharina Schmid,13,Germany,12,801,0
Yuki Ito,5,Japan,13,701,1
Julia Mühlbacher,400,Austria,14,594,0
Yuka Seto,32,Japan,15,548,0
Silje Opseth,221,Norway,16,512,0
Ping Zeng,438,China,17,434,0
Juliane Seyfarth,63,Germany,18,423,0
Frida Westman,296,Sweden,19,412,0
Ringo Miyajima,427,Japan,20,406,0
Gyda Westvold Hansen,382,Norway,21,345,0
Jenny Rautionaho,145,Finland,21,345,0
Annika Sieff,377,Italy,23,324,0
Anna Twardosz,288,Poland,24,229,0
Josephine Pagnier,280,France,25,218,0
Ingvild Synnøve Midtskogen,479,Norway,26,215,0
Annika Belshaw,346,USA,27,176,0
Katra Komar,284,Slovenia,28,142,0
Josie Johnson,446,USA,29,140,0
Anna Rupprecht,67,Germany,30,128,0
Paige Jones,365,USA,31,118,0
Sina Arnet,448,Switzerland,32,117,0
Anezka Indrackova,437,Czechia,33,105,0
Klara Ulrichova,388,Czechia,34,98,0
Maja Kovacic,511,Slovenia,35,95,0
Nicole Maurer,275,Canada,35,95,0
Yuzuki Sato,480,Japan,37,89,0
Bing Dong,320,China,38,81,0
Kurumi Ichinohe,429,Japan,39,75,0
Heta Hirvonen,542,Finland,40,68,0
Qi Liu,62,China,41,58,0
Martina Zanitzer,430,Italy,41,58,0
Julia Kykkänen,11,Finland,43,52,0
Minja Korhonen,506,Finland,44,50,0
Ema Klinec,89,Slovenia,45,49,0
Daniela Haralambie,43,Romania,46,41,0
Sofia Mattila,441,Finland,47,39,0
Jerica Jesenko,486,Slovenia,48,31,0
Taja Terbovsek,574,Slovenia,49,28,0
Emely Torazza,402,Germany,50,26,0
Kira Maria Kapustikova,547,Slovakia,51,21,0
Pola Beltowska,442,Poland,52,19,0
Liangyao Wang,418,China,52,19,0
Shiyu Zhou,518,China,52,19,0
Taja Bodlaj,449,Slovenia,55,16,0
Meghann Wadsak,487,Austria,56,11,0
Yu Saito,509,Japan,57,9,0
Yangning Weng,513,China,57,9,0
Julia Aikia,470,Finland,59,7,0
Julina Kreibich,545,Germany,60,5,0
Nagomi Nakayama,454,Japan,60,5,0
Sandra Sproch,501,USA,60,5,0
Oosa Thure,544,Finland,60,5,0
Hannah Wiegele,396,Austria,64,4,0
Karina Kozlova,577,Ukraine,65,3,0
Tinkara Komar,471,Slovenia,66,2,0
Emma Chervet,456,France,67,1,0
Lisa Hirner,375,Austria,67,1,0
