Skier,ID,Nation,Ranking,Points,Wins
Domen Prevc,1868,Slovenia,1,1214,7
Ryoyu Kobayashi,1637,Japan,2,822,2
Anze Lanisek,1166,Slovenia,3,717,3
Ren Nikaido,2283,Japan,4,661,1
Jan Hörl,2416,Austria,5,625,0
Philipp Raimund,2401,Germany,5,625,0
Daniel Tschofenig,2542,Austria,7,605,2
Felix Hoffmann,1893,Germany,8,576,0
Stephan Embacher,2638,Austria,9,543,0
Stefan Kraft,432,Austria,10,462,1
Manuel Fettner,17,Austria,11,322,0
Kacper Tomasiak,2673,Poland,12,320,0
Vladimir Zografski,61,Bulgaria,13,288,0
Valentin Foubert,2423,France,14,265,0
Kristoffer Eriksen Sundal,2575,Norway,14,265,0
Johann Forfang,902,Norway,16,252,0
Naoki Nakamura,1845,Japan,17,215,0
Marius Lindvik,1920,Norway,18,213,0
Timi Zajc,2106,Slovenia,19,203,0
Jonas Schuster,2579,Austria,20,202,0
Pius Paschke,1556,Germany,21,170,0
Halvor Egner Granerud,1828,Norway,22,162,0
Gregor Deschwanden,273,Switzerland,23,153,0
Kamil Stoch,40,Poland,24,148,0
Maximilian Ortner,2556,Austria,25,129,0
Jason Colby,2679,USA,26,128,0
Antti Aalto,924,Finland,27,114,0
Piotr Zyla,98,Poland,28,96,0
Artti Aigro,1871,Estonia,29,80,0
Niko Kytösaho,1830,Finland,29,80,0
Yukiya Sato,881,Japan,31,67,0
Maciej Kot,103,Poland,32,63,0
Tomofumi Naito,2404,Japan,33,62,0
Benjamin Østvold,2546,Norway,34,60,0
Andreas Wellinger,553,Germany,35,57,0
Sandro Hauswirth,2116,Switzerland,36,56,0
Pawel Wasek,2189,Poland,37,54,0
Kevin Bickner,1644,USA,38,47,0
Rok Oblak,2576,Slovenia,39,42,0
Sakutaro Kobayashi,2637,Japan,40,37,0
Dawid Kubacki,69,Poland,41,32,0
Ilya Mizernykh,2685,Kazakhstan,42,31,0
Danil Vassilyev,2476,Kazakhstan,43,28,0
Clemens Aigner,1827,Austria,44,24,0
Alex Insam,915,Italy,44,24,0
Roman Koudelka,24,Czechia,44,24,0
Simon Ammann,4,Switzerland,47,18,0
Robin Pedersen,1933,Norway,48,16,0
Giovanni Bresadola,2277,Italy,49,15,0
Isak Andreas Langmo,2677,Norway,50,13,0
Karl Geiger,554,Germany,51,12,0
Hektor Kapustik,2674,Slovakia,52,11,0
Markus Mueller,2540,Austria,53,10,0
Juri Kesseli,2585,Switzerland,54,9,0
Felix Trunz,2654,Switzerland,55,8,0
Tate Frantz,2628,USA,56,5,0
Andrew Urlaub,2426,USA,56,5,0
Yannick Wasser,2514,Switzerland,56,5,0
Killian Peier,882,Switzerland,59,4,0
Yevhen Marusiak,2089,Ukraine,60,3,0
Luca Roth,2397,Germany,60,3,0
Vitaliy Kalinichenko,1839,Ukraine,62,2,0
Mackenzie Boyd-Clowes,95,Canada,63,1,0
Zak Mogel,2417,Slovenia,63,1,0
