Date,Startlist,Sex,City,Country,HillSize,RaceType,Period,Elevation,Championship,Race
11/21/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7459,M,Lillehammer,Norway,140,Large,1,323,0,1
11/21/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7458,L,Lillehammer,Norway,140,Large,1,323,0,1
11/21/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7460,Mixed,Lillehammer,Norway,140,Team Large,1,323,0,1
11/23/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7463,M,Lillehammer,Norway,140,Large,1,323,0,2
11/23/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7464,L,Lillehammer,Norway,140,Large,1,323,0,2
11/25/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7467,M,Falun,Sweden,95,Normal,1,204,0,3
11/26/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7469,M,Falun,Sweden,132,Large,1,204,0,4
11/29/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7475,M,Ruka,Finland,142,Large,1,388,0,5
11/30/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7473,L,Falun,Sweden,132,Large,1,204,0,3
12/04/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7479,L,Wisla,Poland,134,Large,1,594,0,4
12/05/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7483,M,Wisla,Poland,134,Large,1,594,0,6
12/05/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7482,L,Wisla,Poland,134,Large,1,594,0,5
12/07/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7485,M,Wisla,Poland,134,Large,1,594,0,7
12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7623,M,Klingenthal,Germany,140,Large,1,645,0,8
12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7625,L,Klingenthal,Germany,140,Large,1,645,0,6
12/14/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7630,M,Klingenthal,Germany,140,Large,2,645,0,9
12/14/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7628,L,Klingenthal,Germany,140,Large,1,645,0,7
12/19/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7493,M,Engelberg,Switzerland,140,Large,2,1117,0,10
12/20/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7492,L,Engelberg,Switzerland,140,Large,2,1117,0,8
12/21/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7497,M,Engelberg,Switzerland,140,Large,2,1117,0,11
12/21/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7496,L,Engelberg,Switzerland,140,Large,2,1117,0,9
12/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7500,M,Oberstdorf,Germany,137,Large,2,932,0,12
12/30/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7528,L,Garmisch-Partenkirchen,Germany,142,Large,2,734,0,10
12/31/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7502,M,Garmisch-Partenkirchen,Germany,142,Large,2,734,0,13
01/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7530,L,Oberstdorf,Germany,137,Large,2,932,0,11
01/03/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7504,M,Innsbruck,Austria,124,Large,2,727,0,14
01/05/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7506,M,Bischofshofen,Austria,142,Large,2,666,0,15
01/05/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7532,L,Villach,Austria,98,Normal,2,638,0,12
01/06/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7534,L,Villach,Austria,98,Normal,2,638,0,13
01/09/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7536,L,Ljubno,Slovenia,94,Normal,3,485,0,14
01/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7510,M,Zakopane,Poland,140,Team Large,2,908,0,16
01/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7509,M,Zakopane,Poland,140,Large,3,908,0,17
01/11/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7538,L,Ljubno,Slovenia,94,Normal,3,485,0,15
01/13/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7687,M,Zhangjiakou,China,140,Large,3,1636,0,18
01/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7688,M,Zhangjiakou,China,140,Large,3,1636,0,19
01/16/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7512,M,Sapporo,Japan,137,Large,3,171,0,20
01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7514,M,Sapporo,Japan,137,Large,3,171,0,21
01/20/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7540,L,Zao,Japan,102,Normal,3,938,0,16
01/21/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7542,L,Zao,Japan,102,Normal,3,938,0,17
01/23/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7544,L,Sapporo,Japan,137,Large,3,171,0,18
01/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7546,L,Sapporo,Japan,137,Large,3,171,0,19
01/30/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7521,Mixed,Willingen,Germany,147,Team Large,3,723,0,2
01/31/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7520,M,Willingen,Germany,147,Large,3,723,0,22
02/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7525,M,Willingen,Germany,147,Large,3,723,0,23
02/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7584,L,Milano Cortina,Italy,109,Normal,4,1096,1,20
02/09/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7585,M,Milano Cortina,Italy,109,Normal,4,1096,1,24
02/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7586,Mixed,Milano Cortina,Italy,109,Normal,4,1096,1,3
02/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7587,M,Milano Cortina,Italy,143,Large,4,1096,1,25
02/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7588,L,Milano Cortina,Italy,143,Large,4,1096,1,21
02/16/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7589,M,Milano Cortina,Italy,143,Team Large,4,1096,1,26
02/27/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7552,M,Kulm,Austria,235,Flying,5,835,0,27
02/28/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7550,L,Hinzenbach,Austria,90,Normal,5,346,0,22
03/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7554,M,Kulm,Austria,235,Flying,5,835,0,28
03/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7548,L,Hinzenbach,Austria,90,Normal,5,346,0,23
03/05/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7556,L,Lahti,Finland,130,Large,5,86,0,24
03/06/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7560,L,Lahti,Finland,130,Large,5,86,0,25
03/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7558,M,Lahti,Finland,130,Large,5,86,0,29
03/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7563,M,Lahti,Finland,130,Team Large,5,86,0,30
