"Skier","Nation","Price","ID","Elo","Small_Elo","Medium_Elo","Normal_Elo","Large_Elo","Flying_Elo","Race1_Prob","Race6_Prob"
"Lisa Eder","Austria",0,337,1657.25059895044,NA,1300,1686.18639786253,1532.98060377452,1296.3044620005,1,1
"Lisa Hirner","Austria",0,375,1276.70940015722,NA,1300,1251.07260328899,1249.51399638491,1295.75557035694,0.32336735894036,0.32336735894036
"Julia Mühlbacher","Austria",0,400,1453.80816203014,NA,1300,1491.31656725033,1364.99230366196,1294.50000066627,1,1
"Meghann Wadsak","Austria",0,487,1258.60596434699,NA,1300,1251.8280273076,1280.35727036976,1295.75557035694,0.331850865031941,0.331850865031941
"Natalie Eilers","Canada",0,270,1138.01876511014,NA,1300,1147.27422934928,1165.32270138061,1295.75557035694,0.285613110019377,0.285613110019377
"Nicole Maurer","Canada",0,275,1207.07814720295,NA,1300,1220.17538083714,1195.16942728193,1295.75557035694,1,1
"Abigail Strate","Canada",0,289,1628.71935759921,NA,1300,1570.4032137962,1533.14512665535,1297.50000066627,1,1
"Bing Dong","China",0,320,1246.1783366105,NA,1300,1269.88364361975,1236.86033594749,1295.75557035694,0.967620858998695,0.967620858998695
"Qi Liu","China",0,62,1256.31497679653,NA,1300,1246.41199673263,1266.89722149515,1295.75557035694,0.975203638005014,0.975203638005014
"Yangning Weng","China",0,513,1149.07486385998,NA,1300,1126.05653794449,1221.33664032456,1295.75557035694,0.929156977748247,0.929156977748247
"Ping Zeng","China",0,438,1414.16785339886,NA,1300,1379.88906415407,1358.31004343665,1295.75557035694,1,1
"Anezka Indrackova","Czechia",0,437,1279.01476950298,NA,1300,1246.87734204393,1272.2379828322,1295.75557035694,1,1
"Veronika Jencova","Czechia",0,373,1263.90209201658,NA,1300,1270.9390693818,1276.31952849011,1295.75557035694,0.12784288658689,0.12784288658689
"Klara Ulrichova","Czechia",0,388,1216.62378551946,NA,1300,1312.30589905584,1182.15926583164,1295.75557035694,1,1
"Heta Hirvonen","Finland",0,542,1296.39788124773,NA,1300,1272.19438429626,1297.27032140616,1295.75557035694,0.746585964857848,0.746585964857848
"Minja Korhonen","Finland",0,506,1290.50651422965,NA,1300,1291.80906196052,1289.77957399622,1295.75557035694,0.665427828986497,0.665427828986497
"Sofia Mattila","Finland",0,441,1259.14166101706,NA,1300,1289.11131047502,1257.54745429526,1295.75557035694,0.591962302911447,0.591962302911447
"Jenny Rautionaho","Finland",0,145,1356.7904858045,NA,1300,1377.84950465057,1327.20720251944,1284.97851306706,1,1
"Emma Chervet","France",0,456,1144.56512115502,NA,1300,1179.97181445641,1172.809553057,1295.75557035694,1,1
"Josephine Pagnier","France",0,280,1355.25715050558,NA,1300,1374.77239058522,1342.34742064628,1285.23927918913,1,1
"Selina Freitag","Germany",0,338,1661.19897363364,NA,1300,1614.9686598175,1570.13385534933,1301.0437112229,1,1
"Agnes Reisch","Germany",0,259,1586.39101529396,NA,1300,1532.67010880344,1488.32492234953,1291.92500056633,0.923429280571934,0.923429280571934
"Katharina Schmid","Germany",0,13,1579.89102637803,NA,1300,1540.4303825358,1547.24934997755,1307.82590774404,1,1
"Juliane Seyfarth","Germany",0,63,1396.9833365473,NA,1300,1363.01729795932,1380.145961234,1298.50000066627,1,1
"Martina Ambrosi","Italy",0,355,1146.79513103994,NA,1300,1122.43104058603,1233.44529546796,1295.75557035694,0.382287081550997,0.382287081550997
"Jessica Malsiner","Italy",0,357,1144.31341296396,NA,1300,1157.69765034596,1185.53086133441,1295.75557035694,0.470026044444939,0.470026044444939
"Annika Sieff","Italy",0,377,1325.08105613724,NA,1300,1335.425510117,1287.79901801852,1295.75557035694,1,1
"Martina Zanitzer","Italy",0,430,1215.47389998204,NA,1300,1220.03773214491,1227.37647172591,1295.75557035694,1,1
"Yuki Ito","Japan",0,5,1487.67991789784,NA,1300,1498.27139517528,1455.81200638614,1309.76072214256,0.874912493846861,0.874912493846861
"Nozomi Maruyama","Japan",0,222,1637.36862068239,NA,1300,1554.5773491704,1546.3663005551,1296.17409358716,1,1
"Yuka Seto","Japan",0,32,1488.82353997594,NA,1300,1464.59211564959,1414.14702227496,1295.75557035694,0.906100318066254,0.906100318066254
"Sara Takanashi","Japan",0,3,1605.24099646536,NA,1300,1557.74384981677,1556.1847562583,1299.69553933155,1,1
"Eirin Maria Kvandal","Norway",0,354,1586.62493692256,NA,1300,1482.0189826261,1537.41480903222,1316.02148826206,1,1
"Silje Opseth","Norway",0,221,1421.96969376793,NA,1300,1376.44931849035,1411.89444040315,1307.7,1,1
