"Skier","Nation","Price","ID","Elo","Small_Elo","Medium_Elo","Normal_Elo","Large_Elo","Flying_Elo","Race2_Prob","Race4_Prob"
"Jan Hörl","Austria",0,2416,1746.55621598639,1298.0875,1296.59844444811,1568.68952713129,1748.45306433784,1405.05493292517,0.996653030866493,0.996653030866493
"Stefan Kraft","Austria",0,432,1728.86785933512,1298.0875,1296.59844444811,1611.50771047311,1716.72014637407,1522.79182722209,1,1
"Daniel Tschofenig","Austria",0,2542,1724.11511216276,1298.0875,1296.59844444811,1457.05473323149,1723.13222540437,1436.46286060724,0.957976943101525,0.957976943101525
"Manuel Fettner","Austria",0,17,1562.01303159501,1298.0875,1296.59844444811,1529.15720471359,1556.21933246081,1366.48646562126,0.944589066567497,0.944589066567497
"Vladimir Zografski","Bulgaria",0,61,1361.95282371307,1298.0875,1296.59844444811,1394.90740927486,1369.5302602541,1215.32541676149,1,1
"Weijie Zhen","China",0,2560,1260.46712745129,1298.0875,1296.59844444811,1208.75503087901,1278.14573898506,1259.06774349336,1,1
"Qiwu Song","China",0,2559,1259.34158326481,1298.0875,1296.59844444811,1221.50503087901,1272.3254394872,1259.06774349336,1,1
"Roman Koudelka","Czechia",0,24,1227.58535575264,1298.0875,1296.59844444811,1307.97778945328,1221.50742160712,1260.5078742626,1,1
"Artti Aigro","Estonia",0,1871,1379.41817694902,1298.0875,1296.59844444811,1243.19269357305,1377.99458891232,1276.48994065167,1,1
"Kaimar Vagul","Estonia",0,2626,1262.15204990278,1298.0875,1296.59844444811,1209.24355984731,1278.5382837625,1259.06774349336,1,1
"Antti Aalto","Finland",0,924,1334.09954764674,1298.0875,1296.59844444811,1341.19287064886,1293.83374676977,1271.89568186118,1,1
"Tomas Kuisma","Finland",0,2504,1300.05769080695,1298.0875,1296.59844444811,1256.25939694335,1299.79766558423,1259.06774349336,1,1
"Paavo Romppainen","Finland",0,2602,1265.66019316811,1298.0875,1296.59844444811,1256.25939694335,1265.31497825138,1259.06774349336,0.347713406403542,0.347713406403542
"Vilho Palosaari","Finland",0,2533,1210.60566976322,1298.0875,1296.59844444811,1255.25244229892,1209.97044286334,1259.06774349336,0.469413098644782,0.469413098644782
"Valentin Foubert","France",0,2423,1277.33032073525,1298.0875,1296.59844444811,1211.37208278568,1311.53684594026,1204.40200158778,1,1
"Enzo Milesi","France",0,2507,1200.60375085382,1298.0875,1296.59844444811,1259.24355984731,1214.49303046262,1279.01988560436,1,1
"Andreas Wellinger","Germany",0,553,1670.98214619088,1298.0875,1296.59844444811,1660.1064246292,1627.13872187368,1464.6483440913,1,1
"Karl Geiger","Germany",0,554,1547.68262290795,1298.0875,1296.59844444811,1526.13363223059,1505.37187955487,1416.16949054323,1,1
