Team_Name,Nation,Team_Rank,Race_Date,City,Country,Race_Type,Hill_Size,Is_Present,Team_Points,Total_Elo,Avg_Elo,Total_Small_Elo,Avg_Small_Elo,Total_Medium_Elo,Avg_Medium_Elo,Total_Normal_Elo,Avg_Normal_Elo,Total_Large_Elo,Avg_Large_Elo,Total_Flying_Elo,Avg_Flying_Elo,Member_1,Member_1_ID,Member_1_FisCode,Member_1_Sex,Member_1_Year,Member_1_Length1,Member_1_Length2,Member_1_Points,Member_1_Elo,Member_1_Small_Elo,Member_1_Medium_Elo,Member_1_Normal_Elo,Member_1_Large_Elo,Member_1_Flying_Elo,Member_2,Member_2_ID,Member_2_FisCode,Member_2_Sex,Member_2_Year,Member_2_Length1,Member_2_Length2,Member_2_Points,Member_2_Elo,Member_2_Small_Elo,Member_2_Medium_Elo,Member_2_Normal_Elo,Member_2_Large_Elo,Member_2_Flying_Elo,Member_3,Member_3_ID,Member_3_FisCode,Member_3_Sex,Member_3_Year,Member_3_Length1,Member_3_Length2,Member_3_Points,Member_3_Elo,Member_3_Small_Elo,Member_3_Medium_Elo,Member_3_Normal_Elo,Member_3_Large_Elo,Member_3_Flying_Elo,Member_4,Member_4_ID,Member_4_FisCode,Member_4_Sex,Member_4_Year,Member_4_Length1,Member_4_Length2,Member_4_Points,Member_4_Elo,Member_4_Small_Elo,Member_4_Medium_Elo,Member_4_Normal_Elo,Member_4_Large_Elo,Member_4_Flying_Elo
NORWAY,NOR,1,05/26/2025,Trondheim,Norway,Team Large,Large,True,1020.4,6456.187040661627,1614.0467601654068,,,,,5702.437637203033,1425.6094093007582,6244.972185801911,1561.2430464504778,5436.98953156545,1359.2473828913626,Anna Odine Strøm,44,6867,F,1998,121.5,132.0,124.6,1615.9059061713515,,,1426.9846936535769,1535.140026298922,1298.7500001537264,Marius Lindvik,1920,6734,M,1998,135.0,132.5,131.1,1536.8555349560509,1298.0875,1296.974943325327,1455.1588848482702,1512.283861077172,1397.6737382168071,Eirin Maria Kvandal,354,8197,F,2001,128.0,131.5,124.8,1654.2179574675897,,,1368.3700346966095,1580.1553686620027,1308.0,Johann Forfang,902,6100,M,1995,134.5,135.5,142.2,1649.2076420666344,1298.0875,1296.974943325327,1451.9240240045765,1617.392929763814,1432.5657931949172
SLOVENIA,SLO,2,05/26/2025,Trondheim,Norway,Team Large,Large,True,959.3,6607.242044645362,1651.8105111613404,,,,,5859.065728532272,1464.766432133068,6188.755291597245,1547.1888228993112,5581.654604845106,1395.4136512112766,Ema Klinec,89,6470,F,1998,104.5,103.0,67.8,1586.2296988765884,,,1457.6323753934685,1557.4532693361723,1298.7500001537264,Domen Prevc,1868,7091,M,1999,130.5,138.5,141.1,1574.9565262524998,1298.0875,1296.974943325327,1370.944332126895,1402.7659895849888,1530.3548100400508,Nika Prevc,426,8132,F,2005,133.5,136.0,139.2,1748.527016263852,,,1617.507355839317,1587.814599851506,1298.7500001537264,Anze Lanisek,1166,6437,M,1996,134.0,141.0,146.0,1697.528803252421,1298.0875,1296.974943325327,1412.981665172592,1640.7214328245773,1453.799794497602
AUSTRIA,AUT,3,05/26/2025,Trondheim,Norway,Team Large,Large,True,906.8,6784.615423670164,1696.153855917541,,,,,6044.621873463721,1511.1554683659303,6379.233523180192,1594.808380795048,5525.346760454715,1381.3366901136787,Eva Pinkelnig,14,7267,F,1988,110.0,114.5,91.6,1662.607254246495,,,1698.8541984335484,1554.1509946937992,1298.7500001537264,Stefan Kraft,432,5497,M,1993,130.5,132.5,127.5,1728.8678593351192,1298.0875,1296.974943325327,1591.9472750054656,1719.3187417796378,1522.7918272220904,Jacqueline Seifriedsberger,18,1909,F,1991,117.0,117.5,104.0,1646.5840941021577,,,1539.6514477190149,1535.604572663925,1298.7500001537264,Jan Hörl,2416,7450,M,1998,134.0,139.0,140.1,1746.5562159863923,1298.0875,1296.974943325327,1214.1689523056928,1570.1592140428295,1405.0549329251714
GERMANY,GER,4,05/26/2025,Trondheim,Norway,Team Large,Large,True,899.0,6423.197066623477,1605.7992666558694,,,,,5920.725299020637,1480.1813247551593,6172.026792531329,1543.0066981328323,5365.058307429658,1341.2645768574146,Katharina Schmid,13,6113,F,1996,111.5,109.0,80.5,1633.461185613614,,,1572.81102020569,1576.2707097624454,1298.7500001537264,Philipp Raimund,2401,7349,M,2000,125.0,138.0,139.1,1451.131559086375,1298.0875,1296.974943325327,1263.0347046291095,1446.1053774581037,1302.9099630309065,Selina Freitag,338,7372,F,2001,123.0,120.5,106.1,1667.6221757326034,,,1511.8193476002946,1542.444077970504,1298.7500001537264,Andreas Wellinger,553,6696,M,1995,125.5,139.0,142.5,1670.9821461908846,1298.0875,1296.974943325327,1573.0602265855432,1607.206627340276,1464.6483440912991
JAPAN,JPN,5,05/26/2025,Trondheim,Norway,Team Large,Large,True,785.8,5886.230231221701,1471.5575578054252,,,,,5619.366580669608,1404.841645167402,5689.295170097308,1422.323792524327,5206.433266900734,1301.6083167251836,Yuki Ito,5,5754,F,1994,106.0,107.5,78.7,1587.354732184166,,,1562.567801346843,1524.7025870903835,1298.7500001537264,Ren Nikaido,2283,7305,M,2001,123.0,117.0,101.0,1480.418267838159,1298.0875,1296.974943325327,1263.0347046291095,1347.5197194407683,1310.1832664395556,Sara Takanashi,3,6198,F,1996,108.0,103.0,76.1,1590.2504583222544,,,1577.9029574041258,1541.9856168148692,1298.7500001537264,Yuka Kobayashi,60,6288,F,1996,133.5,134.0,135.8,1228.2067728771206,,,1215.86111728953,1275.0872467512877,1298.7500001537264
UNITED STATES OF AMERICA,USA,6,05/26/2025,Trondheim,Norway,Team Large,Large,True,739.1,5096.1267130396955,1274.0316782599239,,,,,4823.90368699445,1205.9759217486126,4770.0167747910355,1192.5041936977589,5146.924890555857,1286.7312226389643,Paige Jones,365,7735,F,2002,104.0,101.5,63.9,1166.138069405648,,,1230.2371601186414,1144.2941302823644,1298.7500001537264,Kevin Bickner,1644,6671,M,1996,121.5,122.5,111.1,1281.439647297733,1298.0875,1296.974943325327,1146.021207850902,1162.013421629232,1239.8364638041437,Annika Belshaw,346,7801,F,2002,107.5,103.5,69.9,1225.3064543926987,,,1184.6106143957973,1227.4245572541868,1298.7500001537264,Tate Frantz,2628,220183,M,2005,127.0,129.0,123.5,1423.2425419436154,1298.0875,1296.974943325327,1263.0347046291095,1236.284665625252,1309.5884264442604
FINLAND,FIN,7,05/26/2025,Trondheim,Norway,Team Large,Large,True,656.0,5136.946923092823,1284.2367307732059,,,,,5094.925297936706,1273.7313244841764,5067.788385842014,1266.9470964605034,5140.970593705508,1285.242648426377,Julia Kykkänen,11,5793,F,1994,91.0,96.0,54.6,1241.6577629225524,,,1219.9370668880715,1230.4234070440434,1298.7500001537264,Kasperi Valto,2513,7873,M,2003,118.0,122.0,107.5,1155.165902387118,1298.0875,1296.974943325327,1263.0347046291095,1146.630372861855,1271.5749115368735,Jenny Rautionaho,145,6397,F,1996,96.5,100.0,67.6,1406.0237101364164,,,1381.6031536436644,1383.7211023759064,1298.7500001537264,Antti Aalto,924,6996,M,1995,126.5,127.0,119.7,1334.0995476467367,1298.0875,1296.974943325327,1230.3503727758605,1307.0135035602088,1271.8956818611814
POLAND,POL,8,05/26/2025,Trondheim,Norway,Team Large,Large,True,636.9,5190.454017477441,1297.6135043693603,,,,,5285.676266828265,1321.4190667070663,5284.10052892458,1321.025132231145,5228.8524764619115,1307.2131191154779,Pola Beltowska,442,8278,F,2006,83.0,89.5,42.2,1221.4286692254077,,,1230.2371601186414,1228.774205736336,1298.7500001537264,Dawid Kubacki,69,5142,M,1990,119.5,122.5,110.8,1364.5420417513567,1298.0875,1296.974943325327,1565.430456413094,1556.807123507737,1270.5557507322333,Anna Twardosz,288,7237,F,2001,105.5,100.0,63.6,1181.8439776684522,,,1179.3737822009468,1178.130662798725,1298.7500001537264,Aleksander Zniszczol,277,5494,M,1994,118.0,123.0,112.2,1422.6393288322251,1298.0875,1296.974943325327,1310.6348680955832,1320.3885368817823,1360.796725422225
FRANCE,FRA,9,05/26/2025,Trondheim,Norway,Team Large,Large,True,283.3,5103.5585308124355,1275.8896327031089,,,,,5270.306220715653,1317.5765551789132,5038.321880273501,1259.5804700683752,5063.289056898229,1265.8222642245573,Emma Chervet,456,8552,F,2003,89.5,,,1198.4807779260111,,,1230.2371601186414,1215.629677792278,1298.7500001537264,Enzo Milesi,2507,8013,M,2003,113.5,,,1200.6037508538168,1298.0875,1296.974943325327,1263.0347046291095,1214.4930304626191,1261.387055002995,Josephine Pagnier,280,7154,F,2002,92.0,,,1427.1436812973604,,,1513.999651338793,1395.786031566708,1298.7500001537264,Valentin Foubert,2423,7856,M,2002,116.0,,,1277.330320735247,1298.0875,1296.974943325327,1263.0347046291095,1212.4131404518962,1204.4020015877811
ITALY,ITA,9,05/26/2025,Trondheim,Norway,Team Large,Large,True,283.3,5126.016372661141,1281.5040931652852,,,,,5177.582754984178,1294.3956887460445,4898.542216954926,1224.6355542387314,5130.279104764303,1282.5697761910758,Annika Sieff,377,7616,F,2003,97.5,,,1312.1904433878433,,,1352.1786912655723,1263.727641453194,1298.7500001537264,Francesco Cecon,2431,7524,M,2001,104.5,,,1134.973254633344,1298.0875,1296.974943325327,1263.0347046291095,1123.185489233076,1287.6709792245613,Lara Malsiner,253,6898,F,2000,97.0,,,1404.200109982488,,,1299.3346544603874,1291.8830473457729,1298.7500001537264,Alex Insam,915,6758,M,1997,117.5,,,1274.6525646574662,1298.0875,1296.974943325327,1263.0347046291095,1219.7460389228822,1245.108125232289
