FISName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Rank,Year,Length1,Length2,Points,Hill_Size,Elo,Small_Elo,Medium_Elo,Normal_Elo,Large_Elo,Flying_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
PREVC Nika,Nika Prevc,426,SLO,,,False,True,2,,,,,147,1791.3746871193523,,1300.0,1738.2046200111884,1666.3968271425215,1308.3696427187308,1791.3746871193523,1.0,Willingen,Germany,Large,03/03/2026
STROEM Anna Odine,Anna Odine Strøm,44,NOR,,,False,True,5,,,,,147,1688.3283841293603,,1300.0,1610.8801836998473,1612.6003804441564,1303.500000666269,1688.3283841293603,1.0,Willingen,Germany,Large,03/03/2026
EDER Lisa,Lisa Eder,337,AUT,,,False,True,15,,,,,147,1662.834727791383,,1300.0,1673.441124959089,1544.0956298983892,1296.304462000504,1662.834727791383,1.0,Willingen,Germany,Large,03/03/2026
FREITAG Selina,Selina Freitag,338,GER,,,False,True,6,,,,,147,1655.9225605961296,,1300.0,1617.99699273552,1575.009547236799,1301.043711222897,1655.9225605961296,1.0,Willingen,Germany,Large,03/03/2026
MARUYAMA Nozomi,Nozomi Maruyama,222,JPN,,,False,True,3,,,,,147,1630.425598970049,,1300.0,1540.2257509882363,1560.6106768169016,1296.1740935871644,1630.425598970049,1.0,Willingen,Germany,Large,03/03/2026
KVANDAL Eirin Maria,Eirin Maria Kvandal,354,NOR,,,False,True,1,,,,,147,1614.2255347911191,,1300.0,1502.5815707731276,1563.8669257598203,1316.0214882620644,1614.2255347911191,1.0,Willingen,Germany,Large,03/03/2026
TAKANASHI Sara,Sara Takanashi,3,JPN,,,False,True,12,,,,,147,1595.5994077284267,,1300.0,1557.3793541321288,1554.537038489509,1299.6955393315532,1595.5994077284267,1.0,Willingen,Germany,Large,03/03/2026
REISCH Agnes,Agnes Reisch,259,GER,,,False,True,4,,,,,147,1581.620426130321,,1300.0,1514.1647091274356,1503.6298342648977,1291.925000566329,1581.620426130321,1.0,Willingen,Germany,Large,03/03/2026
VODAN Nika,Nika Vodan,266,SLO,,,False,True,20,,,,,147,1571.9477484235997,,1300.0,1573.2176316070108,1509.3761394959772,1298.7058823529412,1571.9477484235997,1.0,Willingen,Germany,Large,03/03/2026
SCHMID Katharina,Katharina Schmid,13,GER,,,False,True,8,,,,,147,1542.351959136501,,1300.0,1531.4774140750887,1520.9249272705372,1307.8259077440391,1542.351959136501,1.0,Willingen,Germany,Large,03/03/2026
OPSETH Silje,Silje Opseth,221,NOR,,,False,True,7,,,,,147,1448.2146950618603,,1300.0,1407.1245274045505,1427.917446765182,1307.6999999999998,1448.2146950618603,1.0,Willingen,Germany,Large,03/03/2026
MUEHLBACHER Julia,Julia Mühlbacher,400,AUT,,,False,True,13,,,,,147,1446.7547712006271,,1300.0,1469.751707404823,1368.7055283461734,1294.500000666269,1446.7547712006271,1.0,Willingen,Germany,Large,03/03/2026
