FISName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Rank,Year,Length1,Length2,Points,Hill_Size,Elo,Small_Elo,Medium_Elo,Normal_Elo,Large_Elo,Flying_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
PREVC Domen,Domen Prevc,1868,SLO,,,False,True,31,,,,,240,1722.2514733471894,1298.0875,1291.797134766828,1477.1808576873518,1659.7868191564198,1578.7258355955037,1722.2514733471894,1.0,Planica,Slovenia,Flying,03/29/2026
KOBAYASHI Ryoyu,Ryoyu Kobayashi,1637,JPN,,,False,True,30,,,,,240,1687.521294274709,1298.0875,1291.797134766828,1572.492774466126,1674.5400773733363,1504.656017341334,1687.521294274709,1.0,Planica,Slovenia,Flying,03/29/2026
NIKAIDO Ren,Ren Nikaido,2283,JPN,,,False,True,28,,,,,240,1666.831008443041,1298.0875,1291.797134766828,1481.3999611272272,1643.8708446780872,1379.2430267503632,1666.831008443041,1.0,Planica,Slovenia,Flying,03/29/2026
LANISEK Anze,Anze Lanisek,1166,SLO,,,False,True,27,,,,,240,1642.8961413800462,1298.0875,1300.0,1489.1204368812898,1634.0964949015292,1475.0105964618308,1642.8961413800462,1.0,Planica,Slovenia,Flying,03/29/2026
TSCHOFENIG Daniel,Daniel Tschofenig,2542,AUT,,,False,True,29,,,,,240,1636.5137925828888,1298.0875,1291.797134766828,1496.1579494526816,1662.3330562934568,1429.84479239112,1636.5137925828888,1.0,Planica,Slovenia,Flying,03/29/2026
EMBACHER Stephan,Stephan Embacher,2638,AUT,,,False,True,26,,,,,240,1596.287322357106,1298.0875,1291.797134766828,1479.202759409638,1541.1619351113686,1401.928878189291,1596.287322357106,1.0,Planica,Slovenia,Flying,03/29/2026
RAIMUND Philipp,Philipp Raimund,2401,GER,,,False,True,25,,,,,240,1585.6561005530784,1298.0875,1291.797134766828,1583.7722952367865,1587.703259688705,1335.8656895206343,1585.6561005530784,1.0,Planica,Slovenia,Flying,03/29/2026
LINDVIK Marius,Marius Lindvik,1920,NOR,,,False,True,19,,,,,240,1559.946941997824,1298.0875,1291.797134766828,1545.835955934977,1519.515340351964,1441.0027899246757,1559.946941997824,1.0,Planica,Slovenia,Flying,03/29/2026
KRAFT Stefan,Stefan Kraft,432,AUT,,,False,True,23,,,,,240,1557.156563098977,1298.0875,1291.797134766828,1532.7643379529509,1576.683296052714,1471.397768978336,1557.156563098977,1.0,Planica,Slovenia,Flying,03/29/2026
FORFANG Johann Andre,Johann Forfang,902,NOR,,,False,True,22,,,,,240,1556.9820710938227,1298.0875,1291.797134766828,1494.2199220807845,1504.7573002458523,1490.846891311832,1556.9820710938227,1.0,Planica,Slovenia,Flying,03/29/2026
