Team_Name,Nation,Team_Rank,Race_Date,City,Country,Race_Type,Hill_Size,Is_Present,Team_Points,Total_Elo,Avg_Elo,Total_Small_Elo,Avg_Small_Elo,Total_Medium_Elo,Avg_Medium_Elo,Total_Normal_Elo,Avg_Normal_Elo,Total_Large_Elo,Avg_Large_Elo,Total_Flying_Elo,Avg_Flying_Elo,Member_1,Member_1_ID,Member_1_FisCode,Member_1_Year,Member_1_Length1,Member_1_Length2,Member_1_Points,Member_1_Elo,Member_1_Small_Elo,Member_1_Medium_Elo,Member_1_Normal_Elo,Member_1_Large_Elo,Member_1_Flying_Elo,Member_2,Member_2_ID,Member_2_FisCode,Member_2_Year,Member_2_Length1,Member_2_Length2,Member_2_Points,Member_2_Elo,Member_2_Small_Elo,Member_2_Medium_Elo,Member_2_Normal_Elo,Member_2_Large_Elo,Member_2_Flying_Elo,Member_3,Member_3_ID,Member_3_FisCode,Member_3_Year,Member_3_Length1,Member_3_Length2,Member_3_Points,Member_3_Elo,Member_3_Small_Elo,Member_3_Medium_Elo,Member_3_Normal_Elo,Member_3_Large_Elo,Member_3_Flying_Elo,Member_4,Member_4_ID,Member_4_FisCode,Member_4_Year,Member_4_Length1,Member_4_Length2,Member_4_Points,Member_4_Elo,Member_4_Small_Elo,Member_4_Medium_Elo,Member_4_Normal_Elo,Member_4_Large_Elo,Member_4_Flying_Elo
NOR,NOR,1,05/26/2025,Trondheim,Norway,Team Normal,Normal,True,,4880.272288543514,1220.0680721358785,,,,,4920.948640474566,1230.2371601186414,4922.970979485817,1230.7427448714543,5195.000000614906,1298.7500001537264,Unknown NOR Athlete 1,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown NOR Athlete 2,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown NOR Athlete 3,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown NOR Athlete 4,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264
AUT,AUT,2,05/26/2025,Trondheim,Norway,Team Normal,Normal,True,,4880.272288543514,1220.0680721358785,,,,,4920.948640474566,1230.2371601186414,4922.970979485817,1230.7427448714543,5195.000000614906,1298.7500001537264,Unknown AUT Athlete 1,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown AUT Athlete 2,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown AUT Athlete 3,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown AUT Athlete 4,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264
GER,GER,3,05/26/2025,Trondheim,Norway,Team Normal,Normal,True,,4880.272288543514,1220.0680721358785,,,,,4920.948640474566,1230.2371601186414,4922.970979485817,1230.7427448714543,5195.000000614906,1298.7500001537264,Unknown GER Athlete 1,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown GER Athlete 2,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown GER Athlete 3,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown GER Athlete 4,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264
SLO,SLO,4,05/26/2025,Trondheim,Norway,Team Normal,Normal,True,,4880.272288543514,1220.0680721358785,,,,,4920.948640474566,1230.2371601186414,4922.970979485817,1230.7427448714543,5195.000000614906,1298.7500001537264,Unknown SLO Athlete 1,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown SLO Athlete 2,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown SLO Athlete 3,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown SLO Athlete 4,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264
JPN,JPN,5,05/26/2025,Trondheim,Norway,Team Normal,Normal,True,,4880.272288543514,1220.0680721358785,,,,,4920.948640474566,1230.2371601186414,4922.970979485817,1230.7427448714543,5195.000000614906,1298.7500001537264,Unknown JPN Athlete 1,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown JPN Athlete 2,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown JPN Athlete 3,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown JPN Athlete 4,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264
ITA,ITA,6,05/26/2025,Trondheim,Norway,Team Normal,Normal,True,,4880.272288543514,1220.0680721358785,,,,,4920.948640474566,1230.2371601186414,4922.970979485817,1230.7427448714543,5195.000000614906,1298.7500001537264,Unknown ITA Athlete 1,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown ITA Athlete 2,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown ITA Athlete 3,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown ITA Athlete 4,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264
USA,USA,7,05/26/2025,Trondheim,Norway,Team Normal,Normal,True,,4880.272288543514,1220.0680721358785,,,,,4920.948640474566,1230.2371601186414,4922.970979485817,1230.7427448714543,5195.000000614906,1298.7500001537264,Unknown USA Athlete 1,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown USA Athlete 2,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown USA Athlete 3,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown USA Athlete 4,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264
CHN,CHN,8,05/26/2025,Trondheim,Norway,Team Normal,Normal,True,,4880.272288543514,1220.0680721358785,,,,,4920.948640474566,1230.2371601186414,4922.970979485817,1230.7427448714543,5195.000000614906,1298.7500001537264,Unknown CHN Athlete 1,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown CHN Athlete 2,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown CHN Athlete 3,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown CHN Athlete 4,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264
FIN,FIN,9,05/26/2025,Trondheim,Norway,Team Normal,Normal,True,,4880.272288543514,1220.0680721358785,,,,,4920.948640474566,1230.2371601186414,4922.970979485817,1230.7427448714543,5195.000000614906,1298.7500001537264,Unknown FIN Athlete 1,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown FIN Athlete 2,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown FIN Athlete 3,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown FIN Athlete 4,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264
CZE,CZE,10,05/26/2025,Trondheim,Norway,Team Normal,Normal,True,,4880.272288543514,1220.0680721358785,,,,,4920.948640474566,1230.2371601186414,4922.970979485817,1230.7427448714543,5195.000000614906,1298.7500001537264,Unknown CZE Athlete 1,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown CZE Athlete 2,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown CZE Athlete 3,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264,Unknown CZE Athlete 4,,,,,,,1220.0680721358785,,,1230.2371601186414,1230.7427448714543,1298.7500001537264
