"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Length1","Length2","Points","Hill_Size","Race_Elo","Race1_Prob","Elo","Small_Elo","Medium_Elo","Normal_Elo","Large_Elo","Flying_Elo","City","Country","Race_Type","Race_Date","Race2_Prob","Sex"
"PREVC Nika","Nika Prevc",426,"SLO",NA,NA,"False","True",NA,NA,NA,NA,240,1824.30245146035,1,1824.30245146035,NA,1300,1743.76085868345,1711.46899801545,1308.36964271873,"Vikersund","Norway","Flying","03/20/2026",1,"L"
"STROEM Anna Odine","Anna Odine Strøm",44,"NOR",NA,NA,"False","True",NA,NA,NA,NA,240,1727.79091213832,1,1727.79091213832,NA,1300,1625.11010659068,1656.26752877813,1303.50000066627,"Vikersund","Norway","Flying","03/20/2026",1,"L"
"FREITAG Selina","Selina Freitag",338,"GER",NA,NA,"False","True",NA,NA,NA,NA,240,1672.23852980138,1,1672.23852980138,NA,1300,1617.49720597206,1602.8042974705,1301.0437112229,"Vikersund","Norway","Flying","03/20/2026",1,"L"
"EDER Lisa","Lisa Eder",337,"AUT",NA,NA,"False","True",NA,NA,NA,NA,240,1670.70923096648,1,1670.70923096648,NA,1300,1685.75936027451,1560.00168964803,1296.3044620005,"Vikersund","Norway","Flying","03/20/2026",1,"L"
"MARUYAMA Nozomi","Nozomi Maruyama",222,"JPN",NA,NA,"False","True",NA,NA,NA,NA,240,1667.5109790617,1,1667.5109790617,NA,1300,1543.25854634765,1604.1682137564,1296.17409358716,"Vikersund","Norway","Flying","03/20/2026",1,"L"
"KVANDAL Eirin Maria","Eirin Maria Kvandal",354,"NOR",NA,NA,"False","True",NA,NA,NA,NA,240,1651.56578742939,1,1651.56578742939,NA,1300,1502.58157077313,1607.48447466053,1316.02148826206,"Vikersund","Norway","Flying","03/20/2026",1,"L"
"STRATE Abigail","Abigail Strate",289,"CAN",NA,NA,"False","True",NA,NA,NA,NA,240,1640.004314156,1,1640.004314156,NA,1300,1569.49260472731,1567.33950566609,1297.50000066627,"Vikersund","Norway","Flying","03/20/2026",1,"L"
"TAKANASHI Sara","Sara Takanashi",3,"JPN",NA,NA,"False","True",NA,NA,NA,NA,240,1614.50262177058,1,1614.50262177058,NA,1300,1564.52208487692,1572.83720001217,1299.69553933155,"Vikersund","Norway","Flying","03/20/2026",1,"L"
"REISCH Agnes","Agnes Reisch",259,"GER",NA,NA,"False","True",NA,NA,NA,NA,240,1605.18620570137,1,1605.18620570137,NA,1300,1526.29896043541,1533.26313291059,1291.92500056633,"Vikersund","Norway","Flying","03/20/2026",1,"L"
"VODAN Nika","Nika Vodan",266,"SLO",NA,NA,"False","True",NA,NA,NA,NA,240,1579.61022659213,1,1579.61022659213,NA,1300,1584.60063618275,1515.8882299964,1298.70588235294,"Vikersund","Norway","Flying","03/20/2026",1,"L"
