"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Length1","Length2","Points","Hill_Size","Elo","Small_Elo","Medium_Elo","Normal_Elo","Large_Elo","Flying_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex"
"PREVC Domen","Domen Prevc",1868,"SLO",NA,NA,"False","True",NA,NA,NA,NA,137,1810.26289753688,1298.0875,1296.24673698786,1415.42224350293,1747.33273574407,1495.77716686071,1810.26289753688,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"KOBAYASHI Ryoyu","Ryoyu Kobayashi",1637,"JPN",NA,NA,"False","True",NA,NA,NA,NA,137,1801.53417362016,1298.0875,1296.24673698786,1556.71887568312,1755.86257797075,1477.43678344713,1801.53417362016,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"NIKAIDO Ren","Ren Nikaido",2283,"JPN",NA,NA,"False","True",NA,NA,NA,NA,137,1708.73331014718,1298.0875,1296.24673698786,1404.35126475655,1668.48816767479,1308.64348433045,1708.73331014718,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"RAIMUND Philipp","Philipp Raimund",2401,"GER",NA,NA,"False","True",NA,NA,NA,NA,137,1700.8402947339,1298.0875,1296.24673698786,1528.27013232301,1652.75354922624,1297.83557718082,1700.8402947339,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"KRAFT Stefan","Stefan Kraft",432,"AUT",NA,NA,"False","True",NA,NA,NA,NA,137,1694.93851556053,1298.0875,1296.24673698786,1623.36401867557,1667.43554084658,1489.34521795031,1694.93851556053,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"LANISEK Anze","Anze Lanisek",1166,"SLO",NA,NA,"False","True",NA,NA,NA,NA,137,1676.71960571323,1298.0875,1296.24673698786,1561.18285122809,1647.32370058697,1430.70465820179,1676.71960571323,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"HOFFMANN Felix","Felix Hoffmann",1893,"GER",NA,NA,"False","True",NA,NA,NA,NA,137,1634.10503509566,1298.0875,1296.24673698786,1404.80700335053,1588.92740648477,1244.59239512201,1634.10503509566,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"TSCHOFENIG Daniel","Daniel Tschofenig",2542,"AUT",NA,NA,"False","True",NA,NA,NA,NA,137,1591.99242394581,1298.0875,1296.24673698786,1504.54934822944,1590.60533655922,1415.97733608341,1591.99242394581,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"HOERL Jan","Jan Hörl",2416,"AUT",NA,NA,"False","True",NA,NA,NA,NA,137,1589.59622920574,1298.0875,1296.24673698786,1576.40126263215,1583.66089598692,1389.27915349659,1589.59622920574,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"SUNDAL Kristoffer Eriksen","Kristoffer Eriksen Sundal",2575,"NOR",NA,NA,"False","True",NA,NA,NA,NA,137,1588.53393017342,1298.0875,1296.24673698786,1326.2648893471,1575.29607158201,1294.22737440186,1588.53393017342,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"ZAJC Timi","Timi Zajc",2106,"SLO",NA,NA,"False","True",NA,NA,NA,NA,137,1568.57843749551,1298.0875,1296.24673698786,1338.89425261016,1541.47996883236,1476.41741421908,1568.57843749551,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"FORFANG Johann Andre","Johann Forfang",902,"NOR",NA,NA,"False","True",NA,NA,NA,NA,137,1568.46723134014,1298.0875,1296.24673698786,1456.63980433639,1550.3640400305,1443.35579838346,1568.46723134014,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"TOMASIAK Kacper","Kacper Tomasiak",2673,"POL",NA,NA,"False","True",NA,NA,NA,NA,137,1533.04030746102,1298.0875,1296.24673698786,1384.80700335053,1495.79105284492,1259.08773099495,1533.04030746102,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"ZOGRAFSKI Vladimir","Vladimir Zografski",61,"BUL",NA,NA,"False","True",NA,NA,NA,NA,137,1516.88887432155,1298.0875,1296.24673698786,1453.8353344649,1487.90844083398,1227.99748726735,1516.88887432155,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"SCHUSTER Jonas","Jonas Schuster",2579,"AUT",NA,NA,"False","True",NA,NA,NA,NA,137,1513.17389235574,1298.0875,1296.24673698786,1359.63003087913,1477.18264716198,1259.08773099495,1513.17389235574,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"LINDVIK Marius","Marius Lindvik",1920,"NOR",NA,NA,"False","True",NA,NA,NA,NA,137,1500.19423979401,1298.0875,1296.24673698786,1546.26845476582,1481.1461534906,1394.5687965312,1500.19423979401,1,"Oberstdorf","Germany","Large","12/28/2025","M"
