Date,City,Country,Sex,HillSize,RaceType,TeamEvent,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Length1,Length2,Points,Pelo,Elo
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,1,Eirin Maria Kvandal,Norway,354,2024,24,2001-12-12T00:00:00.000000,22.261464750171115,32,0,,,100.0,1300.0,1318.8235294117646
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,2,Silje Opseth,Norway,221,2024,24,1999-04-28T00:00:00.000000,24.8870636550308,159,0,,,80.0,1300.0,1316.4705882352941
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,3,Ema Klinec,Slovenia,89,2024,24,1998-07-02T00:00:00.000000,25.70841889117043,151,0,,,60.0,1300.0,1314.1176470588234
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,4,Katharina Schmid,Germany,13,2024,24,1996-05-23T00:00:00.000000,27.816563997262147,234,0,,,50.0,1300.0,1311.764705882353
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,5,Yuki Ito,Japan,5,2024,24,1994-05-10T00:00:00.000000,29.85352498288843,240,0,,,45.0,1300.0,1309.4117647058824
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,6,Sara Takanashi,Japan,3,2024,24,1996-10-08T00:00:00.000000,27.43874058863792,239,0,,,40.0,1300.0,1307.0588235294117
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,7,Jacqueline Seifriedsberger,Austria,18,2024,24,1991-01-20T00:00:00.000000,33.15537303216975,208,0,,,36.0,1300.0,1304.7058823529412
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,8,Alexandria Loutitt,Canada,417,2024,24,2004-01-07T00:00:00.000000,20.191649555099247,57,0,,,32.0,1300.0,1302.3529411764705
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,9,Eva Pinkelnig,Austria,14,2024,24,1988-05-27T00:00:00.000000,35.80561259411362,153,0,,,29.0,1300.0,1300.0
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,10,Nika Kriznar,Slovenia,266,2024,24,2000-03-09T00:00:00.000000,24.021902806297057,161,0,,,26.0,1300.0,1297.6470588235295
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,11,Nika Prevc,Slovenia,426,2024,24,2005-03-15T00:00:00.000000,19.006160164271048,60,0,,,24.0,1300.0,1295.2941176470588
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,12,Lisa Eder,Austria,337,2024,24,2001-08-12T00:00:00.000000,22.595482546201232,79,0,,,22.0,1300.0,1292.9411764705883
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,13,Josephine Pagnier,France,280,2024,24,2002-06-04T00:00:00.000000,21.78507871321013,112,0,,,20.0,1300.0,1290.5882352941176
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,14,Nozomi Maruyama,Japan,222,2024,24,1998-06-02T00:00:00.000000,25.790554414784395,107,0,,,18.0,1300.0,1288.235294117647
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,15,Thea Minyan Bjørseth,Norway,389,2024,24,2003-10-30T00:00:00.000000,20.380561259411362,96,0,,,16.0,1300.0,1285.8823529411766
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,16,Selina Freitag,Germany,338,2024,24,2001-05-19T00:00:00.000000,22.82819986310746,96,0,,,15.0,1300.0,1283.5294117647059
2024-03-17,Vikersund,Norway,L,240,Flying,0,World Cup,17,Jenny Rautionaho,Finland,145,2024,24,1996-07-26T00:00:00.000000,27.641341546885695,82,0,,,14.0,1300.0,1281.1764705882354
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nika Prevc,Slovenia,426,2024,0,2005-03-15T00:00:00.000000,19.006160164271048,60,0,0.0,0.0,24.0,1295.2941176470588,1296.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Silje Opseth,Norway,221,2024,0,1999-04-28T00:00:00.000000,24.8870636550308,159,0,0.0,0.0,80.0,1316.4705882352941,1314.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Eirin Maria Kvandal,Norway,354,2024,0,2001-12-12T00:00:00.000000,22.261464750171115,32,0,0.0,0.0,100.0,1318.8235294117646,1316.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nozomi Maruyama,Japan,222,2024,0,1998-06-02T00:00:00.000000,25.790554414784395,107,0,0.0,0.0,18.0,1288.235294117647,1290.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Eva Pinkelnig,Austria,14,2024,0,1988-05-27T00:00:00.000000,35.80561259411362,153,0,0.0,0.0,29.0,1300.0,1300.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Yuki Ito,Japan,5,2024,0,1994-05-10T00:00:00.000000,29.85352498288843,240,0,0.0,0.0,45.0,1309.4117647058824,1308.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Selina Freitag,Germany,338,2024,0,2001-05-19T00:00:00.000000,22.82819986310746,96,0,0.0,0.0,15.0,1283.5294117647059,1286.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ema Klinec,Slovenia,89,2024,0,1998-07-02T00:00:00.000000,25.70841889117043,151,0,0.0,0.0,60.0,1314.1176470588234,1311.9999999999998
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nika Kriznar,Slovenia,266,2024,0,2000-03-09T00:00:00.000000,24.021902806297057,161,0,0.0,0.0,26.0,1297.6470588235295,1298.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Alexandria Loutitt,Canada,417,2024,0,2004-01-07T00:00:00.000000,20.191649555099247,57,0,0.0,0.0,32.0,1302.3529411764705,1302.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Lisa Eder,Austria,337,2024,0,2001-08-12T00:00:00.000000,22.595482546201232,79,0,0.0,0.0,22.0,1292.9411764705883,1294.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jenny Rautionaho,Finland,145,2024,0,1996-07-26T00:00:00.000000,27.641341546885695,82,0,0.0,0.0,14.0,1281.1764705882354,1284.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Josephine Pagnier,France,280,2024,0,2002-06-04T00:00:00.000000,21.78507871321013,112,0,0.0,0.0,20.0,1290.5882352941176,1292.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Katharina Schmid,Germany,13,2024,0,1996-05-23T00:00:00.000000,27.816563997262147,234,0,0.0,0.0,50.0,1311.764705882353,1310.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jacqueline Seifriedsberger,Austria,18,2024,0,1991-01-20T00:00:00.000000,33.15537303216975,208,0,0.0,0.0,36.0,1304.7058823529412,1304.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Sara Takanashi,Japan,3,2024,0,1996-10-08T00:00:00.000000,27.43874058863792,239,0,0.0,0.0,40.0,1307.0588235294117,1306.0
2024-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Thea Minyan Bjørseth,Norway,389,2024,0,2003-10-30T00:00:00.000000,20.380561259411362,96,0,0.0,0.0,16.0,1285.8823529411766,1288.0
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,1,Nika Prevc,Slovenia,426,2025,26,2005-03-15T00:00:00.000000,20.0,87,0,,,100.0,1296.0,1315.3210531493778
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,2,Ema Klinec,Slovenia,89,2025,26,1998-07-02T00:00:00.000000,26.702258726899384,175,0,,,80.0,1311.9999999999998,1328.5825677162354
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,3,Selina Freitag,Germany,338,2025,26,2001-05-19T00:00:00.000000,23.822039698836413,123,0,,,60.0,1286.0,1302.2596319130694
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,4,Eirin Maria Kvandal,Norway,354,2025,26,2001-12-12T00:00:00.000000,23.255304585900067,51,0,,,50.0,1316.0,1328.7164323814934
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,5,Alexandria Loutitt,Canada,417,2025,26,2004-01-07T00:00:00.000000,21.1854893908282,78,0,,,45.0,1302.0,1313.7031168931408
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,6,Yuki Ito,Japan,5,2025,26,1994-05-10T00:00:00.000000,30.847364818617386,264,0,,,40.0,1308.0,1317.539794594954
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,7,Jacqueline Seifriedsberger,Austria,18,2025,26,1991-01-20T00:00:00.000000,34.1492128678987,234,0,,,36.0,1304.0,1311.9516886682666
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,8,Anna Odine Strøm,Norway,44,2025,26,1998-04-17T00:00:00.000000,26.910335386721425,170,0,,,32.0,1300.0,1306.363643639948
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,9,Katharina Schmid,Germany,13,2025,26,1996-05-23T00:00:00.000000,28.810403832991103,260,0,,,29.0,1310.0,1313.970253048849
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,10,Nozomi Maruyama,Japan,222,2025,26,1998-06-02T00:00:00.000000,26.784394250513348,129,0,,,26.0,1290.0,1293.3024887283866
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,11,Eva Pinkelnig,Austria,14,2025,26,1988-05-27T00:00:00.000000,36.799452429842574,179,0,,,24.0,1300.0,1300.9090981854024
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,12,Lisa Eder,Austria,337,2025,26,2001-08-12T00:00:00.000000,23.589322381930184,103,0,,,22.0,1294.0,1293.4361025026612
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,13,Juliane Seyfarth,Germany,63,2025,26,1990-02-19T00:00:00.000000,35.06639288158795,214,0,,,20.0,1300.0,1297.272734549039
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,14,Abigail Strate,Canada,289,2025,26,2001-02-22T00:00:00.000000,24.057494866529773,101,0,,,18.0,1300.0,1295.4545527308571
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,15,Sara Takanashi,Japan,3,2025,26,1996-10-08T00:00:00.000000,28.432580424366872,264,0,,,16.0,1306.0,1299.2911847599003
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,16,Lara Malsiner,Italy,253,2025,26,2000-04-14T00:00:00.000000,24.917180013689254,160,0,,,15.0,1300.0,1291.8181890944934
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,17,Julia Mühlbacher,Austria,400,2025,26,2004-08-02T00:00:00.000000,20.61601642710472,66,0,,,14.0,1300.0,1290.0000072763116
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,18,Jenny Rautionaho,Finland,145,2025,26,1996-07-26T00:00:00.000000,28.635181382614647,106,0,,,13.0,1284.0,1273.1017638663623
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,19,Kurumi Ichinohe,Japan,429,2025,26,2004-06-20T00:00:00.000000,20.7337440109514,32,0,,,12.0,1300.0,1286.363643639948
2025-03-15,Vikersund,Norway,L,240,Flying,0,World Cup,20,Heidi Dyhre Tråserud,Norway,366,2025,26,2003-07-10T00:00:00.000000,21.68104038329911,26,0,,,11.0,1300.0,1284.5454618217661
