Date,City,Country,Sex,HillSize,RaceType,TeamEvent,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Length1,Length2,Points,Pelo,Elo
1924-01-04,Chamonix,France,M,71,Medium,0,Olympic Winter Games,1,Jacob-Tullin Thams,Norway,1500,1924,1,1898-04-07T00:00:00.000000,25.741273100616016,1,0,49.0,49.0,18.96,1300.0,1318.0
1924-01-04,Chamonix,France,M,71,Medium,0,Olympic Winter Games,2,Narve Bonna,Norway,1533,1924,1,1901-01-16T00:00:00.000000,22.965092402464066,1,0,47.5,49.0,18.689,1300.0,1314.0
1924-01-04,Chamonix,France,M,71,Medium,0,Olympic Winter Games,3,Anders Haugen,USA,1534,1924,1,1888-10-24T00:00:00.000000,35.19233401779603,1,0,49.0,50.0,17.916,1300.0,1310.0
1924-01-04,Chamonix,France,M,71,Medium,0,Olympic Winter Games,4,Thorleif Haug,Norway,1535,1924,1,1894-09-28T00:00:00.000000,29.26488706365503,1,0,44.0,44.5,17.821,1300.0,1306.0
1924-01-04,Chamonix,France,M,71,Medium,0,Olympic Winter Games,5,Einar Landvik,Norway,1536,1924,1,1898-03-25T00:00:00.000000,25.776865160848732,1,0,42.0,44.5,17.521,1300.0,1302.0
1924-01-04,Chamonix,France,M,71,Medium,0,Olympic Winter Games,6,Axel-Herman Nilsson,Sweden,1528,1924,1,1894-12-31T00:00:00.000000,29.00752908966461,1,0,42.5,44.0,17.146,1300.0,1298.0
1924-01-04,Chamonix,France,M,71,Medium,0,Olympic Winter Games,7,Menotti Jakobsson,Sweden,1537,1924,1,1892-07-07T00:00:00.000000,31.49075975359343,1,0,43.0,42.0,17.083,1300.0,1294.0
1924-01-04,Chamonix,France,M,71,Medium,0,Olympic Winter Games,8,Alexandre Girard-Bille,Switzerland,1538,1924,1,1899-01-01T00:00:00.000000,25.00479123887748,1,0,40.5,41.5,16.794,1300.0,1290.0
1924-01-04,Chamonix,France,M,71,Medium,0,Olympic Winter Games,9,Nils Lindh,Sweden,1539,1924,1,1889-10-23T00:00:00.000000,34.195756331279945,1,0,41.0,41.5,16.737,1300.0,1286.0
1924-01-04,Chamonix,France,M,71,Medium,0,Olympic Winter Games,10,Frantisek Wende,Czechia,1507,1924,1,1904-06-03T00:00:00.000000,19.586584531143053,1,0,40.5,44.0,16.48,1300.0,1282.0
