Date,City,Country,Sex,HillSize,RaceType,TeamEvent,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Length1,Length2,Points,Pelo,Elo
1936-02-16,Garmisch,Germany,M,80,Normal,0,Olympic Winter Games,1,Birger Ruud,Norway,1292,1936,1,1911-08-23T00:00:00.000000,24.484599589322382,4,0,75.0,74.5,232.0,1300.0,1322.5
1936-02-16,Garmisch,Germany,M,80,Normal,0,Olympic Winter Games,2,Sven Selånger,Sweden,1310,1936,1,1907-03-19T00:00:00.000000,28.914442162902123,5,0,76.0,76.0,230.5,1300.0,1317.5
1936-02-16,Garmisch,Germany,M,80,Normal,0,Olympic Winter Games,3,Reidar Andersen,Norway,1311,1936,1,1911-04-20T00:00:00.000000,24.826830937713893,5,0,74.0,75.0,228.9,1300.0,1312.5
1936-02-16,Garmisch,Germany,M,80,Normal,0,Olympic Winter Games,4,Kaare Wahlberg,Norway,1312,1936,1,1912-07-03T00:00:00.000000,23.62217659137577,3,0,73.5,72.0,227.0,1300.0,1307.5
1936-02-16,Garmisch,Germany,M,80,Normal,0,Olympic Winter Games,5,Stanislaw Marusarz,Poland,1313,1936,1,1913-06-18T00:00:00.000000,22.663928815879533,2,0,73.0,75.5,221.6,1300.0,1302.5
1936-02-16,Garmisch,Germany,M,80,Normal,0,Olympic Winter Games,6,Lauri Valonen,Finland,1314,1936,1,1909-09-28T00:00:00.000000,26.38466803559206,2,0,73.5,67.0,219.4,1300.0,1297.5
1936-02-16,Garmisch,Germany,M,80,Normal,0,Olympic Winter Games,7,Masaji Iguro,Japan,1315,1936,1,1913-05-14T00:00:00.000000,22.759753593429156,1,0,74.5,72.5,218.2,1300.0,1292.5
1936-02-16,Garmisch,Germany,M,80,Normal,0,Olympic Winter Games,8,Arnold Kongsgård,Norway,1316,1936,1,1914-11-23T00:00:00.000000,21.232032854209447,1,0,74.5,66.0,217.7,1300.0,1287.5
1936-02-16,Garmisch,Germany,M,80,Normal,0,Olympic Winter Games,9,Väinö Tiihonen,Finland,1317,1936,1,1912-11-28T00:00:00.000000,23.21697467488022,1,0,71.5,70.0,215.3,1300.0,1282.5
1936-02-16,Garmisch,Germany,M,80,Normal,0,Olympic Winter Games,10,Hans Marr,Germany,1318,1936,1,1914-10-07T00:00:00.000000,21.360711841204655,1,0,71.5,69.0,214.2,1300.0,1277.5
1936-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Kaare Wahlberg,Norway,1312,1936,0,1912-07-03T00:00:00.000000,23.62217659137577,3,0,73.5,72.0,227.0,1307.5,1306.375
1936-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Lauri Valonen,Finland,1314,1936,0,1909-09-28T00:00:00.000000,26.38466803559206,2,0,73.5,67.0,219.4,1297.5,1297.875
1936-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Sven Selånger,Sweden,1310,1936,0,1907-03-19T00:00:00.000000,28.914442162902123,5,0,76.0,76.0,230.5,1317.5,1314.875
