Date,City,Country,Sex,HillSize,RaceType,TeamEvent,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Length1,Length2,Points,Pelo,Elo,pred_Pelo,pred_Elo
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,1,Anette Sagen,Norway,2,2005,14,1985-01-10T00:00:00.000000,20.16700889801506,13,0,128.0,122.0,254.5,1300.0,1325.0,1300.0,1325.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,2,Lindsey Van,USA,92,2005,14,1984-11-27T00:00:00.000000,20.28747433264887,13,0,114.0,106.0,204.5,1300.0,1320.0,1300.0,1320.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,3,Jessica Jerome,USA,12,2005,14,1987-02-08T00:00:00.000000,18.088980150581794,12,0,106.0,102.0,181.4,1300.0,1315.0,1300.0,1315.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,4,Line Jahr,Norway,15,2005,14,1984-01-16T00:00:00.000000,21.152635181382614,13,0,109.0,98.0,180.6,1300.0,1310.0,1300.0,1310.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,5,Izumi Yamada,Japan,130,2005,14,1978-08-28T00:00:00.000000,26.537987679671456,6,0,106.0,98.0,174.2,,,1300.0,1307.5
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,6,Maja Vtic,Slovenia,8,2005,14,1988-01-27T00:00:00.000000,17.12251882272416,13,0,101.5,102.5,172.2,1300.0,1305.0,1300.0,1305.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,7,Daniela Iraschko-Stolz,Austria,7,2005,14,1983-11-21T00:00:00.000000,21.305954825462013,12,0,105.0,97.0,164.1,1300.0,1300.0,1300.0,1300.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,8,Eva Ganster,Austria,210,2005,14,1978-03-30T00:00:00.000000,26.951403148528406,12,0,97.0,94.0,146.3,,,1300.0,1297.5
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,9,Alissa Johnson,USA,93,2005,14,1987-05-28T00:00:00.000000,17.790554414784395,13,0,100.0,91.5,145.2,1300.0,1295.0,1300.0,1295.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,10,Yoshiko Yoshiizumi,Japan,103,2005,14,1980-11-04T00:00:00.000000,24.35044490075291,5,0,87.0,102.5,136.6,,,1300.0,1292.5
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,11,Henriette Smeby,Norway,207,2005,14,1986-11-13T00:00:00.000000,18.327173169062284,12,0,101.5,86.0,135.5,,,1300.0,1292.5
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,12,Ayumi Watase,Japan,42,2005,14,1984-07-18T00:00:00.000000,20.648870636550306,6,0,95.5,85.0,122.4,1300.0,1290.0,1300.0,1290.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,13,Ulrike Gräßler,Germany,16,2005,14,1987-05-17T00:00:00.000000,17.820670773442846,14,0,95.5,86.5,119.1,1300.0,1285.0,1300.0,1285.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,14,Jacqueline Seifriedsberger,Austria,18,2005,14,1991-01-20T00:00:00.000000,14.140999315537304,13,0,91.5,85.0,117.2,1300.0,1280.0,1300.0,1280.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,15,Monika Pogladic,Slovenia,196,2005,14,1987-04-05T00:00:00.000000,17.935660506502394,14,0,89.0,90.0,114.2,,,1300.0,1277.5
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,16,Jenna Mohr,Germany,128,2005,14,1987-04-15T00:00:00.000000,17.908281998631075,11,0,89.5,84.0,109.3,,,1300.0,1277.5
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,17,Juliane Seyfarth,Germany,63,2005,14,1990-02-19T00:00:00.000000,15.058179329226556,13,0,91.0,79.0,102.0,1300.0,1275.0,1300.0,1275.0
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,18,Tanja Drage,Austria,195,2005,14,1987-01-01T00:00:00.000000,18.193018480492814,12,0,78.5,82.5,86.8,,,1300.0,1272.5
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,18,Mari Backe,Norway,165,2005,14,1987-03-11T00:00:00.000000,18.0041067761807,8,0,74.5,89.0,86.8,,,1300.0,1272.5
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,20,Rieko Kanai,Japan,162,2005,14,1981-11-04T00:00:00.000000,23.35112936344969,7,0,90.0,0.0,56.5,,,1300.0,1272.5
2005-03-12,Holmenkollen,Norway,L,128,Large,0,Continental Cup,21,Petra Benedik,Slovenia,213,2005,14,1990-10-11T00:00:00.000000,14.417522245037645,11,0,87.0,0.0,53.1,,,1300.0,1272.5
2005-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Anette Sagen,Norway,2,2005,0,1985-01-10T00:00:00.000000,20.16700889801506,13,0,128.0,122.0,254.5,1325.0,1321.25,1325.0,1321.25
2005-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jessica Jerome,USA,12,2005,0,1987-02-08T00:00:00.000000,18.088980150581794,12,0,106.0,102.0,181.4,1315.0,1312.75,1315.0,1312.75
2005-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Mari Backe,Norway,165,2005,0,1987-03-11T00:00:00.000000,18.0041067761807,8,0,74.5,89.0,86.8,,,1272.5,1276.625
2005-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ulrike Gräßler,Germany,16,2005,0,1987-05-17T00:00:00.000000,17.820670773442846,14,0,95.5,86.5,119.1,1285.0,1287.25,1285.0,1287.25
2005-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Lindsey Van,USA,92,2005,0,1984-11-27T00:00:00.000000,20.28747433264887,13,0,114.0,106.0,204.5,1320.0,1317.0,1320.0,1317.0
