Date,City,Country,Sex,HillSize,RaceType,TeamEvent,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Length1,Length2,Points,Pelo,Elo,pred_Pelo,pred_Elo
1973-03-11,Oberstdorf,Germany,M,175,Flying,0,Ski Flying World Championship,1,Hans-Georg Aschenbach,Germany,1226,1973,5,1951-10-25T00:00:00.000000,21.377138945927445,8,0,157.0,152.0,418.5,1300.0,1322.5,1300.0,1322.5
1973-03-11,Oberstdorf,Germany,M,175,Flying,0,Ski Flying World Championship,2,Walter Steiner,Switzerland,1231,1973,5,1951-02-15T00:00:00.000000,22.067077344284737,12,0,156.0,163.0,418.0,1300.0,1317.5,1300.0,1317.5
1973-03-11,Oberstdorf,Germany,M,175,Flying,0,Ski Flying World Championship,3,Karel Kodejska,Czechia,1241,1973,5,1947-03-20T00:00:00.000000,25.976728268309376,14,0,154.0,154.0,410.0,1300.0,1312.5,1300.0,1312.5
1973-03-11,Oberstdorf,Germany,M,175,Flying,0,Ski Flying World Championship,4,Dietrich Kampf,Germany,1423,1973,5,1953-04-03T00:00:00.000000,19.93702943189596,5,0,151.0,155.0,406.5,1300.0,1307.5,1300.0,1307.5
1973-03-11,Oberstdorf,Germany,M,175,Flying,0,Ski Flying World Championship,5,Rudolf Höhnl,Czechia,1427,1973,5,1946-04-21T00:00:00.000000,26.888432580424368,32,0,144.0,155.0,394.0,1300.0,1302.5,1300.0,1302.5
1973-03-11,Oberstdorf,Germany,M,175,Flying,0,Ski Flying World Championship,6,Juri Kalinin,Russia,1542,1973,5,1953-01-20T00:00:00.000000,20.136892539356605,8,0,146.0,139.0,393.0,1300.0,1297.5,1300.0,1297.5
1973-03-11,Oberstdorf,Germany,M,175,Flying,0,Ski Flying World Championship,7,Leos Skoda,Czechia,1112,1973,5,1953-05-01T00:00:00.000000,19.860369609856264,7,0,152.0,155.0,384.5,1300.0,1292.5,1300.0,1292.5
1973-03-11,Oberstdorf,Germany,M,175,Flying,0,Ski Flying World Championship,8,Hisayothi Sawada,Japan,1546,1973,5,1949-12-29T00:00:00.000000,23.197809719370294,3,0,159.0,119.0,381.0,1300.0,1287.5,1300.0,1287.5
1973-03-11,Oberstdorf,Germany,M,175,Flying,0,Ski Flying World Championship,9,Walter Schwabl,Austria,1547,1973,5,1949-08-12T00:00:00.000000,23.578370978781656,5,0,151.0,125.0,376.0,1300.0,1282.5,1300.0,1282.5
1973-03-11,Oberstdorf,Germany,M,175,Flying,0,Ski Flying World Championship,10,Peter Wilson,Canada,1548,1973,5,1952-10-22T00:00:00.000000,20.383299110198493,2,0,141.0,127.0,364.0,1300.0,1277.5,1300.0,1277.5
1973-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Peter Wilson,Canada,1548,1973,0,1952-10-22T00:00:00.000000,20.383299110198493,2,0,141.0,127.0,364.0,1277.5,1280.875,1277.5,1280.875
1973-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Hans-Georg Aschenbach,Germany,1226,1973,0,1951-10-25T00:00:00.000000,21.377138945927445,8,0,157.0,152.0,418.5,1322.5,1319.125,1322.5,1319.125
1973-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Karel Kodejska,Czechia,1241,1973,0,1947-03-20T00:00:00.000000,25.976728268309376,14,0,154.0,154.0,410.0,1312.5,1310.625,1312.5,1310.625
1973-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Rudolf Höhnl,Czechia,1427,1973,0,1946-04-21T00:00:00.000000,26.888432580424368,32,0,144.0,155.0,394.0,1302.5,1302.125,1302.5,1302.125
1973-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Walter Steiner,Switzerland,1231,1973,0,1951-02-15T00:00:00.000000,22.067077344284737,12,0,156.0,163.0,418.0,1317.5,1314.875,1317.5,1314.875
1973-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Walter Schwabl,Austria,1547,1973,0,1949-08-12T00:00:00.000000,23.578370978781656,5,0,151.0,125.0,376.0,1282.5,1285.125,1282.5,1285.125
