Date,City,Country,Event,HillSize,RaceType,TeamEvent,Season,Race,Sex,Place,Skier,Nation,ID,Birthday,Leg,TeamID,Length1,Length2,Points,Age,Exp
2009-02-20,Liberec,Czechia,World Championship,100,Normal,0,2009,1,L,5,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",90.0,87.5,220.5,13.300479123887747,1
2011-02-25,Midtstubakken,Norway,World Championship,106,Normal,0,2011,1,L,3,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",92.0,97.0,211.5,15.312799452429843,2
2011-12-03,Lillehammer,Norway,World Cup,100,Normal,0,2012,1,L,2,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",92.0,87.0,80.0,16.082135523613964,3
2012-01-07,Hinterzarten,Germany,World Cup,108,Normal,0,2012,2,L,7,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",92.5,,36.0,16.177960301163587,4
2012-01-08,Hinterzarten,Germany,World Cup,108,Normal,0,2012,3,L,11,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",91.5,94.5,24.0,16.18069815195072,5
2012-01-14,Predazzo,Italy,World Cup,106,Normal,0,2012,4,L,10,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",94.5,98.5,26.0,16.197125256673512,6
2012-01-15,Predazzo,Italy,World Cup,106,Normal,0,2012,5,L,9,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",95.0,97.0,29.0,16.199863107460644,7
2012-02-04,Hinzenbach,Austria,World Cup,94,Normal,0,2012,6,L,33,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",80.0,,91.4,16.254620123203285,8
2012-02-05,Hinzenbach,Austria,World Cup,94,Normal,0,2012,7,L,39,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",75.0,,86.8,16.257357973990416,9
2012-02-11,Ljubno,Slovenia,World Cup,95,Normal,0,2012,8,L,14,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",83.5,80.0,18.0,16.27378507871321,10
2012-02-12,Ljubno,Slovenia,World Cup,95,Normal,0,2012,9,L,22,Coline Mattel,France,10,1995-11-03T00:00:00.000000,0,"",74.5,78.5,9.0,16.27652292950034,11
