Nation,Season,Race,Place,Date,City,Country,Event,HillSize,TeamSize,RaceType,Sex,Total_Elo,Total_Normal_Elo,Total_Large_Elo,Total_Flying_Elo,Total_Pelo,Total_Normal_Pelo,Total_Large_Pelo,Total_Flying_Pelo,Avg_Elo,Avg_Normal_Elo,Avg_Large_Elo,Avg_Flying_Elo,Avg_Pelo,Avg_Normal_Pelo,Avg_Large_Pelo,Avg_Flying_Pelo,TeamMembers,MemberIDs,AvgAge,MaxAge,MinAge,AvgExp,MaxExp,MinExp
Japan,2018,4,1,2017-12-16,Hinterzarten,Germany,World Cup,108,4,Team Normal,L,6395.208429393198,6152.687351346987,5747.359796064732,5179.294117647059,6376.441650239096,6138.6639573154525,5792.4362929681865,5200.0,1598.8021073482994,1538.1718378367468,1436.839949016183,1294.8235294117646,1594.110412559774,1534.6659893288631,1448.1090732420466,1300.0,"Yuki Ito,Sara Takanashi,Yuka Seto,Kaori Iwabuchi","5,3,32,35",22.559890485968513,24.635181382614647,20.813141683778234,80.5,99,49
Russia,2018,4,2,2017-12-16,Hinterzarten,Germany,World Cup,108,4,Team Normal,L,5358.5936367727345,5281.524696852477,5232.454046936966,5179.294117647059,5325.171534256627,5258.9455208589,5310.638618405064,5200.0,1339.6484091931836,1320.3811742131193,1308.1135117342415,1294.8235294117646,1331.2928835641567,1314.736380214725,1327.659654601266,1300.0,"Anastasiya Barannikova,Alexandra Kustova,Sofya Tikhonova,Irina Avvakumova","38,29,27,6",23.67488021902806,30.053388090349074,19.082819986310746,68.5,95,34
France,2018,4,3,2017-12-16,Hinterzarten,Germany,World Cup,108,4,Team Normal,L,5342.904467405635,5296.7608222397885,5017.295077096481,5179.294117647059,5316.901029577592,5279.501401926295,5030.0324593095365,5200.0,1335.7261168514087,1324.1902055599471,1254.3237692741202,1294.8235294117646,1329.225257394398,1319.8753504815738,1257.5081148273841,1300.0,"Lea Lemare,Romane Dieu,Lucile Morat,Julia Clair","30,268,279,33",19.681040383299113,23.742642026009584,16.503764544832308,46.5,82,6
Germany,2018,4,4,2017-12-16,Hinterzarten,Germany,World Cup,108,4,Team Normal,L,6209.745772309244,5961.112160630266,5607.570365099564,5179.294117647059,6210.58219566785,5959.759007243857,5466.342992039246,5200.0,1552.436443077311,1490.2780401575665,1401.892591274891,1294.8235294117646,1552.6455489169625,1489.9397518109643,1366.5857480098116,1300.0,"Carina Vogt,Svenja Würth,Katharina Schmid,Juliane Seyfarth","4,22,13,63",24.893223819301845,27.822039698836413,21.56605065023956,80.5,93,67
Slovenia,2018,4,5,2017-12-16,Hinterzarten,Germany,World Cup,108,4,Team Normal,L,5832.518717053075,5688.616550277502,5344.924968461458,5179.294117647059,5833.081262093487,5688.030845802264,5270.369529846232,5200.0,1458.1296792632688,1422.1541375693755,1336.2312421153645,1294.8235294117646,1458.2703155233717,1422.007711450566,1317.592382461558,1300.0,"Nika Kriznar,Ursa Bogataj,Ema Klinec,Spela Rogelj","266,20,89,19",20.7782340862423,23.104722792607802,17.77138945927447,61.0,100,16
Austria,2018,4,6,2017-12-16,Hinterzarten,Germany,World Cup,108,4,Team Normal,L,5570.264041085564,5529.925929897392,5216.748272379542,5179.294117647059,5571.815461546609,5531.509029937036,5290.56376443272,5200.0,1392.566010271391,1382.481482474348,1304.1870680948855,1294.8235294117646,1392.9538653866523,1382.877257484259,1322.64094110818,1300.0,"Claudia Purker,Chiara Kreuzer,Jacqueline Seifriedsberger,Elisabeth Raudaschl","254,21,18,70",21.585900068446268,26.90485968514716,18.918548939082818,45.75,81,7
Norway,2018,4,7,2017-12-16,Hinterzarten,Germany,World Cup,108,4,Team Normal,L,5457.219535082061,5390.757923558676,5177.913652741044,5179.294117647059,5462.583155531873,5394.680985823151,5166.132261298797,5200.0,1364.3048837705153,1347.689480889669,1294.478413185261,1294.8235294117646,1365.6457888829682,1348.6702464557877,1291.5330653246992,1300.0,"Thea Sofie Kleven,Anna Odine Strøm,Silje Opseth,Maren Lundby","269,44,221,9",19.639972621492127,23.274469541409992,16.982888432580424,33.25,95,1
USA,2018,4,8,2017-12-16,Hinterzarten,Germany,World Cup,108,4,Team Normal,L,5197.351415923308,5214.119142856594,5044.950252218985,5179.294117647059,5205.557907524953,5220.704642115663,5044.9525557973475,5200.0,1299.337853980827,1303.5297857141486,1261.2375630547463,1294.8235294117646,1301.3894768812384,1305.1761605289157,1261.2381389493369,1300.0,"Abby Ringquist,Nita Englund,Sarah Hendrickson,Nina Lussi","80,26,17,37",25.274469541409992,28.487337440109513,23.37577002053388,55.25,71,30
Italy,2018,4,9,2017-12-16,Hinterzarten,Germany,World Cup,108,4,Team Normal,L,5257.291716806642,5192.390735182808,5155.564729102887,5179.294117647059,5273.92426356684,5203.359855922419,5121.371876976696,5200.0,1314.3229292016606,1298.097683795702,1288.8911822757218,1294.8235294117646,1318.48106589171,1300.8399639806048,1280.342969244174,1300.0,"Elena Runggaldier,Manuela Malsiner,Veronica Gianmoena,Lara Malsiner","39,95,74,253",21.813826146475016,27.436002737850785,17.672826830937712,40.75,92,10
Canada,2018,4,10,2017-12-16,Hinterzarten,Germany,World Cup,108,4,Team Normal,L,5051.911580280335,5079.003850603357,5092.45415491679,5179.294117647059,5070.864955046106,5092.967742130455,5127.209545597968,5200.0,1262.9778950700838,1269.7509626508393,1273.1135387291974,1294.8235294117646,1267.7162387615265,1273.2419355326138,1281.802386399492,1300.0,"Natasha Bodnarchuk,Abigail Strate,Taylor Henrich,Nicole Maurer","273,289,76,275",19.082819986310746,22.12457221081451,16.813141683778234,19.0,60,4
