Nation,Season,Race,Place,Date,City,Country,Event,HillSize,TeamSize,RaceType,Sex,Total_Elo,Total_Normal_Elo,Total_Large_Elo,Total_Flying_Elo,Total_Pelo,Total_Normal_Pelo,Total_Large_Pelo,Total_Flying_Pelo,Avg_Elo,Avg_Normal_Elo,Avg_Large_Elo,Avg_Flying_Elo,Avg_Pelo,Avg_Normal_Pelo,Avg_Large_Pelo,Avg_Flying_Pelo,TeamMembers,MemberIDs,MemberSex,AvgAge,MaxAge,MinAge,AvgExp,MaxExp,MinExp
Norway,1982,11,1,1982-02-26,Holmenkollen,Norway,World Championship,105,4,Team Large,M,6223.656010877858,5330.530868655477,6265.093268000854,5073.343077200085,6197.141711934093,5238.269082493808,6231.91399313083,5122.843104713827,1555.9140027194644,1332.6327171638693,1566.2733170002134,1268.3357693000212,1549.2854279835233,1309.567270623452,1557.9784982827075,1280.7107761784569,"Per Bergerud,Johan Sætre,Ole Bremseth,Olav Hansson","1047,1088,1043,1023","M,M,M,M",25.388774811772755,30.143737166324435,21.149897330595483,32.75,57,6
Austria,1982,11,2,1982-02-26,Holmenkollen,Norway,World Championship,105,4,Team Large,M,6030.792787639533,5363.449300993032,6067.90665082063,5321.825381293048,6005.461523030566,5289.967000064188,6035.490742911017,5174.2810349046085,1507.6981969098833,1340.862325248258,1516.9766627051574,1330.456345323262,1501.3653807576416,1322.491750016047,1508.8726857277543,1293.5702587261521,"Andreas Felder,Hubert Neuper,Armin Kogler,Hans Wallner","709,6,7,1065","M,M,M,M",23.15400410677618,28.747433264887064,19.978097193702943,38.25,51,13
Finland,1982,11,3,1982-02-26,Holmenkollen,Norway,World Championship,105,4,Team Large,M,5935.56294081348,5355.103643020913,5864.450642521219,5233.834229246566,5916.0277006991,5270.952866004716,5836.428106804831,5148.562069809218,1483.89073520337,1338.7759107552283,1466.1126606303048,1308.4585573116415,1479.006925174775,1317.738216501179,1459.1070267012078,1287.1405174523045,"Pentti Kokkonen,Jari Puikkonen,Keijo Korhonen,Matti Nykänen","1038,796,1081,781","M,M,M,M",23.21971252566735,26.201232032854207,18.614647501711158,20.75,32,8
Germany,1982,11,4,1982-02-26,Holmenkollen,Norway,World Championship,105,4,Team Large,M,6155.308193735367,5299.994260622725,6268.263487786904,5132.849957199853,6149.579453761553,5224.339385818648,6263.613490453282,5142.79723804871,1538.8270484338418,1324.9985651556813,1567.065871946726,1283.2124892999632,1537.3948634403882,1306.084846454662,1565.9033726133205,1285.6993095121775,"Mathias Buse,Manfred Deckert,Klaus Ostwald,Holger Freitag","1066,975,1041,1039","M,M,M,M",21.446954140999317,23.50444900752909,18.38740588637919,20.25,28,10
Canada,1982,11,5,1982-02-26,Holmenkollen,Norway,World Championship,105,3,Team Large,M,3969.1911642797077,3953.8799774793106,3882.48209076223,3856.8712479581654,3950.153219722734,3939.7052966835736,3855.399003546594,3874.281034904609,1323.0637214265691,1317.9599924931035,1294.1606969207435,1285.6237493193885,1316.7177399075779,1313.2350988945245,1285.133001182198,1291.4270116348696,"Steve Collins,Ron Richards,Horst Bulau","731,717,712","M,M,M",18.741501254848277,19.537303216974674,17.95756331279945,28.333333333333332,36,15
USA,1982,11,6,1982-02-26,Holmenkollen,Norway,World Championship,105,4,Team Large,M,4976.4345920316555,5106.127987537178,4999.391148988183,5066.974957199853,4947.865146567485,5173.007709122452,4964.127552694892,5065.297238048709,1244.1086480079139,1276.5319968842946,1249.8477872470457,1266.7437392999632,1236.9662866418712,1293.251927280613,1241.031888173723,1266.3243095121773,"Reed Zuehlke,John Broman,Jeff Hastings,Nils Stolzlechner","1021,1080,1058,1050","M,M,M,M",21.99452429842573,24.153319644079396,19.813826146475016,11.75,21,2
Slovakia,1982,11,7,1982-02-26,Holmenkollen,Norway,World Championship,105,1,Team Large,M,1271.5945907718615,1282.4470599531094,1275.1319166889618,1271.962981288401,1267.027710257364,1290.6085467317882,1269.4471226062399,1274.281034904609,1271.5945907718615,1282.4470599531094,1275.1319166889618,1271.962981288401,1267.027710257364,1290.6085467317882,1269.4471226062399,1274.281034904609,Miroslav Slusny,646,M,17.741273100616016,17.741273100616016,17.741273100616016,7.0,7,7
Czechia,1982,11,7,1982-02-26,Holmenkollen,Norway,World Championship,105,2,Team Large,M,2639.5867082460322,2568.212962909734,2568.9203083803077,2591.917114623283,2633.672317917538,2552.7636589812196,2550.5948579580254,2574.281034904609,1319.7933541230161,1284.106481454867,1284.4601541901538,1295.9585573116415,1316.836158958769,1276.3818294906098,1275.2974289790127,1287.1405174523045,"Bohumil Vacek,Josef Samek","1019,1098","M,M",24.306639288158795,24.306639288158795,24.306639288158795,18.0,30,6
Japan,1982,11,8,1982-02-26,Holmenkollen,Norway,World Championship,105,3,Team Large,M,4208.784049455962,3920.7836693088884,4259.125838523757,3886.380095911684,4212.475965749885,3949.834163963329,4265.2393396246625,3848.562069809218,1402.9280164853208,1306.9278897696295,1419.7086128412523,1295.4600319705612,1404.1586552499618,1316.6113879877764,1421.7464465415542,1282.8540232697394,"Masahiro Akimoto,Hirokazu Yagi,Nakatsu Nobuo","10,9,1093","M,M,M",23.60666210358202,25.481177275838466,22.171115674195757,22.0,30,7
Russia,1982,11,9,1982-02-26,Holmenkollen,Norway,World Championship,105,4,Team Large,M,5055.025239574572,5078.998901754785,5205.201130359141,5087.851925153604,5048.675592440561,5152.5645751709835,5205.373654660565,5097.124139618436,1263.756309893643,1269.7497254386963,1301.3002825897852,1271.962981288401,1262.1688981101402,1288.1411437927459,1301.3434136651413,1274.281034904609,"Vladimir Tschernajev,Gennadi Prokopenko,Valerji Karetnikov,Igor Morosov","2041,1048,1026,2042","M,M,M,M",18.63107460643395,19.15400410677618,18.10814510609172,7.75,18,2
Sweden,1982,11,10,1982-02-26,Holmenkollen,Norway,World Championship,105,3,Team Large,M,3573.996574855257,3892.984721948657,3494.639153257625,3815.8889438652027,3567.9174796474276,3881.425988196711,3472.398858086577,3822.843104713827,1191.332191618419,1297.6615739828856,1164.8797177525416,1271.962981288401,1189.3058265491425,1293.808662732237,1157.466286028859,1274.281034904609,"Per Balkåsen,Anders Daun,Seppo Toivonen","1103,979,1102","M,M,M",22.898015058179325,26.940451745379875,18.85557837097878,16.333333333333332,18,13
Germany,1982,11,11,1982-02-26,Holmenkollen,Norway,World Championship,105,4,Team Large,M,5781.837865303856,5195.592622856121,5877.357816241047,5058.834229246566,5812.620589089604,5176.6803481674615,5918.649687466603,5148.562069809218,1445.459466325964,1298.8981557140303,1469.3394540602617,1264.7085573116415,1453.155147272401,1294.1700870418654,1479.6624218666507,1287.1405174523045,"Joachim Ernst,Christoph Schwartz,Andreas Bauer,Peter Rohwein","1094,1077,739,988","M,M,M,M",20.519507186858316,23.15400410677618,18.099931553730322,12.75,18,8
