Team_Name,Nation,Team_Rank,Race_Date,City,Country,Race_Type,Hill_Size,Is_Present,Race1_Prob,Team_Points,TeamMembers,Total_Elo,Avg_Elo,Total_Small_Elo,Avg_Small_Elo,Total_Medium_Elo,Avg_Medium_Elo,Total_Normal_Elo,Avg_Normal_Elo,Total_Large_Elo,Avg_Large_Elo,Total_Flying_Elo,Avg_Flying_Elo,Member_1_Elo,Member_1_Small_Elo,Member_1_Medium_Elo,Member_1_Normal_Elo,Member_1_Large_Elo,Member_1_Flying_Elo,Member_1,Member_1_ID,Member_2_Elo,Member_2_Small_Elo,Member_2_Medium_Elo,Member_2_Normal_Elo,Member_2_Large_Elo,Member_2_Flying_Elo,Member_2,Member_2_ID
Austria,Austria,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Jan Hörl,Stefan Kraft",3382.486872899006,1691.243436449503,2596.175,1298.0875,2583.594269533656,1291.797134766828,3191.399539240264,1595.699769620132,3338.887096533378,1669.443548266689,2988.3035488346686,1494.1517744173343,1709.0164763619518,1298.0875,1291.797134766828,1572.3635659009403,1687.794913906166,1463.102768455754,Jan Hörl,2416,1673.470396537054,1298.0875,1291.797134766828,1619.0359733393234,1651.0921826272122,1525.2007803789147,Stefan Kraft,432
Estonia,Estonia,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Artti Aigro,Kaimar Vagul",2619.2175451429493,1309.6087725714747,2596.175,1298.0875,2583.594269533656,1291.797134766828,2524.3750891224763,1262.1875445612382,2628.081855999141,1314.0409279995706,2534.8479274168194,1267.4239637084097,1376.184240993125,1298.0875,1291.797134766828,1301.8560984780306,1370.498393090504,1279.044978278541,Artti Aigro,1871,1243.0333041498243,1298.0875,1291.797134766828,1222.5189906444457,1257.583462908637,1255.802949138278,Kaimar Vagul,2626
Finland,Finland,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Antti Aalto,Niko Kytösaho",2689.5700934983056,1344.7850467491528,2596.175,1298.0875,2583.594269533656,1291.797134766828,2599.1123641522063,1299.5561820761031,2635.880383541039,1317.9401917705195,2619.541186582951,1309.7705932914755,1390.6080718885955,1298.0875,1291.797134766828,1368.178579705436,1351.84467971791,1334.050287399583,Antti Aalto,924,1298.96202160971,1298.0875,1291.797134766828,1230.9337844467705,1284.035703823129,1285.490899183368,Niko Kytösaho,1830
France,France,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Valentin Foubert,Enzo Milesi",2587.113336254354,1293.556668127177,2596.175,1298.0875,2583.594269533656,1291.797134766828,2491.921945867516,1245.960972933758,2598.791874044271,1299.3959370221355,2516.229890432525,1258.1149452162624,1395.5268796442526,1298.0875,1291.797134766828,1226.9029552230704,1395.151541100682,1239.841919801318,Valentin Foubert,2423,1191.5864566101018,1298.0875,1291.797134766828,1265.0189906444457,1203.6403329435889,1276.3879706312068,Enzo Milesi,2507
Germany,Germany,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Philipp Raimund,Pius Paschke",3067.347182406235,1533.6735912031174,2596.175,1298.0875,2583.594269533656,1291.797134766828,2943.193205548295,1471.5966027741474,3048.2101436044177,1524.1050718022088,2671.094976859211,1335.5474884296054,1634.952788753112,1298.0875,1291.797134766828,1525.2571135512874,1611.604308591033,1343.4786200133487,Philipp Raimund,2401,1432.394393653123,1298.0875,1291.797134766828,1417.9360919970072,1436.6058350133846,1327.616356845862,Pius Paschke,1556
Italy,Italy,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Alex Insam,Giovanni Bresadola",2403.402711164482,1201.701355582241,2596.175,1298.0875,2583.594269533656,1291.797134766828,2332.1844629408915,1166.0922314704458,2417.96165952559,1208.980829762795,2497.172046435365,1248.5860232176824,1220.1554732380944,1298.0875,1291.797134766828,1166.8097332872462,1226.8995464200325,1254.1760067478804,Alex Insam,915,1183.2472379263877,1298.0875,1291.797134766828,1165.374729653645,1191.0621131055575,1242.9960396874842,Giovanni Bresadola,2277
Japan,Japan,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Ryoyu Kobayashi,Ren Nikaido",3463.6732754872182,1731.8366377436091,2596.175,1298.0875,2583.594269533656,1291.797134766828,2955.61081024791,1477.805405123955,3394.4834617363053,1697.2417308681527,2921.8624097625034,1460.9312048812517,1767.6100295405072,1298.0875,1291.797134766828,1553.1077095060864,1733.594112127532,1519.2747451248244,Ryoyu Kobayashi,1637,1696.063245946711,1298.0875,1291.797134766828,1402.5031007418238,1660.8893496087733,1402.587664637679,Ren Nikaido,2283
Kazakhstan,Kazakhstan,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Ilya Mizernykh,Danil Vassilyev",2401.063056710497,1200.5315283552486,2596.175,1298.0875,2583.594269533656,1291.797134766828,2331.75809818428,1165.87904909214,2400.0899183405827,1200.0449591702913,2552.0095500730513,1276.0047750365256,1245.822879697104,1298.0875,1291.797134766828,1214.0189906444457,1245.292096071619,1276.56548932224,Ilya Mizernykh,2685,1155.240177013393,1298.0875,1291.797134766828,1117.739107539834,1154.797822268964,1275.444060750811,Danil Vassilyev,2476
Norway,Norway,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Johann Forfang,Marius Lindvik",3108.4621576861873,1554.2310788430937,2596.175,1298.0875,2583.594269533656,1291.797134766828,2995.7567906536924,1497.8783953268462,3053.759382621369,1526.8796913106844,2909.19630140159,1454.598150700795,1555.9483617893368,1298.0875,1291.797134766828,1452.700205451471,1542.713597638396,1445.634296057523,Johann Forfang,902,1552.5137958968503,1298.0875,1291.797134766828,1543.0565852022214,1511.0457849829727,1463.562005344067,Marius Lindvik,1920
Poland,Poland,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Kacper Tomasiak,Kamil Stoch",2866.25410231361,1433.127051156805,2596.175,1298.0875,2583.594269533656,1291.797134766828,2806.2890230724697,1403.1445115362349,2857.5802823465256,1428.7901411732628,2540.7744997776226,1270.3872498888113,1505.2676984314307,1298.0875,1291.797134766828,1384.4458308966466,1485.266776517934,1255.802949138278,Kacper Tomasiak,2673,1360.9864038821795,1298.0875,1291.797134766828,1421.8431921758229,1372.3135058285918,1284.9715506393443,Kamil Stoch,40
Slovenia,Slovenia,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Domen Prevc,Anze Lanisek",3454.1954979177763,1727.0977489588881,2596.175,1298.0875,2591.797134766828,1295.898567383414,2971.56775253417,1485.783876267085,3370.167794587934,1685.083897293967,3036.4603344005823,1518.2301672002911,1763.2992585136567,1298.0875,1291.797134766828,1412.7939099104035,1706.5793067092864,1562.1332748448026,Domen Prevc,1868,1690.8962394041198,1298.0875,1300.0,1558.773842623766,1663.5884878786478,1474.3270595557797,Anze Lanisek,1166
Switzerland,Switzerland,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Gregor Deschwanden,Sandro Hauswirth",2727.73413105257,1363.867065526285,2596.175,1298.0875,2583.594269533656,1291.797134766828,2685.4512557781313,1342.7256278890657,2738.6788042216285,1369.3394021108143,2565.8290769479063,1282.9145384739531,1393.0619186374229,1298.0875,1291.797134766828,1426.0054248814847,1412.5069683985928,1300.8551668278465,Gregor Deschwanden,273,1334.672212415147,1298.0875,1291.797134766828,1259.4458308966466,1326.171835823036,1264.9739101200598,Sandro Hauswirth,2116
Turkey,Turkey,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Fatih Arda Ipcioglu,Muhammed Ali Bedir",2286.7291037103787,1143.3645518551893,2596.175,1298.0875,2583.594269533656,1291.797134766828,2437.777779522509,1218.8888897612544,2322.642743291815,1161.3213716459074,2501.9567482136017,1250.9783741068009,1145.4127405029449,1298.0875,1291.797134766828,1228.0087888780631,1158.007160113168,1235.5279690112689,Fatih Arda Ipcioglu,1890,1141.3163632074338,1298.0875,1291.797134766828,1209.7689906444457,1164.6355831786468,1266.428779202333,Muhammed Ali Bedir,2117
USA,USA,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Jason Colby,Tate Frantz",2587.126416412667,1293.5632082063335,2596.175,1298.0875,2583.594269533656,1291.797134766828,2575.748427445551,1287.8742137227755,2589.948723278447,1294.9743616392234,2594.0105130668535,1297.0052565334267,1340.7445426401532,1298.0875,1291.797134766828,1264.4458308966466,1338.1443427749384,1284.3039370177614,Jason Colby,2679,1246.381873772514,1298.0875,1291.797134766828,1311.3025965489044,1251.8043805035084,1309.706576049092,Tate Frantz,2628
Ukraine,Ukraine,0,02/10/2026,Milano Cortina,Italy,Team Large,143,True,1.0,,"Yevhen Marusiak,Vitaliy Kalinichenko",2311.407188018021,1155.7035940090104,2596.175,1298.0875,2583.594269533656,1291.797134766828,2309.3961935197326,1154.6980967598663,2347.7488443649054,1173.8744221824527,2414.649007438371,1207.3245037191855,1245.5948358481364,1298.0875,1291.797134766828,1239.605981224095,1240.6922503187573,1254.254676682671,Yevhen Marusiak,2089,1065.8123521698844,1298.0875,1291.797134766828,1069.7902122956375,1107.056594046148,1160.3943307556997,Vitaliy Kalinichenko,1839
