Team_Name,Nation,Team_Rank,Race_Date,City,Country,Race_Type,Hill_Size,Is_Present,Race1_Prob,Team_Points,TeamMembers,Total_Elo,Avg_Elo,Total_Small_Elo,Avg_Small_Elo,Total_Medium_Elo,Avg_Medium_Elo,Total_Normal_Elo,Avg_Normal_Elo,Total_Large_Elo,Avg_Large_Elo,Total_Flying_Elo,Avg_Flying_Elo,Member_1_Elo,Member_1_Small_Elo,Member_1_Medium_Elo,Member_1_Normal_Elo,Member_1_Large_Elo,Member_1_Flying_Elo,Member_1,Member_1_ID,Member_2_Elo,Member_2_Small_Elo,Member_2_Medium_Elo,Member_2_Normal_Elo,Member_2_Large_Elo,Member_2_Flying_Elo,Member_2,Member_2_ID,Member_3_Elo,Member_3_Small_Elo,Member_3_Medium_Elo,Member_3_Normal_Elo,Member_3_Large_Elo,Member_3_Flying_Elo,Member_3,Member_3_ID,Member_4_Elo,Member_4_Small_Elo,Member_4_Medium_Elo,Member_4_Normal_Elo,Member_4_Large_Elo,Member_4_Flying_Elo,Member_4,Member_4_ID
Austria,Austria,0,02/10/2026,Milano Cortina,Italy,Team Normal,109,True,1.0,,"Jan Hörl,Stefan Kraft,Lisa Eder,Julia Mühlbacher",6480.164670530953,1620.0411676327383,2596.175,649.04375,5183.594269533656,1295.898567383414,6368.902504353126,1592.2256260882814,6227.932297128615,1556.9830742821537,5579.108011501441,1394.7770028753603,1702.9103470008424,1298.0875,1291.797134766828,1572.3635659009403,1683.6781931714577,1463.102768455754,Jan Hörl,2416,1666.195562549534,1298.0875,1291.797134766828,1619.0359733393234,1646.2811965206738,1525.2007803789147,Stefan Kraft,432,1657.2505989504357,,1300.0,1686.1863978625338,1532.980603774521,1296.304462000504,Lisa Eder,337,1453.808162030141,,1300.0,1491.3165672503271,1364.9923036619618,1294.500000666269,Julia Mühlbacher,400
Finland,Finland,0,02/10/2026,Milano Cortina,Italy,Team Normal,109,True,1.0,,"Antti Aalto,Niko Kytösaho,Jenny Rautionaho,Heta Hirvonen",5359.733385764698,1339.9333464411745,2596.175,649.04375,5183.594269533656,1295.898567383414,5249.1562530990395,1312.2890632747599,5277.081365344951,1319.2703413362378,5200.27527000695,1300.0688175017376,1385.8021911977016,1298.0875,1291.797134766828,1368.178579705436,1347.4773130217136,1334.050287399583,Antti Aalto,924,1320.7428275147624,1298.0875,1291.797134766828,1230.9337844467705,1305.1265283976404,1285.490899183368,Niko Kytösaho,1830,1356.7904858045,,1300.0,1377.8495046505725,1327.2072025194418,1284.9785130670589,Jenny Rautionaho,145,1296.3978812477342,,1300.0,1272.1943842962614,1297.2703214061555,1295.7555703569406,Heta Hirvonen,542
France,France,0,02/10/2026,Milano Cortina,Italy,Team Normal,109,True,1.0,,"Valentin Foubert,Enzo Milesi,Josephine Pagnier,Emma Chervet",5051.685073065524,1262.921268266381,2596.175,649.04375,5183.594269533656,1295.898567383414,5046.666150909146,1261.6665377272866,5081.947941761959,1270.4869854404897,5097.224739978594,1274.3061849946484,1376.365782948276,1298.0875,1291.797134766828,1226.9029552230704,1377.9874171256288,1239.841919801318,Valentin Foubert,2423,1175.4970184566555,1298.0875,1291.797134766828,1265.0189906444457,1188.8035509330462,1276.3879706312068,Enzo Milesi,2507,1355.257150505576,,1300.0,1374.772390585224,1342.3474206462818,1285.239279189128,Josephine Pagnier,280,1144.5651211550169,,1300.0,1179.971814456406,1172.809553057002,1295.7555703569406,Emma Chervet,456
Germany,Germany,0,02/10/2026,Milano Cortina,Italy,Team Normal,109,True,1.0,,"Philipp Raimund,Felix Hoffmann,Selina Freitag,Agnes Reisch",6450.044235522811,1612.5110588807026,2596.175,649.04375,5183.594269533656,1295.898567383414,6077.341713068876,1519.335428267219,6221.216517214073,1555.3041293035183,5189.928303402799,1297.4820758506999,1615.669949746151,1298.0875,1291.797134766828,1525.2571135512874,1592.855638193558,1343.4786200133487,Philipp Raimund,2401,1586.7842968490625,1298.0875,1291.797134766828,1404.4458308966466,1569.9021013216484,1253.480971600225,Felix Hoffmann,1893,1661.1989736336411,,1300.0,1614.9686598174992,1570.133855349335,1301.043711222897,Selina Freitag,338,1586.391015293956,,1300.0,1532.6701088034422,1488.3249223495316,1291.925000566329,Agnes Reisch,259
Italy,Italy,0,02/10/2026,Milano Cortina,Italy,Team Normal,109,True,1.0,,"Alex Insam,Giovanni Bresadola,Annika Sieff,Martina Zanitzer",4962.107681634718,1240.5269204086794,2596.175,649.04375,5183.594269533656,1295.898567383414,4887.647705202806,1221.9119263007015,4951.236088818863,1237.8090222047158,5088.683187149246,1272.1707967873115,1233.2434312376356,1298.0875,1291.797134766828,1166.8097332872462,1239.5100484693726,1254.1760067478804,Alex Insam,915,1188.3092942778046,1298.0875,1291.797134766828,1165.374729653645,1196.550550605063,1242.9960396874842,Giovanni Bresadola,2277,1325.081056137239,,1300.0,1335.4255101170031,1287.7990180185225,1295.7555703569406,Annika Sieff,377,1215.473899982038,,1300.0,1220.037732144911,1227.3764717259055,1295.7555703569406,Martina Zanitzer,430
Japan,Japan,0,02/10/2026,Milano Cortina,Italy,Team Normal,109,True,1.0,,"Ryoyu Kobayashi,Ren Nikaido,Nozomi Maruyama,Sara Takanashi",6691.6153829330615,1672.9038457332654,2596.175,649.04375,5183.594269533656,1295.898567383414,6067.932009235076,1516.983002308769,6482.912610013879,1620.7281525034698,5517.73204268122,1379.433010670305,1755.1321405360256,1298.0875,1291.797134766828,1553.1077095060864,1721.3260575516267,1519.2747451248244,Ryoyu Kobayashi,1637,1693.8736252492818,1298.0875,1291.797134766828,1402.5031007418238,1659.0354956488502,1402.587664637679,Ren Nikaido,2283,1637.3686206823932,,1300.0,1554.5773491703949,1546.3663005551043,1296.1740935871644,Nozomi Maruyama,222,1605.2409964653602,,1300.0,1557.7438498167712,1556.1847562582982,1299.6955393315532,Sara Takanashi,3
Norway,Norway,0,02/10/2026,Milano Cortina,Italy,Team Normal,109,True,1.0,,"Johann Forfang,Kristoffer Eriksen Sundal,Anna Odine Strøm,Eirin Maria Kvandal",6356.495203524276,1589.123800881069,2596.175,649.04375,5183.594269533656,1295.898567383414,5858.399617422689,1464.5999043556722,6209.844811892181,1552.4612029730451,5401.166485498095,1350.2916213745239,1546.722620591742,1298.0875,1291.797134766828,1452.700205451471,1535.3104984331935,1445.634296057523,Johann Forfang,902,1543.505462566047,1298.0875,1291.797134766828,1324.074659101126,1540.1146245210698,1336.0107005122386,Kristoffer Eriksen Sundal,2575,1679.6421834439318,,1300.0,1599.605770243994,1597.004879905698,1303.500000666269,Anna Odine Strøm,44,1586.6249369225552,,1300.0,1482.018982626098,1537.4148090322192,1316.0214882620644,Eirin Maria Kvandal,354
Poland,Poland,0,02/10/2026,Milano Cortina,Italy,Team Normal,109,True,1.0,,"Kacper Tomasiak,Kamil Stoch,Anna Twardosz,Pola Beltowska",5311.617665744793,1327.9044164361983,2596.175,649.04375,5183.594269533656,1295.898567383414,5377.923001429495,1344.4807503573738,5249.051530516413,1312.2628826291032,5132.6049310775525,1283.1512327693881,1496.52369703729,1298.0875,1291.797134766828,1384.4458308966466,1475.300426098018,1256.1222397243273,Kacper Tomasiak,2673,1364.974548530228,1298.0875,1291.797134766828,1421.8431921758229,1373.7978113035304,1284.9715506393443,Kamil Stoch,40,1293.4904478704457,,1300.0,1338.3266083427325,1233.927926370065,1295.7555703569406,Anna Twardosz,288,1156.6289723068294,,1300.0,1233.3073700142932,1166.0253667447994,1295.7555703569406,Pola Beltowska,442
Romania,Romania,0,02/10/2026,Milano Cortina,Italy,Team Normal,109,True,1.0,,"Mihnea Alexandru Spulber,Daniel Andrei Cacina,Delia Anamaria Folea,Daniela Haralambie",4896.249858378327,1224.0624645945818,2596.175,649.04375,5183.594269533656,1295.898567383414,4828.632614657889,1207.1581536644721,4932.260185084027,1233.0650462710068,5103.755620162536,1275.938905040634,1241.704890970803,1298.0875,1291.797134766828,1170.080036399273,1260.4113391856265,1256.1222397243273,Mihnea Alexandru Spulber,2143,1212.3114464620803,1298.0875,1291.797134766828,1200.980344419166,1223.4302915290684,1256.1222397243273,Daniel Andrei Cacina,2329,1260.8022498566268,,1300.0,1240.4354266415382,1282.2856289203287,1295.7555703569406,Delia Anamaria Folea,410,1181.4312710888166,,1300.0,1217.1368071979118,1166.1329254490042,1295.7555703569406,Daniela Haralambie,43
Slovenia,Slovenia,0,02/10/2026,Milano Cortina,Italy,Team Normal,109,True,1.0,,"Domen Prevc,Anze Lanisek,Nika Prevc,Nika Vodan",6784.931547949272,1696.232886987318,2596.175,649.04375,5191.797134766828,1297.949283691707,6284.136204461147,1571.0340511152867,6497.979235517758,1624.4948088794395,5643.535859472255,1410.8839648680637,1759.8457626182992,1298.0875,1291.797134766828,1412.7939099104035,1701.8967478660932,1562.1332748448026,Domen Prevc,1868,1675.1735271908567,1298.0875,1300.0,1558.773842623766,1649.986690243879,1474.3270595557797,Anze Lanisek,1166,1791.8280005642675,,1300.0,1743.2895466884268,1649.8262063624006,1308.3696427187308,Nika Prevc,426,1558.0842575758477,,1300.0,1569.2789052385506,1496.2695910453851,1298.7058823529412,Nika Vodan,266
