Team_Name,Nation,Team_Rank,Race_Date,City,Country,Race_Type,Hill_Size,Is_Present,Race1_Prob,Team_Points,Total_Elo,Avg_Elo,Total_Small_Elo,Avg_Small_Elo,Total_Medium_Elo,Avg_Medium_Elo,Total_Normal_Elo,Avg_Normal_Elo,Total_Large_Elo,Avg_Large_Elo,Total_Flying_Elo,Avg_Flying_Elo,Member_1,Member_1_ID,Member_1_FisCode,Member_1_Year,Member_1_Length1,Member_1_Length2,Member_1_Points,Member_1_Elo,Member_1_Small_Elo,Member_1_Medium_Elo,Member_1_Normal_Elo,Member_1_Large_Elo,Member_1_Flying_Elo,Member_2,Member_2_ID,Member_2_FisCode,Member_2_Year,Member_2_Length1,Member_2_Length2,Member_2_Points,Member_2_Elo,Member_2_Small_Elo,Member_2_Medium_Elo,Member_2_Normal_Elo,Member_2_Large_Elo,Member_2_Flying_Elo,Member_3,Member_3_ID,Member_3_FisCode,Member_3_Year,Member_3_Length1,Member_3_Length2,Member_3_Points,Member_3_Elo,Member_3_Small_Elo,Member_3_Medium_Elo,Member_3_Normal_Elo,Member_3_Large_Elo,Member_3_Flying_Elo,Member_4,Member_4_ID,Member_4_FisCode,Member_4_Year,Member_4_Length1,Member_4_Length2,Member_4_Points,Member_4_Elo,Member_4_Small_Elo,Member_4_Medium_Elo,Member_4_Normal_Elo,Member_4_Large_Elo,Member_4_Flying_Elo
TÜRKIYE,TUR,1,03/08/2026,Lahti,Finland,Team Large,130,True,1.0,,4718.140960253791,1179.5352400634476,5192.35,1298.0875,5167.188539067312,1291.797134766828,4807.262404520161,1201.8156011300402,4739.923920480867,1184.9809801202168,5014.165119642419,1253.5412799106048,Muhammed Ali Bedir,2117,7282,2000,,,,1107.9774786557534,1298.0875,1291.797134766828,1132.193385395554,1139.4580991677053,1266.428779202333,Fatih Arda Ipcioglu,1890,6177,1997,,,,1118.1100719750402,1298.0875,1291.797134766828,1164.6016592096728,1136.0790435610395,1235.5279690112689,Unknown TUR Athlete 3,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087,Unknown TUR Athlete 4,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087
KAZAKHSTAN,KAZ,2,03/08/2026,Lahti,Finland,Team Large,130,True,1.0,,5028.287212378421,1257.0718030946052,5192.35,1298.0875,5167.188539067312,1291.797134766828,4909.880946183299,1227.4702365458247,5012.1458602776465,1253.0364650694116,5045.407970140255,1261.3519925350638,Nurshat Tursunzhanov,2448,7586,2003,,,,1268.1147767049167,1298.0875,1291.797134766828,1261.154733782772,1268.814490941739,1256.1041857144087,Nikita Devyatkin,2427,6941,1999,,,,1268.1190260505075,1298.0875,1291.797134766828,1138.2588524855937,1278.9445915837848,1277.0954129970287,Unknown KAZ Athlete 3,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087,Unknown KAZ Athlete 4,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087
UKRAINE,UKR,3,03/08/2026,Lahti,Finland,Team Large,130,True,1.0,,4774.324239075824,1193.581059768956,5192.35,1298.0875,5167.188539067312,1291.797134766828,4725.917488829039,1181.4793722072598,4788.700732348335,1197.1751830870837,4958.355926421081,1239.5889816052702,Vitaliy Kalinichenko,1839,5664,1993,,,,1055.9965464326672,1298.0875,1291.797134766828,1032.916456999264,1095.9591529414345,1195.2108728422977,Yevhen Marusiak,2089,7230,2000,,,,1226.27428302016,1298.0875,1291.797134766828,1182.5336719148413,1228.3548016547777,1250.936682149966,Unknown UKR Athlete 3,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087,Unknown UKR Athlete 4,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087
ESTONIA,EST,4,03/08/2026,Lahti,Finland,Team Large,130,True,1.0,,5065.190919964361,1266.2977299910901,5192.35,1298.0875,5167.188539067312,1291.797134766828,5009.909490850068,1252.477372712517,5046.613566550012,1261.653391637503,5060.505417912009,1265.1263544780022,Kaimar Vagul,2626,8546,2007,,,,1221.2557364779243,1298.0875,1291.797134766828,1199.2974075222685,1237.7731135590946,1256.1041857144087,Artti Aigro,1871,6918,1999,,,,1351.8817738634398,1298.0875,1291.797134766828,1300.144723412866,1344.4536752387953,1292.192860768783,Unknown EST Athlete 3,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087,Unknown EST Athlete 4,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087
ITALY,ITA,5,03/08/2026,Lahti,Finland,Team Large,130,True,1.0,,4873.306443382596,1218.326610845649,5192.35,1298.0875,5167.188539067312,1291.797134766828,4800.598790596695,1200.1496976491737,4864.440035889009,1216.1100089722522,5041.8231972677195,1260.4557993169299,Alex Insam,915,6758,1997,,,,1222.8061632825295,1298.0875,1291.797134766828,1156.3266203949206,1232.5528654945592,1241.270976159175,Francesco Cecon,2431,7524,2001,,,,1158.4468704770695,1298.0875,1291.797134766828,1133.8048102868408,1167.5003926423271,1288.343849679727,Unknown ITA Athlete 3,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087,Unknown ITA Athlete 4,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087
UNITED STATES OF AMERICA,USA,6,03/08/2026,Lahti,Finland,Team Large,130,True,1.0,,5059.178764474557,1264.7946911186393,5192.35,1298.0875,5167.188539067312,1291.797134766828,5043.195571407394,1260.7988928518484,5002.301619108948,1250.575404777237,5096.2092784668985,1274.0523196167246,Tate Frantz,2628,220183,2005,,,,1315.0298112751625,1298.0875,1291.797134766828,1332.092562430326,1303.2552097703583,1309.706576049092,Kevin Bickner,1644,6671,1996,,,,1252.095543576398,1298.0875,1291.797134766828,1200.6356490621338,1234.659631586467,1274.2943309889888,Unknown USA Athlete 3,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087,Unknown USA Athlete 4,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087
FRANCE,FRA,7,03/08/2026,Lahti,Finland,Team Large,130,True,1.0,,5076.116182277401,1269.0290455693503,5192.35,1298.0875,5167.188539067312,1291.797134766828,5034.769477931089,1258.6923694827722,5027.385463087613,1256.8463657719033,5087.2487501756605,1271.8121875439151,Jules Chervet,2571,8014,2003,,,,1152.565640104798,1298.0875,1291.797134766828,1172.188458546906,1168.5682799793017,1270.3709382153102,Valentin Foubert,2423,7856,2002,,,,1431.4971325496065,1298.0875,1291.797134766828,1352.1136594692491,1394.4304053561889,1304.6694405315327,Unknown FRA Athlete 3,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087,Unknown FRA Athlete 4,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087
SWITZERLAND,SUI,8,03/08/2026,Lahti,Finland,Team Large,130,True,1.0,,5309.973626516138,1327.4934066290346,5192.35,1298.0875,5167.188539067312,1291.797134766828,5271.575581941189,1317.8938954852972,5234.596827746361,1308.6492069365902,5183.067255645196,1295.766813911299,Sandro Hauswirth,2116,6999,2000,,,,1334.4068548452697,1298.0875,1291.797134766828,1260.3685732019962,1313.7040878442092,1304.7514152980352,Gregor Deschwanden,273,5435,1991,,,,1483.5133620478714,1298.0875,1291.797134766828,1500.739648824259,1456.5059621500288,1366.1074689183436,Unknown SUI Athlete 3,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087,Unknown SUI Athlete 4,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087
FINLAND,FIN,9,03/08/2026,Lahti,Finland,Team Large,130,True,1.0,,5347.406146237556,1336.851536559389,5192.35,1298.0875,5167.188539067312,1291.797134766828,5128.1777072253935,1282.0444268063484,5253.6486300507095,1313.4121575126774,5155.8027477133355,1288.9506869283339,Niko Kytösaho,1830,6912,1999,,,,1407.486841827999,1298.0875,1291.797134766828,1263.2579595363393,1387.6016979723247,1292.9246639509545,Antti Aalto,924,6996,1995,,,,1447.8658947865597,1298.0875,1291.797134766828,1354.4523877741203,1401.6601543262618,1350.6697123335637,Unknown FIN Athlete 3,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087,Unknown FIN Athlete 4,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087
POLAND,POL,10,03/08/2026,Lahti,Finland,Team Large,130,True,1.0,,5377.475050122696,1344.368762530674,5192.35,1298.0875,5167.188539067312,1291.797134766828,5315.883020883972,1328.970755220993,5344.455657619483,1336.1139144048707,5055.123847520774,1263.7809618801934,Kamil Stoch,40,4321,1987,,,,1366.0999922250762,1298.0875,1291.797134766828,1329.6533106720492,1390.07332767251,1286.8112903775475,Kacper Tomasiak,2673,8585,2007,,,,1519.3216482746234,1298.0875,1291.797134766828,1475.7623502969886,1489.9955521948498,1256.1041857144087,Unknown POL Athlete 3,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087,Unknown POL Athlete 4,,,,,,,1246.0267048114986,1298.0875,1291.797134766828,1255.2336799574668,1232.1933888760611,1256.1041857144087
