"Team_Name","Nation","Team_Rank","Race_Date","City","Country","Race_Type","Hill_Size","Is_Present","Team_Points","Total_Elo","Avg_Elo","Total_Small_Elo","Avg_Small_Elo","Total_Medium_Elo","Avg_Medium_Elo","Total_Normal_Elo","Avg_Normal_Elo","Total_Large_Elo","Avg_Large_Elo","Total_Flying_Elo","Avg_Flying_Elo","Member_1","Member_1_ID","Member_1_FisCode","Member_1_Year","Member_1_Length1","Member_1_Length2","Member_1_Points","Member_1_Elo","Member_1_Small_Elo","Member_1_Medium_Elo","Member_1_Normal_Elo","Member_1_Large_Elo","Member_1_Flying_Elo","Member_2","Member_2_ID","Member_2_FisCode","Member_2_Year","Member_2_Length1","Member_2_Length2","Member_2_Points","Member_2_Elo","Member_2_Small_Elo","Member_2_Medium_Elo","Member_2_Normal_Elo","Member_2_Large_Elo","Member_2_Flying_Elo","Member_3","Member_3_ID","Member_3_FisCode","Member_3_Year","Member_3_Length1","Member_3_Length2","Member_3_Points","Member_3_Elo","Member_3_Small_Elo","Member_3_Medium_Elo","Member_3_Normal_Elo","Member_3_Large_Elo","Member_3_Flying_Elo","Member_4","Member_4_ID","Member_4_FisCode","Member_4_Year","Member_4_Length1","Member_4_Length2","Member_4_Points","Member_4_Elo","Member_4_Small_Elo","Member_4_Medium_Elo","Member_4_Normal_Elo","Member_4_Large_Elo","Member_4_Flying_Elo","Race1_Prob"
"NORWAY","NOR",1,"06/09/2025","Trondheim","Norway","Team Normal","Normal","True",904.5,5969.0615204324,1492.2653801081,NA,NA,NA,NA,5628.14407463383,1407.03601865846,5756.28423194028,1439.07105798507,5204.25000046118,1301.06250011529,"Anna Odine Strøm",44,6867,1998,100.5,102,130.3,1618.7502027058,NA,NA,1539.65671403052,1535.14002629892,1298.75000015373,"Ingvild Synnøve Midtskogen",479,220072,2007,88.5,94.5,106.1,1344.23099576314,NA,NA,1232.46880502874,1346.42653476163,1298.75000015373,"Heidi Dyhre Tråserud",366,8153,2003,94,89,99.8,1347.72287706251,NA,NA,1364.8979005056,1294.56230221772,1298.75000015373,"Eirin Maria Kvandal",354,8197,2001,98.5,95,123,1658.35744490095,NA,NA,1491.12065506896,1580.155368662,1308,1
"AUSTRIA","AUT",2,"06/09/2025","Trondheim","Norway","Team Normal","Normal","True",885.1,6297.33824665516,1574.33456166379,NA,NA,NA,NA,6242.62343246493,1560.65585811623,5873.85050486716,1468.46262621679,5195.00000061491,1298.75000015373,"Lisa Eder",337,7183,2001,95.5,95.5,116,1605.51156045205,NA,NA,1579.25217382765,1483.37676379978,1298.75000015373,"Julia Mühlbacher",400,7860,2004,89,91.5,100.7,1376.76406434119,NA,NA,1402.90757621295,1300.71817370966,1298.75000015373,"Jacqueline Seifriedsberger",18,1909,1991,97.5,96,118.7,1649.9277671914,NA,NA,1597.29467182826,1535.60457266392,1298.75000015373,"Eva Pinkelnig",14,7267,1988,96,92,113.3,1665.13485467051,NA,NA,1663.16901059607,1554.1509946938,1298.75000015373,1
"GERMANY","GER",3,"06/09/2025","Trondheim","Norway","Team Normal","Normal","True",846.5,6170.82821403329,1542.70705350832,NA,NA,NA,NA,5913.4786471516,1478.3696617879,5731.64752217655,1432.91188054414,5186.75000076863,1296.68750019216,"Juliane Seyfarth",63,1952,1990,93.5,79,82.8,1417.12094710048,NA,NA,1354.5597362167,1381.00559548495,1298.75000015373,"Katharina Schmid",13,6113,1996,91.5,86,93.4,1634.19026785536,NA,NA,1583.74044928491,1576.27070976245,1298.75000015373,"Agnes Reisch",259,7027,1999,99.5,90,109,1450.41589617709,NA,NA,1377.3990944962,1231.92713895865,1290.50000030745,"Selina Freitag",338,7372,2001,95.5,96,121.6,1669.10110290036,NA,NA,1597.7793671538,1542.4440779705,1298.75000015373,1
"SLOVENIA","SLO",4,"06/09/2025","Trondheim","Norway","Team Normal","Normal","True",792.9,5853.32562388476,1463.33140597119,NA,NA,NA,NA,5726.05495603401,1431.5137390085,5606.53780669797,1401.63445167449,5195.00000061491,1298.75000015373,"Ema Klinec",89,6470,1998,90.5,88.5,97.7,1586.18772586918,NA,NA,1494.40042241785,1557.45326933617,1298.75000015373,"Tina Erzar",510,219853,2008,87.5,87,90.5,1274.08785282605,NA,NA,1281.10569655146,1271.07727669177,1298.75000015373,"Katra Komar",284,7437,2001,80.5,79.5,79.8,1244.08401548789,NA,NA,1266.94637026099,1190.19266081852,1298.75000015373,"Nika Prevc",426,8132,2005,102.5,90,118.2,1748.96602970165,NA,NA,1683.60246680371,1587.81459985151,1298.75000015373,1
"JAPAN","JPN",5,"06/09/2025","Trondheim","Norway","Team Normal","Normal","True",756.2,6025.90115294633,1506.47528823658,NA,NA,NA,NA,5930.40236665937,1482.60059166484,5787.96677890157,1446.99169472539,5195.00000061491,1298.75000015373,"Nozomi Maruyama",222,6681,1998,80,84,92.5,1458.0051388679,NA,NA,1426.56270947968,1401.18756337298,1298.75000015373,"Yuka Seto",32,6388,1997,87.5,89,92.5,1392.03081413958,NA,NA,1414.51584349151,1320.09101162333,1298.75000015373,"Yuki Ito",5,5754,1994,91.5,83,92.2,1586.80019009768,NA,NA,1535.90471713004,1524.70258709038,1298.75000015373,"Sara Takanashi",3,6198,1996,95.5,83,91.9,1589.06500984117,NA,NA,1553.41909655815,1541.98561681487,1298.75000015373,1
"ITALY","ITA",6,"06/09/2025","Trondheim","Norway","Team Normal","Normal","True",653.6,5057.60456107255,1264.40114026814,NA,NA,NA,NA,5110.8598596941,1277.71496492353,4992.22800380463,1248.05700095116,5195.00000061491,1298.75000015373,"Annika Sieff",377,7616,2003,82.5,81,81.3,1314.79038615466,NA,NA,1329.26550611508,1263.72764145319,1298.75000015373,"Jessica Malsiner",357,7523,2002,78,81,73.8,1186.67636067072,NA,NA,1200.70311235952,1210.56083363263,1298.75000015373,"Martina Ambrosi",355,7745,2001,78,78.5,77.4,1151.89981754392,NA,NA,1153.9243458351,1226.05648137303,1298.75000015373,"Lara Malsiner",253,6898,2000,93.5,82,92.7,1404.23799670325,NA,NA,1426.9668953844,1291.88304734577,1298.75000015373,1
"UNITED STATES OF AMERICA","USA",7,"06/09/2025","Trondheim","Norway","Team Normal","Normal","True",613.7,4899.57629395659,1224.89407348915,NA,NA,NA,NA,4955.85634739665,1238.96408684916,4833.38701875668,1208.34675468917,5195.00000061491,1298.75000015373,"Paige Jones",365,7735,2002,83.5,87.5,93.3,1168.57106080298,NA,NA,1196.71040294957,1144.29413028236,1298.75000015373,"Josie Johnson",446,219758,2006,78.5,81.5,79.5,1219.37721981608,NA,NA,1242.25858152419,1231.09297945022,1298.75000015373,"Sandra Sproch",501,220233,2007,69.5,70,49,1284.56536970249,NA,NA,1300.17548659114,1230.57535176991,1298.75000015373,"Annika Belshaw",346,7801,2002,87.5,82,93.9,1227.06264363504,NA,NA,1216.71187633174,1227.42455725419,1298.75000015373,1
"P.R. CHINA","CHN",8,"06/09/2025","Trondheim","Norway","Team Normal","Normal","True",587.3,4951.37612406791,1237.84403101698,NA,NA,NA,NA,4973.5964786633,1243.39911966582,5034.6538953561,1258.66347383903,5195.00000061491,1298.75000015373,"Yangning Weng",513,220316,2006,86.5,72,62,1223.99499220672,NA,NA,1230.63521622446,1262.51423825887,1298.75000015373,"Shiyu Zhou",518,219956,2002,70.5,75,60.2,1230.06168185553,NA,NA,1248.18795054411,1254.84458450091,1298.75000015373,"Bing Dong",320,6646,1996,83,78.5,73.1,1222.36634874745,NA,NA,1238.21126683531,1239.02994670142,1298.75000015373,"Qi Liu",62,6647,1996,85,83,90,1274.9531012582,NA,NA,1256.56204505941,1278.26512589491,1298.75000015373,1
"FINLAND","FIN",9,"06/09/2025","Trondheim","Norway","Team Normal","Normal","True",280.8,5231.14342770199,1307.7858569255,NA,NA,NA,NA,5154.62062832472,1288.65515708118,5132.27178375439,1283.0679459386,5195.00000061491,1298.75000015373,"Jenny Rautionaho",145,6397,1996,80,NA,NA,1403.44977316115,NA,NA,1380.81625778941,1383.72110237591,1298.75000015373,"Minja Korhonen",506,220236,2007,73.5,NA,NA,1298.12043311665,NA,NA,1297.25240966807,1230.57535176991,1298.75000015373,"Heta Hirvonen",542,220421,2008,75.5,NA,NA,1288.41497019036,NA,NA,1231.27360181238,1287.55192256453,1298.75000015373,"Julia Kykkänen",11,5793,1994,79,NA,NA,1241.15825123384,NA,NA,1245.27835905486,1230.42340704404,1298.75000015373,1
"CZECHIA","CZE",10,"06/09/2025","Trondheim","Norway","Team Normal","Normal","True",266.8,4820.17857428728,1205.04464357182,NA,NA,NA,NA,4943.02720331902,1235.75680082976,4933.95612236925,1233.48903059231,5195.00000061491,1298.75000015373,"Anezka Indrackova",437,8269,2006,70.5,NA,NA,1193.77383322053,NA,NA,1238.5057387588,1228.96154498646,1298.75000015373,"Klara Ulrichova",388,7823,2004,76.5,NA,NA,1170.42406585597,NA,NA,1187.50263686798,1200.45670754068,1298.75000015373,"Veronika Jencova",373,7861,2004,76,NA,NA,1256.15318564773,NA,NA,1288.46909153801,1273.91186983024,1298.75000015373,"Karolina Indrackova",50,6875,1997,77,NA,NA,1199.82748956306,NA,NA,1228.54973615423,1230.62600001186,1298.75000015373,1
