Date,City,Country,Event,HillSize,Distance,RaceType,MassStart,TeamEvent,Season,Race,Sex,Place,Skier,Nation,ID,Birthday,Leg,TeamID,SJ_Pos,CC_Pos,Age,Exp
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,1,Tara Geraghty-Moats,USA,58,1993-04-12T00:00:00.000000,0,,,,28.05201916495551,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,2,Gyda Westvold Hansen,NOR,4,2002-04-20T00:00:00.000000,0,,,,19.030800821355236,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,3,Anju Nakamura,JPN,67,2000-01-23T00:00:00.000000,0,,,,21.270362765229294,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,4,Marte Leinan Lund,NOR,7,2001-04-01T00:00:00.000000,0,,,,20.082135523613964,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,5,Sigrun Kleinrath,AUT,76,2004-01-16T00:00:00.000000,0,,,,17.28952772073922,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,6,Lisa-Marie Hirner,AUT,52,2003-10-03T00:00:00.000000,0,,,,17.57700205338809,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,7,Mari Leinan Lund,NOR,8,1999-05-28T00:00:00.000000,0,,,,21.927446954141,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,8,Veronica Gianmoena,ITA,29,1995-10-25T00:00:00.000000,0,,,,25.516769336071185,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,9,Annika Sieff,ITA,47,2003-10-27T00:00:00.000000,0,,,,17.51129363449692,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,10,Anastasia Goncharova,RUS,45,1999-10-10T00:00:00.000000,0,,,,21.557837097878167,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,11,Hanna Midtsundstad,NOR,3,1999-09-22T00:00:00.000000,0,,,,21.607118412046542,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,12,Daniela Dejori,ITA,37,2002-08-01T00:00:00.000000,0,,,,18.748802190280628,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,13,Jenny Nowak,GER,25,2002-08-20T00:00:00.000000,0,,,,18.69678302532512,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,14,Yuna Kasai,JPN,161,2004-02-04T00:00:00.000000,0,,,,17.23750855578371,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,15,Stefaniya Nadymova,RUS,27,1994-12-01T00:00:00.000000,0,,,,26.414784394250514,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,16,Ema Volavsek,SLO,49,2002-12-15T00:00:00.000000,0,,,,18.376454483230663,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,17,Ayane Miyazaki,JPN,28,2002-09-15T00:00:00.000000,0,,,,18.625598904859686,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,18,Mille Moen Flatla,NOR,163,2001-08-31T00:00:00.000000,0,,,,19.665982203969882,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,19,Annalena Slamik,AUT,41,2003-03-23T00:00:00.000000,0,,,,18.10814510609172,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,20,Maria Gerboth,GER,66,2002-06-19T00:00:00.000000,0,,,,18.86652977412731,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,21,Sophia Maurus,GER,23,2001-11-30T00:00:00.000000,0,,,,19.416837782340863,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,22,Léna Brocard,FRA,53,2000-05-19T00:00:00.000000,0,,,,20.95003422313484,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,23,Sana Azegami,JPN,162,2001-11-04T00:00:00.000000,0,,,,19.488021902806295,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,24,Svenja Wuerth,GER,165,1993-08-20T00:00:00.000000,0,,,,27.696098562628336,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,25,Svetlana Gladikova,RUS,24,1992-05-25T00:00:00.000000,0,,,,28.933607118412045,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,26,Claudia Purker,AUT,177,1999-01-15T00:00:00.000000,0,,,,22.29158110882957,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,27,Silva Verbič,SLO,40,2002-03-31T00:00:00.000000,0,,,,19.085557837097877,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,28,Annika Malacinski,USA,61,2001-05-09T00:00:00.000000,0,,,,19.978097193702943,0
2021-05-01,Offseason,Offseason,Standings,,0,Standings,0,,2021,0,L,29,Alexa Brabec,USA,81,2004-10-08T00:00:00.000000,0,,,,16.56125941136208,0
